Lilia Ann Abron
Iman Abuzeid
Sylvia Acevedo
Courtney Adeleye
Revathi Advaithi
Mary Cunningham Agee
Nancy Agee
Angela Ahrendts
Jessica Alba
Laura J. Alber
Ellen Alemany
Erika Allen
Linda G. Alvarado
Sylvia Andersen
Maggie Anderson (activist)
Scilla Andreen
Leonore Annenberg
Anousheh Ansari
Darcy Antonellis
Sandra Appiah
Shellye Archambeau
Carolyn Aronson
Alma Asay
Mary Kay Ash
Nazanin Ash
Betsy Atkins
Joy Ford Austin
Naj Austin
Wanda Austin
Diana Aviv
Wendy Aylsworth
Claire Babineaux-Fontenot
Cheryl Bachelder
Meredith Attwell Baker
Mitchell Baker
Jill Barad
Hayley Barna
Brenda C. Barnes
Mary Barra
Barbara Barrett
Sydney Biddle Barrows
Carol Bartz
Lezli Baskerville
Carole Baskin
Zahara Monique Bassett
Joy Bauer
Najah Bazzy
Christine Beauchamp
Paula Begoun
Carol Bellamy
Rebecka Belldegrun
Melissa Ben-Ishay
Joyce Bender
Leslie Cohen Berlowitz
Riese Bernard
Afsaneh Mashayekhi Beschloss
Emily Best
Jennifer Betit Yen
Gina Bianchini
Jen Bilik
Mary G. F. Bitterman
Carole Black
Sara Blakely
Frances Blascoer
Julia Chang Bloch
Bibiana Boerio
Elizabeth Monroe Boggs
Mia Bonta
Gail Koziara Boudreaux
Nina Bourne
Kimberly S. Bowers
Elizabeth Bradley (drama professor)
Angela Braly
Jan Brandt
Rose Marie Bravo
Deirdre Breakenridge
Heather Bresch
Rosalind Brewer
Juliette Brindak
Katie Britt
Helene Hathaway Britton
Deborah Bronk
Tammy Brook
Sheila Brooks
Marianne C. Brown
Tracey D. Brown
Virginia Mae Brown
Diane Bryant
Jane Buchan
Michele Buck
Laurie Buckhout
Sandra Bullock
Ambika Bumb
Tory Burch
Jewel Burks Solomon
Joy S. Burns
Stephanie Burns
Ursula Burns
Susan Burton
Lauren Bush
Jean Buttner
Mariann Byerwalter
Debra Cafaro
Mary Callahan Erdoes
Kathy Calvin
Susan Cameron
Sharon Camp
Lisa Caputo
Leanne Caret
Sandra Carpenter
Jovita Carranza
B. Jill Carroll
Cynthia Carroll
Jessica Faye Carter
Jean Case
Martina Castro
Safra Catz
Makana Risser Chai
Julie Chaiken
Emily Chamlee-Wright
Elaine Chao
Eva Chen
Jane Chen
Audrey Cheng
Peggy Cherng
Jennifer Childs-Roshak
Maureen Chiquet
Mallika Chopra
Sherry Chris
Alice Min Soo Chun
Adriana Cisneros
Liz Claiborne
Jamie Rappaport Clark
Teresa Clarke
Mandy Cohen
Kat Cole
Pamela Colloff
Cheryl Contee
Kellyanne Conway
Linda Cook (businesswoman)
Tracy Britt Cool
Barbara Corcoran
Catherine F. Corrigan
Trudy Coxe
Tanny B. Crane
Waleska Crespo Rivera
Debra Crew
Mary C. Crowley
Anna Currence
Weili Dai
Lucy Danziger
Leslee Dart
Lisa Davis (businesswoman)
Pamela Meyer Davis
Susan Davis (author)
Portia de Rossi
Morgan DeBaun
Barbara Ann DeBuono
Giadha DeCarcer
Jane Delgado
Mahisha Dellinger
Vishakha N. Desai
Sue Desmond-Hellmann
Cherylanne DeVita
Sheri L. Dew
Melissa Di Donato
Rhonda Dibachi
Katy Digovich
Mary Dillon (businesswoman)
Amy Domini
Krista Donaldson
Heyward Donigan
Dana Dornsife
Denise Drace-Brownell
Helen Dragas
Darienne Driver
Shar Dubey
Donna Dubinsky
Nancy Dubuc
Nina Dudnik
Deborah Dugan
Eliza Dushku
Gretchen Dykstra
Ellie Dylan
Melissa Dyrdahl
Esther Dyson
Lisa Dyson
Nneka Egbujiobi
Susan M. Elliott
Sarah Kate Ellis
Caroline Ellison
Lynn Elsenhans
Ann E. Elsner
Crystal R. Emery
Kerstin Emhoff
Mica Endsley
Royan Engel
Susan E. Engel
Cathy Engelbert
Amy Entelis
Hafize Gaye Erkan
Melinda Estes
Susan Estes
Judith Estrin
Joni Evans
Jessica Ewing
Daisy Expósito-Ulla
Caterina Fake
Lizanne Falsetto
Lisa Falzone
Suelyn Farel
