bigram,count
"('new', 'york')",677
"('united', 'state')",361
"('vice', 'president')",268
"('board', 'director')",250
"('chief', 'executive')",221
"('high', 'school')",190
"('executive', 'officer')",177
"('president', 'ceo')",173
"('powerful', 'woman')",168
"('york', 'city')",166
"('los', 'angeles')",136
"('first', 'woman')",115
"('board', 'member')",100
"('white', 'house')",100
"('business', 'school')",99
"('state', 'university')",98
"('named', 'one')",97
"('american', 'businesswoman')",95
"('bachelor', 'degree')",95
"('hall', 'fame')",95
"('york', 'time')",94
"('san', 'francisco')",94
"('member', 'board')",90
"('harvard', 'business')",88
"('president', 'chief')",83
"('non', 'profit')",80
"('advisory', 'board')",77
"('also', 'served')",76
"('real', 'estate')",75
"('executive', 'director')",74
"('executive', 'vice')",74
"('woman', 'business')",70
"('served', 'board')",70
"('wall', 'street')",69
"('served', 'president')",68
"('founder', 'ceo')",65
"('first', 'female')",64
"('george', 'bush')",62
"('first', 'lady')",59
"('senior', 'vice')",57
"('new', 'jersey')",57
"('board', 'trustee')",56
"('master', 'degree')",56
"('two', 'year')",55
"('became', 'president')",54
"('north', 'carolina')",53
"('public', 'health')",53
"('born', 'american')",53
"('social', 'medium')",52
"('leon', 'guerrero')",52
"('serf', 'board')",51
"('school', 'business')",51
"('african', 'american')",51
"('health', 'care')",50
"('began', 'career')",49
"('harvard', 'university')",49
"('chief', 'operating')",49
"('operating', 'officer')",49
"('university', 'california')",48
"('street', 'journal')",47
"('year', 'later')",47
"('economic', 'development')",47
"('earned', 'bachelor')",47
"('one', 'top')",46
"('barack', 'obama')",46
"('donald', 'trump')",46
"('cum', 'laude')",45
"('year', 'old')",45
"('columbia', 'university')",45
"('fortune', 'magazine')",44
"('three', 'year')",43
"('washington', 'post')",43
"('fast', 'company')",42
"('business', 'administration')",42
"('hillary', 'clinton')",42
"('university', 'pennsylvania')",42
"('received', 'bachelor')",42
"('achievement', 'award')",42
"('became', 'first')",42
"('presidential', 'campaign')",42
"('became', 'ceo')",41
"('business', 'executive')",41
"('law', 'school')",41
"('advisory', 'council')",41
"('university', 'school')",40
"('small', 'business')",40
"('stanford', 'university')",39
"('woman', 'world')",38
"('leadership', 'award')",38
"('state', 'department')",38
"('u', 'million')",38
"('st', 'louis')",38
"('joined', 'board')",37
"('american', 'business')",37
"('two', 'child')",37
"('fortune', 'company')",37
"('appointed', 'president')",37
"('public', 'policy')",37
"('york', 'university')",37
"('business', 'journal')",36
