token,frequency
president,1271
new,1225
business,1113
board,1048
school,1040
first,964
executive,778
state,775
director,747
one,747
award,736
york,683
time,673
served,651
national,619
member,619
named,547
became,543
chief,478
college,473
united,446
program,444
received,443
science,428
health,427
child,426
worked,426
work,423
world,422
public,421
foundation,419
technology,404
million,390
two,380
officer,377
service,377
including,372
later,363
degree,358
center,356
international,352
magazine,348
family,348
vice,345
book,344
global,340
founded,339
group,331
position,329
art,328
city,324
high,320
medium,320
leadership,318
research,313
organization,310
founder,310
education,303
inc,303
former,295
development,290
u,289
america,289
would,287
management,286
january,284
people,284
california,277
council,277
role,277
institute,272
may,271
list,268
committee,267
bush,266
based,263
joined,263
campaign,263
career,262
association,258
harvard,256
washington,254
law,251
husband,250
life,249
september,248
chair,246
social,243
community,241
since,239
said,238
began,237
system,237
june,235
november,234
well,232
appointed,232
married,231
product,231
october,225
house,225
april,223
policy,223
department,218
working,217
entrepreneur,216
attended,216
father,215
three,214
announced,212
senior,210
industry,210
graduated,209
march,209
general,207
december,202
brand,202
student,201
mother,201
published,198
powerful,198
february,197
firm,196
following,196
august,194
made,193
leader,193
medical,191
chairman,191
show,191
film,189
project,188
daughter,188
top,187
support,186
marketing,185
moved,185
advisory,185
corporation,184
several,183
election,182
earned,182
july,182
fortune,182
led,179
engineering,178
television,177
administration,177
journal,176
part,175
series,174
issue,174
fund,174
office,174
job,173
bachelor,173
academy,173
john,172
team,171
female,170
age,170
early,170
financial,169
billion,168
raised,168
care,167
called,167
held,166
best,165
economic,165
post,164
forbes,162
bank,161
girl,160
san,160
many,158
government,158
day,157
digital,155
home,155
investment,155
young,153
study,152
serf,152
news,152
network,149
society,149
sale,149
corporate,146
fashion,146
operation,146
secretary,145
country,143
employee,143
political,143
author,142
boston,142
right,142
division,140
agency,140
non,139
initiative,139
food,139
left,138
businesswoman,138
history,138
presidential,138
trump,138
press,137
number,137
los,137
hall,137
manager,136
took,136
angeles,136
master,135
republican,135
black,135
four,135
fellow,134
obama,134
included,134
governor,134
online,133
museum,133
created,132
launched,132
strategy,132
parent,131
communication,130
district,130
market,130
massachusetts,130
interview,130
design,129
george,129
texas,128
partner,127
white,127
chicago,127
graduate,126
cancer,126
help,126
advisor,125
among,125
good,125
change,125
major,124
become,124
isbn,123
