trigram,frequency
new_york_city,166
chief_executive_officer,144
new_york_time,93
executive_vice_president,69
senior_vice_president,57
chief_operating_officer,48
wall_street_journal,47
president_chief_executive,32
president_barack_obama,30
world_economic_forum,29
earned_bachelor_degree,28
powerful_woman_world,27
woman_hall_fame,27
non_profit_organization,25
university_southern_california,24
received_bachelor_degree,22
boy_girl_club,21
united_state_senate,20
president_george_bush,19
lifetime_achievement_award,19
university_california_berkeley,18
council_foreign_relation,18
member_board_trustee,18
born_american_businesswoman,17
fortune_powerful_woman,17
list_powerful_woman,17
received_honorary_doctorate,16
phi_beta_kappa,16
world_war_ii,16
united_state_department,16
crain_new_york,16
massachusetts_general_hospital,15
creative_people_business,15
john_hopkins_university,15
powerful_woman_business,15
one_powerful_woman,14
private_equity_firm,13
earned_bachelor_science,13
carnegie_mellon_university,12
doctor_humane_letter,12
across_united_state,12
magna_cum_laude,12
received_bachelor_art,12
world_powerful_woman,12
forbes_list_world,11
robert_wood_johnson,11
new_district_includes,11
president_bill_clinton,10
