Sviatlana Tsikhanouskaya
Olga Abramova (politician)
Alena Anisim
Natallia Eismant
Maria Kalesnikava
Hanna Kanapatskaya
Tatsiana Karatkevich
Natalya Kochanova
Alena Kupchyna
Tamara Manukova
Natalia Petkevich
Ivonka Survilla
Veronika Tsepkalo
Sviatlana Tsikhanouskaya
Lidia Yermoshina
Boryana Straubel
Sasha Bezuhanova
Kristalina Georgieva
Irina Bokova
Maria Bakalova
Antoaneta Vassileva
Atidzhe Alieva-Veli
Mariya Gabriel
Hristina Hristova
Filiz Hyusmenova
Iliana Iotova
Iliana Ivanova
Rumiana Jeleva
Marusya Ivanova Lyubcheva
Eva Maydell
Iskra Mihaylova
Nadezhda Neynsky
Monika Panayotova
Antonia Parvanova
Tsvetelina Penkova
Bilyana Raeva
Lydia Shouleva
Jana Bobošíková
Zuzana Brzobohatá
Andrea Češková
Dita Charanzová
Martina Dlabajová
Věra Flasarová
Markéta Gregorová
Jana Hybášková
Kateřina Konečná
Radka Maxová
Alena Palečková
Zuzana Roithová
Nina Škottová
Michaela Šojdrová
Veronika Vrecionová
Gabriella Bábi-Szottfried
Mónika Bartos
Ildikó Bene
Éva Brájer
Bernadett Budai
Judit Csabai (politician)
Katalin Cseh
Katalin Csöbör
Judit Czunyi-Bertalan
Emese Danks
Ibolya Dávid
Márta Demeter
Klára Dobrev
Dóra Dúró
Ilona Ékes
Katalin Ertsey
Erika Gulyás
Szófia Havas
Éva Hegedüs
Rózsa Hoffmann
Krisztina Hohn
Lívia Járóka
Monika Karas
Virág Kaufer
Zsófia Koncz
Magdolna Lakatos-Sira
Mónika Lamperth
Erzsébet Lanczendorfer
Boglár László
Ildikó Lendvai
Szilvia Lengyel
Andrea Mágori
Anna Magyar
Márta Mátrai
Erzsébet Menczer
Ágnes Molnár
Anna Nagy
Ágnes Osztolykán
Monika Rónaszéki-Keresztes
Erzsébet Schmuck
Gabriella Selmeczi
Erika Szabó
Rebeka Szabó
Tímea Szabó
Tünde Szabó
Annamária Szalai
Melinda Széky-Sztrémi
Bernadett Szél
Zsuzsanna Szelényi
Klaudia Szemereyné Pataki
Katalin Szili
Erika Szűcs
Márta Talabér
Éva Tétényi
Ágnes Vadai
Judit Varga (politician)
Mária Wittner
Raisa Apolschi
Monica Babuc
Ludmila Belcencova
Elena Bodnarenco
Valentina Buliga
Iuliana Cantaragiu
Svetlana Căpățînă
Svetlana Cebotari
Valentina Cușnir
Lilia Dabija
Viorica Dumbrăveanu
Elena Frumosu
Corina Fusu
Natalia Gavrilița
Natalia Gherman
Stella Gherman
Ruxanda Glavan
Valentina Golban
Zinaida Greceanîi
Stela Grigoraș
Lora Grosu
Eva Gudumac
Ana Guțu
Lidia Guțu
Evghenia Guțul
Ludmila Guzun
Victoria Iftodi
Oxana Ionova
Violeta Ivanov
Stella Jantuan
Ala Mândâcanu
Veronica Mihailov-Moraru
Georgeta Mincu
Ala Nemerenco
Liliana Nicolaescu-Onofrei
Liliana Palihovici
Maya Parnas
Riorita Paterău
Vitalia Pavlicenco
Lilia Pogolșa
Svetlana Popa
Tatiana Potîng
Silvia Radu (politician)
