,articles
0,"Jana Bobošíková (born 29 August 1964) is a Czech politician. In the 2004 European Parliament election she was elected a Member of the European Parliament for the Independent Democrats and remained unaffiliated in the European Parliament. In the 2008 and 2013 presidential elections she unsuccessfully ran for the office as President of the Czech Republic. She founded Politika 21 in 2006 and the Suverenita party in 2009.


== Early life ==
She was a member of the Socialist Union of Youth. In 2012, Czech media noticed that in a TV news report from June 1986, she passed a bouquet of roses to President Gustáv Husák, the Secretary-General of the Communist Party of Czechoslovakia. She later told Czech Television that it had been ""an honor"".In 1987 she graduated with a master's degree in economics.


== Career ==
From 1989, Bobošíková presented TV programmes on politics and economics, spending most of her television career at Ceska Televize (CT). She was appointed Head of News in late 2000, and played a significant role in the Czech TV crisis of January 2001, following which she resigned from CT and moved to TV Nova, where she worked until 2004.
She had already acted as Adviser to the Chairman of the Chamber of Deputies of the Parliament of the Czech Republic from 1999, and in 2004 continued her move into politics by standing for the European Parliament, elected on Vladimír Železný's Independent Democrats ticket. She was a Member of the European Parliament (MEP) until 2009. She sat on the Committee on Regional Development, was a substitute for the Committee on Economic and Monetary Affairs, and a member of the Delegation to the EU-Ukraine Parliamentary Cooperation Committee.
In 2009, after finishing her term as an MEP, she established her own party, Sovereignty. Bobošíková presented her candidacy in 2008 and 2013, for the President of the Czech Republic. In the 1st round of the 2013 election, she placed 9th with 2.39% (123,171 votes), and did not qualify for the second round.


== References ==


== Notes ==


== External links ==

Official website 
Official YouTube Channel of Jana Bobošíková
Suverenita's Web page
Jana Bobošíková passing a bouquet of roses to Secretary General of KSČ comrade Gustáv Husák.
Personal profile of Jana Bobošíková in the European Parliament's database of members
Declaration (PDF) of financial interests (in Czech)"
1,"Zuzana Brzobohatá (born 11 July 1962) is a Czech Social Democratic Party politician. She sat as a Member of the European Parliament for the Czech Republic from 2009 to 2014.After graduating from the Brno University of Technology, Brzobohatá worked as an IT specialist and a teacher. Having been active in local and regional politics from 1998, she sat in the Chamber of Deputies of the Parliament of the Czech Republic from November 2008 until July 2009, when she took up her seat in the European Parliament.


== Footnotes =="
2,"Andrea Češková (born 18 October 1971) is a Czech Civic Democratic Party politician. She was a Member of the European Parliament for the Czech Republic between 2009 and 2014.After graduating in law from Charles University in Prague, Češková served as a councillor in Prague from 1998 to 2009, when she took up her seat in the European Parliament.


== Footnotes =="
3,"Dita Charanzová  (born 30 April 1975, Prague) is a Czech politician, manager, consultant and former senior civil servant, focusing on European Union issues. She has been a Member of the European Parliament (MEP) since July 2014 and it's Vice-President since July 2019.  


== Education and professional career ==
Dita Charanzová graduated from the University of Economics in Prague and from the Diplomatic School of Spain in Madrid. In 2001, she obtained a doctorate (Ph.D.) from the Faculty of International Relations at the University of Economics in Prague.
Charanzová worked in the diplomatic service of the Czech Republic for eight years, four of which she was posted in the Permanent Representation of the Czech Republic to the EU. During the Czech Presidency of the EU in 2009, she chaired the Trade Policy Committee of the Council of the European Union. Between 2000 and 2001, she participated in an EU project which was focused on the reform of public governance in the Czech Republic. 
Prior to entering politics, she worked in Strasbourg as a TV Studio Manager during the sessions of the Parliamentary Assembly of the Council of Europe. 


== Political career ==
In 2014, Charanzová ran for the elections to the European Parliament as an independent (non-party) candidate on the 3rd place from the list of candidates for ANO 2011 and she has been elected with a total number of 8,356 preferential votes (i.e. 3.41% of total votes).She defended her mandate five years later when she led, as an independent, the list of the ANO movement. In the European Parliament elections in 2019, she obtained 53,924 preferential votes.
In July 2019, she was elected the Vice President of the European Parliament. In January 2022, he was re-elected Vice President for the second half of the European Parliament term.
Dita Charanzová is a member of the Renew Europe, a political group in the European Parliament. She is the coordinator for Renew Europe in the Committee on the Internal Market and Consumer Protection (IMCO).
Charanzová focuses primarily on digital agenda, consumer protection, the internal market and international trade in the European Parliament.
She is well known for having a significant role in the negotiations on the Digital Services Act, the European Electronic Communications Code, the General Product Safety Regulation and the Web Accessibility Directive. Charanzová has also held numerous roles in relations to European automotive regulation.
As a vice-president of the European Parliament she is responsible for cybersecurity, relations with national parliaments, and parliamentary relations with North and South America. She is also Chancellor of the European Parliament's annual European Citizen's Prize.
Dita Charanzová has been actively involved in child protection online.
From 2018 until May 2023, she was elected and served as the Vice President of the Alliance of Liberals and Democrats for Europe (ALDE) party, a European Political party.
In June 2023, she stated that she would not be running for the European Parliament elections in 2024 under the ANO movement. She stated her idisagreement with the conservative and nationalist direction of the ANO Movement as the reason. 


== Other activities ==
European Council on Foreign Relations (ECFR), Member
Board of Directors of the Aspen Institute, Member
Board of Trustees, World Law Foundation


== Recognition and awards ==
In 2019, she received an award from the European Emergency Number Association (EENA) for introducing into EU legislation, a mandatory ""Reverse 112"" system (a public warning system for mobile phones).
She was also commended by European consumer associations for successfully introducing into EU legislation, a cap on price of ""intra-EU calls"" (long-distance surcharges between European countries) and thus reducing the cost of prices for consumers in the European Union.
Charanzová has been awarded the ""MEP Award"" three times (2023, 2020, 2016) for her activity in the internal market, consumer protection and in the field of human rights.
In 2016, Mrs. Charanzová received the ""New Europe 100"".  In 2017, Politico listed Dita Charanzová as one of the 41 most influential MEPs. In the same year, Politico also ranked her among the top 20 women who shape Brussels, and she was placed in the same ranking in 2018 and 2020.
In 2023, the EU Matrix server declared her the sixth most influential Member of the European Parliament out of all 705 members.


== Personal life ==
Charanzová has two daughters. She speaks fluent English, French, Spanish and Russian. 


== Publications ==
Charanzová is the author of various publications that deal with European issues. These include: 

Charanzová, Dita. Surovinové strategie Evropské unie: globální a domácí výzvy.
Charanzová, Dita. Salvador de Madariaga. Velcí Evropané.


== External links ==
(in English) European Parliament Webpage
(in Czech) Personal website


== References =="
4,"Martina Dlabajová (born 26 July 1976) is a Czech businesswoman and international consultant, former president of the Regional Chamber of Commerce of the Zlín Region (2012 – 2014). Since 2014 she has been a Member of the European Parliament.


== Education and career ==
From 1990 to 1994 Dlabajová attended the grammar school Zlín-Lesni ctvrt and then from 1995 to 2000 she studied political science with a specialization in the European Union at the University of Padua (Dott.).For many years Dlabajová was the coordinator of the Office of the Zlín Region in Brussels. At the end of 2012, was elected the president of the Regional Chamber of Commerce of the Zlín Region. She also founded and managed several companies in the Czech Republic, Slovak Republic and Italy.
Dlabajová speaks Italian, English, German, Spanish and Russian.


== Member of the European Parliament, 2014–present ==
In the 2014 elections to the European Parliament Dlabajová stood as a non-party candidate for the movement ANO 2011 and succeeded with 4789 number of preferential votes. She was appointed as a Vice-Chair in the Committee on Budgetary Control (CONT), a member in the Committee on Employment and Social Affairs (EMPL) and substitute in the Committee on Transport and Tourism. In 2022, she joined the Special Committee on the COVID-19 pandemic.In addition to her committee assignments, Dlabajová initiated the Parliamentary Intergroup for Creative Industries and was appointed its Vice-President. She is also part of the European Parliament Intergroup on Small and Medium-Sized Enterprises (SMEs).In December 2020, Dladbajová received the Digital Single Market award at The Parliament Magazine's annual MEP Awards.


== The project WhyNot? / ProcByNe? ==
As a new MEP, the first thing she thought of was to start concrete projects which would have a direct and immediate impact on European citizens, especially young people. Taking into account the concerning rates of youth unemployment, she decided to launch her personal traineeship programme ""PročBynNe?"" - ""Why not?"". Putting effectively into use the business and academic network that she knows well from her previous profession, she offers around 12 traineeships per year to motivated young people to enable them to strive for their goals as well as to give them assurances that if they want to achieve something in life, they can do it. The selection of youngsters (aged 18–25) is not based on the highest qualifications but on the biggest motivation to do the job.  The traineeships can vary from shadowing for two weeks the Minister of Finance to learning the best recipes of the top chef of the country or mentoring by master craftsmen. A separate website was launched introducing the project - www.procbyne.cz. A further idea is to bring this traineeship scheme from the Czech Republic to other EU countries – using a similar young person-MEP-business/academia formula. It is a symbolic act to help young people to get their first job experience and to show that even by small actions, we can make a difference.


== Other activities ==
European Liberal Forum, Member of the Board of DirectorsDlabajová is an active member of the Rotary Club Zlín (its president 2013 - 2014. She was also a director of a public benefit corporation Zlinsky zamek. She is an avid reader and owns one of the largest collections of publication of the book The Little Prince in Central Europe.


== References =="
5,"Věra Flasarová (born 19 December 1952 in Ostrava) is a Czech politician and Member of the European Parliament for the Communist Party of Bohemia and Moravia; part of the European United Left–Nordic Green Left party group in the European Parliament.
She was elected initially in the period 2004–2009, but she entered again the European Parliament in January 2014 replacing Vladimír Remek who became the Czech ambassador to Moscow.


== References =="
6,"Markéta Gregorová (born 14 January 1993) is a Czech politician. She was elected as a Member of the European Parliament in the 2019 election, representing the Czech Pirate Party. Gregorová serves as the Vice-Chair of the Delegation to the Euronest Parliamentary Assembly, and is a member of the Committee on International Trade and the Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation.


== Early work ==
Gregorová was the third-ranked candidate in the 2014 European Parliament election, but was not elected. She was the president of the European Pirate Party from December 2018.


== European Parliament ==


=== Election ===
Gregorová co-created the 2019 common electoral program for the European pirate parties that was signed in Luxembourg in February. She was elected as a Member of the European Parliament in the 2019 European Parliament election, as the second candidate on the Pirate Party list. Gregorová serves as the Vice-Chair of the Delegation to the Euronest Parliamentary Assembly, and is a member of the Committee on International Trade and the Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation.Among her priorities are transparency in negotiations of European Union free trade agreements such as the Transatlantic Trade and Investment Partnership (TTIP) and addressing EU involvement in international arms sales to war zones.


=== Committee assignments ===
Gregorová is a member of the following Committees of the European Parliament:
Delegation to the Euronest Parliamentary Assembly, Vice-Chair
European Parliament Committee on International Trade
Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation
Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee


== See also ==
European Neighbourhood Policy
Marcel Kolaja
Mikuláš Peksa


== References ==


== External links ==
 Media related to Markéta Gregorová at Wikimedia Commons
Markéta Gregorová on Czech Pirate Party website
Markéta Gregorová on the European Parliament website"
7,"Jana Hybášková (born 26 June 1965 in Prague) is a Czech politician and diplomat, who currently serves as the Ambassador of the European Union in Namibia. She served as a Member of the European Parliament for the SNK European Democrats (part of the European People's Party) from 2004 to 2009, and as the Ambassador of the European Union in Iraq from 2011 to 2015. She was the chair of the European Democratic Party (EDS) from 2008 to 2010.


== Biography ==
Hybášková graduated in Arabic at Charles University, earning a doctorate from the university's Faculty of Philosophy and Arts in 1989, and worked at the Foreign Ministry of Czechoslovakia and then the Czech Republic from 1991 to 1997. She was the Czech Ambassador to Slovenia from 1997–2001, and then briefly an adviser to the State Secretary for European Affairs, before becoming Ambassador to Qatar and Kuwait (2002–2004).
As a Member of the European Parliament, she was a member of the Committee on Foreign Affairs, a substitute on the Committee on Budgets and chairwoman of the European delegation for relations with Israel. She is also a member of the Steering Committee of the World Movement for Democracy. She has been critical of the Iranian government and President Mahmoud Ahmadinejad, and has advocated closer relations between Israel and Europe.She is a founding signatory of the Prague Declaration on European Conscience and Communism, and the co-organizer (with Senator Martin Mejstřík) of its preceding conference. She co-sponsored the European Parliament resolution of 2 April 2009 on European conscience and totalitarianism on behalf of the European People's Party.


== Decorations ==
Holder of the decoration 'Záslužný kříž ministra obrany ČR II stupně' (Cross of Merit of the Minister of Defence of the Czech Republic, Second Class)


== See also ==
2004 European Parliament election in the Czech Republic


== References ==


== External links ==

Personal profile of Jana Hybášková in the European Parliament's database of members
Declaration (PDF) of financial interests (in Czech)"
8,"Kateřina Konečná (born 20 January 1981) is a Czech politician, who has been a Member of the European Parliament representing the Czech Republic since 2013. Since 23 October 2021 she has been the leader of the Communist Party of Bohemia and Moravia (KSČM).


== Early life and education ==
Konečná was introduced to politics when she was young by her communist parents. Her father, Karel Konečný, worked as secretary for agriculture in Nový Jičín before 1989.Konečná graduated from Masaryk University's Department of Economics and Administration in 2003. In 2009 she received a degree in engineering from the University of Finance and Administration. In 2013 Konečná obtained a law degree from Masaryk University.


== Political career ==
In 2000, Konečná was a member of the five-member committee founding the Young Democrats party. In the 2002 Czech parliamentary election, she was elected to the Chamber of Deputies as a non-party candidate for the Moravian-Silesian Region electoral district, becoming the youngest member of parliament. In 2005, she joined KSČM and was re-elected in the 2006 elections. Konečná held the post of vice-chairman of the foreign affairs committee and was also vice-chairman of the environment committee. Within KSČM, she managed the department of the environment and cross-cutting department of youth.Konečná stood unsuccessfully for KSČM in the 2006 Czech municipal elections, for the Starý Jičín municipal council, but was elected to Nový Jičín city council in the 2010 elections. She defended her seat in 2014, 2018, and 2022.Before the 10th KSČM congress in Nymburk on 21 April 2018, Konečná unsuccessfully challenged Vojtěch Filip as leader of the party. Konečná held the post of vice-president until April 2021, when she resigned and was replaced by Milan Krajča. On 23 October 2021, Konečná was elected the first chairwoman of the Communist Party of Bohemia and Moravia, replacing the long-time chairman Vojtěch Filip.


== Member of the European Parliament ==
In 2004, shortly after the Czech Republic joined the EU and before the subsequent European Parliament elections, Konečná became a ""temporary MEP"" before the elected Czech MEPs took up their mandate. From 2004 to 2014, she was also included in the Czech delegation to the Parliamentary Assembly of the Council of Europe (PACE). In the 2014 European Parliament elections, Konečná headed the KSČM list and was elected with 28,154 preferential votes. She was re-elected to the parliament in May 2019.
Konečná is a member of the Committee on the Internal Market and Consumer Protection, the Committee on Transport and Tourism and the Delegation to the Euronest Parliamentary Assembly. She is also a substitute member of the Committee on the Environment, Public Health and Food Safety, as well as the Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee.


=== Azerbaijani relations ===
Since 2014, Konečná has been a member of the Delegation to the EU-Armenia Parliamentary Partnership Committee, EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee.
Konečná is mentioned in the Transparency International report revealing the details of the Azerbaijan Laundromat money-laundering scandal. The report noted that she took a pro-Azerbaijan approach in the European Parliament when MEPs criticised Azerbaijan's human rights record in a joint motion for a resolution, titled ""Persecution of Human Rights defenders in Azerbaijan"".In 2013, when Konečná was a member of the Czech Republic-Azerbaijan friendship group, she was among the supporters of the resolution ""on the 21st anniversary of the Azerbaijan massacre"". The resolution was widely criticised on the grounds that it was ""biased and did not contribute to the fair relations of the Czech Republic with the region of the South Caucasus"". As a member of PACE, Konečná voted against the motion of resolution on political prisoners in Azerbaijan, which was not adopted.


== Personal life ==
Konečná married businessman Zdenek Trefil on 17 August 2008. She gave birth to a son named Šimon on 22 October 2015.


== References =="
9,"Radka Maxová (born 2 December 1968) is a Czech politician who was elected as a Member of the European Parliament in 2019.


== Political career ==
In parliament, Maxová has been serving on as the vice-chair of the Committee on Women’s Rights and Gender Equality (since 2022), as a member of the  Special Committee on foreign interference in all democratic processes in the European Union, including disinformation (since 2021) and as a substitute of the Committee on the Environment, Public Health and Food Safety.In addition to her committee assignments, Maxová is part of the Parliament's delegations to the EU-Chile Joint Parliamentary Committee; to the Euronest Parliamentary Assembly and to the EU-Moldova Parliamentary Association Committee .She is also a member of the European Parliament Intergroup on LGBT Rights, the European Parliament Intergroup on Disability and a supporter of the MEP Alliance for Mental Health.In October 2020 she left ANO 2011 and joined Czech Social Democratic Party as an independent.


== References =="
