,articles
0,"Gabriella Bábi-Szottfried (née Gabriella Szottfried; born 1966) is a Hungarian politician, member of the National Assembly (MP) for Vác (Pest County II) from 2010 to 2014. She was a member of the Committee on Youth, Social, Family, and Housing Affairs since 14 May 2010 and member of the Committee on Health Affairs since 14 February 2011. She was also mayor of Sződliget between 2006 and 2010.


== Personal life ==
Bábi-Szottfried has two daughters, Zsófia and Anna and a son, Levente.


== References =="
1,"Mónika Bartos (born 24 December 1975) is a Hungarian politician, member of the National Assembly (MP) from Regional List of Hajdú-Bihar County between 2010 and 2014, and the Fidesz–KDNP national list since 2014.She was appointed a member of the Committee on Sustainable Development on 14 May 2010, serving in this capacity until 7 May 2018. Following that she became vice-chairperson of the Committee on Budgets.


== References =="
2,"Dr. Ildikó Bene (formerly Dr. Ildikó Jánosi-Bene; born 21 August 1962) is a Hungarian physician, internist and politician, member of the National Assembly (MP) for Szolnok (Jász-Nagykun-Szolnok County Constituency IV then I) between 2010 and 2018. She was a member of the Committee on Youth, Social, Family, and Housing Affairs and Committee on Health since 14 May 2010. Bene also served as Deputy Chairman of the Committee on Health since 14 February 2011. She was vice-chairperson of the Welfare Committee from 2014 to 2018She was Director General of the Hetényi Géza Hospital of Jász-Nagykun-Szolnok County from 2010 to 2014.


== Personal life ==
She is married to Csaba Jánosi. They have two sons, Zsolt and Mihály.


== References =="
3,"Éva Brájer (born 1962) is a Hungarian politician, member of the National Assembly (MP) from Fejér County Regional List between 2010 and 2014. She was a member of the Committee on Education, Science and Research from 14 May 2010 to 5 May 2014.


== References =="
4,"Bernadett Budai (née Bernadett Bugyik) (born 31 March 1979) is a Hungarian politician who served as spokeswoman of the Hungarian government from June 2007 to November 2009. She is the spokeswoman of the Hungarian Socialist Party. Budai lost her parliamentary seat on the 2010 Hungarian elections.


== References ==
Bernadett Budai's homepage"
5,"Judit Csabai (née Rácz; born 24 March 1947) is a Hungarian politician, a former member of the National Assembly between 1994–95 and 1998–2006. She represented Nyíregyháza (Szabolcs-Szatmár-Bereg County Constituency II) from 2002-06. Csabai served as Mayor of Nyíregyháza between 1994 and 2010. She was succeeded by Ferenc Kovács.
Her daughter, Judit, is a former freestyle swimmer, who competed at the Summer Olympics for her native country in 1988.


== References =="
6,"Katalin Cseh (born 29 June 1988) is a Canadian-born Hungarian physician and politician. She was elected as a Momentum Movement (part of the Renew Europe party group) Member of the European Parliament (MEP) in the 2019 parliamentary election.


== Early life and career ==
Katalin Cseh was born on 29 June 1988 in Montreal, Quebec, Canada. Her early education was at Toldy Ferenc High School in Budapest, Hungary. She graduated from Semmelweis University. In 2015, she obtained a master's degree in Health Economics, Policy, and Law from Erasmus University Rotterdam. In the same year, Cseh co-founded Momentum Movement group with nine others. The group campaigned against the Hungarian government's decision to bid for the 2024 Summer Olympics. They petitioned for a referendum on the issue and garnered more than 266,000 signatures. This resulted in the government withdrawing their bid.Momentum Movement became a centrist political party in March 2017. In August 2017, she was appointed to the governing board of the party. Cseh was a candidate for the party in the 2018 Hungarian parliamentary election. The party did not win any seats in parliament, and the governing board (including Cseh) resigned.


== European Parliament ==
Cseh stood as a candidate for Momentum Movement in the 2019 European parliamentary election. Led by Margrethe Vestager, she was also among the seven-strong ""Team Europe"" that the centrist Alliance of Liberals and Democrats for Europe Party picked to spearhead its pro-EU, liberal campaign ahead of the elections.Cseh was first on her party's list, and was elected as one of its two MEPs (the other being Anna Júlia Donáth) in Hungary. In the European Parliament, she is one of the eight vice-chairs of the Renew Europe political group. Cseh is a member of the Committee on Industry, Research, and Energy (since 2019) and the Subcommittee on Human Rights (since 2020). Since 2021, she has been part of the Parliament's delegation to the Conference on the Future of Europe.In addition to her committee assignments, Cseh is part of the parliament's delegation for relations with the United States. She is also a supporter of the European Parliament Intergroup on Anti-Corruption, the MEP Alliance for Mental Health and the MEPs Against Cancer group.In September 2022, Cseh was the recipient of the People's Choice: Covid-19 Response Award at The Parliament Magazine's annual MEP Awards.


== Political positions ==
In 2020, Cseh and Hilde Vautmans initiated an open letter, in which a group of 23 members of the Renew Europe group called on Josep Borrell to push for coordinated sanctions targeted at Chinese leaders and officials responsible for human rights violations in the Xinjiang re-education camps and in Hong Kong.


== References =="
7,"Katalin Csöbör (born 20 January 1965) is a Hungarian politician, member of the National Assembly (MP) for Miskolc (Borsod-Abaúj-Zemplén County Constituency I) since 2010. She was Deputy Mayor of Alsózsolca between 2010 and 2014.She was a member of the Committee on Human Rights, Minority, Civic and Religious Affairs from 14 May 2010 to 5 May 2014, the Committee on Foreign Affairs from 6 May 2014 to 7 May 2018, and European Affairs Committee since 6 May 2014.


== Personal life ==
She is married to György Mike. They have two sons, Pál and Martin.


== References =="
8,"Judit Czunyiné Bertalan (born 6 August 1974) is a Hungarian politician, member of the National Assembly (MP) for Kisbér then Komárom (Komárom-Esztergom County Constituency III) since 2014. She was a member of the Committee on Youth, Social, Family, and Housing affairs from 14 May 2010 to 14 February 2011.She was appointed Director of the Komárom-Esztergom County Government Office on 1 January 2011. She became Secretary of State for Education on 15 June 2014, replacing Rózsa Hoffmann. She lives in Bokod with her husband and two children.Following several rallies and protests against the Orbán cabinet's education reforms in February 2016, when teachers and students criticized the centralized structure and demanded a free choice of textbooks and reduction in teaching hours, Czunyiné Bertalan was dismissed as state secretary by Minister of Human Resources Zoltán Balog. At the same, she was appointed Government Commissioner for the Digital Content Development.
After the 2018 parliamentary election, she became a vice-chairperson of the Justice Committee. Following the 2022 parliamentary election, Minister Tibor Navracsics appointed her government commissioner responsible for the economic development of Western Transdanubia in May 2022.


== Personal life ==
She is married to Gábor Czunyi. They have two sons, Gábor and Gergő.


== References =="
9,"Emese Danks is a Hungarian politician who served as spokeswoman of the Hungarian government from 1 August 2006 to 5 March 2007. She was the spokeswoman of the Tesco-Global Áruházak Zrt. between 2002 and 2006.


== External links ==
Korrupedia"
