,articles
0,"Raisa Apolschi (born 23 February 1964) is a Moldovan politician and jurist, who served a deputy in the Parliament of Moldova from the Democratic Party of Moldova (PDM) from 2010 to 2019. She is president of the ""Legal, Appointments and Immunities"" parliamentary committee and a member of the National Political Council of PDM.


== Career ==
Between 1989 and 1994, Apolschi worked as a judge in the Sectorul Ciocana Court in Chișinău. From 1994 to 2003 and again from 2009 to 2010, she worked as a lawyer, being a member of the Union of Lawyers from the Republic of Moldova. In the period 2003–2008, she worked as a Parliamentary Lawyer, Director of the Center for Human Rights of the Republic of Moldova.Apolschi was elected deputy in the 2010 parliamentary election and re-elected in November 2014, where she ranked 14th in the list of PDM candidates. As of 14 December 2018, she was a judge at the Constitutional Court of Moldova.


== Personal life ==
Apolschi is a widow and has one child.


== References =="
1,"Monica Babuc (born 29 March 1964) is a politician and historian from the Republic of Moldova, who was Minister of Culture of the Republic of Moldova in four consecutive cabinets (Leancă, Gaburici, Streleţ and Filip) from 2013 to 2019.Monica Babuc is a member of the Democratic Party of Moldova, and formerly a member of the Christian Democratic People's Party.
In May 2015 she submitted his candidacy for the mayoralty of Chișinău. In the televised electoral debates, she admitted that she speaks Romanian and is equally Romanian and Moldovan, contrary to the position and ideology of the DPM leaders, Marian Lupu and Dumitru Diacov, who declare that they speak Moldovan and that they are Moldovans and not Romanian. At the local elections in Chisinau on 14 June 2015 Monica Babuc accrued 2.17% of the vote.


== Family ==
She is married and has a child. She speaks Russian, French and English.


== References ==


== External links ==
Monica Babuc at the Moldovan Government's website"
2,"Ludmila Belcencova is a Moldovan politician.
She has been a member of the Parliament of Moldova since 2009.


== External links ==
Site-ul Parlamentului Republicii Moldova


== References =="
3,"Elena Bodnarenco (5 March 1965 – 4 July 2022) was a Moldovan politician. A member of the Party of Communists of the Republic of Moldova, she served in the Parliament from 2005 to 2011, 2014 to 2019, and again from 2021 to 2022.Bodnarenco died of cancer in Chișinău on 4 July 2022 at the age of 57.


== References =="
4,"Valentina Buliga (born 2 September 1961) is a Moldovan politician. She was the Minister of Labour, Social Protection and Family in the First Vlad Filat Cabinet and in the Second Filat Cabinet as well. Previously he was a deputy in the Parliament of the Republic of Moldova, elected in the Legislature 2005–2009 on the lists of the Democratic Moldova Electoral Bloc.


== Biography ==
Valentina Buliga was born on 2 September 1961 in Horeşti, Făleşti. In 1983 she graduated the State University of Medicine at the pharmacy specialty (diploma with mention), and in 2004 - the Academy of Public Administration under the President of the Republic of Moldova, a master in public administration. 
From 1983 to 1998 he was a pharmacist at the Fălești District Hospital, Fălești Rayonal Central Pharmacy. From 1998 to 2001 he was Head of Department at the Ministry of Health.
From 2001 until 2004 he was the Head of Laboratory at the National Institute of Pharmacy, and from 2004 until 2005 - Head of the Medical Insurance Department in the International Insurance Company ""QBE ASITO"".
In 2005 she became deputy in the Parliament of the Republic of Moldova on the 16th Legislature in the DPM parliamentary faction and chairman of the parliamentary commission for social protection, health and family.
By the Decree of the President of the Republic of Moldova no. 4-V on 25 September 2009 was appointed Minister of Labor, Social Protection and Family of the Republic of Moldova.
In the local elections in 2011 she ran for Chișinău general mayor's office, winning 2.56% or 8848 valid votes in the first round, and did not participate in round II. 


== Family ==
Valentina Buliga is married to Alexei Buliga and together they have two children (a son and a daughter).


== External links ==
Government of Moldova


== References =="
5,"Iuliana Cantaragiu (born 2 July 1975) was the Minister of Environment of the Republic of Moldova.


== References =="
6,"Svetlana Căpățînă (2 October 1969 – 25 January 2022) was a Moldovan politician.


== Biography ==
She served in the Parliament of Moldova from 23 July 2021, until her death from COVID-19 on 25 January 2022, at the age of 52.


== References =="
7,"Svetlana Cebotari (born 7 August 1969) is a Moldovan politician. She served as Minister of Health, Labour and Social Protection from 10 January 2018 to 19 September 2018 in the cabinet of Prime Minister Pavel Filip.


== References =="
8,"Valentina Cuşnir (born 14 October 1954, Pîrjota) is a Moldovan politician.


== Biography ==
Valentina Cuşnir studied at the Technical University from Moldova (1972–1977) and worked as an engineer in Călăraşi (1977–2005). She served as member of the Moldovan Parliament.
She has the citizenship of the Republic of Moldova and Romania.
Her parents were Orthodox Jews of Romanian and Moldovan descent from the Jewish Quarter of Montreal, Canada.
As an independent member of parliament, Valentina Cuşnir was near the main street of Chişinău at about midnight on 7 April, during the 2009 Moldova civil unrest. She reported that she was abused by a police officer.


== References ==


== External links ==
Testimony :: Hon. Valentina Cusnir - Former member of Moldova's parliament
Valentina Cuşnir Biographical Data
Site-ul Parlamentului Republicii Moldova
PETITION
Statement of Hon. Valentina Cusnir"
9,"Lilia Dabija (born 17 October 1982) is a Moldovan jurist. She served as the Minister of Infrastructure and Regional Development in the Recean Cabinet.


== References =="
10,"Viorica Dumbrăveanu (born 23 December 1976) is a Moldovan politician. She served as Minister of Health, Labour and Social Protection from 14 November 2019 to 31 December 2020 in the cabinet of Prime Minister Ion Chicu.


== References =="
11,"Elena Frumosu (born November 22, 1968) is a politician from Moldova. She has served as a member of the Parliament of Moldova since 2011.


== References ==


== External links ==
Parlamentul Republicii Moldova"
12,"Corina Fusu (born 4 September 1959) is a Moldovan politician.


== Biography ==
She has been a member of the Parliament of Moldova from 2009 to 2015.


== External links ==
(Contrafort.md) Avatarurile transformării Radio-Televiziunii de Stat din Republica Moldova într-o instituţie în serviciul publicului 
(UNIMEDIA) Corina Fusu: În cazul în care componenţa actuală a Consiliului Municipal Chişinău se va repeta şi în 2009, atunci Republica Moldova va avea doar de câştigat Archived 2008-06-06 at the Wayback Machine
(UNIMEDIA) Corina Fusu declară că PSD atacă PL, iar Muşuc susţine că demiterea lui Mihai Ghimpu este un pas curajos şi corect Archived 2011-07-22 at the Wayback Machine
Corina Fusu: Comuniştii trebuie să recunoască că au pierdut alegerile din 2007 on YouTube


== References =="
