,articles
0,"Ewa Maria Janik (born 19 December 1948) is a Polish political figure who served in the national Parliament (Sejm) from September 1997 to November 2007. Ewa Janik served as a Mayor of Częstochowa from 1998 to 2000.
A native of the historic southern city of Częstochowa, formerly the capital of Częstochowa Voivodeship and, since 1999, a part of Silesian Voivodeship, Ewa Janik is a member of the Democratic Left Alliance and was initially elected to the Sejm in the Polish parliamentary election of 1997.  She was re-elected in 2001 and, in the election of 2005, received 6077 votes in Częstochowa district 28. She did not stand for re-election in 2007.


== See also ==
Members of Polish Sejm 2005–2007


== External links ==
Ewa Janik at the Sejm website (includes declarations of interest, voting record and transcripts of speeches)"
1,"Bogna Joanna Janke (born 9 July 1973 in Białystok) is a Polish journalist and politician, Secretary of State at the Chancellery of the President of the Republic of Poland (2021–2022), ambassador of Poland to Brazil (since 2023).


== Life ==
Janke grew up in Olsztyn. In 1997, she finished German studies at the University of Warsaw. She graduated from doctoral studies, as well. In 2023, she completed postgraduate studies of foreign service at the Warsaw School of Economics.She began her professional career at the Telewizja Polska, Polish public service broadcaster. In 1998, she joined foreign affairs section of the Polish Press Agency. Between 2001 and 2003, she was a publisher of the local newspaper ""Gazeta Południowa"". From 2004 to 2006, she was editor of the TVN24 news channel. In 2006, she co-founded with her husband Igor Janke blog portal salon24.pl, of which she has been president and co-owner until 2021. She was a volunteer with the Fundacja Świętego Mikołaja (The Saint Nicholas Foundation). In 2012, she founded Warsaw Field Hospitals Foundation (Fundacja Warszawskie Szpitale Polowe). She has been its president until 2021 whose aim was to create an exhibition commemorating field hospitals from the Warsaw uprising.On 13 July 2021, she took the post of the Secretary of State at the Chancellery of the President of the Republic of Poland Andrzej Duda. She was responsible for the responsible for social dialogue. She was also member of the President's National Development Council. She finished her term on 30 June 2022. Next, she was columnist of the ""Rzeczpospolita"" daily and Onet.pl.On 8 September 2023, she was appointed Poland ambassador to Brazil. She began her term in October 2023.


== Private life ==
Janke lives in Konstancin-Jeziorna. Married to journalist Igor Janke, mother of two sons.


== References =="
2,"Elżbieta Róża Jankowska (born 1 August 1952) is a Polish political figure who served in the national Parliament (Sejm) from September 2001 to November 2007.
A native of Łódź, Poland's second-largest city (since 1998, third-largest), Elżbieta Jankowska was elected as a member of the Democratic Left Alliance in the election of 2001, serving in the Sejm until the election of 2005, when she was re-elected from Łódź district 9 with 7495 votes.  She lost her seat in the election of November 2007.


== See also ==
Members of Polish Sejm 2005–2007


== External links ==
Elżbieta Jankowska at the Sejm website (includes declarations of interest, voting record and transcripts of speeches)"
3,"Małgorzata Monika Janowska (born 29 January 1977) is a Polish politician. She was elected to the Sejm (9th term) representing the constituency of Piotrków Trybunalski. She previously also served in the 8th term of the Sejm (2015–2019).


== References =="
4,"Izabela Walentyna Jaruga-Nowacka [izaˈbɛla jaˈruɡa nɔˈvat͡ska] (23 August 1950 – 10 April 2010) was a Polish political figure who had served in the national Parliament (Sejm) since 1993 (with a four-year hiatus in 1997–2001) and, in May 2004, rose to become Deputy Prime Minister under Prime Minister Marek Belka, serving until October 2005, while also, concurrently, filling in his cabinet, from November 2004 to October 2005, the position of Minister Polityki Społecznej [Minister for Social Policy].
A native of the Baltic seaport city of Gdańsk, the capital of the Pomeranian Voivodeship, Izabela Jaruga-Nowacka earned a degree in ethnography from the University of Warsaw and, during the 1970s and 80s was employed at the Institute for Science Policy and Higher Education (1974–76) and the Institute of Socialist Nations at the Polish Academy of Sciences (1976–86).  Although not politically active during the Communist period, near its end, in the mid-1980s, she joined the League of Polish Women then, in 1991, became active in Ruch Demokratyczno-Społeczny [Democratic-Popular Movement] and, in the election of 1993, was elected to the Sejm as a member of the Labor Union party.
A dedicated feminist, she remained a member of Sejm 1993–97, Sejm 2001–05, Sejm 2005–07 and was elected for the fourth time in October 2007, running on the platform of the new Left and Democrats party.
Izabela Jaruga-Nowacka and her husband, mathematician Jerzy Nowacki, rector of the Warsaw-based Polish-Japanese Institute of Information Technology, have two daughters, Barbara and Katarzyna.
She was listed on the flight manifest of the Tupolev Tu-154 of the 36th Special Aviation Regiment carrying the President of Poland Lech Kaczyński which crashed near Smolensk-North airport near Pechersk near Smolensk, Russia, on 10 April 2010, killing all aboard.
On 16 April 2010, Jaruga-Nowacka was posthumously awarded the Commander's Cross with Star of the Polonia Restituta.


== References ==


== External links ==
 Media related to Izabela Jaruga-Nowacka at Wikimedia Commons

Izabela Jaruga-Nowacka's website
Izabela Jaruga-Nowacka at the Sejm website (includes declarations of interest, voting record and transcripts of speeches)"
5,"Joanna Jaśkowiak (born 6 November 1965) is a Polish politician. She was elected to the Sejm (9th term) representing the constituency of Poznań.


== References =="
6,"Ewa Junczyk-Ziomecka (Polish pronunciation: ['ɛva 'junt͡ʂɨk-ʑɔ'mɛt͡ska] ; born 19 May 1949) is a Polish lawyer, journalist, and former politician who served as secretary of state in the Chancellery of the President of the Republic of Poland under Lech Kaczyński between 2008 and 2010.
In 2010 Junczyk-Ziomecka was appointed Consul General of the Republic of Poland in New York, a position she held until 2014. On 19 January 2015, after completing the consular mission, she became the president of the Jan Karski Educational Foundation.


== Biography ==
Ewa Junczyk was born on May 19, 1949, in Raszyn. After studying law and postgraduate journalism studies at the University of Warsaw, she worked as a journalist. During martial law, she was banned from practicing as a journalist, and then left for the United States. In the 1980s, she was the editor-in-chief of Polish-American newspaper ""Dziennik Polski"" in Detroit. Involved in cooperation between the Polish, Jewish and Ukrainian communities in the United States. She chaired the Polish Election Commission in Michigan during the 1990 presidential election.
She returned to Poland in 1993. 
After returning to Poland, she represented the University of Michigan in Poland, initiating and co-organizing, among others, international conferences on ""Solidarity"" and the Polish Round Table Agreement.She was involved in the creation of the Museum of the History of Polish Jews ""POLIN"". From 2001, for five years, she was the director for development and deputy director of this emerging institution.On 19 January 2006 she became Undersecretary of State, and on 23 April 2008, Secretary of State in the Chancellery of the President of the Republic of Poland, Lech Kaczyński. She supervised the Office of Social Initiatives and the Office of Citizens' Letters and Opinions of the Chancellery of the President of the Republic of Poland. On 24 February 2010, it was canceled. On 1 March 2010, she took the position of Consulate General of the Republic of Poland in New York City.She was consul general until 2014.During her tenure as consul general, the Karski program was inaugurated in the United States, and the Polish-American group Jan Karski Centennial Campaign was established, thanks to which Jan Karski was posthumously honored with the highest civilian decoration of the United States, the Presidential Medal of Freedom.In 2012 the Consulate General also inaugurated the annual Jan Karski Spirit Award, awarded by the Jan Karski Educational Foundation.
Ewa Junczyk-Ziomecka became the first laureate of this award, followed by prominent American politicians: Ambassador to the UN, Samantha Power (2013) and Senator John McCain (2014).Thanks to consular activities aimed at popularizing knowledge about Jan Karski, in March 2013 Georgetown University Press published in the USA – 69 years after the first publication – Jan Karski's book ""Story of a Secret State"".During Ewa Junczyk-Ziomecka's tenure the Consulate General of the Republic of Poland in New York was also a place of intensive training for Polish and American teachers, the aim of which was to promote knowledge about the person and heritage of Jan Karski.
On 19 January 2015 she became the president of the Jan Karski Educational Foundation.Member of the Open Republic Association, the Association of the Jewish Historical Institute and the Association of Polish Journalists. Author of several books, including about ""Solidarity"" and about Pope John Paul II.She actively works for Polish-Jewish dialogue.


== Personal life ==
She is the ex-wife of Mariusz Ziomecki (Polish journalist and TV presenter), she has two children: daughter Zuzanna and son Stanisław. Junczyk-Ziomecka was a close personal friend of the late Polish writer Ryszard Kapuściński and late Polish President Lech Kaczyński.


== Honours ==


=== National honours ===
Poland: Knight's Cross of the Order of Polonia Restituta (2015)
Poland: Medal ""Warsaw Ghetto Uprising (2006); (awarded by the Association of Jewish War Veterans and Victims of World War II)


=== Foreign honours ===
Portugal: Grand Cross of the Order of Merit (2008)


== References =="
7,"Teresa Kalina (born 7 April 1952 in Wałcz) is a Polish politician and history teacher, from 2014 to 2018 she was a chairman of the West Pomeranian Regional Assembly.


== Biography ==
Teresa Kalina was born on 7 April 1952 in Wałcz. She has graduated in history from the Nicolaus Copernicus University in Toruń. She also completed postgraduate studies in organization and management at the Higher School of Public Administration in Szczecin and librarianship at the Pedagogical Study of Librarianship. From 1976 she worked as a tutor at the State Orphanage No. 3 in Szczecin, then as a history teacher and librarian. In the years 1991–2004 she was the deputy director of the Primary School No. 59, in the years 2004–2006 the headteacher of the Jan Twardowski Junior High School.


== Political career ==
In 2002 she became a member of the Civic Platform. In 2006, on CP's behalf, she was elected a deputy to the Szczecin City Council (she obtained 875 votes). She resigned from the mandate in 2010, because of the appointment of the head of Primary School No. 7.In the 2010, 2014 and 2018 local government elections she has been elected to the West Pomeranian Regional Assembly. In March 2014, she was appointed chairman of the 4th term of the Assembly in place of Marek Tałasiewicz, and in December of the same year she became the chairman of the 5th term of the Assembly, obtaining 19 of 30 votes. In 2018 she was replaced by Maria Ilnicka-Mądry. In the Assembly, she is a member of Committee on Agriculture and Rural Development, Committee on Development, Promotion and International Cooperation, Committee on Education, Culture and Sport, and The Temporary Commission of the Badge of Honor of the West Pomeranian Griffin. She is also a Vice-chairman of the Committee on Agriculture and Rural Development.In 2019, she ran for the Sejm without success. She obtained 1955 votes.


== References =="
8,"Beata Agnieszka Kempa (née Płonka; born 11 February 1966, in Syców) is a Polish politician. She was elected to the Sejm on 25 September 2005, getting 5,378 votes in 3 Wrocław district on the Law and Justice list. From 2015 to 2017, Kempa served as Chief of the Chancellery of the Prime Minister.
On 4 November 2011 she, along with 15 other supporters of the dismissed PiS MEP Zbigniew Ziobro, left Law and Justice on ideological grounds to form a breakaway group, United Poland.
In December 2015 it gained media attention after sending a letter to the President of the Constitutional Tribunal, Andrzej Rzepliński, informing him that the publication of the judgment of 3 December 2015 on K 34/15 concerning the conformity with the Constitution of the Republic of Poland of certain provisions of the Act of 25 June 2015 About the Constitutional Court]. This was the first such case since the Constitutional Court's inception in 1986 [16]. A prosecutor of the District Prosecutor's Office in Warsaw  investigated the abuse of powers in connection with the publication of the judgment. It was redeemed in January 2016 in the absence of the crime (in the justification it was pointed out that the actions of the head of the Chancellery did not affect the publication of the judgment, as it was within the competence of the prime minister).


== See also ==
Members of Polish Sejm 2005-2007


== References ==


== External links ==
Beata Kempa - parliamentary page - includes declarations of interest, voting record, and transcripts of speeches."
9,"Małgorzata Maria Kidawa-Błońska, née Grabska (Polish: [mawɡɔˈʐata kiˈdava ˈbwɔɲska]; born 5 May 1957) is a Polish politician, film producer, and sociologist currently serving as Marshal of the Senate. She was Marshal of the Sejm from 25 June 2015 to 11 November 2015 at the end of the Seventh term's composition of the lower house, after which being voted a Deputy Marshal of the Eighth and Ninth term, each time nominated by the opposition party Civic Platform, under the marshalcy of Marek Kuchciński and Elżbieta Witek, respectively.
Kidawa-Błońska served ministerial functions, such as Secretary of State in the Second Cabinet of Donald Tusk (2012–2014) and the Cabinet of Ewa Kopacz (2014–2015) and Press Spokeswoman for both cabinets in 2014 and 2015. She was the Civic Platform nominee for Prime Minister in the 2019 Polish parliamentary election, losing to Law and Justice incumbent Mateusz Morawiecki. In 2019, she was elected the Civic Platform's candidate for Presidency of Poland to stand in the 2020 Polish presidential election. Kidawa-Błońska resigned from her candidacy on 15 May 2020.


== Before entering politics ==


=== Family ===

Małgorzata Maria Grabska was born in Ursus, Warsaw during the time of Communist Poland. Her father, Maciej Władysław Grabski, who came from a prominent Polish political family as a descendant of two notable politicians during the time of Interwar Poland, was a Professor of Technical Science for the Warsaw University of Technology and former President of the Foundation for Polish Science from 1992 to 2005, and her mother was Helena Nowakowska, was a former employee of the Press Workers' Cooperative and the winner in 1953 Fencing at the Kolejarz Sports Club where she met her future husband, who after the wedding devoted herself to running the house.
Maciej's father was Władysław Jan Grabski, a renowned writer who wrote historical novels on the History of Poland. He was the second son of Władysław Grabski, noted politician, independence activist, and economist who served as Prime Minister of Poland for two non-consecutive terms plus was the author of the currency reform which contained hyperinflation and stabilized the zloty exchange rate until 1939, and his wife Katarzyna Lewandowska, a daughter of a wealthy landowner of szlachta descent. Kidawa-Błońska's paternal grandmother was painter Zofia Wojciechowska-Grabska, the only surviving child of Stanisław Wojciechowski, who served as President of Poland from 1922 to 1926 after he was ousted by the May Coup d'État led by Marshal Józef Piłsudski, and his wife Maria Kiersnowska, who served as the First Lady during her husband's presidency. She was previously involved in the underground work and later became a courier for the Polish Socialist Party for the call for Polish Independence.


=== Youth ===
Kidawa-Błonska was born and remained in the same house where her paternal grandparents lived all her life. She assumed that her house was an exhalation of rich, multi-generational prescription furnished with antiques, paintings drawn by her paternal grandmother, and photographs of her ancestors on the walls. In 1927, her paternal great-grandfather received the permission for the construction of a residential house for his son Władysław Jan and his espoused wife Zofia Wojciechowska, after recently being married. The park, orchard and vegetable garden of the house were designed by the landscape architect Franciszek Szanior. After the Warsaw Uprising, Zofia's parents, Stanisław and Maria, were taken to live in the Grabski house, after being rescued from the demolished city. Her parents survived the Second World War, though her brother Edmund was murdered in Auschwitz-Birkenau. They lived in the house for the last remaining years until their deaths.


=== Education, professional activity and marriage ===
She was taught and passed her high school diploma in the Klementyna Hoffmanowa High School IX in Warsaw, the oldest high school in Warsaw. In 1983, she graduated a Master's degree of Sociological Studies at the Faculty of Philosophy and Sociology at the University of Warsaw. Kidawa-Błonska blended her professional career with film and culture. She went to classes at the Aleksander Zelwerowicz National Academy of Dramatic Art in Warsaw as a free witness out of interest, as she did not want to become an actress. In 1981, she met Jan Kidawa-Błoński at her 24th birthday party, when he accidentally came across her party in the Grabski residence. Jan recently graduated at the National Film School in Łódź and is the uncle of the deceased Ryszard Riedel, leader of Polish blues rock band Dżem. Jan & Malgorzata were married in 1983, during the time of the martial law. Kidawa-Błoński was in the process of making his first film ""Trzy stopy nad ziemią"". However, he did not receive a cent for this creation and he even went straight to the hospital due to starvation. Jan and Małgorzata have one son, Jan, who was born in 1983. From 1985 to 1987, she worked in the literary editorial office of the Film Studio named after Karol Irzykowski, and from 1994 to 2005, she worked with her husband at their company Gambit Production, in which she was responsible for the production of films, television programs and commercials. Their biggest undertaking was the award-winning film Destined for Blues, which tells the story of her nephew-in-marriage Ryszard Riedel.


== Political career ==
Kidawa-Błońska became enrolled in politics as a non-party member from the Freedom Union. In 2001, she became a member of the new Civic Platform party and became a Councillor in Warsaw City Council.
She was elected to the Sejm on 25 September 2005, getting 4,615 votes in 19 – Warsaw II district, as a candidate from the Civic Platform list. She was elected again following Donald Tusk's victory on 21 October 2007, after achieving 13,057 votes. In 2010, Kidawa-Błońska became the press spokeswoman for Bronisław Komorowski's presidential campaign. On 9 October 2011, she successfully applied for re-election with 2 positions on Warsaw's PO list, including 45,027 votes. She was appointed on 7 February 2014, as the Press Spokesperson of the Council of Ministers and Secretary of State in the Chancellery of the Prime Minister of Poland, until she resigned after Donald Tusk’s resignation on 22 September 2014. On 3 February 2015, She was appointed for the second time as the Press Spokesperson of the Council of Ministers for Ewa Kopacz's Cabinet.
On 23 June 2015, Radosław Sikorski decided to resign his office as Marshal of the Sejm, after 6 months in office. Two days later, she was nominated by Civic Platform as a candidate for Marshal, she was elected to the office, by receiving 244 votes from the Sejm. Her competitor Deputy Marshal, Jerzy Wenderlich from the Democratic Left Alliance, secured 43 votes. Seven days later, Bronisław Komorowski appointed her to the National Security Bureau. During her marshalcy, Kidawa-Błońska administered the oath of office for President Andrzej Duda on 6 August 2015.
In the 2015 Polish parliamentary election, she successfully applied for parliamentary re-election as the leader of Civic Platform electoral lists in the Warsaw district, she received 80,866 votes. At the inaugural meeting of the Sejm on 12 November 2015, she was named Deputy Marshal of the Sejm under her successor Marek Kuchciński. In her new position as Deputy Marshal, she became a member of the Culture and Media Committee in the Sejm. On 9 August 2019, Marek Kuchciński stepped down upon the mass critique of his use of government airplanes for private purposes. She was chosen as a candidate for Marshal of the Sejm by Civic Coalition. She received 135 votes, losing to the Law and Justice nominee Elżbieta Witek, who was supported by 245 deputies. On 11 December 2021 she became one of 10 vice-chairs of Civic Platform.


=== 2019 parliamentary campaign ===

On 3 September 2019, Grzegorz Schetyna announced that the Civic Coalition would nominate Kidawa-Błońska as its candidate for Prime Minister. A moment after unveiling this notice, she stated that Poland is now in a ""very difficult moment"" and that ""People want Poland to be a country where everyone respects each other"". She received 416,030 votes, which was the best individual result in the country and the second-best individual result in whole election history. The coalition still lost the parliamentary election by winning 134 seats in the Sejm, but gained the Senate by winning 43 seats and forming a coalition with other opposition parties. On 12 November 2019, she kept her position as Deputy Marshal.


== 2020 presidential election ==


=== Civic Platform primaries ===

She announced her intention to take part in Civic Platform's presidential primaries to become party's candidate in the 2020 presidential elections in Poland. The primary was organized by the party leader Grzegorz Schetyna following the decision by Donald Tusk not to run for president again as he lost in a runoff to Lech Kaczyński in 2005, and then served as Prime Minister of Poland from 2007 to 2014 after which he resigned to become President of the European Council. Prior to his withdrawal, Tusk was thought to be the presumptive nominee. The voting took place during a special conference on 14 December. It was announced that she won those primaries (by receiving 345 electorate votes, compared to Jacek Jaśkowiak's 125 votes) and therefore she became Civic Platform's candidate for president.


=== Presidential campaign ===
After becoming the presumptive Civic Platform nominee, Kidawa-Błońska changed her focus to the presidential election. She began campaigning against Andrzej Duda. In reaction to coronavirus procedure and recent changes of the electoral law, enacted before changing the date of presidential election, Kidawa-Błońska suspended her campaign and called for a boycott of the 10 May election.


==== Coronavirus outbreak ====

On 10 March 2020, Kidawa-Błońska announced on her Twitter account that she would temporarily suspend large open conferences and introduce changes in the control of her campaign.


=== Resignation from candidacy ===
After the election date was moved from May 10, her presidential campaign ended. On 15 May, she announced her intention to withdraw from the presidential election, most likely as a result of falling poll numbers. The same day, she was replaced with Rafał Trzaskowski.


== 2023 Senate candidacy ==
In the 2023 Polish parliamentary election, she was elected to the Senate of Poland from District 43.
On 13 November 2023, she was elected as Marshal of the Senate, a position she is expected to hold for the next two years. As per coalition agreement signed by Civic Coalition, Third Way and New Left, she will be later succeeded by another senator nominated by Civic Coalition.


== See also ==
List of politicians in Poland
2005 Polish parliamentary election
2007 Polish parliamentary election
2011 Polish parliamentary election
2015 Polish parliamentary election


== References ==


== External links ==
Małgorzata Kidawa-Błońska – parliamentary page – includes declarations of interest, voting record, and transcripts of speeches.
Małgorzata Kidawa-Błońska – biography page – includes a history of positions held, personal interests, and education"
