,articles
0,"Tatiana Alekseyevna Kusayko (Russian: Татьяна Алексеевна Кусайко; 3 January 1961, Butenki, Kobeliaky Raion) is a Russian political figure. She was a member of the Federation Council between 2016 and 2021 and deputy of the 8th State Duma since 2021.In 1983, Kusayko graduated from the Kharkiv National Medical University and went to Murmansk to work in a local hospital. In June 2011, she was appointed chief physician of the municipal budgetary healthcare institution ""Children's Polyclinic No. 1"" in Murmansk. From 2014 to 2016, she was a deputy of the Council of Deputies of the city of Murmansk. In 2016, Kusayko became a member of the All-Russia People's Front central office. On 18 September 2016, she was elected a deputy of the Murmansk Oblast Duma of the 6th convocation for United Russia. In 2016, she ran for the 7th State Duma but was not elected. Instead on 6 October 2016 she was appointed to the Federation Council. In 2021, she was elected for the 8th State Duma.


== References =="
1,"Anna Yuryevna Kuznetsova (Russian: Анна Юрьевна Кузнецова; born 3 January 1982) is a Russian politician serving as Member and Deputy Chair of the State Duma since 2021. Previously, she was Children's Rights Commissioner for the President of the Russian Federation between 2016 and 2021.


== Early life ==
Kuznetsova was born 3 January 1982 in Penza, Russian SFSR, Soviet Union. Her father was a builder and her mother was an engineer. She also has a brother. In 1997, she attended Secondary School Number 72 in Penza. From 1998 to 1999, she studied at the Pedagogical Lyceum No. 3, which was also in Penza. In 2003, she graduated from the V.G. Belinsky Penza State Pedagogical University (currently the PSU), qualifying as a ""psychological teacher"".


== Early career ==
Kuznetsova then began her social activities as a volunteer. She looked after children in the regional children's hospital. In 2008 until 2010, she was the founder of the public organisation, Blagovest along while her husband was the chairman.In 2011, Kuznetsova founded the Pokrov Foundation which provides assistance to large and low-income families. In the Penza region of Russia, the fund contributed to the implementation of the comprehensive demographic program ""Life is a sacred gift"", where one of the main goals was prevention aimed at reducing the number of abortions. In that same year, she initiated the All-Russian festival competition for youth social groups. The purpose of which was the creation and preservation of family values.In 2014, Kuznetsova joined the All-Russian People's Front. Immediately after that, her foundation, the Pokrov Foundation received a grant from the state and funding for the creation of a Maternity Protection Center with a permanent shelter for mothers with children in difficult life situations. A year later, Kuznetsova lead the Penza Executive Committee. She contributed to the inspections of maternity hospitals and the obstetric care system. Around the same time, she was the head of the regional brands of the Mother of Russia organisation. Further assistance of Kuznetsova's career was provided by the first deputy head of the presidential administration, Vyacheslav Volodin.Kuznetsova holds pro-life views. According to some media, she expressed support for telegony in an interview for a Penza Medical Journal; however, she denied that claim, stating her disbelief in telegony.Since 2015, Kuznetsova has been the Chairman of the Association of the Organisation for the Protection of the Family, member of the Women's Council under the Governor of the Penza Region, Assistant to the Chairman of the Commission of the Interfaith Interaction and involved with Assistance in the Protection of Freedom of Conscience of the Public Chamber of the Penza Region.At September 2015, Kuznetsova entered the working group to develop proposals for additional regulation of the activities of socially oriented non-profit organisations. In that same year, President Vladimir Putin signed a decree according to which the Pokrov Foundation became the operator of presidential grants. 
In 2016, before she was assigned as the Children's Rights Commissioner, Kuznetsova participated in the election primaries of the political party United Russia. She came fifth place in the party group results.


== Political career ==


=== Children's Rights Commissioner ===


==== 2016 ====
On 9 September 2016, Kuznetsova was appointed the role of the Children's Rights Commissioner for the President of the Russian Federation with President Vladimir Putin, assigning the role.In December 2016, she created a register of sexual predators and pedophiles in order to prevent them from working in any educational institutions in Russia. It was then proposed to introduce a lifelong administrative control over pedophiles in March 2017.


==== 2017–2018 ====
In January 2017, Kuznetsova took part in the highly publicised seizure of ten foster children from the Moscow Del Family. This began after a statement from a kindergarten teacher who saw bruises on the body of one of the children, later establishing that in fact the children had HIV. After studying the circumstances of the case, the commission of psychologists of the center for social support of the city Zelenograd made a decision to stop any further foster children to stay with that family. This was supported by the head of the Moscow Department of Labour and Social Protection. 
After a press conference on 23 December 2016, Vladimir Putin instructed Kuznetsova and the Russian Ministry of Labour and Social Protection of the Russian Federation to study the practice of removing children from families in terms of excessively applied measures or unlawfully interfering with the family. On 15 May 2017, Kuznetsova cited data from the prosecutors office and told media that there were 'virtually no registered cases of this kind'. These words caused controversy among 75 parental and families organisations across Russia. An open letter was then sent to President Vladimir Putin, in which they stated that the public does not agree with this registered data. 
In May 2017, a member of the Federation Council, Yelena Mizulina presented an alternative report, based on the data collected by non-governmental organisations opposed to Kuznetsova. The founders of the Ural Parents Committee and the Yakaterinburg City Parents' Committee, supported Kuznetsova, explaining that over the eight years of their activity in the Sverdlovsk Region in Russia, they had not encounter a single case of illegal interference of the guardianship authorities in the family. Furthermore, the illegal removal of children.Later in May 2017, Kuznetsova visited Finland, where she signed the Children's Ombudsman of this Country, Tuomas Kurttila a memorandum on co-operation in the support of children's rights. The trip caused discontent among the activists of the All-Russian Parental Resistance, who held several one-off picket protests. On 24 May 2017, one of the activists at the build of the Public Chamber of the Russian Federation unsuccessfully waited for Kuznetsova with a poster on which was written, ""Russia does not need an authorised representative of the introduction of Finnish juvenile technologies"". By 29 and 30 May, activities of the same group held a series of small protests in different cities in Russia, protesting against Kuznetsova and asking Vladimir Putin not to sign the upcoming childhood strategy which is valid from 2018 until 2027 until it is discussed with the public.Kuznetsova reformed public structures under the federal Commissioner for the Children's Rights. With her, a public council was established, which was divided into working groups. The structure included many priests of the Russian Orthodox Church, as well as activists of Orthodox public associations. The establishment of the council drew criticism. In May 2017, the chairman of the All-Russian Parental Resistance organisation Maria Mamikonyan and the heads of some of the public organisations left the council. 
In November 2018, she stated that women can have their genitals circumcised as long as it is medically harmless for that person.She is strongly opposed to the domestic violence draft, which was proposed by the Russian parliament in December 2019, declaring that the proposed bill is unconstitutional and is imitating similar foreign laws.


==== 2019–2021 ====
In December 2019, after the publication of the law on domestic violence was drafted, Kuznetsova explained to reporters that she repeatedly, gave a negative opinion of the draft, because its norms do not comply with the Russian Constitution. She stated that the bill duplicates the norms of other laws and urged to consider whether it's needed at all.In September 2021, after being elected to the State Duma, she resigned from the office of Children's Rights Commissioner.


=== Member of the State Duma ===
In June 2021, Kuznetsova was proposed by President Vladimir Putin as one of the leading candidates of the United Russia party list for the 2021 legislative election.On 19 September 2021, she was elected to the State Duma on the party list of United Russia. After that, she resigned from the office of Children's Rights Commissioner.
On 5 October 2021, Kuznetsova was nominated for the office of Deputy Chair of the State Duma.


==== Sanctions ====
In response to the Russian invasion of Ukraine which Kuznetsova voted for, she was sanctioned by the European Union in February 2022, by Switzerland and the United Kingdom in March 2022, by Japan in April 2022, by Australia in May 2022, by Ukraine and the United States in September 2022, by New Zealand in October 2022, and by Canada in February 2023.


== Personal life ==
Kuznetsova has been married to Fr. Aleksey Kuznetsov since 2003. Her husband is a priest of the Church of St. Basil of the Great at the Orthodox elite gymnasium in Moscow. They have seven children – two girls and five boys. Their youngest child was born in 2020.


== Awards ==
Audience Award at the III International Festival of Social Technologies for Life (2012)
Commemorative medal ""In Memory of the 700th anniversary of the Birth of St. Sergius of Radonezh""
Breastplate – For Good Deeds. III Degree of the Penza Diocese of the Russian Orthodox Church
Commemorative sign – For merits in the development of the city of Penza
Medal – For Assistance – Investigative Committee of Russia
Medal – ""In Memory of the Heroes of the Fatherland"" of the Russian Ministry of Defence (2019)
Medal – For contribution to strengthening Law and Order (2019)
Medal – For purity of thoughts and nobility of deeds
Medal – For Diligence
Medal – For Contribution to the Development of the Penitentiary System of Russia


== References ==


== External links ==
 Media related to Anna Kuznetsova at Wikimedia Commons

Official website of the Russian Children's Rights Commissioner
Герман Пятов: Анна Кузнецова — слабая фигура в сравнении с Павлом Астаховым"
2,"Ekaterina Filippovna Lakhova (Russian: Екатери́на Фили́пповна Ла́хова; born May 26, 1948) is a Russian politician and statesman who served as a deputy of the State Duma of the 6th convocation from the United Russia party, and as the deputy chairman of committee of the State Duma for public associations and religious organizations.  Member of the 
General Council of the party United Russia. She was a people's deputy of the RSFSR, a deputy of the State Duma of the I-V convocations. Chairman of the Union of Women of Russia. Currently a member of the Federation Council, a representative of the legislative (representative) body of state power of the Bryansk Oblast, a member of the Committee of the Federation Council on federal structure, regional policy, local self-government and affairs of the North.
Lakhova is one of the main supporters of the introduction of juvenile justice in Russia. One of the authors of Dima Yakovlev Law.


== Controversies ==
In 2006, Lakhova organized a photo shoot for women deputies in honor of the 100th anniversary of the State Duma. Later, it was revealed that Lakhova sold the photos to a furniture factory, which used them to publish a booklet advertising its sofas. Eleven deputies, including Alexandra Burataeva, Nina Ostanina, and Lyubov Sliska sued the factory for violation of personal non-property rights and infliction of moral damage. Lakhova did not join the suit.Lakhova was also criticized by the Orthodox media for her support of abortions. Some media occasionally accused her of lobbying laws that would force women to be sterilized.In November 2018, the media widely criticised Lakhova's comment on the increase of the consumer price index. In her comment, Lakhova said that eating buckwheat all day could be beneficial for health and that proposing an increase of the consumer basket was populism.


== Personal life ==
Lakhova is married, she has a son.In 2018, Lakhova declared an income of 5,839 million rubles.


== See also ==
All-Russian Sociopolitical Movement of Women of Russia


== References ==


== External links ==
""Сайт Союза женщин России"". Archived from the original on 2018-11-20. Retrieved 2019-12-06.
Профиль на сайте Совета Федерации Федерального собрания Российской Федерации"
3,"Yana Lantratova (Russian: Яна Валерьевна Лантратова; born December 14, 1988, Nizhnyaya Tura) is a Russian political figure and a deputy of the 8th State Duma.From 2006 to 2007, Lantratova worked on TV at MTV, Muz-TV, 5TV. In 2006, she founded and headed the Youth Organization Stars Center, that specialized in the organization of charity performances by popular pop singers in orphanages, hospitals, and boarding schools. In 2009, she was the regional curator of the projects initiated by the Young Guard of United Russia. In 2010, she started working as an assistant to the Member of the Legislative Assembly of Saint Petersburg Vitaly Milonov. In December 2010, she was elected to the federal coordination council of the Young Guard of United Russia. In 2011, she headed the working group of the All-Russia People's Front on detection and suppression of crimes against children, distribution of child pornography and pedophilia on the Internet. From November 2012 to December 2018, she was a Member of the Presidential Council for Civil Society and Human Rights. In November 2015, she was appointed Executive Secretary of the Council. Since September 2021, she has served as deputy of the 8th State Duma.Sanctioned by the United Kingdom from 11 March 2022 in relation to Russia's actions in Ukraine.


== References =="
4,"Tatiana Larionova (Russian: Татьяна Петровна Ларионова; born 2 July 1955, Kazan) is a Russian political figure and deputy of the 8th State Duma. In 2005, she was granted a Candidate of Sciences in Sociology degree.From 1983 to 1991, she worked in the Communist Party of the Soviet Union as an instructor, deputy head, head of the propaganda and agitation department, and second secretary of the Volga Federal District committee in Kazan. In 1991, Larionova started working in the Kazan city administration. From 2001 to 2006, he was the Head of the Department of Social Protection of the Ministry of Labour, Employment and Social Protection of the Republic of Tatarstan. In November 2006, she was appointed state advisor to President of the Republic of Tatarstan Mintimer Shaimiev. From 2014 to 2021, she was the deputy of the State Council of the Republic of Tatarstan of the 5th and 6th convocations. Since September 2021, she has served as deputy of the 8th State Duma from the Tatarstan constituency.


== Awards ==
Order ""For Merit to the Fatherland""


== References =="
5,"Yulia Viktorovna Lazutkina (Russian: Юлия Викторовна Лазуткина; born 11 March 1981) is a Russian politician serving as a senator from Penza Oblast since 21 September 2022.


== Biography ==
Yulia Lazutkina was born on 11 March 1981 in Kolyshleysky District, Penza Oblast. Her father, Viktor Lazutkin was a local politician and, later, a deputy of the 4th State Duma. In 2002, she graduated from the Penza State Pedagogical University. From 2011 to 2013, she was the general director of the OOO ""Market+"" that specialized on selling chocolate products. From 2013 to 2015, she worked at the ""Concrete plant"" Lomovsky "". From 2017 to 2021, Lazutkina was the deputy of the Legislative Assembly of Penza Oblast. On 29 April 2021, she became the senator from the Legislative Assembly of Penza Oblast. She was re-elected on 21 September 2022.Yulia Lazutkina is under personal sanctions introduced by the European Union, the United Kingdom, the USA, Canada, Switzerland, Australia, Ukraine, New Zealand, for ratifying the decisions of the ""Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Donetsk People's Republic and between the Russian Federation and the Luhansk People's Republic"" and providing political and economic support for Russia's annexation of Ukrainian territories.


== References =="
6,"Olga Sergeyevna Li (Russian: Ольга Сергеевна Ли; born 22 July 1986) is a Russian politician and journalist. Since 2011, she has been a representative in the Kursk regional legislative.
She prepares to run for parliament as a member of the opposition. However, Russian authorities try to charge her with ""degrading the dignity"" of state officials and endangering Russia's statehood, after she has criticized the Russian president Vladimir Putin in her video named ""An Appeal to Putin"". Among others, Li accuses him of allowing ""criminal conspiracy"" at the top of Russian government or the ""destruction of the rule of law"". If she is convicted, she could face up to two years in prison.Li has also criticized some of the local authorities, including the deputy chairman of the regional assembly, Viktor Karamyshev, from Putin's United Russia party.
She is a single mother of two daughters.


== References =="
7,"Marina Alekseyevna Litvinovich (Russian: Марина Алексеевна Литвинович, born 19 September 1974) is a Russian opposition activist and politician.


== Life ==
Litvinovich became active in politics in 1996. In the late 1990s she created Russia's first political website for Boris Nemtsov, at that point deputy prime minister. Nemtsov later became a highly visible opponent of Vladimir Putin's regime, until he was shot and killed in Moscow in 2015. For two years Litvinovich herself worked for Putin, helping his campaign in the 2000 Russian presidential election:

I set up the first online presidential conference in Russia, and before it we sat down and I taught him about the internet and how to use it.
Though she considered running for political office as early as 2003, Litvinovich continued working as a political consultant for other people's campaigns. She was a consultant for Mikhail Khodorkovsky, who was Russia's richest tycoon until he was jailed for a decade after falling foul of the Kremlin. She later worked as an assistant to opposition politician Garry Kasparov, acting as a spokesperson for his United Civil Front. In April 2007 she complained of Kasparov's questioning by the FSB, the Russian state security agency:

The FSB is equating dissatisfaction with the current Russian leadership with extremism [...] If you shout a slogan against Putin, you are labelled an extremist.
In July 2007 Litvinovich highlighted the case of opposition activist Larisa Arap, who had been forced into a psychiatric clinic. In November 2007 she reported Kasparov's beating by police as he attempted to lead a protest rally. In December 2007 she announced that Kasparov would not be running for the presidency, as his supporters had been unable to rent a hall for his nomination gathering.From 2019 to 2021 Litvinovich served on the Moscow Public Monitoring Commission (ONK), a watchdog monitoring the condition of inmates in Russian prisons. In March 2021 Litvinovich was excluded from the ONK, on the grounds that she had disclosed information relating to a probe into Lyubov Sobol, a lawyer for the jailed opposition politician Aleksei Navalny's Anti-Corruption Foundation. Litvinovich disputed the allegation, claiming the exclusion was due to her activism on behalf of people detained in Lefortovo detention center.In 2021 Litvinovich ran in Russia's parliamentary elections as a candidate for the Duma: 

I believe we need to fight to the end [...] And if I don’t do it then who will? There’s almost no one left.
On 24 February 2022, as Russia invaded Ukraine, Litvinovich called for antiwar protests in Russian cities. She was detained by Russian police as she left her house.


== References =="
8,"Maria Alekseyevna Lvova-Belova (Russian: Мария Алексеевна Львова-Белова [mɐˈrʲijə ɐlʲɪˈksʲejɪvnə lʲvəvə bʲɪɫəvə]; born 25 October 1984) is a Russian politician. She has been the Presidential Commissioner for Children's Rights since October 2021, when she was appointed to the position by Russian president Vladimir Putin.
On 17 March 2023, the International Criminal Court, amidst an ongoing investigation, issued arrest warrants for Putin and Lvova-Belova. Her charges concern her role in the unlawful deportation of Ukrainian children to Russia since the beginning of the Russian invasion of Ukraine in February 2022.


== Early life and education ==
Lvova-Belova was born into a Russian family in Penza, a city in the Russian SFSR of the erstwhile Soviet Union, on 25 October 1984. She graduated from the A. A. Arkhangelsky College of Culture and Arts as a conductor in 2002.


== Political career ==


=== Activities between 2011 and 2021 ===
From 2011 to 2014 and 2017 to 2019, she was a member of the Civic Chamber of Penza Oblast, the latter term overlapping one in the Civic Chamber of the Russian Federation. In 2019, she was elected co-chair of the All-Russia People's Front regional headquarters.In 2019, Lvova-Belova joined the United Russia party (the ID card was given to her on 23 November by Prime Minister Dmitry Medvedev). On 24 November, she was elected to the Presidium of the General Council of the United Russia, and she became the co-chair of the working group to support civil society. In September 2020, reelected governor of Penza Oblast Ivan Belozertsev appointed her to the Federation Council of Russia from Penza Oblast's executive branch. After the 2021 snap election, she was reappointed by Oleg Melnichenko.
On 27 October 2021, Russian president Vladimir Putin appointed Senator Maria Lvova-Belova as the federal Commissioner for Children's Rights, one month after previous commissioner Anna Kuznetsova became an MP.


=== Russian invasion of Ukraine (2022–present) ===


==== Deportation of Ukrainian children to Russia ====
Lvova-Belova has publicly shown her support for the program of abducting Ukrainian children to Russia, being present at an event in Moscow where 14 Ukrainian children received their Russian identity papers in July 2022. In September 2022, she reported that a group of children from Mariupol had at first shown their resistance by singing the Ukrainian national anthem, but had soon learned to ""love Russia"". Ukrainian and British officials accused her of supervising the forcible deportation and adoption of children from Ukraine during the 2022 Russian invasion of Ukraine. Russian programs to transfer Ukrainian children to Russia and re-educate them as Russians had begun in 2014.


==== International sanctions and ICC arrest warrant ====
She was sanctioned by the United Kingdom in June 2022, by the European Union in July 2022, by the United States in September 2022, and by Japan in January 2023.A warrant for Lvova-Belova's arrest was issued by the International Criminal Court on 17 March 2023, which alleges she is responsible for the unlawful deportation of children from Ukraine to Russia during the invasion; a similar warrant was issued for Putin.


== Personal life ==
Lvova-Belova has been married to Pavel Kogelman, a priest of the Russian Orthodox Church and formerly a programmer, since 2003. They have five biological and eighteen adopted children. The former were born in 2005, 2007, 2010, 2014 and 2018. In February 2023, she adopted a 15-year-old boy from Mariupol, which The Moscow Times said would likely spark outrage due to the concurrent deportation program.


== Notes ==


== See also ==
Yelizaveta Glinka, a Russian ""charity celebrity"" who started state programs of relocating Ukrainian children to Russia.


== References ==


== External links ==
 Media related to Maria Lvova-Belova at Wikimedia Commons"
9,"Olga Borisovna Lyubimova (Russian: Ольга Борисовна Любимова; born 31 December 1980) is a Russian politician serving as the Minister of Culture of the Russian Federation. She was appointed on 21 January 2020.Prior to her current appointment, Lyubimova has served the Deputy Minister of Culture since 2015 and as the head of its cinematography department since 2018.


== Early life and education ==
She is the daughter of Boris Lyubimov (currently the acting president of the Mikhail Shchepkin Higher Theatre School) and the great-granddaughter of renowned actor Vasily Kachalov. Following an unhappy enrollment at an Orthodox high school which she would later compare to an al-Qaeda training camp, Lyubimova graduated from Moscow State University with a degree in journalism and from the Russian Institute of Theater Arts where she studied theater.


== Career ==
Since the 2000s she has worked often in television, working on shows including Vzglyad, Orthodox, and Orthodox Calendar. She has been head of Channel One's directorate of social and journalistic programs since 2016.Her appointment as Minister of Culture was controversial due to past LiveJournal posts by Lyubimova wherein she said she ""can't stand going to exhibitions, museums, opera"" and explained that ""I've been to the British Museum, National Gallery and a few dozen more European and Russian museums and reckon I wasted my time there"". However, she received support from film critic Anton Dolin, who said ""she loves culture, or at least, cinema"".On 6 May 2020, Olga Lyubimova's Press Secretary announced that she had contracted the COVID-19, but the disease is mild, so hospitalization is not required. Since the disease was mild, on 14 May Lyubimova recovered and returned to the exercise of her powers.On 17 July 2023, Lyubimova was sanctioned by the United Kingdom for ""using her position to support the Russian state's damaging anti-Ukrainian policies"".


== References ==


== External links ==

Любимова Ольга Борисовна"
