,articles
0,"Anna Maria Anders (London, 22 November 1950) is the ambassador of the Republic of Poland to Italy and to San Marino.


== Life ==
Anders is the daughter of the World War II Commander of the Polish Forces at the Battle of Monte Cassino, General Władysław Anders and his wife, the singer and actress Irena Renata Anders, also known as Renata Bogdanska. She was born in London, England and graduated from Bristol University with an Honours Degree in Modern Languages (1973). She also has a Masters in Business Administration (MBA) from Boston University (1992). In 1986 Anna Maria Anders married United States Army Colonel Robert Alexander Costa, with whom she has a son, Robert Wladyslaw Costa, who is also an officer in the US Army.After graduating from Bristol University, Anna Maria Anders worked as an Account Executive at a financial PR and advertising firm in the City of London. In the late 1970s, she moved to Paris, France where she worked in the communications department of UNESCO. In 1980 she joined Rezayat Paris, a branch office of an international conglomerate with investments and joint ventures in the Middle East, Europe, USA and Asia.In 1994, Anders relocated to the United States with her family. Following the death of her mother in 2010, she took over her mother's role and began travelling to Poland on a regular basis, visiting schools and attending military and government ceremonies.
For her services to Polish veterans in the United Kingdom and popularising the exploits of the 2nd Polish Corps during World War II, she was awarded the Gold Cross of Merit by Polish President Bronisław Komorowski. In 2015, she was presented with the Honorary Badge of the Association of Siberian Deportees. Since 2015, Anders has been an Honorary Member of the Reserve Officers Association of Poland.She was the Plenipotentiary for International Dialogue in the rank of Secretary of State in the government of Poland's Prime Minister, Mateusz Morawiecki. In March 2016, she was elected to Poland's Senate in a by-election and represents Poland's eastern flank, which includes Łomża, Augustów and Suwałki. She also represents Poland in the WIP (Women in Parliaments Global Forum), a global network of female parliamentarians that supports greater participation of women in politics and promotes equal rights of women worldwide. In August 2019, she was nominated to be the Polish ambassador to Italy, which was also accredited to San Marino.In her present position, Ambassador Anders represents Poland abroad. She is a passionate supporter of military and veterans affairs.


== Distinction ==
Gold Cross of Merit, 2014
Honorary Badge of the Association of Siberian Deportees, 2015
Honorary Member of the Reserve Officers Association of Poland, 2015


== References =="
1,"Urszula Danuta Augustyn (born 1 September 1964 in Tarnów) is a Polish politician. A member of the Polish parliament of the 5th, 6th, 7th, 8th and 9th term. Since 2019, deputy-chairman of Commission for Petitions  and a member of Commission for Culture and Media in Sejm.


== Biography ==
In 1990, she completed her master's studies at the Pedagogical University of Cracow, the Faculty of Polish Philology. For 15 years she worked as a teacher in primary schools. As a journalist, she collaborated with Gość Niedzielny, Radio Plus Tarnów and with the Catholic portal Opoka , where she edited information based on the service of the Polish section of Radio Vatican. She wrote for the Polish-American monthly Nasze Słowa in Hanover. She was a member of the board of the Catholic Youth Education Center ""Kana"" in Tarnów.
In 2005 , from the Civic Platform list, she was elected MP of the 5th term in the Tarnów constituency. In the parliamentary elections in 2007, she won a parliamentary seat for the second time, receiving 10,480 votes. In the 2011 elections, she successfully ran for re-election with 9,724 votes. In 2014, the weekly Polityka, based on a ranking conducted among Polish parliamentary journalists, listed Urszula Augustyn among the top 10 MPs, emphasizing in particular her contribution to the issue of education.


== See also ==
Members of Polish Sejm 2005-2007


== References ==


== External links ==
Urszula Augustyn - parliamentary page - includes declarations of interest, voting record, and transcripts of speeches."
2,"Barbara Halina Bartuś (née Gurbisz; born 3 July 1967) is a Polish politician from Law and Justice. She has sat in the Sejm since 2007.


== Early life ==
Bartuś was born in Gorlice.


== Personal life ==
She is married (husband Adam Bartuś) and has two daughters: Anna and Beata.


== References =="
3,"Małgorzata Maria Bartyzel (12 November 1955 – 23 July 2016) was a Polish politician. She was elected to Sejm on 25 September 2005, getting 8,333 votes in 9 Łódź district as a candidate from the Law and Justice list. She worked at the University of Economics and Human Sciences in Warsaw.


== See also ==
Members of Polish Sejm 2005-2007


== References ==


== External links ==
Małgorzata Maria Bartyzel - parliamentary page - includes declarations of interest, voting record, and transcripts of speeches."
4,"Halina Maria Bieda (born 6 October 1962 in Chorzów) is a Polish politician. She was elected to the Senate of Poland (10th term) representing the constituency of Katowice.


== References =="
5,"Magdalena Agnieszka Biejat [ˈmaɡdalɛna ˈbiɛjat]  (born 11 January 1982) is a Polish politician and translator of Spanish-language literature. She was a member of the Sejm for Warsaw I between 2019 and 2023, when she was elected to Senate for the 45th district (Western Warsaw). Since 13 November 2023 she is serving as a Deputy Marshal of the Senate. She is one of the co-leaders of Left Together and one of the leaders of The Left coalition.


== Career ==
Magdalena Biejat studied sociology at the University of Granada and Complutense University of Madrid.
Professionally she was a translator of Spanish-language literature. She is also associated with non-governmental organizations, including the Helsinki Foundation for Human Rights (Poland).


== Politics ==
In 2015, she joined Left Together and sat on the council of the Warsaw district.
In 2019, she became deputy chairman of The Left political alliance.She has participated in multiple strikes against the tightening of the Polish abortion law and in Polish Pride Parades. On 19 November 2020, during one of the protests, she was attacked with tear gas by a policeman, despite not posing any threat and despite showing her MP ID. The worrying situation raised concerns about the brutality of the Polish police during street protests.In 2022, she became a co-leader of Left Together alongside Adrian Zandberg. In the 2023 election she successfully ran for one of the Warsaw seats (45th district) in the Senate. Biejat was endorsed by the Senate Pact.In early 2024 she was announced as The Left's candidate for the mayor of Warsaw in the upcoming local elections. The campaign has also been endorsed by her native Left Together, Miasto Jest Nasze, and Polish Socialist Party.


== Personal life ==
Biejat lives in the Praga district of Warsaw. She is married and has two children. She declared being vegetarian.


== See also ==
Agnieszka Dziemianowicz-Bąk
Paulina Matysiak
Dorota Olko
Adrian Zandberg
Left Together


== Notes ==


== References =="
6,"Elżbieta Ewa Bieńkowska (Polish pronunciation: [ɛlʐˈbʲiɛta bʲiɛɲˈkɔfska]; née Moycho; born on 4 February 1964 in Katowice) is a Polish politician who served as Poland's Deputy Prime Minister and Minister of Regional Development and Transport before becoming a European Commissioner in the team of Jean-Claude Juncker from 2014 to 2019.Bieńkowska was Minister of Regional Development in Prime Minister Donald Tusk's Cabinet from 16 November 2007 until 27 November 2013, when she was appointed Deputy Prime Minister of Poland while continuing her previous responsibilities at the Ministry of Infrastructure and Development.


== Education ==
Bieńkowska graduated from Jagiellonian University with a Master's degree in Oriental Philology in 1989. She has also received a post-graduate Diploma from the Polish National School of Public Administration and afterwards a postgraduate studies MBA from SGH Warsaw School of Economics.


== Professional career ==
Bieńkowska's career in public administration started at Katowice City Council where she worked on regional contracts being promoted, in 1999, as head of Katowice's Department for Economy. Later that year, she was appointed Director of Regional Development for the Silesian Voivodeship, where she served until 2007.


== Career in politics ==
Bieńkowska describes herself as a technocrat. She is not a party member, and was elected to the Senate of Poland in 2011 as an independent candidate, backed by the Civic Platform.


=== Minister for Infrastructure and Development, 2007–2013 ===
In the government of Prime Minister Donald Tusk, Bieńkowska served as Minister for Infrastructure and Development for Poland, as well as Deputy Prime Minister from the end of 2013 until the end of September 2014. In this capacity, she was charge of allocating European Union funding and the country's transport infrastructure. Under her leadership, the ministry was Poland's second-largest department after the ministry of finance, with 1,600 employees and nine deputy ministers. In February 2013, she secured €105.8 billion from the EU budget for 2014-20.


=== Member of the European Commission, 2014–2019 ===
On 3 September 2014, Bieńkowska was announced as the Polish nominee to the European Commission, in place of foreign affairs minister Radek Sikorski, who had been put forward in August in a bid to secure the post of High Representative of the Union for Foreign Affairs and Security Policy.On 10 September 2014, Juncker designated Bieńkowska as European Commissioner for Internal Market, Industry, Entrepreneurship and SMEs, following which, on 1 November 2014, she took office in the Juncker Commission. 
In her capacity as Commissioner, Bieńkowska was in charge of the industrial part of the EU’s defence and security strategy and chaired the European Commission's High-level Group of Personalities on Defence Research from 2015. In 2016, she proposed the European Defence Fund and the accompanying European Defense Industrial Development Program, as part of the response to Britain’s decision to leave the EU.Also during her time in office, Bieńkowska pushed for the European Commission to have oversight powers to supervise national controls and tests for cars in the wake of the Volkswagen emissions scandal. In 2018, she called for investing Horizon Europe funds of €20 billion into artificial intelligence research.


== Other activities ==
TuBerculosis Vaccine Initiative (TBVI), Member of the Governance Board
Una Europa Association, Member of the Advisory Board


== Honours and decorations ==
 - Commander (with Sash), Royal Norwegian Order of Merit
 - Fire Service Medal (Gold), Katowice


== Personal life ==
Bieńkowska is married and has three children.


== See also ==
Bieńkowski coat of arms


== References ==


== External links ==
www.premier.gov.pl
www.elections2014.eu
Bieńkowski / Princess Radziwiłł marriage
www.fakt.pl"
7,"Barbara Maria Blida, née Szwajnoch (3 December 1949 – 25 April 2007) was a Polish political figure who served in the nation's Parliament (Sejm) for 16 years (1989–2005), including a stint as a member of the cabinet, and whose suicide in the midst of an investigation for corruption became front-page news in Poland as well as in a number of news outlets around the world.


== Early years ==
A native of the city of Siemianowice Śląskie, an administrative center of the Metropolitan Association of Upper Silesia, Barbara Maria Szwajnoch joined, in 1969, at the age of 20, Polish United Workers' Party, the name used by the Communist Party ruling Poland since the period following World War II.  Family tradition to the contrary, she remained a member until the Party's termination and restructuring twenty years later.   From 1968 to 1977 she was employed as a workplace safety specialist at the Chorzów nitrogen works and, by 1976, had graduated from the Silesian University of Technology with a major in sanitary engineering.


== Political career ==
Using her married name, Barbara Blida, she was elected to the Sejm as a member of the Workers' Party in June 1989 and served for six consecutive terms, until 2005.  Seven months after taking her seat, following the January 1990 dissolution of the Party in the context of the 1990–91 fall of Communism, she continued as a member of the Party's political successors, Social Democracy of the Republic of Poland (1990–99) and Democratic Left Alliance (1999–2004) and, having resigned from the Alliance in 2004, served out her last year as an independent member. During her service in the Sejm, she was appointed, on 26 October 1993, to the cabinet of Prime Minister Waldemar Pawlak as Minister for Construction and Spatial Management and served in that capacity in subsequent governments of Józef Oleksy and Włodzimierz Cimoszewicz until 31 December 1996, when the ministry was transformed into the Central Office for Housing and Municipal Development, with Blida remaining in charge until Cimoszewicz's government ended its term on 17 October 1997. The ministry ended with her and, three years later was restored as Ministry of Regional Development and Construction, headed by Jerzy Kropiwnicki.  Following tenure as a member of the cabinet, she continued as a member of the Sejm for eight years, but also ventured into business, becoming, in 2001, the president of J.W. Construction sp. z o.o., one of Poland's largest real-estate developers.


== Accusation of corruption followed by suicide ==
According to media accounts and later official reports, Barbara Blida was named as one of the officials who received illegal payments from businesswoman Barbara Kmiecik, one of the richest women in the country during the 1990s, whom the press had dubbed ""Alexis of Polish mining"" or ""Alexis of Silesia"", after the money/power-hungry ""Alexis Carrington"" character on the then-popular prime-time soap Dynasty.  Following her 2005 arrest for corrupting public officials involved with the so-called ""coal mafia"", Kmiecik allegedly named a number of officials, including Barbara Blida, although the authorities did not release any names, nor details of Kmiecik's revelations.
On the early morning of Wednesday, 25 April 2007, representatives of ABW (Agencja Bezpieczeństwa Wewnętrznego [Agency of Internal Security]) entered Blida's house in Siemianowice Śląskie with a prosecutor's warrant to arrest her and search the house for evidence. According to ABW reports, during the search, she asked for permission to use the bathroom, where she shot herself through the heart using her Astra 680 revolver, with subsequent resuscitation efforts by ABW agents proving to be fruitless.


== Aftermath ==
Barbara Blida, who was 57 years old at the time of her suicide, became the top news item in the Polish media that day, and sparked many comments and controversies, which were also voiced during a special Sejm session. ABW was accused of unprofessional handling of the matter, especially for not ascertaining that Blida relinquished the weapon, since it was public knowledge that she was granted a permit for and owned one after threats on her life in previous years. Some sources also purported that her death could not come as a result of planned suicide, but rather from a scuffle with ABW agents, an accusation promptly dismissed by the officials.  Opposition leaders subsequently called for the resignation of Minister Zbigniew Wassermann, the Secret Services Coordinator, but during a hearing in the Sejm he announced he had no intentions of resigning and stated that Prime Minister Jarosław Kaczyński should, instead, suspend the chief of ABW.


== References ==
W.Ż. ""Ex-Minister in Suicide Shock"". (The Warsaw Voice, 9 May 2007)
Filipowicz, Danuta. ""Barbara Blida takes own life"" (Krakow Post, 22 July 2007) Archived 16 February 2012 at the Wayback Machine
Pietraszewski, Marcin. ""Forgery Against Blida"". (Gazeta Wyborcza {English-language edition}, 12 May 2009)


== External links ==
Barbara Blida at the Sejm website (includes declarations of interest, voting record and transcripts of speeches) [in Polish]"
8,"Anita Błochowiak [aˈɲita bwɔˈxɔvʲak] (born 7 November 1973) is a Polish politician who has been serving in the country's national parliament, the Sejm, since 2001.
A native of the town of Pabianice, the seat of Pabianice County, within the metropolitan area of Łódź, the nation's third-largest city, Błochowiak was elected, on 23 September 2001, as a member of the Democratic Left Alliance, to represent Sieradz district 11 in the Sejm. She was re-elected from the same district on 25 September 2005, receiving 3451 votes, and again retained her seat two years later, in the 21 October 2007 Polish parliamentary election.


== See also ==
Members of Polish Sejm 2001-2005
List of Sejm members (2005–2007)


== External links ==
Anita Błochowiak's political website (includes photographs)
Anita Błochowiak at the Sejm website (includes official photograph, personal interests, voting record and transcripts of speeches)"
9,"Krystyna Maria Bochenek (née Neuman) (30 June 1953 – 10 April 2010) was a Polish journalist, politician and Vice-Marshal of the Senate of the Republic of Poland representing Civic Platform (Platforma Obywatelska). She died in office on board the Polish presidential jet in the Smolensk air disaster, along with the President of Poland.


== Biography ==
Krystyna Bochenek was born in Katowice, and graduated from a high school there, proceeding to study at the University of Silesia. In 1976, she became a journalist for Polish Radio Katowice. For many years, she worked with the press and television. She was responsible for the popularization of the culture of the Polish language and the popularization of health. She organized events abroad promoting the Polish language. Besides that, she also prepared nearly a thousand hours of programming on health, including Medical Magazine on radio. She co-wrote the TV program A to Health.
She was part of the Polish Language Council at the Presidium of the Polish Academy of Sciences (including the President of the Language in the Media Commission). She initiated the resolution on the establishment by the Senate of 2006 as the Year of the Polish Language. She organized scientific conferences, i.e. Polish language legislation, Polish language politicians at the beginning of the 21st century, as well as Polish Language Festival 2006, which took place under the patronage of the Marshal of the Senate Bogdan Borusewicz, with 5,000 people participating.
She was the head of the Silesian Scholarship Fund. She served as Vice-President of the Programme Council in TVP Polonia.In cooperation with Silesian newsrooms, she led a campaign raising awareness for the prevention of breast cancer in women under the name ""Pink Ribbon"". She has helped many social causes including the Great Orchestra of Christmas Charity, the reconstruction of the burnt Silesian Opera building, the Silesian Theatre and the Mining Families Foundation.
As a non-partisan candidate of the Katowice district, on 26 September 2004, she won the by-election for the Senate on behalf of the Freedom Union. She won again as a senator in 2005, with 53.28% of the votes in the district, this time for the Civic Platform. In the 2007 parliamentary elections, she was given a mandate for a third time with 255 792 votes. On 5 November of the same year, she was appointed Deputy Speaker of the Senate for her seventh term. During this time, she was Vice-President of the Parliamentary Group for Cooperation with NGOs.


== Death ==
Bochenek was listed on the flight manifest of the Tupolev Tu-154 of the 36th Special Aviation Regiment carrying the President of Poland Lech Kaczyński, who was on his way to the 70th anniversary memorial of the Katyn massacre, which crashed near Smolensk-North airport near Pechersk near Smolensk, Russia, on 10 April 2010, killing all aboard.

On 22 April 2010, she was buried in the cemetery on Sienkiewicza Street in Katowice.


== Honours and awards ==
Commander's Cross with Star of the Order of Polonia Restituta (April 2010)


== References ==


== External links ==
This article may be expanded with text translated from the corresponding article in the Polish Wikipedia. (April 2010) Media related to Krystyna Bochenek at Wikimedia Commons"
