Sviatlana Tsikhanouskaya,Belarus 
Olga Abramova (politician),Belarus 
Alena Anisim,Belarus 
Natallia Eismant,Belarus 
Maria Kalesnikava,Belarus 
Hanna Kanapatskaya,Belarus 
Tatsiana Karatkevich,Belarus 
Natalya Kochanova,Belarus 
Alena Kupchyna,Belarus 
Tamara Manukova,Belarus 
Natalia Petkevich,Belarus 
Ivonka Survilla,Belarus 
Veronika Tsepkalo,Belarus 
Sviatlana Tsikhanouskaya,Belarus 
Lidia Yermoshina,Belarus 
Boryana Straubel,Bulgaria
Sasha Bezuhanova,Bulgaria
Kristalina Georgieva,Bulgaria
Irina Bokova,Bulgaria
Maria Bakalova,Bulgaria
Antoaneta Vassileva,Bulgaria
Atidzhe Alieva-Veli,Bulgaria
Mariya Gabriel,Bulgaria
Hristina Hristova,Bulgaria
Filiz Hyusmenova,Bulgaria
Iliana Iotova,Bulgaria
Iliana Ivanova,Bulgaria
Rumiana Jeleva,Bulgaria
Marusya Ivanova Lyubcheva,Bulgaria
Eva Maydell,Bulgaria
Iskra Mihaylova,Bulgaria
Nadezhda Neynsky,Bulgaria
Monika Panayotova,Bulgaria
Antonia Parvanova,Bulgaria
Tsvetelina Penkova,Bulgaria
Bilyana Raeva,Bulgaria
Lydia Shouleva,Bulgaria
Jana Bobošíková,CZ
Zuzana Brzobohatá,CZ
Andrea Češková,CZ
Dita Charanzová,CZ
Martina Dlabajová,CZ
Věra Flasarová,CZ
Markéta Gregorová,CZ
Jana Hybášková,CZ
Kateřina Konečná,CZ
Radka Maxová,CZ
Alena Palečková,CZ
Zuzana Roithová,CZ
Nina Škottová,CZ
Michaela Šojdrová,CZ
Veronika Vrecionová,CZ
Gabriella Bábi-Szottfried,Hungary
Mónika Bartos,Hungary
Ildikó Bene,Hungary
Éva Brájer,Hungary
Bernadett Budai,Hungary
Judit Csabai (politician),Hungary
Katalin Cseh,Hungary
Katalin Csöbör,Hungary
Judit Czunyi-Bertalan,Hungary
Emese Danks,Hungary
Ibolya Dávid,Hungary
Márta Demeter,Hungary
Klára Dobrev,Hungary
Dóra Dúró,Hungary
Ilona Ékes,Hungary
Katalin Ertsey,Hungary
Erika Gulyás,Hungary
Szófia Havas,Hungary
Éva Hegedüs,Hungary
Rózsa Hoffmann,Hungary
Krisztina Hohn,Hungary
Lívia Járóka,Hungary
Monika Karas,Hungary
Virág Kaufer,Hungary
Zsófia Koncz,Hungary
Magdolna Lakatos-Sira,Hungary
