bigram,count
"('prime', 'minister')",302
"('parliamentary', 'election')",293
"('born', 'politician')",281
"('european', 'parliament')",209
"('human', 'right')",163
"('united', 'state')",140
"('people', 'deputy')",139
"('deputy', 'state')",125
"('european', 'union')",124
"('member', 'parliament')",115
"('presidential', 'election')",109
"('state', 'university')",109
"('vice', 'president')",109
"('foreign', 'affair')",103
"('became', 'member')",92
"('member', 'committee')",91
"('communist', 'party')",87
"('politician', 'member')",84
"('deputy', 'head')",83
"('politician', 'served')",83
"('member', 'european')",83
"('party', 'region')",83
"('democratic', 'party')",81
"('served', 'deputy')",78
"('national', 'university')",75
"('member', 'national')",71
"('deputy', 'chairman')",69
"('political', 'party')",68
"('national', 'assembly')",68
"('politician', 'elected')",68
"('party', 'list')",67
"('people', 'party')",67
"('master', 'degree')",66
"('first', 'deputy')",64
"('deputy', 'minister')",64
"('member', 'state')",64
"('elected', 'deputy')",63
"('city', 'council')",61
"('elected', 'member')",59
"('deputy', 'prime')",59
"('law', 'justice')",57
"('group', 'relation')",56
"('united', 'party')",55
"('council', 'europe')",54
"('civic', 'platform')",54
"('elected', 'parliament')",53
"('united', 'kingdom')",51
"('liberal', 'party')",51
"('took', 'part')",50
"('local', 'election')",50
"('servant', 'people')",50
"('public', 'administration')",49
"('parliamentary', 'assembly')",48
"('education', 'science')",47
"('relation', 'war')",47
"('list', 'member')",46
"('high', 'school')",46
"('served', 'minister')",46
"('political', 'figure')",46
"('government', 'relation')",46
"('appointed', 'deputy')",45
"('political', 'science')",45
"('election', 'elected')",45
"('chamber', 'deputy')",45
"('uk', 'government')",45
"('social', 'policy')",44
"('electoral', 'district')",43
"('served', 'member')",43
"('international', 'relation')",43
"('chairman', 'committee')",43
"('member', 'party')",43
"('national', 'security')",42
"('head', 'department')",42
"('socialist', 'party')",42
"('sanctioned', 'uk')",42
"('european', 'integration')",41
"('first', 'woman')",41
"('interest', 'voting')",41
"('voting', 'record')",41
"('record', 'transcript')",41
"('transcript', 'speech')",41
"('social', 'democratic')",40
"('declaration', 'interest')",40
"('took', 'place')",39
"('parliament', 'member')",39
"('includes', 'declaration')",39
"('parliamentary', 'group')",38
"('year', 'later')",38
"('legislative', 'election')",38
"('anti', 'corruption')",37
"('secretary', 'state')",36
"('civil', 'society')",36
"('higher', 'education')",36
"('received', 'vote')",36
"('page', 'includes')",36
"('cabinet', 'minister')",36
"('parliamentary', 'committee')",35
"('new', 'york')",35
"('parliament', 'election')",35
"('figure', 'deputy')",35
