bigram,count
"('state', 'duma')",330
"('prime', 'minister')",302
"('parliamentary', 'election')",293
"('verkhovna', 'rada')",260
"('european', 'parliament')",209
"('human', 'right')",163
"('united', 'state')",140
"('russian', 'federation')",140
"('people', 'deputy')",139
"('united', 'russia')",138
"('russian', 'born')",129
"('european', 'union')",124
"('ukrainian', 'parliamentary')",111
"('presidential', 'election')",109
"('vice', 'president')",109
"('state', 'university')",108
"('soviet', 'union')",107
"('foreign', 'affair')",103
"('polish', 'politician')",103
"('th', 'state')",103
"('yulia', 'tymoshenko')",100
"('deputy', 'th')",95
"('became', 'member')",92
"('member', 'parliament')",91
"('communist', 'party')",87
"('ukrainian', 'born')",85
"('russian', 'politician')",83
"('politician', 'member')",83
"('party', 'region')",83
"('deputy', 'head')",82
"('member', 'european')",82
"('democratic', 'party')",80
"('member', 'committee')",80
"('politician', 'served')",80
"('elected', 'sejm')",77
"('served', 'deputy')",76
"('ukrainian', 'politician')",76
"('national', 'university')",75
"('deputy', 'ukraine')",72
"('russian', 'invasion')",69
"('federation', 'council')",69
"('invasion', 'ukraine')",68
"('political', 'party')",68
"('national', 'assembly')",68
"('deputy', 'chairman')",68
"('politician', 'elected')",68
"('th', 'convocation')",68
"('party', 'list')",67
"('people', 'party')",67
"('born', 'may')",67
"('master', 'degree')",66
"('th', 'term')",65
"('rada', 'ukraine')",65
"('born', 'september')",64
"('born', 'october')",64
"('born', 'august')",64
"('born', 'january')",64
"('member', 'national')",64
"('first', 'deputy')",63
"('deputy', 'minister')",63
"('russia', 'party')",62
"('elected', 'deputy')",61
"('city', 'council')",61
"('saint', 'petersburg')",61
"('vladimir', 'putin')",61
"('deputy', 'prime')",59
"('th', 'th')",57
"('law', 'justice')",57
"('group', 'relation')",56
"('member', 'state')",55
"('council', 'europe')",54
"('born', 'march')",54
"('member', 'polish')",54
"('civic', 'platform')",54
"('elected', 'member')",53
"('born', 'november')",52
"('united', 'kingdom')",51
"('born', 'june')",51
"('also', 'member')",51
"('liberal', 'party')",51
"('president', 'ukraine')",51
"('russo', 'ukrainian')",50
"('ukrainian', 'war')",50
"('took', 'part')",50
"('born', 'april')",50
"('local', 'election')",50
"('born', 'december')",50
"('republic', 'moldova')",50
"('servant', 'people')",50
"('public', 'administration')",49
"('parliamentary', 'assembly')",48
"('born', 'february')",48
"('petro', 'poroshenko')",48
"('education', 'science')",47
"('high', 'school')",46
"('served', 'minister')",46
"('political', 'figure')",46
"('polish', 'sejm')",46
"('relation', 'russo')",46
"('appointed', 'deputy')",45
