trigram,frequency
verkhovna_rada_ukraine,59
th_state_duma,55
united_russia_party,53
russian_invasion_ukraine,45
relation_russo_ukrainian,42
deputy_prime_minister,40
sanctioned_uk_government,39
russian_political_figure,36
deputy_state_duma,34
september_getting_vote,31
ukrainian_presidential_election,31
elected_verkhovna_rada,30
tara_shevchenko_national,27
national_assembly_mp,25
president_vladimir_putin,24
inter_parliamentary_relation,24
committee_foreign_affair,23
petro_poroshenko_bloc,23
foreign_affair_minister,21
servant_people_party,20
