,articles
0,"Antonia Albert (born 1989 or 1990 (age 33–34)) is an Austrian business economist and entrepreneur. In 2015, she co-founded the startup Careship in Berlin, Germany as an online marketplace for in-home senior care. Albert helped raise $4 million in investor funding in 2017, and an additional $6 million in 2018. Careship has expanded to the state of North Rhine-Westphalia as well as the cities of Hamburg, Dusseldorf and Frankfurt.


== Careship ==
When Albert's grandmother became sick in 2014, her family had great difficulty finding a suitable caregiver. In response, she co-founded the startup Careship with her brother Nikolaus Albert to create a virtual marketplace for in-home senior care. Careship uses an online “matchmaking algorithm” to connect families needing senior care with qualified self-employed caregivers. Caregivers can help with common tasks such as cooking, shopping and cleaning. On the platform, caregivers set their own price and Careship handles billing and coordinating insurance payments.Albert and her brother raised $4 million in investor funding for Careship in 2017, and an additional $6 million in 2018. The marketplace was initially only offered in Berlin but has expanded to the state of North Rhine-Westphalia as well as the cities of Hamburg, Dusseldorf and Frankfurt. They would like to expand into Austria in 2018.The business model used by Careship and similar services is controversial. Product testing organization Stiftung Warentest examined cleaning services in October 2014 and came to the conclusion that the service matched the online promise only in four out of ten cases.


== Biography ==
Albert is from Vienna, Austria. She studied business administration in the Netherlands and Switzerland, receiving a BSc in International Business Administration in 2012 and a MSc in Strategic Management in 2013. Before co-founding Careship with her brother, she worked as a business economist for internet holding company Rocket Internet. Antonia was voted one of the 100 most Inspiring Women 2015 by BBC and was included on the 2018 Forbes ""30 Under 30"" list.


== References =="
1,"Annemie Vanackere (born 1966 in Kortrijk) is a Belgian festival curator and theatre director. Since 2012, she has been the artistic director and managing director of the Hebbel am Ufer Theatre in Berlin.


== Life ==
Vanackere studied theatre and cinema for one year in Leuven and philosophy in Leuven and Paris. where she also attended seminars by Jacques Derrida at the Sorbonne. She worked as a production manager before taking over as artistic director of the Nieuwpoorttheater in Ghent in 1993. From 1995 to 2011, she was employed at the Rotterdamse Schouwburg, since 2001 as artistic co-director as well as director of the Productiehuis Rotterdam, which is affiliated to the Schouwburg. Until 2011, Vanackere was artistic director of the international theatre, dance and performance festival in Rotterdam, ""De Internationale Keuze van de Rotterdamse Schouwburg"", which she co-founded in 2001. 
In February 2012, Vanackere moved to Berlin and took over as artistic director and managing director of the Theater Hebbel am Ufer (HAU) there in September. Her contract was extended twice during her directorship and is currently limited until the end of August 2025. In 2020, Vanackere was one of the initiators of the Initiative GG 5.3 Weltoffenheit.
Vanackere is a member of the advisory board of the Einstein Stiftung Berlin.


== Publications ==
As editor

with Sarah Reimann: Utopie und Feminismus, series HKW – 100 Jahre Gegenwart Band 008. Matthes & Seitz Berlin, 2018, ISBN 978-3-95757-414-5.


== Films ==
As co-producer

2019 The Great Pretender, director: Zachary Oberzan (US)


== References ==


== External links ==
Literature by and about Annemie Vanackere in the German National Library catalogue
Annemie Vanackere at IMDb"
2,"Barbara Wolfgang-Krenn, also known as Barbara Krenn (born 19 December 1969 in Bad Aussee; died 3 April 2019 in Vienna), was an Austrian entrepreneur and politician of the Austrian People's Party (ÖVP). On 9 November 2017, she was sworn in as a member of the Austrian National Council.


== Life ==
Among other things, Krenn worked as a management assistant at the Hotel Yachtclub Timmendorfer Strand. Her parents ran the Krenn Inn in Pürgg, which she ran from 1988 to 2016 as an innkeeper. As an entrepreneur, she was promoted to the position of the head of the Styrian innkeeper's department in the Styrian Chamber of Commerce. At the same time, she was active in the community, where she joined the local council in 1995, took over the function of head of tourism in 1998, and held the office of mayor of Pürgg-Trautenfels from 2007 to 2014. She was a candidate for the Austrian People's Party (ÖVP) in the 2013 legislative elections.After an unsuccessful surgery in 2014, she became paraplegic and thus resigned from all functions, selling the inn to Dietrich Mateschitz.In November 2018 she succeeded Dorothea Schittenhelm as the women's spokeswoman of the ÖVP parliamentary group.Barbara Wolfgang-Krenn died of cancer in April 2019. Her seat on the National Council went to Karl Schmidhofer, and Juliane Bogner-Strauß succeeded her as women's spokeswoman.


== References ==


== External links ==
Barbara Wolfgang-Krenn in EnnstalWiki
Barbara Wolfgang-Krenn in the website of the Austrian Parliament
Barbara Wolfgang-Krenn at www.meineabgeordneten.at"
3,"Carmen Jeitler-Cincelli (born 27 July 1980 in Innsbruck), often shortened as Carmen Jeitler, is an Austrian entrepreneur, politician (ÖVP) and member of the Austrian National Council. She is Deputy General Secretary of the Austrian Business Association and City Councilor for Economics and City Marketing of the spa town of Baden bei Wien.


== Education ==
Carmen Jeitler-Cincelli (née Cincelli) attended the elementary school in Sistrans and then the Akademisches Gymnasium Innsbruck, where she graduated in 1999 with the Matura. She completed her bachelor's degree and then master's degree in journalism and communication science at the University of Vienna. She took electives from law and philosophy.In 2018 she completed an executive course at the Executive School of Management, Technology and Law at the University of St. Gallen.


== Work ==
Carmen Jeitler-Cincelli has been a partner since 2002 and a member of the management board of a communication and consulting firm established together with her husband. Since 2014 she is the sole managing director of the company. Her professional interests include location marketing, design and staging in commerce and communication for public institutions.As a speaker, she speaks on the topics of courage culture, leadership and city marketing, and destination branding.


== Politics and public functions ==
Carmen Jeitler-Cincelli was already involved politically and socially in various fields during her schooling and studies.
From the year 2007, she worked as district chairwoman of the association Woman In The Economy for the district Baden, which she held until the year 2015. In 2009, she ran for the  European Parliament in the European elections of that year. In 2012, she was elected as the chairwoman of the Wirtschaftsbundes Baden. She unsuccessfully ran for the National Council in 2013. In 2014, she assumed the honorary position of chairwoman of the City Marketing Baden association with the aim of reviving the inner city of Baden and founded the non-profit regional lifestyle magazine Baden Passion, as its editor and editor-in-chief. As part of the 2014 program Evolution People's Party, she was Evolution Ambassador and participated in the substantive reorientation of the People's Party.In 2015, she ran for the city council of Baden and was appointed to the municipal council after the election as a councilor for business and city marketing. In her function as city councilor, she was responsible for the new development of the destination brand Baden bei Wien.In the National Council election of 2017, Carmen Jeitler-Cincelli ran as a leading candidate of the new People's Party in the newly created regional constituency Thermenregion and gained a seat in the XXVI. National Council.Carmen Jeitler-Cincelli negotiated the chapter on women in the coalition contract in the coalition negotiations on government formation following the election.On 8 March 2018, her appointment as Deputy Secretary General of the Austrian Business Association was announced with the task of strengthening and expanding the area of social policy.


=== Parliamentary tasks ===
Carmen Jeitler-Cincelli is a member of the following parliamentary committees:
Foreign Policy Committee
Permanent Subcommittee on European Union Affairs
Permanent Subcommittee on matters relating to the European Stability Mechanism
Equal Treatment Committee (deputy chairwoman)
Committee on Family and Youth (secretary)
Committee on Human RightsShe is a substitute member of the Committee on Internal Affairs, the Committee on Economic Affairs, Industry and Energy, the Tourism Committee, and the Education Committee.


== Awards ==
Carmen Jeitler-Cincelli has received numerous awards for her work in her communications company and has won more than 40 prizes in creative competitions over the years. Her company was repeatedly the most awarded advertising agency in Lower Austria. On a personal level, Carmen Jeitler won a runner-up in the young talent competition Cannes Young Lions Austria twice.


== Personal life ==
Carmen Jeitler-Cincelli is married to the entrepreneur and anti-corruption expert Georg H. Jeitler and is the mother of three children. The children of the couple were born in the years 2002, 2005 and 2009. Carmen Jeitler lives and works in Baden bei Wien since 2001. She is a member of the Christian secondary school association Ch.Ö.M.M.V. Veldidena Innsbruck.


== Publications ==
Erwartungen, mediale Bilder und ein möglicher Weg. In Poier, K. / Konschegg, K. / Spannring, J. (Hg.): Jugend und Soziale Gerechtigkeit. Leykam, Graz 2008, ISBN 978-3-7011-0132-0
Vom Point of Sale zum Point of Tale – Der Verkaufsort als Träger von Geschichten. Magisterarbeit, Universität Wien 2012
Baden bei Wien: Mit viel Mut zur starken Stadtmarke. Der Faktor Mensch im Destinationsbranding. In Kausch, T. / Pirck, P. / Strahlendorf, P. (Hg.): Städte als Marken 2: Herausforderungen und Horizonte. New Business, Hamburg 2017, ISBN 978-3936182606


== References ==


== External links ==
Personal website of Carmen Jeitler-Cincelli
Carmen Jeitler-Cincelli on Facebook
Carmen Jeitler-Cincelli on the Austrian Parliament website
Website of the city of Baden
Website of the association Stadtmarketing Baden
Website of the non-profit regional lifestyle magazine ""Baden Passion
Carmen Jeitler-Cincelli in www.meineabgeordneten.at"
4,"Dora van der Groen (10 March 1927 – 8 November 2015) was a Belgian actress and theatre director.She appeared in more than 120 films and television shows between 1945 and 2003. She played Vrouw Coene in Wij, Heren van Zichem and  starred in the 1975 film Dokter Pulder zaait papavers, which was entered into the 26th Berlin International Film Festival. She spent her later years in a nursing home, and died in 2015 at the age of 88.


== Partial filmography ==


== References ==


== External links ==
Dora van der Groen at IMDb"
5,"Francine Swiggers is a Belgian businesswoman, the Chairman of the Management Board of the ARCO Group since November 2007.


== Biography ==
Francine Swiggers obtained a licence in Applied Economic Sciences and Master in Business Administration at the Katholieke Universiteit Leuven (Leuven, Belgium).
Francine Swiggers started her career at the BACOB Bank of the Catholic workers organisation beweging.net (formerly known as ACW). Since 1995, she was in charge of the strategic planning.
She is a member of the Management Board of ARCO Group since 1997. In 2010–11, the group was hit hard by the Dexia crisis. In 2013, as ARCO was heading towards bankruptcy (96% of ARCO's assets had been invested in Dexia prior to its debacle), it appeared that Francine Swigglers still had sixteen remunerated mandates within the company.She is also Director of Dexia Crédit Local, VDK Spaarbank and the Belgian water treatment company Aquafin.
In 2019 she filed a lawsuit against Arco investors that started a lawsuit against her in light of the Arco legal issues.


== Sources ==
Francine Swiggers (press release)
Francine Swiggers is machtigste zakenvrouw van België


== References =="
6,"Ingeborg J. Hochmair-Desoyer (born 1953) is an Austrian electrical engineer and the CEO and CTO of hearing implant company MED-EL. Dr Hochmair and her husband Prof. Erwin Hochmair co-created the first micro-electronic multi-channel cochlear implant in the world.  She received the Lasker-DeBakey Clinical Medical Research Award for her contributions towards the development of the modern cochlear implant. She also received the 2015 Russ Prize for bioengineering.In 1989, she co-founded the medical device company MED-EL.


== Biography ==
Ingeborg Hochmair was born in 1953 in Vienna, Austria. Her mother was a physicist and her father was Dean of the Faculty of Mechanical Engineering at Vienna University of Technology. Her grandmother was one of the first female chemical engineers in Austria.
She commenced her studies at Technical University of Vienna in electrical engineering in 1971, and in 1975, she became the first woman in Austria to receive a PhD in electrical engineering. Her dissertation was on the ""Technical realization and psychoacoustic evaluation of a system for multichannel chronic stimulation of the auditory nerve.""From 1976 to 1986, she worked as Assistant Professor at the Institute of General Electrical Engineering and Electronics at Technical University of Vienna. She also worked at Stanford University's Institute for Electronics in Medicine as a Visiting Associate Professor in 1979. In 1986, she moved from Vienna to Innsbruck, where she taught (first as Assistant Professor and later as Associate Professor) at the Institute of Applied Physics Electronics of University of Innsbruck until 1989. In 1998 she achieved Venia Legendi (Univ. Doz.) in Biomedical Engineering at the Faculty of Electrical Engineering of Technical University of Vienna.In 1989, Hochmair co-founded the hearing implant company MED-EL, along with husband Erwin Hochmair. She remains CEO and CTO of the company.Outside of MED-EL, Hochmair continues to support research in the field of science and technology. In 2012, an endowed professorship in microelectronics and implantable systems was introduced at the University of Innsbruck’s Institute for Mechatronics, supported by Hochmair. The University of Innsbruck also offers Ingeborg Hochmair Professorships, an endowed professorship aimed at supporting female researchers in science and technology.


== Research & Other Work ==
In 1975, Ingeborg and Erwin Hochmair started the cochlear implant development at Technical University of Vienna with the overall goal of enabling the user not only to hear sounds but also to provide some speech understanding. Together they developed the world's first microelectronic multi-channel cochlear implant. This implant included a long, flexible electrode, which could, for the first time, deliver electric signals to the auditory nerve along a large part of the cochlea, the snail-shaped inner ear. Previous cochlear implant designs provided single-channel stimulation.  The new multi-channel device was implanted in December 1977 in Vienna by Dr Kurt Burian.In 1979, a modified version of this first device allowed a woman to understand words and sentences without lip-reading in a quiet environment via a small, body-worn sound processor. This was a major milestone in the development of modern cochlear implants. This device is the first to actually replace a human sense  Not only that, but it addresses hearing loss, which is number six on the list of the world's most significant disease burdensThrough MED-EL, Hochmair has led many further advances in hearing implant research, including the introduction of a behind-the-ear audio processor in 1991, new sound coding strategies, and the development of single-unit audio processors. A totally implantable cochlear implant is currently in development.Hochmair has over 40 patents to her name, all of which are for components of her cochlear implant. Many of the patents were updated or improved versions of older components for which she filed a new patent. A fairly comprehensive, but incomplete, list of her patents are as follows:
1999 Structure, method of use, and method of manufacture of an implanted hearing prosthesis
1999 Device and method for implants in ossified cochleas
2003 Implantable fluid delivery apparatuses and implantable electrode
2003 Implantable device with flexible interconnect to coil
2006 Implantable fluid delivery apparatuses and implantable electrode
2006 Implantable fluid [housing] apparatuses and implantable electrode
2007 Tinnitus Suppressing Cochlear Implant
2007 Implanted system with dc free inputs and outputs
2008 Cochlear Implant Power System and Methodology
2008 Moving Coil Actuator For Middle Ear Implants
2008 Implant Sensor and Control
2009 Demagnetized Implant for Magnetic Resonance Imaging
2009 Implantable device with flexible interconnect to coil
2009 Demagnetized implant for magnetic resonance imaging
2010 Low power signal transmission
2010 Low Power Signal Transmission (part 2)
2010 Tinnitus Suppressing Cochlear Implant (updated)
2010 Moving coil actuator for middle ear implants
2010 Implantable fluid delivery apparatuses and implantable electrode (part 2)
2011 Implantable Fluid Delivery Apparatuses and Implantable Electrode (part 3)
2011 Implanted system with DC free inputs and outputs
2013 Low power signal transmission (part 3)
2013 Low power signal transmission (update 4)
2013 Implant sensor and control
2014 Implant sensor and control
2015 Implantable Fluid Delivery Apparatus and Implantable Electrode (part 4)
2015 Cochlear Implant Electrode Insertion Support Device
2015 Deployable and Multi-Sectional Hearing Implant Electrode
2015 Deployable and Multi-Sectional Hearing Implant Electrode
2016 Implantable Fluid Delivery Apparatus and Implantable Electrode
2016 Implantable fluid delivery apparatus with micro-valve
2017 Implantable fluid delivery apparatus and implantable electrode (part 5)
2017 Implantable Fluid Delivery Apparatus and Implantable Electrode (part 6)
2019 Implantable fluid delivery apparatus and implantable electrode (part 7)
2020 MRI-Safe and Force-Optimized Implantable Ring Magnet System with an Enhanced Inductive Link
2022 MRI-Safe and Force-Optimized Implantable Ring Magnet System with an Enhanced Inductive Link (part 2)Though she had a number of collaborators, Hochmair contributed to all 36 of these patents in major ways, as the cochlear implant project was hers. As can be seen in the patent timeline above, she has continued to update and improve her device even this year. More than 400,000 people around the world were already using this device as of 2015.


== Publications ==
Ingeborg Hochmair has over 100 scientific publications in the field of Cochlear Implants, Medical Devices, Neuroprotheses, Audio & Speech Processing Technology. Among the most important ones are the following:

with E. Hochmair: Implantable eight-channel stimulator for the deaf. In: Proc. European Solid State Circuits Conf. (ESSCIRC) 77. Ulm, BRD Sept. 1977, S. 87–89.
Verfahren zur elektrischen Stimulation des Hörnervs und Multikanal Hörprothese zur Durchführung des Verfahrens, (1978).
Multifrequency system and method for enhancing auditory stimulation and the like, (1979).
with E. S. Hochmair: Design and fabrication of multi-wire scala tympani electrodes. In: Annals of the New York Academy of Science. Band 405, 1983, S. 173–182.
Technische Realisierung und psychoakustische Evaluation eines Systems zur chronischen Mehrkanalstimulation des Nervus acusticus. Dissertation. TU Vienna, 1981, ISBN 3-85369-491-8.
with E. S. Hochmair und K. Burian: Four years of experience with cochlear prostheses (invited). In: Med. Prog. Technol. 8, 1981, S. 107–119.
with E. S. Hochmair und H. K. Stiglbrunner: Psychoacoustic temporal processing and speech understanding in cochlear implant patients. In: R. A. Schindler, M. M. Merzenich: Cochlear Implant. Raven Press, New York, 1985, ISBN 0-88167-076-6, S. 291–304/.
with C. Zierhofer und E. S. Hochmair: New hardware for analog and combined-analog-and-pulsatile sound-encoding strategies. In: Progress in Brain Research. Vol. 97, Elsevier Science Publishers, 1993, S. 291–300.
with W. Arnold, P. Nopp, C. Jolly, J. Müller und P. Roland: Deep electrode insertion in Cochlear implants: Apical Morphology, electrodes and speech perception results. In: Acta Otolaryngol. 123 (5), 2003, S. 612–617.
with P. Nopp und C. Jolly u. a.: MED-EL Cochlear implants: State of the art and a glimpse into the future. In: Trends in Amplification. 10(4), Dez 2006, S. 201–219.
The importance of being flexible. In: Nat Med. 19 (10), Okt 2013, S. 1240–1244.


== Awards and honours ==
1977      Best Paper Award, European Solid State Circuits Conference, Ulm, BRD 
1981      Technological Excellence Award, 2nd Place, Tech Ex 81, Vienna - Atlanta 
1981      Holzer Prize, Technical University of Vienna
1980      Premio Leonardo da Vinci Award
1984      Sandoz Prize, Vienna
1995      Business Woman of the Year Award (Prix Veuve Clicquot)
1996      Wilhelm Exner Medal
2004      Honorary Doctorate in Medicine, Technical University of Munich
2008      Medal of Honour, State of Tyrol
2010      Honorary Doctorate, Medical University of Innsbruck
2011      Cross of Merit, City of Innsbruck
2012      Honorary Membership of the German Audiological Society (DGA)
2013      Honorary Senator of the University of Innsbruck
2013      Lasker-DeBakey Clinical Medical Research Award, New York, USA 
2014      Ludwig Wittgenstein Prize, Austrian Research Foundation
2015      Fritz J. and Dolores H. Russ Prize, US National Academy of Engineering 
2015      Ring of Honour, State of Tyrol
2015      Johann Joseph Ritter von Prechtl Medal, Technical University of Vienna
2016      Business Advisor, Tyrolean Chamber of Commerce
2016      Technology Prize, Eduard Rhein Foundation Munich
2017      Ring of Honour, District of Garbsen
2018      Honorary Member of the Austrian Academy of Sciences
2018      Shambaugh Prize, Corlas
2018      Honorary Doctorate, University of Bern
2020      Honorary Doctorate, University of Uppsala 
2021    Honorary Doctorate in Science, University of Innsbruck


== Personal life ==
Hochmair is married to her husband and business partner, Erwin Hochmair. The couple have four children.


== References ==


== External links ==
https://web.archive.org/web/20130909164247/http://www.laskerfoundation.org/awards/pdf/2013_c_hochmair.pdf archive-date > 09.09.2013
Interview with cochlearimplantonline
laskerfoundation.org
http://idw-online.de/pages/en/news77329?id=77329
https://www.i-med.ac.at/pr/presse/2010/30.html
http://wirtschaftsblatt.at/archiv/karriere/867516/index
https://web.archive.org/web/20170701212642/http://www.wilhelmexner.at/preistraeger_180.html
http://www.medel.com
2013 Interview on Charlie Rose"
7,"Mieke Offeciers-Van De Wiele (born 12 August 1945 in Kruibeke) is a Belgian businesswoman. From 7 March 1992 to 5 September 1993, she was Belgium's Minister of Budget.


== Biography ==
Mieke Offeciers has a law degree. She started her career at the engineering department of the VEV in 1975. Since 1986, she was head of the study department of the VEV, often lobbying against the shady financial flows between Flanders and Wallonia.From 7 March 1992 to 5 September 1993, she was Belgium's Minister of Budget for the CVP party. After a tenure of 18 months, she returned to work for the VEV as CEO, succeeding to René De Feyter.She left the VEV in June 2000 to work for KPMG. Since 2004, she has been working for Interel, a public affairs and strategic communications consulting firm. In 2004, she also set up a small business to renovate and furnish houses.In 2008, she received a remuneration as board member of Infrabel through a proxy company, bvba MVD Consulting.


== Other roles ==
Former member of the Coudenberg group, a Belgian federalist think tank.
Director of the board of Infrabel


== Personal life ==
She is married to Erwin Offeciers, a doctor.


== References ==


== External links ==
Official biography"
8,"Monika Forstinger (born 15 July 1963) is an Austrian businesswoman and former politician associated with the Freedom Party of Austria (FPÖ).


== Life ==
Forstinger was born in Schwanenstadt, Upper Austria, in 1963. She studied at the University of Natural Resources and Life Sciences, Vienna (BOKU) and the Johannes Kepler University Linz, graduating in 1988 and finishing a doctorate in 1997. She has one son, born c. 2005.She became Minister for Transport, Innovation and Technology in the first Schüssel government on 11 November 2000. Forstinger was repeatedly criticised in this position, for example for issuing a flawed telephone number regulation which was rescinded almost immediately. She resigned in February 2002 after 15 months in office.After leaving politics, Forstinger went to study in France and founded a consultancy firm specialising in risk management. This caused controversy in 2003 when her company received a contract from the state-owned Austrian Federal Railways (ÖBB). In February 2018 she was appointed to the ÖBB supervisory board. In the same year, she became a member of the university council at the BOKU.


== References ==


== External links ==
""Dipl.-Ing. Dr. Monika Forstinger"". parlament.gv.at (in German). Austrian Parliament."
9,"Monisha Kaltenborn (née Narang; born 10 May 1971) is the Austrian former team principal of the Sauber Formula One team and held a 33.3% stake in the outfit, until it was taken over by Longbow Finance S.A. in July 2016. She was the team's chief executive officer from January 2010 until 22 June 2017. She was the first female team principal in Formula One.


== Career ==
Kaltenborn was born in Dehradun, India. Her family emigrated to Vienna when she was a child, and she took Austrian citizenship. From 1990 to 1995 she studied for a law degree at the University of Vienna. She then studied at London School of Economics and was awarded master's degree in International Business Law from University of London in 1996. Whilst still a student in Vienna, she worked for the United Nations Industrial Development Organization and the UN Commission for International Trade Law, and on completion of her studies she worked for various legal firms: first in Stuttgart with Gleiss Lutz; then back in Vienna with Wolf & Theis; and finally for the Fritz Kaiser Group in 1998–1999.
At this stage, Kaiser was a co-owner of the Sauber Formula One team (along with founder and team principal Peter Sauber and Red Bull owner Dietrich Mateschitz), and Kaltenborn was employed to take charge of the team's corporate and legal affairs. By 2000, Kaiser had sold his shares, but Kaltenborn remained with the team as the head of its legal department. From 2001, she has been a member of its management board, and in early 2010, following the team's return to independent status following the withdrawal of former partner BMW, she was appointed CEO of Sauber Motorsport AG. She is also involved in the FIA's Commission for Women and Motorsport, under Michèle Mouton. On 16 May 2012, Peter Sauber transferred a third of the Sauber team to Kaltenborn, making her a part owner. In October, he retired from front-line management of the team, handing her the role of team principal.On 22 June 2017 Sauber F1 Team confirmed Kaltenborn would be leaving the Sauber Group effective immediately through a statement on their website:

Longbow Finance SA regrets to announce that, by mutual consent and due to diverging views of the future of the company, Monisha Kaltenborn will leave her positions with the Sauber Group effective immediately. We thank her for many years of strong leadership, great passion for the Sauber F1 Team and wish her the very best for the future. Her successor will be announced shortly; in the meantime we wish the team the best of luck in Azerbaijan.
In February 2018, Kaltenborn made a return to motorsport with the founding of KDC Racing, which made its racing debut in the Italian and ADAC Formula 4 championships. KDC is a fifty-fifty venture between Kaltenborn - the 'K' of the team's name - and French-Monegasque businesswoman Emily di Comberti, whose son Aaron competed in the BRDC British Formula 3 Championship in 2017.


== Personal life ==
In her first job in Stuttgart, Monisha met Jens Kaltenborn and later married him in Dehradun. They have two children and live in Küsnacht, which is close to the Sauber factory in Hinwil, Switzerland.


== References ==


== Sources ==
""Monisha Kaltenborn"". fia.com. Fédération Internationale de l'Automobile. Retrieved 10 October 2011.
""Monisha Kaltenborn"". sauberf1team.com. Sauber F1 Team. Archived from the original on 20 October 2011. Retrieved 10 October 2011.


== External links ==
Sauber team biography"
