,articles
0,"Marleen Temmerman (born 24 March 1953 in Lokeren, Belgium) is a Belgian gynaecologist, professor and former Senator, currently heading the Centre of Excellence in Women and Child Health at Aga Khan University in Nairobi, Kenya.


== Biography ==
Temmerman has worked in various locations around the world for the health and rights of women and children. Most of her work is in the academic and political international arena, particularly in collaboration with United Nations organizations, such as WHO and UNFPA, as well as the European Union, the African Union, national governments in Europe and Africa, as well as with media and civil society.
Temmerman's diverse skills in academics, science, management and politics, in conjunction with her work in the area of women, children and adolescents' health and rights, led The Lancet to call her ""a polymath in reproductive health"". Her advocacy efforts for women's health and rights inspired the Irish rock band U2, during their concert on 1 August 2017 in the King Baudouin Stadium in Brussels, to include her in the list of inspiring women (""Women of the World Unite"") who were put in the spotlight during the song ""Ultra Violet (Light My Way)"".


=== Professional career ===
Temmerman studied Medicine at Ghent University in Belgium. This choice was primarily made out of social engagement. Her first contact with Africa during an internship in Butare, Rwanda, in 1975 raised her interest in the health and rights of women living in low- and middle-income countries.


==== Early career ====
Trained in obstetrics and gynaecology, tropical medicine and public health, Temmerman was a junior researcher in the 1980s and later a research leader and mentor. She started with research in infertility at the General Hospital of the Free University of Brussels, and followed with clinical epidemiological research on sexually transmitted diseases and HIV at the Department of Microbiology at the Institute of Tropical Medicine in Antwerp, under the leadership of Peter Piot. This position included a lecturing and research assignment at the University of Nairobi, where she was a member of the WHO Collaborative Centre on HIV/STI, Department of Medical Microbiology. She lived in Kenya from 1986 to 1992.


==== Ghent University and the International Centre of Reproductive Health ====
Back in Belgium in 1992, Temmerman founded the International Centre for Reproductive Health (ICRH) at Ghent University, which has sister research organizations in Kenya (ICRHK) and Mozambique (ICRHM) and a large global collaborative academic network. ICRH obtained research funding from the European Commission, the Belgian development cooperation (DGD, BTC]), the Flemish development cooperation (VLIR, FICA), the Special Research Fund (BOF) of Ghent University and other organizations. Many of these research activities took place in sub-Saharan Africa and involved implementation research on a broad range of sexual and reproductive health issues, including HIV/AIDS. In addition, research collaborations were set up with other European countries, China, India, Central and Latin America, Australia and the Russian Federation. ICRH is a WHO Collaborating Centre on Reproductive Health since 2004, and a UNFPA preferential partner.
Since 1995, she has been a full professor of OB/GYN at Ghent University in Belgium, currently with leave of absence. During her over 30 years of clinical work as an obstetrician she supervised over 18,000 births in many parts of the world. She established a worldwide network of universities in the field of reproductive, maternal, newborn and adolescent health, leading to measurable outputs with over 500 publications and around 50 PhD supervisions in Europe, Africa, Latin America and China.


==== World Health Organization ====
In 2012, Temmerman was appointed Director of the Department of Reproductive Health and Research of the World Health Organization. RHR is the main instrument within the United Nations system for research in human reproduction and sexual and reproductive health, bringing together policy-makers and programmers, scientists, health care providers, clinicians, consumers and community representatives to identify and address priorities for research to improve sexual and reproductive health. She provided strategic leadership for WHO within the context of ICPD beyond 2014, Beijing+20 and the post 2015 MDGs and Sustainable Development Goals discussions and led on behalf of WHO the development of the technical content for the Global Strategy on Every Women, Every Child, Every Adolescent 2016–2030.


==== Aga Khan University ====
In December 2015, she retired from the World Health Organization and is since working at Aga Khan University (AKU), based in Nairobi, Kenya as Head of Department Obstetrics & Gynaecology and Director of the Centre of Excellence in Women and Child Health.While in this position, in 2019, Temmerman was also appointed UNESCO Chair on Youth Leadership.


=== Politics ===
Temmerman began her political career with Agalev, the Flemish Green Party. In 2001 she became member of the town council of Lokeren on behalf of Agalev. In 2004 she joined the Socialist Party (sp.a). She was elected as a senator to the Belgian Parliament in 2007 where she served until 2012 as a member of the Commission on Social Affairs, the Committee on European Affairs, the Advisory Committee on Equal Opportunities between Women and Men, and the Committee on the Monitoring of Foreign Missions. In that capacity, she was member of the European Parliamentary Forum and Chair of the HIV/AIDS Advisory Group of the Inter-Parliamentary Union. In 2011 she succeeded Johan Vande Lanotte as fraction leader in the Senate. As an expert on women's health and as a politician, she served as a member of the UN iERG (independent expert review group) till 2012.  In autumn 2012 she left politics to become Director of the Department of Reproductive Health and Research at the World Health Organization. Her successor in the Belgian Senate was Leona Detiège.
On 8 February 2011, after 244 days without Belgian government and inspired by the Aristophanes comedy Lysistrata, she suggested to the spouses of Belgian politicians to ban sex until the country forms a government.


=== Books and publications ===
Temmerman has authored over 600 books and articles in the area of women's health, with a Hirsch index of 98. She published a series of books for the broader public (in Dutch: Onrust in de Onderbuik, Bekentenissen uit de Onderbuik, Milady, Mama Daktari) with stories about women and girls' lives. She has also contributed to a series of online educational videos on pregnancy and childbirth.


=== Awards and honours ===
Temmerman has received several awards and honours for her research and advocacy work, including:

Commander in the Order of Leopold (2008);
Recipient of the three-yearly prize of meritorious gynaecologist from FIGO, the International Federation of Gynaecologists and Midwives, in Cape Town (July 2009);
Lifetime Achievement Award, given in London, from the British Medical Journal (10 March 2010);
Prize of Liberal Humanism from the (Belgian) Humanist-Liberal Society for her commitment to women's rights, health and emancipation (21 June 2013);
Marie Popelin Award for Women's Rights, established by the National Women's Council Belgium and given every five years (January 2016);
Outstanding Female Scientist recognition from European & Developing Countries Clinical Trials Partnership (November 2016).Ghent University established the Marleen Temmerman Fund which relies entirely on voluntary donations. With this Fund the Ghent University honours her faculty staff member and helps to improve the situation of numerous women and children.


=== Personal life ===
Temmerman is married and has a son.


== Notes ==


== External links ==
 Media related to Marleen Temmerman at Wikimedia Commons"
1,"Erika Arnoldine Cornelia Thijs (16 May 1960 – 4 August 2011) was a Flemish politician and member of the Christian Democratic and Flemish party.
Thijs was born in Hasselt.  From 1988, she was a member of the Municipal Council of Bilzen, and, from 1995, she was a Senator directly elected by the Dutch language electoral college.


== External links ==
Official site - (Only available in Dutch)"
2,"Dominique Tilmans (born 1951) is a Belgian politician and a member of the Mouvement Réformateur. She was elected as a member of the Belgian Senate in 2007.


== Notes =="
3,"Annemie Turtelboom (born 22 November 1967) is a former Belgian minister, who is currently serving as the Belgian Member of The European Court of Auditors since 2018.


== Early career ==
Annemie Turtelboom graduated from the Katholieke Universiteit Leuven in 1993 with an MA in economics, having previously obtained a Teaching Certificate from the Guardini Institute in Antwerp in 1988. She proceeded to teach economics at KU Leuven for ten years where she was appointed head teacher. Her lectures ranged from primarily marketing and statistics, to banking and insurance.


== Political career ==
In 2003, Annemie entered the Belgian Federal Parliament as a member of Open VLD.
By 2008, she was appointed as Minister of Migration and Asylum Policy in the Leterme I Government. She became Belgium's minister of the interior in the minister of the interior on 17 July 2009, and retained that office in the Leterme II Government, which took office on 24 November 2009. In 2011, Turtelboom served as the Minister of Justice - the first woman to do so in Belgian history - following the appointment of Elio Di Rupo as new Belgian Prime Minister (2011-2014). From 25 July 2014, Turtelboom served as Flemish minister of Finance, Budget and Energy in the Bourgeois Government (2014-2019). On 29 April 2016, she resigned from her function as minister in the Flemish government,  in order to take up the position of Belgian member of the European Court of Auditors.


== European Court of Auditors, 2018- ==
Annemie is currently the Belgian Member of the European Court of Auditors, the external auditor of the EU. Her portfolio includes audit work related to EU budget, EU public finance, policies related to EU governance, financial instruments and technical assistance in the EU. Most recently, she led audits in the area of EU-China relations and passenger rights.


== References ==


== External links ==
 Media related to Annemie Turtelboom at Wikimedia Commons

Official website"
4,"Ilse Uyttersprot (10 May 1967 – 4 August 2020) was a Belgian Christian Democrat politician who served as a CD&V member of the Chamber of Representatives for East Flanders.

Born in Dendermonde, she was the daughter of Raymond Uyttersprot, former mayor of Moorsel. She was a Chamber member from 2007 to 2010. From 2007 to 2013, she was mayor of Aalst, Belgium. Afterwards, she became a schepen (alderman) of the city.


== Death ==
Uyttersprot was murdered with a hammer in August 2020, aged 53; her boyfriend turned himself in to the police and admitted the crime, after which her body was discovered in an apartment in Aalst. She is survived by two children.


== References =="
5,"Christine Van Broeckhoven (born 9 April 1953) is a Belgian molecular biologist and professor in Molecular genetics at the University of Antwerp (Antwerp, Belgium). She is also leading the VIB Department of Molecular Genetics, University of Antwerp of the Flanders Institute for Biotechnology (VIB). Christine Van Broeckhoven does research on Alzheimer dementia, bipolar mental disorders and other neurological diseases. Since 1983 she has had her own laboratory for molecular genetics at the University of Antwerp, and since 2005 is focussing her research on neurodegenerative brain diseases. She is an associate editor of the scientific journal Genes, Brain and Behavior.


== Honors ==
For her achievements as a scientist, Van Broeckhoven received the Belgian Quinquennial Prize of the Belgian National Science Foundation and in 1993 she and three other scientists were awarded the American Potamkin Prize for their work on the amyloid precursor protein (APP) which can cause severe, early Alzheimer's disease. In 2005, she was awarded the Arkprijs van het Vrije Woord. In 2006, she was awarded as laureate for Europe the international L'Oréal-UNESCO Award for Women in Science of l'Oréal and UNESCO, ""For the genetic investigation of Alzheimer's disease and other neurodegenerative diseases"". She was the winner of the European Inventor Award 2011, category research., and she received the Metlife Foundation Award for Medical Research in Alzheimer's Disease in 2012.


== Involvement in politics ==
On 19 March 2007 it became known that Christine Van Broeckhoven would be a candidate for the Socialist Party – Differently, a center-left social-democratic party, in the 2007 Belgian federal elections. Van Broeckhoven headed the list for the Belgian Chamber of People's Representatives in the province of Antwerp. On 10 June 2007 she was elected a member of the Chamber of People's Representatives. She retired from politics after the 2010 Belgian general election to concentrate on her scientific work.


== See also ==
Jurgen Del-Favero
Vincent Timmerman


== References ==


== External links ==
Christine Van Broeckhoven
Molecular Genetics Department (University of Antwerp)"
6,"Yoleen Van Camp (born 25 August 1987 in Antwerp) is a Belgian politician and is affiliated to the New Flemish Alliance. She has been a member of the Belgian Chamber of Representatives since 2014.


== Biography ==
Van Camp obtained a high school degree (Latin-Modern Languages) in Herentals. After this, she obtained her master's degree in Nursing. Right before being elected in 2014, she gained a PhD in Medical Sciences from the University of Antwerp. She lives in Herentals.
She was elected as a local councilwoman for the town council of Kasterlee in 2012. As she moved to Herentals, she no longer holds office in Kasterlee since December 2015.At the Belgian federal elections on 25 May 2014, Van Camp was elected for the Chamber of Representatives with a higher number of votes than she expected. She took office on 19 June 2014. She was the youngest Flemish representative. She is a member of several parliamentary committees, among which the Health, Environment and Social Innovations Committee and the Naturalization Committee.On 11 July 2017, she caused concern by tweeting that she does not acknowledge the Belgian National Holiday as a public holiday. She considers 11 July, the non-official Flemish Region Holiday, to be her national holiday.


== Scandal ==
In Juli 2018 Yoleen caused an uproar in Herentals when her LinkedIn profile briefly contained an internal e-mail in which she disrespected several of her fellow political co-workers. She even made a comment about one co-worker with a speech impediment, saying it was exhausting communicating with him.  When confronted with the e-mail Yoleen made quick accusations telling her ex-boyfriend was probably responsible, hacking her LinkedIn profile. Her boyfriend was quick to dismiss these accusations, to which Yoleen filed a complaint with the police.
In the following days several members of N-VA Herentals left or were forced to leave the party. Some of them had publicly said the accusations Yoleen made towards her ex-boyfriend were unfounded. They also blamed Yoleen for being unrespectful towards other people.to which some of the former members started a new political party, HA! (Herentals Anders / Herentals Differently).


== References =="
7,"Carina EJ Van Tittelboom-Van Cauter (born 27 June 1962) is a Belgian politician from the Open Flemish Liberals and Democrats who has been a member of the Senate of Belgium since 2007. She has been the governor of East Flanders since 1 September 2020.


== References ==


== See also ==
List of members of the Senate of Belgium, 2019–24"
8,"Tinne Van der Straeten (born 1 April 1978) is a Belgian politician who has been serving as Minister of Energy in the De Croo Government since October 2020. She is a member of the Groen party. She previously served in the Chamber of Representatives for Brussels-Halle-Vilvoorde from 2007 to 2010 and later for Brussels from 2019 until 2020, when she resigned to become energy minister.


== Early life and education ==
In 2000, Van der Straeten obtained a degree in African Studies at Ghent University. Subsequently, she started working as a researcher at Université catholique de Louvain. After this, she went to KU Leuven, where she researched labour discrimination. After her studies, she joined Agalev and she was active in Malle. In 2008, she obtained a law degree at the Vrije Universiteit Brussel.


== Political career ==
In the 2007 elections, Van der Straeten was elected a representative in the Belgian federal parliament for the first time. Three years later, in the 2010 elections, she wasn't re-elected. In 2018, Van der Straeten re-enters the political foreground. She becomes alderman of Public Works in Koekelberg and a candidate for the 2019 federal elections on the Ecolo list in Brussels where she was re-elected as a representative. In her second passage in the Chamber, she worked out an agreement on the capacity remuneration mechanism.
Following the 2022 Russian invasion of Ukraine, Van der Straeten led her party's policy shift of extending the life-span of Belgium's remaining nuclear power plants. By July 2022, she reached an agreement in principle with energy provider Engie to extend the lifespan of two nuclear reactors — Doel 4 and Tihange 3 — by 10 years.In May 2022 she announced that Belgium would be funding work on small modular reactors of 25 million euros a year for four years.


=== Timeline ===
10/06/2007 – 13/06/2010:  Representative (constituency of Brussels-Halle-Vilvoorde)


== References ==

3 questions à Tinne Van Der Straeten, La Libre (in French)


== External links ==
 Media related to Tinne Van der Straeten at Wikimedia Commons"
9,"Tine van der Vloet (31 January 1978) is a Belgian politician for the New Flemish Alliance (N-VA).


== Biography ==
Van der Vloet studied for a degree special needs education at the Karel de Grote University of Applied Sciences and Arts in Antwerp.  In the municipal elections of 2012, she was party leader for N-VA in Merksplas and has been a councilor there since 2013. She also became chairman of the N-VA department in Merksplas. Since the 2014 Belgian regional elections she has been a member of the Flemish Parliament for the Antwerp list. She was re-elected 2019.


== References =="
