,articles
0,"Simone Bagel-Trah (born 1969) is a German businesswoman who serves as chairwoman of the Supervisory Board and of the Shareholders' Committee of Henkel.


== Early life and education ==
Bagel-Trah's mother is Anja Bohlan, an economist and academic who published several books. Her father is  Fritz Bagel. Bagel-Trah is a great-great-granddaughter of the Henkel founder Fritz Henkel.Bagel-Trah graduated from the Max Planck Gymnasium in Düsseldorf in 1988. From 1988 to 1993 she studied biology at the University of Bonn. In 1998, she received her doctorate.


== Career ==
From 1998 to 2000 Bagel-Trah worked as an independent consultant for project management in the field of microbiology and pharmacy. In 2000, she became Managing Partner of Antiinfectives Intelligence GmbH in Rheinbach. She is a founding member of the since 6 December 2007 existing University Council of Heinrich Heine University of Düsseldorf.
Since 30 April 2001, Bagel-Trah has been a member of the Supervisory Board of Henkel AG & Co. KGaA. As of 14 April 2008, she was the deputy chairman. On 22 September 2009, she took over the chairmanship, making her the first woman on this position in a DAX-listed company. At the same time she also became Chairman of the Shareholders' Committee, whose members include non-family managers also five Henkel heirs and which combines the interests of the three Henkel family members. Since 28 April 2014 she is member of the Supervisory Board of Bayer AG.


== Awards ==
Bagel-Trah was named as one of the ""75 most influential women in German Business"" by Manager Magazin and Boston Consulting Group (BCG) in 2017.In 2020, Bagel-Trah was honored by the strategy consulting firm Boston Consulting Group (BCG) and the business magazine Manager Magazin as the most influential woman in German business of 2019 and named ""Prima inter Pares 2019"".


== Other activities ==


=== Corporate boards ===
Heraeus, Member of the Supervisory Board (since 2011)
Commerzbank, Member of the Central Advisory Board
HSBC Trinkaus & Burkhardt, Member of the Advisory Board
Bayer AG, Member of the Supervisory Board (2014–2024)


=== Non-profit organizations ===
Max Planck Society, Member of the Senate
University of Düsseldorf (HHU), Member of the Board of Trustees
Düsseldorf Business School, Member of the Board of Trustees
Stifterverband für die Deutsche Wissenschaft, Vice Chairwoman of the Board
Fritz Henkel Foundation, Chairwoman of the Board of Directors
Foundation for Family Businesses, Member of the Board of Trustees
Rotary International, Member


== Personal life ==
Simone Bagel-Trah ist married to Christoph Trah (* 1966). Together they have two children.


== References =="
1,"Ursula Bechtolsheimer-Kipp (born November 1951) is a German-born billionaire, businesswomen and heiress.Bechtolsheimer-Kipp is the only daughter of German retail tycoon Karl-Heinz Kipp, founder of the Massa department store chain. After her father died in October 2017, Ursula inherited much of his fortune.Bechtolsheimer-Kipp was married to Dr Wilfried Bechtolsheimer. Together, they are estimated to be worth £1 billion by the Sunday Times Rich List.


== Early life ==
Bechtolsheimer-Kipp was born in Germany. She is one of two children born to Karl-Heinz Kipp and Hannelore Kipp. Her father, Karl-Heinz Kipp, was a self-made billionaire who made his fortune in retail and property. He is most famous for owning the Massa department store chain in Germany, which he founded in 1965 and sold two decades later in 1985.Her brother, Ernst-Ludwig Kipp, died in 2003 leaving behind seven children.


== Career ==


=== Tschuggen Hotel Group ===
According to Forbes, Ursula took over the Tschuggen Hotel Group as its chairwoman in 2016, having been operationally involved in the company for many years prior.Tschuggen Hotel Group is a luxury resort group and was set by Karl-Heinz Kipp in 1980. The group owns multiple resorts in Europe including the Tschuggen Grand Hotel in Arosa and the all-suite Carlton Hotel in St. Moritz, Switzerland.


=== Horse breeding ===
Ursula and her husband Wilfried own and run a horse training and breeding centre in Gloucestershire.


== Personal life ==
Dr Wilfried Bechtolsheimer died on April 8, 2020, aged 71 in Ascona, Switzerland.Ursula and Wilfred have three sons and one daughter.Her eldest son Felix is a member the gothic band, Curse of Lono. Another son, Gotz is an academic at the University of Pennsylvania.Her youngest son, Till (b. 1982), a former racing driver, set up New York-based investment management company Arosa Capital Management.Bechtolsheimer-Kipp's only daughter is British dressage rider Laura Tomlinson (née Bechtolsheimer), who won two medals at the 2012 Summer Olympics in London. Laura married English professional polo player Mark Tomlinson in a ceremony in 2013, which was attended by the Duke and Duchess of Cambridge and the Duke of Sussex.Bechtolsheimer-Kipp moved her family to Gloucestershire from Germany in the late 1980s. According to Forbes, she currently resides in Switzerland.


== References =="
2,"Outfittery GmbH is a German online personal shopping service founded by Julia Bösch. She came up with the idea of an online personal shopping service when a friend tried out a personal shopper service in New York. Together with the other cofounder Anna Alex she raised €50 million for their Berlin-based startup and established Outfittery in 2012. Outfittery combines Artificial Intelligence with real-life stylists to help customers find the right clothes. In 2018 Outfittery served 500,000 customers in eight European countries. Originally, the service was only available for menswear. In 2021, Outfittery started offering womenswear.Company founder Bösch previously worked as Head of International Business Development at Zalando and as a student she went on a student exchange to Columbia Business School, where she saw many fellow students starting a business right after graduation. She was listed in the Forbes list of Europe's Top 50 Women in Tech 2018.In 2020, Outfittery were reprimanded for breaching GDPR Article 5(1)(a), Article 6(1), Article 17(1), Article 21(3) and Article 24(1).In November 2023, UK company Stitch Fix sold the data of its customers to Outfittery, including an ""opt out"" link in an email sent to all customers. In February of 2024, Outfittery began sending boxes of clothes to ex-Stitch Fix customers, even though many of these customers had not activated their Outfittery accounts.


== References =="
3,"Bianca Claßen (born 6 February 1993, née Heinicke), better known by her YouTube channel name BibisBeautyPalace, is a German fashion and beauty YouTuber. As of May 2023, she has over 5.8 million subscribers on YouTube.


== Career ==


=== 2012 and 2013: Beginning ===
Claßen began making her videos in December 2012, gaining her first 500 subscribers within less than two months. Her videos focus on hair, makeup, fashion, travel, lifestyle and challenges.She recorded her earliest YouTube videos using a Panasonic HC-V500 video camera.


=== 2014: Advancements ===
In 2014, she won an award in the Beauty, Fashion, and Lifestyle category at the Google Play Awards. As of 2017, she had the fourth most popular YouTube channel in Germany.


=== 2015 and 2016 ===
In May 2015, she launched her own cosmetics brand called Bilou, meant as an acronym for ""Bibi loves you"".Over time, the variety of her cosmetics products, namely the flavours of her shampoos, has increased.Heinicke appeared in the mid-2015 film ""Kartoffelsalat – Nicht fragen!"", ensemble cast with other major German YouTube personalities.In October 2015, in cooperation with the German Telekom and Sony Mobile, a customized variant of the Sony Xperia M4 Aqua mobile phone was released in Germany, known as the Bibi-Phone edition. It differentiates from the original with a picture of Bianca's face and her signature printed on the unit's rear cover, and additional wallpaper pictures and ring tones.In March 2016, her channel surpassed three million subscribers.Bianca Claßen among her spouse Julian Claßen appeared in YouTube Rewind 2015 and 2016.


=== 2017 ===
As the year commenced, her channel surpassing Erik Range's channel Gronkh and claiming the spot as the most-subscribed German-language YouTube channel approached within an increasingly foreseeable time. A campaign attempting to sustain the latter's spot gained traction on social media under the hash tag #AbonniertGronkhDeabonniertBibi (""subscribe to Gronkh, unsubscribe from Bibi""), slightly delaying the surpassion.In May 2017, Bianca Claßen released her first song under the nickname Bibi H., titled ""How It Is (Wap Bap …)"". Within several days of its release, the song's video became the eleventh most disliked video on YouTube, and most disliked video on any German YouTube channel, surpassing the multiple formerly most downvoted videos by ""ApoRed"" within hours.In November 2017, on the second operational day of her iPhone X smartphone, she noticed a defective pixel on its display panel. She attempted to create a screen capture of that hardware defect, sharing it on Twitter. The incident went viral with responses educating her how a software-based screen capture is unable to capture hardware-based panel defects.


=== 2019 ===
In January 2019, the couple reacted to videos of low view counts, including a reupload of a lost 2015 telephony commercial involving her, posted hours prior to the recording, and a man parodizing their pregnancy photos.


=== 2020 ===
In March 2020, the couple discussed their struggle of finding a hospital to birth their daughter under the COVID-19 pandemic.


=== 2021 ===
In January 2021, the couple found a molded mobile phone case in a wardrobe, and jokingly decided to sell it on eBay as an artistic obstacle. The auction went viral due to her promotion of it on her Instagram Stories channel, clocking in €133.000 as the highest bid. The auction was cancelled, however.


=== 2022/2023 ===
Since the separation from Julian Claßen became known in May 2022, she has lived withdrawn from the public, but is repeatedly stalked by fans. She has not uploaded any more YouTube videos since May 2022. She has also been inactive on Instagram since then.


== Television appearances ==
Heinicke made several appearances on national television, including on the Swiss channel ""Joiz"" in mid-2014, in the backstage of The Voice of Germany in late 2014, on TV total in early 2014 together with Dagi Bee and once again alone in 2015, on ÖRF (Austria) in 2016, and on Quiz Duel in early 2019.


== Personal life ==
Heinicke grew up in Cologne, North Rhine-Westphalia, Germany. After receiving her Abitur, she went to college to study social sciences, but later left in order to focus on making YouTube videos.She is married to the German YouTuber Julian Claßen, nicknamed ""Julienco"". After a nine-year relationship starting on 1 March 2009, they married on 12 September 2018. She gave birth to their son, Lio, on 4 October 2018. On 20 March 2020 she gave birth to their daughter, Emily. In 2022 the couple announced their separation.


== References =="
4,"Antje von Dewitz (born 18 September 1972 in Ebingen) is a German entrepreneur. She is the managing director of the company VAUDE, a producer of mountain sports equipment based in Tettnang. She holds 46% of the company's shares.


== Family and early life ==
Antje von Dewitz grew up in Untereisenbach near Tettnang. She is the second of the three daughters of Albrecht von Dewitz who founded the family business VAUDE in 1974. The family is a branch of the originally Mecklenburg-Pomeranian aristocratic family von Dewitz.
Antje spent one of her final school years in Chattanooga, Tennessee, as part of an exchange program. While there, she attended Baylor School.Antje von Dewitz lives in Tettnang with her partner and their four children.


== Studies and career ==
Von Dewitz studied economics and cultural studies at the University of Passau. She graduated in 1998. During her studies, Dewitz rather wanted to work in the field of environmental protection and had initially not planned to enter the company of her father. Since 1998, when she was first employed by VAUDE as an intern, she built up the Bags and Travel Bag area. From 2000 to 2002, she was responsible for public relations, and in 2005 she took over the entire marketing management.
During the period from 2002 to 2005, she was also partly employed as a research assistant at the University of Stuttgart-Hohenheim, where she wrote a dissertation titled High-performance employment relationships in medium-sized companies. She completed her doctorate in 2005. In 2009 Albrecht von Dewitz handed over the management to her.
Since then, Dewitz has increasingly been setting up more and more processes in the company on criteria of sustainability and environmental compatibility. This should also be done along the whole value-added chain, that is throughout the logistics chain and in the case of subcontractors abroad.


== Economic and political positions ==
In 2020, Antje von Dewitz supported the passage of a German supply chain law to ensure higher ethical and ecological standards in international sourcing for the German economy. To lend more weight to this cause, she collaborated with federal minister Gerd Müller of the conservative Christian Social Union in Bavaria.Von Dewitz advocates that the guidelines for the Economy for the Common Good should be given more importance and criticizes the fact that in business attention is only paid to financial ratios. Together with political activist Christian Felber, she achieved that in 2015, the European Economic and Social Committee declared itself in favour of the economy of the common good and argued that it should be integrated into both European and national legal frameworks.Von Dewitz was an Alliance 90/The Greens delegate to the Federal Convention for the purpose of electing the President of Germany in 2017.


== Other activities ==


=== Corporate boards ===
Beitlich Family Foundation, Member of the Board (since 2014)
Landesbank Baden-Württemberg (LBBW), Member of the Advisory Board


=== Non-profit organizations ===
Naturkapital Deutschland (project of the Helmholtz Centre for Environmental Research), Member of the Project Advisory Board
European Outdoor Group, Vice President
German Federal Foundation for the Environment (DBU), Member of the Board of Trustees


== Recognition ==
2021 - Chief Marketing Officer of the Year
2021 - business award Ernst & Young Entrepreneur of the Year in the category of sustainability
2021 - GEM Award for sustainable brand management from the Gesellschaft zur Erforschung des Markenwesens (=Society for Research into Branding)
2018 – Brand Manager of the Year, German Brand Award
2017 – Order of Merit of Baden-Württemberg
2017 – Handelsblatt Hall of Fame of Family Businesses
2012 – B.A.U.M. Environmental Award
2011 – Top Business Women 2011 in the category Top Entrepreneur of Financial Times Germany
2011 – Economic Medal of the State of Baden-Württemberg


== References ==


== External links ==
Interview within the program Typisch deutsch as part of Deutsche Welle; accessed February 6, 2017 in the ARD Media Library (in German)"
5,"Jeannette Catherine, Hereditary Princess zu Fürstenberg (née Griesel; born 10 September 1982) is a German businesswoman and entrepreneur.


== Early life and education ==
Zu Fürstenberg was born on 10 September 1982 in Munich, Bavaria. Her family is originally from Duisburg and owns the measuring technology company Krohne Messtechnik. She studied communications and economics at university in Munich. She studied economics in London and Paris, graduating with a master's degree from the ESCP/EAP. She completed a doctorate in business administration with a focus in entrepreneurship and art during the Renaissance at the Free University of Berlin.


== Career ==
She has worked for Ernst & Young, Synthesis, and AXA. She is founding partner of La Famiglia VC, a European-based venture capital fund investing in early stage tech companies across Europe and the US. Jeannette zu Fürstenberg has been active in the start-up ecosystem as Co-Founder, investor and advisor since 2013.In 2011, zu Fürstenberg and her husband founded ""Fürstenberg Zeitgenössisch"". The project consists of a fellowship programme, annual temporary exhibitions and the establishment of a small collection. The focus is on young, emerging artists who have distinguished themselves in recent years through new concepts and languages of form and have in this context become the focus of international discourse.


== Personal life ==
On 16 September 2010 she married Christian, Hereditary Prince zu Fürstenberg in a civil ceremony in Donaueschingen. They had a religious ceremony on 25 September 2010 in Rome. Her husband is the oldest son and heir apparent of Heinrich, Prince of Fürstenberg and his wife, Princess Maximiliane of Windisch-Graetz (b. 1952). She gave birth to their first child, Prince Tassilo, on 24 December 2012; their second child, Princess Maria Cecilia, on 11 March 2015; their third child, Prince Tristan, on 22 November 2018 and their fourth child, Princess Leontine, on 25 June 2020.
She began playing polo in 2010, and co-founded the Fürstenberg Polo Club with her husband later that year.


== References =="
6,"Milena Glimbovski (born 1990 in Siberia, Soviet Union) is a Russian–German entrepreneur, author and zero-waste activist. Glimbovski became known mainly through the founding of the Berlin grocery store Original Unverpackt (Original Unpacked), in which goods are sold without disposable packaging.


== Life ==
Glimbovski was born in 1990 in Siberia, in the former Soviet Union. In 1995, her family moved to Germany, where she grew up in Hanover and attended the Wilhelm Raabe School. After training as a media designer, Glimbovski began to study social and business communication at the Berlin University of the Arts, but later discontinued her studies.After a long preparation period, Glimbovski launched a crowdfund with Sara Wolf in 2014 to finance the founding of their Original Unverpackt grocery store. The scheme successfully raised 100,000 euros. The shop opened on 13 September 2014 and continues to this day, although Glimbovski is no longer CEO. The opening of the Berlin location of Original Unverpackt was followed by numerous stores around Germany as well as worldwide. Glimbovski's founding of Original Unverpackt is considered by many to have triggered the zero-waste movement in Germany, raising awareness of not only the zero-waste store but of Glimbovski herself.
In 2015, together with Jan Lenarz, Glimbovski founded the publishing house ""Ein guter Verlag"", which sells books and calendars on the subject of mindfulness. Glimbovski is known as a speaker on sustainability and zero waste and appears at numerous conferences in Germany and abroad.
In November 2018, a jury of the Berlin Senate, the Investitionsbank Berlin and the Berlin IHK voted Glimbovski ""Entrepreneur of the Year 2018"".


== Works ==
Ohne Wenn und Abfall. Kiepenheuer & Witsch, 2017, ISBN 978-3-462-05019-6.
Weil ich ein Mädchen bin. In: Scarlett Curtis (Hrsg.): The Future is female! Was Frauen über Feminismus denken. Goldmann Verlag, 2018, ISBN 978-3-44215982-6, S. 167–172.
With Susanne Mierau and Katja Vogt: Einfach Familie leben. Der Minimalismus-Guide: Wohnen, Kleidung, Lifestyle, Achtsamkeit. Kneseback Verlag, April 2019, ISBN 978-3-95728-270-5.


== References ==


== External links ==
Official website of Original Unverpackt
Speech by Milena Glombovski at re:publica"
7,"Kerstin Günther (born 1967) is a German business executive. Since 1991, she has held management positions in the Deutsche Telekom Group where in March 2012 she was appointed Senior Vice President Technology Europe, reporting to Claudia Nemat, board member Europe and Technology. From 2013 till 2017, she has been chairwoman of Magyar Telekom, which is a subsidiary of Deutsche Telekom. From 2016 to May 2020, Günther was a member of the Supervisory Board and the Audit Committee of the publicly listed, pan-European stock exchange Euronext N.V.  Since June 2020 she is a member of the Supervisory Board and the Audit Committee of Deutsche Wohnen SE.  Since April 2019, she is Chief Financial and Technology Officer of the health research center Helmholtz Zentrum München. She is responsible for the areas of finance, law, personnel, infrastructure, IT and digitalization.


== Background and education ==
Born and raised in East Germany, Günther studied electronics at the Wrocław University of Technology in Poland, graduating in 1991. She recalls that at the time only about 2% of students were female. She completed her education at the Weatherhead School of Management in Cleveland, Ohio, where she earned an MBA in finance in 1999.


== Career ==
Günther joined what was then the Deutsche Bundespost in 1991, working in telecommunications. After it was privatized as Deutsche Telekom in 1995, she took on management assignments in Hungary (Senior Vice President Wholesale) and Slovakia (Senior Vice President Strategy and External Affairs) where she spent a total of 12 years. In 2003 she returned to Germany and became Co-Managing Director HR of the first Shared Service Center of Deutsche Telekom, the HR shared service center. In 2004 she became the first female Managing Director leading an Infrastructure Branch in Frankfurt/Main, where she managed all technical and operational infrastructure aspects for the company with a staff of some 3,000 engineers. She has also held management positions with the Technical Infrastructure Office of T-Home in Bonn.Since March 2012, Günther has been Senior Vice President Technology Europe with responsibility for technology and IT in 12 countries and for the Pan European Project. In November 2014 Die Welt article stated that she is ""just below the board level responsible for 20,000 employees"" in these countries. 
2019, Günther is Chief Financial and Technology Officer of Helmholtz Zentrum München and promotes the transformation and digitalization of one of Germany's leading health research centers.Günther has humorously described the European telecommunications industry as being ""like the centre of a healthy sandwich under constant pressure from the outside, such as from the market or the dominant IT companies such as Google, Apple or Amazon"". When Deutsche Telekom made a digital agreement with the Hungarian government in February 2014, she likened the alliance to being the ""sandwich to protect the healthy salad"".In addition to her native German, Günther is fluent in Polish and English and can converse in Russian and Hungarian.


== References =="
8,"Susanne Hanna Ursula Klatten (née Quandt, born 28 April 1962) is a German billionaire heiress, the daughter of Herbert and Johanna Quandt. As of January 2022, her net worth was estimated at US$23.4 billion, and the richest woman in Germany and the 50th richest person in the world according to the Bloomberg Billionaires Index.


== Education ==
Klatten was born in Bad Homburg, West Germany. After gaining a degree in business finance, she worked for the advertising agency Young & Rubicam in Frankfurt from 1981 to 1983. This was followed by a course in marketing and management at the University of Buckingham, and an MBA from IMD Business School in Lausanne specialising in advertising.She gained further business experience in London with Dresdner Bank, the Munich branch of management consultants McKinsey and the bank Bankhaus Reuschel & Co.
She has often worked under the name Susanne Kant.


== Investments ==
On her father's death she inherited his 50.1% stake in pharmaceutical and chemicals manufacturer Altana. She sits on Altana's supervisory board and helped transform it into a world-class corporation in the German DAX list of 30 top companies. In 2006 Altana AG sold its pharmaceutical activities to Nycomed for €4.5 billion, leaving only its speciality chemicals business. The €4.5 billion was distributed to shareholders as a dividend. Altana maintained its stock exchange listing and Klatten remained its majority shareholder. 
In 2009, she bought almost all shares she did not already own in Altana. Altana and SKion, which are both wholly owned by Susanne Klatten, are shareholder of Landa Digital Printing with together 46% since 2018. Landa Digital Printing is a company of the Israeli entrepreneur and inventor Benny Landa in the field of digital printing and nanotechnology.Her father also left her a 12.50% stake in BMW, but following the death of her mother in 2015, her stake in BMW is now 19.2%. She was appointed to the supervisory board of BMW with her brother Stefan Quandt in 1997.
German graphite maker SGL Carbon said on 16 March 2009 that Klatten owns options to raise her stake in SGL from 8% to almost a quarter of the shares but no more than that.


== Quandt family activities during WWII ==
The Hanns Joachim Friedrichs Award winning documentary film The Silence of the Quandts by the German public broadcaster ARD described in October 2007 the role of the Quandt family businesses during the Second World War. The family's Nazi past was not well known, but the documentary film revealed this to a wide audience and confronted the Quandts about the use of slave labourers in the family's factories during World War II. As a result, five days after the showing, four family members announced, on behalf of the entire Quandt family, their intention to fund a research project in which a historian would examine the family's activities during Adolf Hitler's dictatorship. The independent 1,200-page study researched and compiled by Bonn historian, Joachim Scholtyseck, that was released in 2011 concluded: ""The Quandts were linked inseparably with the crimes of the Nazis"". As of 2008, no compensation, apology or even memorial at the site of one of their factories, have been permitted. BMW was not implicated in the report.


== Personal life ==
Police prevented an attempt to kidnap her and her mother Johanna Quandt in 1978.Susanne met Jan Klatten while she was doing an internship with BMW in Regensburg, where he worked as an engineer. It is reported that during this time, she called herself Kant and did not tell him who she was until they were sure about each other, but Klatten himself denies the story. They married in 1990 in Kitzbühel and live in Munich. They have three children. The couple separated in 2018. She has been a member of the University Council of the Technical University of Munich since 2005. In 2007 she was awarded the Bayerischer Verdienstorden, the Bavarian Order of Merit. She is one of the biggest donors of the centre-right political party, the Christian Democratic Union.In 2007, Klatten was blackmailed by Helg ""Russak"" Sgarbi, a 44-year-old Swiss national who threatened to release reported evidence depicting the two having an affair. Sgarbi, who was charged with similar blackmail schemes against multiple women, was arrested in January 2009 and brought to court in Germany, where he was sentenced to six years in jail. His accomplice, the Italian hotel owner Ernano Barretta who allegedly filmed Sgarbi and Klatten with hidden cameras, was also arrested and was sentenced in 2012 to seven years in prison.


== See also ==
List of female billionaires


== References ==


== External links ==

Biography and news by Beth Shaw, rightpundits.com, 9 March 2009"
9,"Melanie Kreis (born 1971) is a German businesswoman, member of the board of managing directors and the chief financial officer (CFO) of Deutsche Post, the world's largest logistics company, since October 2016.


== Education ==
Kreis attended the State University of New York at Stony Brook, US, and graduated in 1994 with a master's in physics and obtained another degree in physics in 1997 from the University of Bonn. In 2000 she graduated with a Master of Business Administration at INSEAD, France.


== Career ==
From 1997 to 2000, Kreis worked at the management consulting firm McKinsey & Company in Cologne. Later, she then moved to Apax Partners, a private equity firm. At Deutsche Post, Kreis began her career in the corporate development department in Bonn in 2004. Later she worked in England, advancing the integration of Exel. In 2006 Kreis was appointed executive vice president corporate office, corporate organization. Since 2009 she then served as leader of group controlling. In April 2013 she was appointed as chief financial officer (CFO) of DHL Express. She has been a member of the executive board of Deutsche Post since 2014 as chief human resources officer. Since October 2016, Kreis is CFO of Deutsche Post and the first woman to hold this position at Deutsche Post.


== Awards ==
Kreis was named as one of the ""75 most influential women in German Business"" and as ""woman of the year"" by Manager Magazin and Boston Consulting Group (BCG) in 2016. In November 2017, she was assessed by Forbes as being the 67th most powerful woman in the world.


== Family ==
Kreis is married and has two children.


== References =="
