,articles
0,"Dietlind Tiemann (born 30 August 1955) is a German politician of the Christian Democratic Union (CDU) who served as a member of the Bundestag from the state of Brandenburg from 2017–2021.


== Political career ==
Tiemann became a member of the Bundestag in the 2017 German federal election. In parliament, she served on the Finance Committee and the Committee on Education, Research and Technology Assessment.In the 2021 German federal election, Tiemann failed to defend her seat, losing it to Social Democratic Party candidate Sonja Eichwede.


== Political positions ==
Ahead of the Christian Democrats’ leadership election in 2021, Tiemann publicly endorsed Friedrich Merz to succeed Annegret Kramp-Karrenbauer as the party’s chair.


== References ==


== External links ==

Official website (in German)
Bundestag biography (in English)"
1,"Antje Tillmann (born 18 August 1964 in Düsseldorf) is a German politician of the Christian Democratic Union (CDU) who has been serving as a member of the Bundestag from the state of Thuringia since 2002.


== Early life ==
After graduating from high school in 1983, Tillmann studied finance at the University of Applied Sciences for Finance in Nordkirchen, which she completed in 1986 with a degree in finance. She then worked as a tax official in North Rhine-Westphalia. In 1991, she moved to Brandenburg, where she participated in the establishment of the University of Applied Sciences for Finance in Königs Wusterhausen. In 1993, she finally went to Thuringia and worked in the Ministry of Finance there. In 1998, she passed the examination to become a tax consultant.Tillmann is Roman Catholic, divorced, and has one daughter.


== Political career ==
Tillmann first became a member of the Bundestag in the 2002 German federal election. She was a member of the Budget Committee until moving to the Finance Committee in 2005. In this capacity, she served as her parliamentary group's rapporteur on the introduction of a balanced budget amendment in 2009.
In the negotiations to form Chancellor Angela Merkel’s fourth coalition government following the 2017 federal elections, Tillmann was part of the working group on financial policies and taxes, led by Peter Altmaier, Andreas Scheuer and Olaf Scholz.Together with Roland Heintze, Daniel Günther, Andreas Jung, David McAllister, Nadine Schön and Oliver Wittke, Tillmann co-chaired the CDU's 2018 national convention in Hamburg.


== Other activities ==
German Red Cross (DRK), Member
Federal Agency for Civic Education (BPB), Alternate Member of the board of trustees (2005-2011)


== Political positions ==
In June 2017, Tillmann voted against her parliamentary group's majority and in favor of Germany's introduction of same-sex marriage.In September 2020, Tillmann was one of 15 members of her parliamentary group who joined Norbert Röttgen in writing an open letter to Minister of the Interior Horst Seehofer which called on Germany and other EU counties to take in 5000 immigrants who were left without shelter after fires gutted the overcrowded Mória Reception and Identification Centre on the Greek island of Lesbos.


== References ==


== External links ==

Official website (in German)
Bundestag biography (in English)"
2,"Aminata Touré (born 15 November 1992) is a German politician of Alliance 90/The Greens, the German green party, who has been serving as Minister of Social Affairs, Youth, Family, Senior Citizens, Integration and Equality of the State of Schleswig-Holstein since 29 June 2022. She was elected on 29 June 2017, at the age of 25, to the State Parliament of Schleswig-Holstein and served as the parliament's vice-president until 2022.


== Early life and education ==
Touré's parents fled to Germany from Mali following the 1991 Malian coup d'état.  She was born in Neumünster. Following her Abitur, she studied political science and French at the University of Kiel, earning her bachelor degree in 2016. She studied abroad for a semester in 2013–14 at the Complutense University of Madrid. From 2014 to 2017, she worked for the member of parliament Luise Amtsberg in Berlin.


== Career ==
In 2012, Touré joined the Kiel Green Youth, and was elected as its speaker in 2013. In 2016, she was elected as an assessor in her state's green party, an office she held until her election to the State Parliament of Schleswig-Holstein in 2017.
Touré was a candidate for the Schleswig-Holstein Green Youth in the 2017 Schleswig-Holstein state election and was number 11 on the party's electoral list. She also simultaneously ran for the single-seat constituency of Neumünster. Touré did not enter the State Parliament following the election, as the Green Party only received ten seats; Touré later filled the seat vacated by Monika Heinold, who was named Minister of Finance of Schleswig-Holstein. Within her parliamentary group, she served as the spokesperson for Migration, Women & Equality, Children & Youth, LGBT Issues, and Anti-Racism.Upon Rasmus Andresen's departure for the European Parliament in June 2019, Touré was elected by the coalition to succeed him as vice-president of the State Parliament on 28 August 2019. She was the first Afro-German, as well as the youngest, vice president of a parliament in one of Germany's federal states.In the negotiations to form a coalition government between the SPD, the Green Party and Free Democratic Party (FDP) following the 2021 federal elections, Touré was part of her party's delegation in the working group on equality, co-chaired by Petra Köpping, Ricarda Lang and Herbert Mertin.Touré was nominated by her party as delegate to the Federal Convention for the purpose of electing the President of Germany in 2022.After the 2022 Schleswig-Holstein state election, Touré's party, Alliance 90/The Greens entered into a coalition government with the CDU under Minister-President Daniel Günther (CDU). Touré was appointed on 29 June 2022 as State Minister of Social Affairs, Youth, Family, Senior Citizens, Integration and Equality in the Second Günther cabinet, replacing Heiner Garg (FDP). In this capacity, she is also one of her state's representatives on the Bundesrat, where she has been a member of the Committee on Labour, Integration and Social Policy, the Committee on Family and Senior Citizen Affairs and the Committee on Family and Senior Citizen Affairs.


== Other activities ==
Stiftung Lesen, Member of the Board of Trustees (since 2022)


== In popular culture ==
Touré was featured on the cover of fashion magazine Vogue Germany in December 2022. She is the first minister or politician to appear on the cover of Vogue in Germany.


== References ==


== External links =="
3,"Ana-Maria Trăsnea (born 15 March 1994) is a Romanian-German politician who briefly served as a member of the German Bundestag from 2023 to 2024.From 2021 to 2023, Trăsnea was a representative of the state of Berlin at the federal level and state secretary for engagement, democracy promotion and international affairs in the Berlin Senate Chancellery.


== Early life and education ==
Trăsnea was born in Piatra Neamț in Romania. Her parents split up when she was a child; her mother went to work in Germany, her father to work to France. She grew up at her aunt until she was 13 years old.
Trăsnea came to Germany from Romania in 2007. She attended the Emmy-Noether-Gymnasium in the Treptow-Köpenick district of Berlin, where she obtained her Abitur in 2013. She then studied cultural studies at the European University Viadrina in Frankfurt (Oder) from 2013 to 2018 and obtained a bachelor's degree, spending the winter semester 2015/2016 at the University of Salamanca in Spain. She then completed a master’s degree in European Studies at the European University Viadrina from 2017 to 2021, which is on hold.
From 2016 to 2019, parallel to her studies, she was a project-related workshop leader for various youth-political educational projects of the ""Forum Politics and Society"" in the ""Political Dialogue"" department of the Friedrich-Ebert-Foundation Berlin. In 2019, Trăsnea was a student assistant in the Strategic Planning Unit of the Management Staff at the Federal Ministry for Family Affairs, Senior Citizens, Women and Youth. From 2020 to 2021 she was personal assistant to the State Secretary for Youth and Family, Sigrid Klebba, in the Berlin Senate Department for Education, Youth and Family.


== Political career ==
Trăsnea joined the Social Democratic Party of Germany while she was at school and was involved in the initiative School without Racism from 2007 to 2013, organizing, among other things, an anti-racism working group at her school.
Trăsnea was a member of the Treptow-Köpenick district assembly from 2016 to 2021, where she was deputy leader of the SPD parliamentary group from 2019 and leader of the parliamentary group from 2021. In 2020 she was awarded the Helene Weber Prize. In the 2021 federal election, she ran as a direct candidate in the Berlin-Treptow-Köpenick constituency, but was not directly elected. As she was in sixth place in the state list, she initially missed entry into the Bundestag.
From December 2021 to April 2023, Trăsnea was the representative of the State of Berlin at the federal level and State Secretary for Volunteering, Democracy Promotion and International Affairs in the Berlin Senate Chancellery.On 16 May 2023, Trăsnea moved into the German Bundestag replacing Cansel Kiziltepe. At 2025 Federal election she will be running for a mandate to Bundestag in the district where Gregor Gysi has been elected for several times.


== External links ==
Personal Website


== References =="
4,"Elke Twesten (born July 7, 1963 in Scheeßel) is a German politician for the CDU in Lower Saxony who switched parties from the Alliance 90/The Greens in 2017.


== Career ==
Twesten previously worked in the Hamburg Customs Administration. She was elected to the Lower Saxon Landtag in 2008. Since 2013, she has been Secretary of the Landtag. She is also spokesperson for women in the parliament.Twesten defected to the CDU from the Greens in August 2017, thus depriving the Lower Saxony Parliament's SDP/Green coalition of its one-seat majority and triggering an early election in October 2017.


== Personal life ==
Twesten is married and has three daughters.


== References ==


== External links ==
Official website at the Wayback Machine (archived 4 August 2017)
Alliance 90/The Greens - Elke Twesten (archived 28 July 2017) archive.is
Parliamentary profile"
5,"Johanna Uekermann (born 18 September 1987) is a German politician of the Social Democratic Party (SPD). She served as chairwoman of the Young Socialists in the SPD (Jusos) from 2013 to 2017 and as Deputy Leader of the SPD Bayern from 2017 until 2021


== Early life ==
Uekermann was born in 1987 in the Bavarian city of Straubing. She is the daughter of two social-democratic teachers and grew up near Mitterfels.


== Political career ==
Uekermann joined Jusos when she was 14 years old. In 2009, she was elected as vice-chairwoman of the Bavarian Jusos, and in 2011 as vice-chairwoman of the German Jusos. In 2013, she ran for the Bundestag elections and reached 17.6 percent of the vote in the electoral district of Straubing against the CSU candidate Alois Rainer. At the German congress of the Jusos on 6 December 2013 in Nuremberg, she was elected as chairwoman of the German Jusos with 207 of 296 votes. In the local elections on 16 March 2014, she was elected into the district council of Straubing-Bogen. In 2015, she was re-elected as chairwoman of the Jusos for two more years with 72.3 percent of the vote.From 2017 until 2021, Uekermann served as deputy chairwoman of the SPD in Bavaria, under the leadership of Natascha Kohnen. In 2018 she was a candidate for a seat in the Landtag of Bavaria.
Together with Niels Annen, Martin Dulig, Oliver Kaczmarek, Gabriele Lösekrug-Möller and Anke Rehlinger, Uekermann co-chaired the SPD’s 2019 national convention in Berlin, during which the party elected Saskia Esken and Norbert Walter-Borjans as its new leaders.


== Other activities ==
Friends of the Willy Brandt Center Jerusalem (WBC), Member
German United Services Trade Union (ver.di), Member


== References =="
6,"Katrin Uhlig (born 5 July 1982) is a German politician of the Alliance 90/The Greens who has been serving as a member of the Bundestag after the 2021 German federal election, representing the electoral constituency of Bonn.


== Early career ==
Upon graduating, Uhlig briefly worked at the European Climate Foundation in The Hague. She was a legislative advisor to the Green Party's parliamentary group in the State Parliament of North Rhine-Westphalia from 2010 to 2017. She moved to the German Association of Energy and Water Industries (BDEW) in 2017. From 2019 to 2021, Uhlig worked as legislative advisor to Oliver Krischer.


== Political career ==
In parliament, Uhlig has been serving on the Committee on Climate Action and Energy.


== Other activities ==


=== Regulatory agencies ===
Federal Network Agency for Electricity, Gas, Telecommunications, Post and Railway (BNetzA), Alternate Member of the Advisory Board (since 2022)


=== Non-profit organizations ===
Bonn International Award for Democracy, Member of the Board of Trustees (since 2022)
Haus der Geschichte, Member of the Board of Trustees (since 2022)
German Federation for the Environment and Nature Conservation (BUND), Member
German United Services Trade Union (ver.di), Member


== References =="
7,"Julia Verlinden (born 18 January 1979) is a German politician of the Alliance 90/The Greens who has been serving as a member of the Bundestag from the state of Lower Saxony since 2013.


== Early life and career ==
Verlinden grew up near Cologne. She studied environmental sciences at the University of Lüneburg from 1998 to 2005 and graduated with a diploma. From 2006 to December 2012 she was a research associate at the Federal Environment Agency (UBA) in Dessau. From January 2013 until she moved to the Bundestag in October 2013, she headed the Energy Efficiency Division at the Federal Environment Agency.


== Political career ==
Verlinden became a member of the Bundestag in the 2013 German federal election. From 2013 to 2021, she was a member of the Committee for Economic Affairs and Energy and served as her parliamentary group's spokesperson for energy policy.Since 2021, Verlinden has been serving as one of her parliamentary group's deputy chairs, under the leadership of co-chairs Britta Haßelmann and Katharina Dröge.Verlinden contested Lüchow-Dannenberg – Lüneburg in 2013, 2017 and 2021.


== Other activities ==
Agora Energiewende, Member of the Council (since 2022)
Federal Bioenergy Association (BBE), Member of the Advisory Board
German Industry Initiative for Energy Efficiency (DENEFF), Member of the Parliamentary Advisory Board (since 2018)
German Renewable Energy Federation (BEE), Member of the Parliamentary Advisory Board
German Federation for the Environment and Nature Conservation (BUND), Member
German United Services Trade Union (ver.di), Member


== References ==


== External links ==

Official website (in German)
Bundestag biography (in German)"
8,"Kerstin Vieregge (born 6 September 1979) is a German politician. Born in Rinteln, Lower Saxony, she represents the CDU. Kerstin Vieregge has served as a member of the Bundestag from the state of North Rhine-Westphalia since 2017.


== Political career ==
Vieregge became a member of the Bundestag after the 2017 German federal election. She is a member of the Defence Committee and the Tourism Committee. Since 2022, she has also been part of the German delegation to the Parliamentary Assembly of the Organization for Security and Co-operation in Europe.


== References ==


== External links ==

Official website (in German)
Bundestag biography (in English)"
9,"Kathrin Vogler (born 29 September 1963) is a German politician. Born in Munich, Bavaria, she represents The Left. Kathrin Vogler has served as a member of the Bundestag from the state of North Rhine-Westphalia since 2009.


== Life ==
She became member of the Bundestag after the 2009 German federal election. She is a member of the Foreign Affairs Committee.


== References ==


== External links ==

Official website (in German)
Bundestag biography (in English)"
