,articles
0,"Karin Yvonne Irene Jansen Adelmund (Dutch pronunciation: [ˈkaːrɪn iˈvɔnə ʔiˈreːnə ˈjɑnsə(n) ˈaːdəlmʏnt]; 18 March 1949 – 21 October 2005) was a Dutch politician of the Labour Party (PvdA) and trade union leader.


== Early life and education ==
Karin Yvonne Irene Jansen Adelmund was born on 18 March 1949 in Rotterdam in the Netherlands. She was the daughter of Fritz Jansen Adelmund and Anna van der Hoven. She had two brothers and three sisters.She went to Protestant primary and secondary schools in Rotterdam. She then studied at the Public Social Academy (1968–1972) in Rotterdam and she studied social sciences at the University of Amsterdam (1972–1979) in Amsterdam.


== Career ==
Adelmund was a member of the Dutch Labour Party (PvdA). She was a member of the Dutch House of Representatives (1994–1998), chairwoman of the Labour Party (1997–1998), State Secretary of Education, Culture and Science (1998–2002), and again member of the House of Representatives (2002–2005) until her death. She died on 21 October 2005, at the age 56, in Amsterdam.


== References ==


== External links ==

Official(in Dutch) Drs. K.Y.I.J. (Karin) Adelmund Parlement & Politiek"
1,"R. ""Lies"" van Aelst-den Uijl (Dutch pronunciation: [lis vɑn aːlst]; born 1 December 1988) is a Dutch politician of the Socialist Party (SP).


== Early life and career ==
Van Aelst was born in Gorinchem in 1988, and she attended the Merewade College secondary school between 2001 and 2007. She subsequently studied to become Dutch language teacher at the Rotterdam University of Applied Sciences before switching to history at the Erasmus University Rotterdam in 2009. She obtained her bachelor's degree in 2009, and she completed a research master in early modern intellectual history in 2016.She became a member of the Provincial Council of South Holland in March 2007 on behalf of the SP. Van Aelst also served on the Gorinchem Municipal Council between April 2017 and March 2018. She left the provincial council in early 2024 to became a member of the Senate following the resignation of Tiny Kox. Van Aelst was sworn in on 13 February.


=== Senate committee assignments ===
Committee on Infrastructure, Water Management and the Environment
Committee on Agriculture, Nature and Food Quality
Committee on Social Affairs and Employment
Committee on Health, Welfare and Sport


== Personal life ==
She was married and lived in Gorinchem as of 2024.


== References =="
2,"Marie-Fleur ""Fleur"" Agema (born 16 September 1976) is a Dutch politician and former spatial designer. As a member of the Party for Freedom (Partij voor de Vrijheid) she has been an MP since 30 November 2006. She focuses on matters of caregiving.


== Biography ==


=== Early life ===
Agema was born in Purmerend. She has a BA degree from the AKI ArtEZ University of the Arts in 1999, an MA degree in Architecture from the Academy of Architecture of the Amsterdam University of the Arts in 2001, and an MA degree in Fine Art from the Utrecht School of the Arts in 2004. From 1999 to 2003 she worked as a spatial designer and project leader for an architectural firm.


=== Politics ===
In March 2003 she was elected to the States-Provincial of North Holland, as a member of the Pim Fortuyn List. On 17 October 2003 she said had lost confidence in the governing board of the Pim Fortuyn List with two other State members of the Pim Fortuyn List. In 2004 she left the party, because of dissatisfaction with the continuing internal dispute. She continued as a member of the States-Provincial as an Independent. In 2004, she was a founding member of the Forza! Nederland party alongside former Pim Fortuyn List politician Paul Meijer, however she left shortly after its founding to join the Party for Freedom.
In 2006 she was asked by Geert Wilders, the party leader of the newly formed Party for Freedom, to join him on and get the second place on the list of candidates. In November 2006 she was chosen as a member of the Dutch House of Representatives. She left the States-Provincial on 14 March 2007. As an MP her main specialties are education, healthcare, spatial planning and infrastructure.


== Personal ==
In December 2012 Agema announced that she has been diagnosed with multiple sclerosis.Agema went on maternity leave on 13 January 2015, she was replaced by Karen Gerbrands. On 17 February 2015 she gave birth to a daughter with Léon de Jong.


== Electoral history ==


== References ==


== External links ==

(in Dutch) House of Representatives biography"
3,"Eva Suzanne Akerboom (born 12 March 1992) is a Dutch politician for the Party for the Animals (PvdD).


== Early life and education ==
Akerboom was born on 12 March 1992 in Lisse, in the Dutch province of Zeeland. She attended grammar school at Fioretti College. Afterwards, she studied the bachelor programme political science from 2010 to 2013 and the master programme global environment governance from 2013 to 2014 at the Vrije Universiteit Amsterdam.


== Career ==
She became involved with the Party for the Animals in 2010 as a volunteer for the then House of Representatives elections. From 2013 to 2016, Akerboom was national chairman of the PvdD youth organization PINK!. She was a communications officer at the party office and since 2015 a faction employee at the Amsterdam City Council, with animal welfare and the energy transition in the built environment in her portfolio, among other things.In the House of Representatives elections of 15 March 2017, Akerboom came in twelfth place on the PvdD candidate list, which was not enough to be directly elected. From 16 October 2018 to 4 February 2019, she was a member of the House of Representatives in a temporary vacancy due to the maternity leave of Femke Merel van Kooten-Arissen. During her membership of the House of Representatives, she was the youngest sitting member of the House of Representatives.In the House of Representatives elections of 17 March 2021, Akerboom came in seventh place on the PvdD candidate list, which was not enough to be directly elected. Akerboom then continued to work in the communications department of the House of Representatives faction. From 13 October 2022 to 1 February 2023, she was a temporary Member of Parliament, this time due to illness leave of party leader Esther Ouwehand. From 10 May 2023 to 11 August 2023 she was again a temporary Member of Parliament, this time due to Leonie Vestering's sick leave. Akerboom was yet again installed on 27 September 2023 in the vacancy created by Vestering's resignation on 26 September 2023.


== Personal life ==
Akerboom is a vegan.


== Electoral history ==


== Notes ==


== References =="
4,"Nebahat Albayrak (born 10 April 1968) is a retired Turkish–Dutch politician of the Labour Party (PvdA) and jurist. She is a corporate director at Upstream International a division of Royal Dutch Shell since 5 November 2012.


== Biography ==
Albayrak moved to the Netherlands in 1970. In 1993, Albayrak graduated from Leiden University in international and European law. As part of her degree, she also attended lectures in Ankara at Ankara University and the Institut d'Études Françaises, and in Paris at the Institut d'Études Politiques.
She worked at the Ministry of the Interior and Kingdom Relations from 1993 to 1998. From 1998 to 2007, she was a member of the Dutch House of Representatives.On 22 February 2007, Nebahat Albayrak was installed as State Secretary (junior minister) for Justice in the fourth Balkenende cabinet. She and Ahmed Aboutaleb are the first Muslims in a Dutch cabinet. The right-wing Party for Freedom tried to prevent the installation of both Nebahat Albayrak and Ahmed Aboutaleb. The party also tried to pass a motion of no confidence in parliament directed against all parliamentarians or executive branch politicians with dual citizenship, claiming these politicians have a loyalty conflict or have the appearance of having one. Nebahat Albayrak has a Turkish and a Dutch passport. The motion was rejected by the House of Representatives, since no other party than the Party for Freedom supported it.


== Decorations ==


== References ==


== External links ==

Official(in Dutch) Mr. N. (Nebahat) Albayrak Parlement & Politiek"
5,"Charetti Maria America-Francisca (born 13 April 1981) is a politician from Curaçao. She has been the president of Parliament of Curaçao since 11 May 2021. Charetti also served as member of the Estates of Curaçao from 2016 to 2017.
Charetti was born and raised in a poor neighborhood in Curaçao, Pretu by De Savaan. After secondary school she attended the Maria Immaculata Lyceum, and studied business at the Academy for Business Management. She initially worked in the banking sector but later on switched into family coaching. Charetti was in her daily labours confronted with the need especially under the youth and started an orphanage, called My Fathers House. She is also the founder of Curaçao Charity Foundation and co-founder of Curaçao Youth Care Foundation. She married Andy America on 30 June 2000, and together they have five children. They travel the world organizing couples conferences and overseeing different Christian communities.Charetti made her entrance in politics during the parliamentary elections of 2016. Shortly after the elections of 2021 she became a member of parliament and was unanimously elected president.


== References =="
6,"Anna Maria Agnes ""Agnes"" van Ardenne-Van der Hoeven (born 21 January 1950) is a retired Dutch politician and diplomat of the Christian Democratic Appeal (CDA).


== Career ==
Agnes van Ardenne was born in Maasland in 1950. Before taking office as a member of the Cabinet of the Netherlands, she was the Deputy Chairwoman of the Netherlands-based Catholic Organisation for Relief and Development Aid (CORDAID) and Secretary General of the UNICEF National Committee of the Netherlands. While sitting in the House of Representatives between 1994 and 2002, she was a member of the parliament's delegations to the Parliamentary Assembly of the Council of Europe (PACE).
Between 2002 and 2007, van Ardenne served as Minister for Development Cooperation in the cabinet of Prime Minister Jan Peter Balkenende. When the Netherlands held the presidency of the Council of the European Union in 2004, she chaired the meetings of the EU Development Ministers.During her time in office, van Ardenne focused on fragile states and countries in conflict, including Sudan. She chose to concentrate Dutch bilateral development cooperation on Africa (at least 50% of the bilateral budget). In 2006, she ordered a suspension of nearly $150 million in aid to the government of President Mwai Kibaki of Kenya because of concerns over corruption.Van Ardenne was one of the first foreign dignitaries to visit Pakistan after the 2005 Kashmir earthquake, to witness the emergency aid operation still being conducted at full capacity.In 2006, van Ardenne increased the Netherlands’ support to post-primary and higher education to 110 million euros per year from the earlier level of 60 million euros, and increased its contribution to the Education for All Fast Track Initiative (FTI) to 150 million euros in 2006 and subsequent years.Also in 2006, van Ardenne significantly increased the Dutch contribution to the Global Alliance for Vaccines and Immunization (GAVI), pledging nearly €100 million over four years for global vaccination and programmes to strengthen health systems. In what was the single largest earmarked donation UNICEF had received in its then 60-year history, van Ardenne later pledged $201 million over four years to expand the agency's ongoing efforts to ensure that children in conflict, natural disasters and emerging from crisis can go to school.After leaving office, van Ardenne worked as her country’s Permanent Representative to the Food and Agriculture Organization (FAO), the World Food Program (WFP) and the International Fund for Agricultural Development (IFAD) in Rome from 2007 until 2011. She was succeeded by Gerda Verburg.Between 2011 and 2014, van Ardenne served as chairwoman of the Dutch Product Board for Horticulture. Since 2017, she has been chairwoman of the Netherlands Inspection Service for Horticulture.


== Other activities ==


=== International organizations ===
African Development Bank (AfDB), Ex-Officio Alternate Member of the Board of Governors (2003-2007)
Asian Development Bank (ADB), Ex-Officio Alternate Member of the Board of Governors (2003-2007)
World Bank, Ex-Officio Alternate Member of the Board of Governors (2003-2007)


=== Non-profit organizations ===
African Studies Centre (ASC) at Leiden University, Chairwoman of the Board of Governors (since 2013)
Council for the Environment and Infrastructure (RLI), Member (since 2012)
Van Hall Larenstein, President of the Supervisory Board
Marga Klompé Foundation, Chairwoman of the Board


== Political positions ==
On 30 March 2012, van Ardenne and several other prominent CDA members, including former Prime Ministers Ruud Lubbers and Piet de Jong, signed a petition of disapproval on the proposed cuts to the budget of international development by the first cabinet of Prime Minister Mark Rutte.


== Decorations ==


== References ==


== External links ==

Official(in Dutch) A.M.A. (Agnes) van Ardenne-van der Hoeven, Parlememt.com"
7,"Khadija Arib (Dutch: [xaːˈdiʒaː aːˈrip]; Arabic: خديجة عريب; born 10 October 1960) is a Moroccan-Dutch politician of the Labour Party, who served as Speaker of the House of Representatives of the Netherlands from 12 December 2015 to 7 April 2021. In the 2016 Speaker of the Dutch House of Representatives election on 13 January, she was elected to the position, which she had served as Acting Speaker since the resignation of Anouchka van Miltenburg on 12 December 2015. Arib became a member of the House of Representatives following the 1998 Dutch general election and served until 2022, with a brief interruption between 2006 and 2007.


== Early life ==
Khadija Arib was born on 10 October 1960 in Hedami near Casablanca in Morocco. She came to the Netherlands when she was 15 years old. Her parents worked at a laundry service in Schiedam. Arib studied sociology at the University of Amsterdam. Before her political career, she was a civil servant, educator and social worker.


== Politics ==
Arib is a member of the Labour Party (Partij van de Arbeid, PvdA) and a member of Parliament from 19 May 1998 to 29 November 2006 and since 1 March 2007. In the House, she focussed on matters of racism, discrimination, abuse, domestic violence, and youth care. She has been criticised (mainly by members of the Party for Freedom) for her dual citizenship and for her part in an advisory committee to the King of Morocco. In 2012, she made an unsuccessful attempt to become speaker and became first deputy speaker instead. She was elected speaker in an interim election on 13 January 2016, defeating three other candidates. On 29 March 2017 Arib was re-elected as speaker,;she was the only candidate for the position.Following the 2017 Dutch general election, Arib chose Edith Schippers as informateur, whose role is to explore possible governing alliances. Following Schippers' resignation, she named Herman Tjeenk Willink and Gerrit Zalm for the position. After the 2021 Dutch general election, Arib lost her position as speaker. She became a member of the opposition and was part of the PvdA fraction. After anonymous allegations of misconduct at the end of September 2021, Arib left the parliament on 3 November 2022. She was succeeded by Julian Bushoff.In March 2024, Arib became chair of the Schiphol Social Council (MRS), which had been established the year before to advise Amsterdam Airport Schiphol on its plans on behalf of local residents. Minister of Infrastructure and Water Management Mark Harbers appointed her to a four-year term.


== Political positions ==
During her career, Arib has been a champion for women's rights and the empowerment of women with a migrant background in the Netherlands; she was a founding member and president of the Moroccan Women in the Netherlands Foundation. In 1989, she was held prisoner in Morocco with her 3 children, after publicly addressing issues concerning the position of women in Moroccan society. After intervention by the Dutch Ministry of Foreign Affairs, she was allowed to return to the Netherlands.


== Electoral history ==


== Bibliography ==
1992: Marokkaanse vrouwen in Nederland (Moroccan women in the Netherlands) with Essa Reijmers
2009: Couscous op zondag (Couscous on Sundays)
2011: Allah heeft ons zo gemaakt (Allah made us like this)


== References ==


== External links ==

Khadija Arib (in Dutch) at the House of Representatives website
Khadija Arib (in Dutch) at the Labour Party website"
8,"Tamara van Ark (born 11 August 1974) is a Dutch politician of the People's Party for Freedom and Democracy (VVD). She served as Minister of Health from 9 July 2020 until 3 September 2021 and as State Secretary for Social Affairs and Employment from 26 October 2017 until 9 July 2020 in the Cabinet Rutte III.


== Early life and education ==
Van Ark received a propaedeutic diploma from the Rotterdam Hogeschool voor Economische Studies (now named the Rotterdam Business School) of the Rotterdam University of Applied Sciences in 1994. She went subsequently to the Erasmus University Rotterdam where she obtained an MSc degree in Public Administration in 1998.


== Political career ==


=== Career in local politics ===
As a member of the People's Party for Freedom and Democracy, Van Ark was an alderwoman of the former municipality of Nieuwerkerk aan den IJssel from 2004 to 2010 and of its successor, the Zuidplas municipality in 2010.


=== Career in national politics ===
In the 2010 Dutch general election, Van Ark was elected to the House of Representatives (or Second Chamber). As a parliamentarian from 17 June 2010, she focused on matters of long-term care. She was also involved, with other officeholders, with a law proposal against labour discrimination of homosexuals.Van Ark was reelected to the House of Representatives in 2012 and 2017. She remaine a member of the House of Representatives until her appointment as State Secretary on 26 October 2017.


=== Minister of Health, 2020–2021 ===
On 9 July 2020, Van Ark succeeded Martin van Rijn as Minister of Health. Since 2020, she has also been a member of the Global Leaders Group on Antimicrobial Resistance, co-chaired by Sheikh Hasina and Mia Mottley.Following the 2021 national elections, Van Ark and Wouter Koolmees of the Democrats 66 party were chosen to lead their parties' negotiations on a coalition agreement.


== References ==


== External links ==

(in Dutch) Drs. T. (Tamara) van Ark at the PDC Biographical Archive (Parlement.com), by the Parliamentary Documentary Centre of Leiden University
(in English) Tamara van Ark at the Dutch government English language website"
9,"Amma Asentewaa Asante (born 14 May 1972) is a Dutch politician. She was a member of the municipal council of Amsterdam from 1998 to 2006 and a member of the House of Representatives of the Netherlands for the Labour Party from 2016 to 2017.


== Early life ==
Amma Asentewaa Asante was born on 14 May 1972 in Kumasi in Ghana. Her father was initially an illegal immigrant in the Netherlands, but he became a legal resident by a general pardon in 1975. For family reunification, Asante and her mother moved to the Netherlands in 1978. Her father was a factory worker and her mother a chambermaid.Asante studied political science at the University of Amsterdam.


== Politics ==
Asante is a member of the Labour Party (PvdA).She was member of the municipal council of Amsterdam from May 1998 until March 2006.Asante was number 50 on the candidate list of the Labour Party for the 2012 Dutch general election. She received 4,549 preferential votes, but was initially not elected. She was number 36 on the candidate list of the Labour Party for the 2014 European Parliament election. She received 574 preferential votes, but was not elected.Asante became a member of the House of Representatives on 7 September 2016, when she replaced Tanja Jadnanansing. Here she is the party spokesperson for higher education. She was number 36 on the candidate list of the Labour Party for the Dutch general election on 15 March 2017. The Labour Party won nine seats in the election, so Asante left the House of Representatives on 23 March 2017.She was number 47 on the candidate list of the Labour Party for the Dutch general election on 17 March 2021.


== Personal life ==
Asante is married and has two daughters. She lives in Badhoevedorp.Asante is a Protestant Christian and attends the Triumphant Faith Chapel in Badhoevedorp, where her husband is a pastor. In 2016, when she was asked why she was not member of a confessional political party, Asante said: ""Christianity and social democracy are very similar. I feel great in the Labour Party, I feel at home there. My identity is not only established by my religion.""


== References ==


== External links ==

(in Dutch) Amma Asante Archived 9 January 2016 at the Wayback Machine, official website
(in Dutch) Amma Asante at the Labour Party website"
