,articles
0,"Eliana Benador (also Eleana Benador) is a Swiss-American public relations consultant, global strategist, and a publicist for American and Middle Eastern neo-conservatives. Through the development of Benador Associates, Benador promoted national security policies advocated by the Bush administration concerning Iraqi regime change, the Iraq War, and hard-line attitudes toward Iran. As of 2007, Benador had closed Benador Associates and opened a new firm, Benador Public Relations.


== Career ==
Benador studied linguistics, psychology and political science at the Sorbonne and the Université Catholique de Lille.  Following university, she worked as an editor for the Peruvian Times and as a translator at the United Nations in Vienna.  In 2000, Benador joined the Middle East Forum, an American conservative think tank, to work as the associate director of, and in charge of the expansion of, the Middle East Forum in New York, and she also was the media liaison of its founder Daniel Pipes. Benador left the MEF after eighteen months because of conflicts with Pipes. According to Pipes, they came to a mutual and amicable ""understanding that she would do better on her own.""In October 2001, Benador began her own public relations firm, Benador & Associates. After signing former C.I.A. director James Woolsey and Daily News columnist A.M. Rosenthal, Benador's firm built a clientele of  American neo-conservatives. Benador was criticized for ""acting as a kind of public-relations firm for the war.""In January 2011, Benador was appointed Goodwill Ambassador of the Shomron (Samaria) Liaison Office in the U.S. and Europe. In that capacity, she addressed the Rally in Support of Israel across the Israel Consulate in New York City, offering proportional comparison by population of the United States to the numbers of Israeli victims of terrorist attacks; according to Benador the 1,200 Israelis victimized from 2000 to 2010 would correspond to 50,297 Americans, while the 8,342 wounded would compare to 350,000.


== Selected articles ==
Surveillance law takes its toll in Sweden, The Gulf News, July 25, 2008
Can Palin make a difference?, The Gulf News, September 1, 2008
For America, it is the time for change, The Gulf News, October 3, 2008


== References ==


== External links ==
http://ElianaBenador.com"
1,"Barbara Berlusconi (born 30 July 1984) is an Italian business executive. She is advisor to the board of Fininvest and previously sat on the board of directors of A.C. Milan as vice-chairman and CEO.


== Early life ==
Barbara Berlusconi was born in Arlesheim, Basel-Landschaft canton, Switzerland in the summer of 1984, and is the daughter of Silvio Berlusconi and Veronica Lario (who became his second wife, in 1990). Barbara Berlusconi's godfather was Bettino Craxi. She made her formal debut in Paris at the Bal des débutantes in 2001. She has two older half-siblings, Maria Elvira ""Marina"" (born in 1966) and Pier Silvio (born in 1969), from her father's first marriage. She also has two younger siblings, Eleonora (born in 1986) and Luigi (born in 1988).


=== Education ===
Berlusconi completed her primary education at the Steiner school of Milan, in Città Studi. Berlusconi then attended secondary school at Collegio Villoresi San Giuseppe of Monza in Italy, and in July 2010, At 26 years old, Berlusconi obtained her bachelor in Philosophy, and gained a first class degree, with 110/110 cum laude, at the Vita-Salute San Raffaele University, founded and run by Don Verzé until 2011.


== Fininvest SpA ==
Since September 2003, Berlusconi has been member of the board of directors of Fininvest SpA.


== A.C. Milan ==
In April 2011, Berlusconi was given a role on the board of directors at A.C. Milan and since 30 November 2013 one of the CEO of the club.


== Personal life ==


=== Family ===
She has two sons, Alessandro (born in 2007) and Edoardo (born in 2009), with former partner Giorgio Valaguzza. Berlusconi resides in Switzerland. She was previously in a relationship with Alexandre Pato from 2011 to 2013. She has three other sons, Leone (born in 2016), Francesco Amos (born in 2018) and Ettore Quinto (born in 2021), with her current partner Lorenzo Guerrieri.


== See also ==
Adriano Galliani


== References ==


== External links ==
Barbara Berlusconi – profile at Fininvest SpA"
2,"Martine Clozel (born 27 December 1955) is a scientist, entrepreneur and co-founder of Actelion and Idorsia.


== Education and career ==
Clozel studied at the University of Nancy and the University of California in San Francisco. She also attended further training in physiology and pharmacology at McGill University.In 1997, she founded Actelion with her husband Jean-Paul Clozel. The company was sold in 2017 to the American pharmaceutical and consumer products company Johnson & Johnson for US$30 billion. Martine Clozel founded the pharmaceutical company Idorsia in 2017 and has since served as head of research. She is one of the most successful female company founders in Switzerland.


== Awards ==
Officer of the Legion of Honour
Doctor honoris causa from EPFL
Prix Suisse Award


== References ==


== External links ==
Martine Clozel at Idorsia"
3,"Ruth Guler (8 November 1930 – 10 February 2015) was a Swiss skier and hotelier, who ran the Hotel Wynegg in the skiing resort of Klosters, Switzerland. Her hotel was regularly visited by members of the British Royal Family.


== Biography ==
Guler was born and grew up in Klosters, and her parents owned the Wynegg. She learned English at a British language school and found work as an au pair before inheriting management of the hotel after her father's death. She was the only female member at the local ski school in the early 1950s and regularly participated with secret upper-class events, and enjoyed watching the racing at Royal Ascot. She was friends with royalty; particularly Prince Charles and Princess Diana who enjoyed staying at the Wynegg, and taught Charles how to ski.Guler was known for her no-nonsense approach to hotel management. The playwright Robert L. Joseph described her as ""diva-like"". She kept basic facilities at the Wynegg and ensured a rigid discipline. Guests arriving with snow on their boots would be reprimanded and told to brush it off outside. On several occasions, she threw drunk guests out into the street, and on another, she refused to give a newlywed couple a double bed, saying ""You are not here to sleep; you are here to ski"". Journalist and socialite Tara Palmer-Tomkinson said Guler ran the hotel like a boarding school, throwing guests out of bed at 8am and saying ""Come on, get up!"" Though royalty stayed at the Wynegg regularly, she treated them no different from any other guest, saying that ""otherwise, they'd tear the place down"". She loved the British sense of humour, particularly its eccentricity, and despite her stern demands she was popular with regular guests including the royals.In 2013, due to ill health, Guler retired from managing the Wynegg, leaving the running to three locals, a popular choice in Klosters. She died on 10 February 2015, having never married and without children.


== References =="
4,"Nayla Hayek (born 1951) is a Swiss heiress, businesswoman and horse breeder. She is the chair of The Swatch Group and CEO of its subsidiary, the jeweler Harry Winston.


== Early life ==
Hayek is the daughter of Lebanese-born Swiss businessman Nicolas Hayek, the late founder of The Swatch Group. She has a younger brother, Nick Hayek Jr.


== The Swatch Group ==
Hayek joined the board of The Swatch Group in 1995 and became its chair in 2010, after her father's death.Hayek became the CEO of Harry Winston, Inc. in May 2013, a few months after The Swatch Group acquired the company. The company bought the world's largest flawless blue diamond The Winston Blue in May 2014.


== Horse breeding ==
Hayek stated that her passion for horses started when she was a child and worked to buy a pony. Since then, she became an international Arabian horse judge and owns over 60 purebred Arabian horses.Hayek's activity as a horse breeder and expert in Egyptian horses helps the group build and maintain contacts with the Middle East.


== Personal ==
She was married to Alemannic Swiss industrialist Roland Weber and eventually divorced. She and her ex-husband have a son, Dr. Marc Alexander Hayek, who is now on the executive group management board of the Swatch Group, taking charge of Blancpain, Breguet, Glashutte, Jaquet Droz, and Swatch Group Central and South America.


== References =="
5,"Stefanie Heimgartner (born 25 April 1987) is a Swiss businesswoman and politician. She currently serves as a member of the National Council (Switzerland) for the Swiss People's Party since 2019.


== Early life and education ==
Stefanie Heimgartner was born 25 April 1987 in Baden, Switzerland. She has one sister. In her youth, she engaged as a handball player in various associations. She completed a commercial apprenticeship in Business administration. She also holds a truck driver's license and is certified to operate them commercially.


== Professional career ==
She works in the logistics and transportation company of her parents, Heimgartner Transport AG, of which she is a part-owner. Further she is an executive director of Verein Lernwerk in Gebensdorf, which engages in workplace integration for people with disabilities. Further she is a member of the board of trustees of the Stiftung zur Förderung und Unterstützung des Kinderheims Brugg (en. Foundation for the Development and Support of the Orphanage Brugg).


== Personal life ==
Heimgartner resides in Baden, Switzerland.In the Swiss Armed Forces, Heimgartner is enlisted as Soldier.


== References =="
6,"Carole Hübscher Clements (born 16 April 1967) is a Swiss entrepreneur. She has been CEO of Geneva-based colored pencil and stationery manufacturer Caran d'Ache since 2012 and is the fourth generation to head the company. She also holds directorships at Mobiliar and precious metals specialist Cendres + Métaux. Hübscher is married and has three children.


== Career ==
Hübscher graduated from hotel management school in Geneva and initially worked in a hotel. To gain experience abroad, she then worked for the Caran-d'Ache wholesaler in the United States for two years. After returning to Switzerland, she began working in Caran d'Ache's international sales department.In 1997, Hübscher went to the U.S. again and studied at Harvard Business School. In 2012, she said of this education, ""It was very concrete work. We regularly had to work out solutions for specific cases from one day to the next. It was very intense, six days a week, but involving. Above all, there were meetings with people from all over the world, from different industries, often of very different kinds, with diverse experiences from which we could all learn.""After returning to Switzerland, she was involved in building Calvin Klein's watch brand. She later worked for the Swiss watch company Swatch for several years and headed the international marketing of the Calvin Klein watch brand.Since 2002, Hübscher sat on the board of directors of Caran d'Ache, and since 2007 she was prepared by her father to take over the leadership. When asked in 2012 if it was difficult for a woman to succeed three men, she denied it in an interview, saying, ""When I was appointed president of the board of directors a few months ago, I received a touching message from the women in the company. They were so proud to see one of their own on the board."" Hübscher says she is committed to promoting women in business, but is an opponent of quotas for women.


== References =="
7,"Gardi Hutter (born 5 March 1953 in Altstätten) is a Swiss Clown-comedian, author, actress and Cabaret artist and a clown of the classical rule.


== Life and career ==
Born on 5 March 1953 in Altstätten, Canton of St. Gallen in Switzerland, Gardi Hutter graduated at the Academy of Dramatic Arts in Zürich (Schauspiel-Akademie Zürich) from 1974 to 1977, where she absolved an induction and training in theatre education and theatre pedagogy.  Gari Hutter gave lessons to the students, but she felt unhappy not to practice what she taught. At the Centro di ricerca per il teatro (CRT) in Milano Gardi Hutter graduated as maestros (master), being also her so-called Clownsgesellenzeit (literally: apprenticeship as a clown) of three years to become an approved member of the Clown community. Gardi Hutter was taught by Mario Gonzales, Pantalone of the Théatre du Soleil, Nani Colombaioni (I Colombaioni) and Ferruccio Cainero of the Teatro Ingenuo.,For the national ""700-year anniversary"" of Switzerland, Gardi Hutter played the women jester in the Federal Assembly Chamber of the Swiss Parliament in 1991. For the festival ""700 years"" of 1998 of her hometown, Gardi Hutter acted as co-writer. In the winter season 1997/98 she was starring in Romulus der Grosse at the Schauspielhaus Zürich.Since 1981, Gardi Hutter had more than 3,300 performances in 30 countries and four continents, including Andorra, Brazil, China, Russia, Spain, Sweden, USA and Switzerland. There were also recordings on TV stations of 17 countries and auditions in numerous radio programs.


== Clowneskes Theater ==
Since 1981, Gardi Hutter is touring with her so-called Clowneskes Theater, so far in concert halls, playhouses, barns and culture houses, in festivals and also favelas in Latin America. Gardi Hutter designed a new segment of the Cabaret theater in Switzerland and in neighbouring countries. As her clown theatre bases not on linguistic mediation, live performances and recordings were also done in Eastern Europe, Southern and Northern America.


== Children's literature ==
Gardi Hutter's wrote as of November 2014 four ""mamma mia!"" children's books, three of them illustrated by Catherine Louis, that are translated into several languages; one was produced exclusively as an audiobook.


== Awards ==
Gardi Hutter was honoured since 1987 by numerous national, but also international awards, among them:

1987 Wilhelmshavener Knurrhahn (Germany)
1987 Prix de la Presse, Cannes (France)
1988 Prix Blanc et Noir, Saint-Gervais-les-Bains (France)
1989 Buxtehuder Kleinkunstigel (Germany)
1990 Hans Reinhart-Ring
1991 Oberschwäbischer Kleinkunstpreis, Ravensburg (Germany)
1995 Kulturpreis, St. Gallen (Switzerland)
2001 Narrenkappe, Frauenfeld (Switzerland)
2005 Schweizer KleinKunstPreis (Switzerland)
2007 LOLLIPOP-Children's Swiss Music Award (Switzerland)
2007 FringeNYC, New York, Overall excellence award (USA)
2007 Festival Internacional de Pallasses, Andorra, Premi Fipa: millor espectacle (Andorra)
2013 La Stella de l’Arlecchino errante, Festival de l’Arlecchino errante, Pordenone (Italy)
2014: Prix Walo for „WANDERFUL“ (CH)
2015: Membre of Academy of fools – Dir.: Slava Polunin, Moskva (RU)
2017: Premio Publico – Festival Intern. payasos Gran Canari (E)
2019: Honorary companion ZHdK – University of the Arts Zurich  (CH)
2020: Rheintaler Kulturpreis „Goldiga Törgga“ (CH)
2022: Großer Valentin-Karlstadt-Preis der Landeshauptstadt München (D)


== Work ==


=== Cabaret ===
1981 Jeanne d’ArPpo – Die tapfere Hanna - solo program, written by Cainero + Hutter, directed by Ferruccio Cainero
1984 Abra Catastrofe – Eine Hexenkomödie - with Minnie Marx, written by Cainero + Hutter, directed by Ferruccio Cainero
1988 So ein Käse - solo program, written by Cainero + Hutter, directed by Ferruccio Cainero
1994 Sekretärin gesucht - with Eric Amton Rohnerwritten by Cainero + Hutter, directed by Ferruccio Cainero
1998 Das Leben ist schon lustig genug - with Ueli Bichsel, written by Ueli Bichsel and Gardi Hutter
2000 Hanna & Knill, Circus Knie, 6 clown cabarets with Ueli Bichsel, Neda und Maite
2003 Die Souffleuse - solo program, directed by Fritzi Bisenz and Ueli Bichsel
2010 Die Schneiderin - solo program, written (by Gardi Hutter and Michael Vogel, directed by Michael Vogel (Familie Flöz)
2018 Gaia Gaudi by Gardi Hutter and Michael Vogel, Juri Cainero, Neda Cainero, Beatriz Navarro.


=== Musicals ===
2005 The bride, by/with Gardi Hutter, Sandra Studer, Sue Mathys, directed by Dominik Flaschka and produced for Casinotheater Winterthur;
2006 Honkystonky by Huttystucky, musical for children, by/with Gardi Hutter, Erika Stucky, Shirley Hoffmann, directed by Ueli Bichsel and produced for Brothers & Sisters;
2014 WANDERFUL - There's no Piz like Show Piz, by/with Gardi Hutter, Sandra Studer, Michael von der Heide, directed by Dominik Flaschka and produced for Just4fun at the Theater am Hechtplatz in Zürich.


=== Books ===
Mamma mia! Lass das Zaubern, illustrations by Catherine Louis. Nord-Süd, Gossau/Zürich 1997, ISBN 978-3314007811.
Mamma mia! Was haben wir geweint, illustrations by Catherine Louis. Nord-Süd, Zürich 1999, ISBN 978-3314008962.
Mamma mia! Geh nicht weg, illustrations by Catherine Louis. Nord-Süd, Zürich 2001, ISBN 978-3314010071.
Mamma mia! Lass das Zaubern / Mamma mia! Was haben wir geweint (in Swiss-German), Audio-CD, Jumbo, Haumburg 2000, ISBN 978-3-89592-466-8.
Der kleine See und das Meer, Sauerländer, Aarau 2001, ISBN 978-3794148646.


=== Filmography (excerpt) ===
1989 Fata Morgana (actress)
1993 Hanna & Rocky (actress und co-writer)
2006 Alles bleibt anders (actress)
2007 Tell (actress)


== Literature ==
Susann und Hansueli Moser-Ehinger: Gardi Hutter – die Clownerin. Panorama, Altstätten 1985/86, ISBN 978-3-907506-85-1.
Lys Wiedmer-Zingg: Jahresspiegel aus der Schweizer Prominenz. Hallwag, Bern 1990, ISBN
Catherine Prélaz: Les Suisses qui font rire, Promoéditions S.A., Genf 1991, ISBN
Benita Cantieni: Unter vier Augen, Orell Füssli, Zürich 1994, ISBN


== References ==


== External links ==
Official website 
Gardi Hutter at IMDb
Gardi Hutter on the website of the Swiss televivion (SRF)"
8,"Mirjam Lydia Indermaur (born 1967) is a Swiss businesswoman and author. In 2019 she co-wrote the book Ich habe einen Knall - Sie auch? with her therapist, Denise Hürlimann, about her experience with psychotherapy.


== Early life ==
Indermaur was born in 1967 in Zug, Switzerland and is a member of the In der Maur family. She is a cousin of the poet Katherine Indermaur.


== Career ==
Indermaur works as a marketing specialist for her husband's technical trading company and is the chief executive officer of Comate, a marketing agency. She also runs a text design office and works as a marketing specialist for the electronic cigarette company Happy-Smoke, owned by her family.Indermaur, who suffered from depression, began attending therapy with Denise Hürlimann, a trained psycho-oncologist and psychotherapist, after her husband was diagnosed with stomach cancer. After years of treatment with Hürlimann, Indermaur began recommending therapy to friends and colleagues. Indermaur and Hürlimann decided to co-write a book about their experiences working together as a therapist and patient in psychotherapy, which was published in 2019. The book, titled Ich habe einen Knall - Sie auch?, is a non-fiction memoir and guide book for psychotherapy.


== Personal life ==
Indermaur is married and has three children. She splits her time between homes in Obfelden, Switzerland, and Bonita Springs, Florida.


== References =="
9,"Dominique Astrid Lévy (born June 1967) is a Swiss art dealer, and co-founder and partner, with Brett Gorvy, of Lévy Gorvy Dayan, a gallery with offices in New York City, London, Switzerland, Hong Kong and Paris.


== Early life and education ==
Lévy was born in June 1967, in Lausanne, Switzerland. Her mother was born in Belgium and was an art collector. Her father, a cotton merchant, left Egypt in 1956 after Gamal Abdel Nasser came to power.She attended Art Basel at the age of three and organized her first exhibition when she was 18.Lévy studied art history and politics at the University of Geneva and received a BA in Political Science and an MA in Sociology of Art.  During college, she worked as an actress and a clown, performing a parties.


== Career ==
In 1987, Lévy completed her first internship for Christie's in New York. When she came back to Switzerland, she was hired by Simon de Pury to work at Sotheby's where she worked for four years. Afterwards, she worked with French art dealer Daniel Malingue on the opening of his gallery, and followed his co-director, Simon Studer, in the creation of an art curation business. Then she joined the team of London's art dealer Anthony d'Offay. In 1999, headhunted by François Pinault, Lévy founded and was the international director of the private sales department at Christie's in New York.
In 2003, Lévy founded Dominique Lévy Fine Art, a boutique art advisory service with a focus on building long-term relationships with collectors.


=== L&M Arts, 2005–2013 ===
In August 2005, Lévy co-founded L&M Arts with Robert Mnuchin, which was based in New York and Los Angeles. The bi-coastal gallery provided client services and organized exhibitions of modern and postwar art, as well as new work by such artists as David Hammons and Paul McCarthy.


=== Dominique Lévy Gallery, 2013–2017 ===
In September 2013, Dominique Lévy Gallery opened its Manhattan space with the exhibition Audible Presence: Lucio Fontana, Yves Klein, Cy Twombly, which was accompanied by the first public performance in New York of Yves Klein's seminal Monotone Silence Symphony.In October 2014, Dominique Lévy expanded to London, opening a location at historic 22 Old Bond Street, close to the Royal Academy of Arts in the city's Mayfair district. She co-curated an exhibition of Pierre Soulages in New York in collaboration with Emmanuel Perrotin.In 2015, her galleries exhibited Gerhard Richter's color charts, miniatures of Alexander Calder, Gego's work.


=== Lévy Gorvy, 2017–2021 ===
In 2017, Lévy partnered with art dealer Brett Gorvy, former chairman and international head of post-war and contemporary art at Christie's and they co-founded Levy Gorvy with spaces in New York, London and Hong Kong. In 2020, the gallery added a Paris space.In 2019, for the 100th birthday of Pierre Soulages, Lévy Gorvy notably organized an exhibition ahead of his retrospective at the Musee du Louvre.The gallery currently represented the estates of Yves Klein, Roman Opalka, Germaine Richier and Carol Rama (since 2016) in the United States, as well as artists Enrico Castellani, Boris Mikhailov, Frank Stella, Pierre Soulages, and Günther Uecker. From 2017 until 2020, it also worked with the estate of François Morellet.


=== LGDR ===
In August 2021, Lévy Gorvy announced plans to join forces with Jeanne Greenberg Rohatyn and Amalia Dayan.


=== Lévy Gorvy Dayan ===
Two years later, in August 2023, Jeanne Greenberg Rohatyn announced that she would be leaving the partnership to reopen Salon 94. The gallery would continue operations under the banner of Lévy Gorvy Dayan.


=== Controversies ===
The three dealers wrote a response joint statement in Artforum to an open letter that a number of artists, writers, and other cultural producers made for the need of art institutions to speak out on Israel’s airstrikes on Gaza. The original letter did not mention Palestine's attack on October 7 that killed 1,200 Israelis, however, since then Israel has killed at least 17,000 Palestinians, nearly half of which are children, in retaliation during the ongoing Israel-Palestinian conflict. Notably, Amalia Dayan is the granddaughter of Israeli military leader and politician Moshe Dayan.


== Personal life ==
Levy had a long-term relationship with Dorothy Berwin, a film producer. The couple met in 1998 at the London premiere of a film co-produced by Berwin. The two started living together in 2001. For many year, the couple lived in a 6-bedroom, 6,000+ square-foot loft in Soho at 140 Franklin Street. In 2007, they purchased a 5,000-square-foot apartment at 170 East End Avenue for $12 million. For more than two years, the apartment in SoHo languished on the market. Initially priced at $12.2 million, the property eventually sold for just $7.9 million. They also owned a home in the Hamptons.Lévy and Berwin have two children together. They separated in 2019.


== Recognition ==
2014: Movers and makers: the most powerful people in the art world, by The Guardian
2013: Women in art, by Elle Magazine
2012: 10 most influential art dealers, by Forbes


== References ==


== External links ==
Official website
Lévy Gorvy Gallery
https://www.levygorvydayan.com/"
