name,country
Mahsa Abdolzadeh,Austria
Claudia Arpa,Austria
Christine Aschbacher,Austria
Gertrude Aubauer,Austria
Claudia Bandion-Ortner,Austria
Dagmar Belakowitsch-Jenewein,Austria
Brigitte Bierlein,Austria
Juliane Bogner-Strauß,Austria
Doris Bures,Austria
Gabi Burgstaller,Austria
Heidemarie Cammerlander,Austria
Traude Dierdorf,Austria
Muna Duzdar,Austria
Rosa Ecker,Austria
Andrea Eder-Gitschthaler,Austria
Karoline Edtstadler,Austria
Maria Fekter,Austria
Monika Forstinger,Austria
Elisabeth Gehrer,Austria
Leonore Gewessler,Austria
Eva Glawischnig-Piesczek,Austria
Silvia Grünberger,Austria
Valerie Hackl,Austria
Theresia Haidlmayr,Austria
Sonja Hammerschmid,Austria
Beate Hartinger-Klein,Austria
Hilde Hawlicek,Austria
Birgit Hebein,Austria
Gabriele Heinisch-Hosek,Austria
Julia Herr,Austria
Carmen Jeitler-Cincelli,Austria
Elke Kahr,Austria
Sophie Karmasin,Austria
Andrea Kdolsky,Austria
Andrea Klambauer,Austria
Karin Kneissl,Austria
Elisabeth Köstinger,Austria
Christa Krammer,Austria
Stephanie Krisper,Austria
Vera Lischka,Austria
Christine Marek,Austria
Sigrid Maurer,Austria
Beate Meinl-Reisinger,Austria
Johanna Mikl-Leitner,Austria
Edith Mühlberghuber,Austria
Theresa Muigg,Austria
Sabine Oberhauser,Austria
Maria Patek,Austria
Madeleine Petrovic,Austria
Olga Pircher,Austria
Ursula Plassnik,Austria
Inge Posch-Gruska,Austria
Barbara Prammer,Austria
Johanna Priglinger,Austria
Liese Prokop,Austria
Susanne Raab,Austria
Maria Rauch-Kallat,Austria
Bettina Rausch,Austria
Iris Rauskala,Austria
Pamela Rendi-Wagner,Austria
Susanne Riess,Austria
Barbara Rosenkranz,Austria
Martina Rüscher,Austria
Greti Schmid,Austria
Heide Schmidt,Austria
Claudia Schmied,Austria
Margarete Schramböck,Austria
Christine Schwarz-Fuchs,Austria
Judith Schwentner,Austria
Elisabeth Sickl,Austria
Heidrun Silhavy,Austria
Petra Steger,Austria
Maria Stern (singer-songwriter),Austria
Ines Stilling,Austria
Klaudia Tanner,Austria
Elisabeth Udolf-Strobl,Austria
Bettina Vollath,Austria
Eva Maria Waibel,Austria
Ulla Weigerstorfer,Austria
Hilde Zach,Austria
Alma Zadić,Austria
Brigitte Zarfl,Austria
Antonia Albert,Austria
Barbara Wolfgang-Krenn,Austria
Carmen Jeitler-Cincelli,Austria
Ingeborg Hochmair,Austria
Monika Forstinger,Austria
Monisha Kaltenborn,Austria
Nadja Swarovski,Austria
Sonja Kohn,Austria
Sofie Quidenus-Wahlforss,Austria
Valerie Hackl,Austria
Antonia Albert,Belgium
Annemie Vanackere,Belgium
Barbara Wolfgang-Krenn,Belgium
Carmen Jeitler-Cincelli,Belgium
Dora van der Groen,Belgium
Francine Swiggers,Belgium
Ingeborg Hochmair,Belgium
Mieke Offeciers,Belgium
Monika Forstinger,Belgium
Monisha Kaltenborn,Belgium
Myriam Ullens,Belgium
Nadja Swarovski,Belgium
Saskia Van Uffelen,Belgium
Sonja Kohn,Belgium
Sofie Quidenus-Wahlforss,Belgium
Tine Van Aerschot,Belgium
Valerie Hackl,Belgium
Nabilla Ait Daoud,Belgium
Meyrem Almaci,Belgium
Antonia Albert,Belgium
Annemie Vanackere,Belgium
Anne Barzin,Belgium
Sonja Becq,Belgium
Rita Bellens,Belgium
Nicole Nketo Bomele,Belgium
Freya Van den Bossche,Belgium
Sfia Bouarfa,Belgium
Juliette Boulet,Belgium
Eva Brems,Belgium
Colette Burgeon,Belgium
Véronique Caprasse,Belgium
Vera Celis,Belgium
Alexandra Colen,Belgium
Cathy Coudyser,Belgium
Stephanie D'Hose,Belgium
Barbara d'Ursel de Lobkowicz,Belgium
Sabine de Bethune,Belgium
Maggie De Block,Belgium
Rita De Bont,Belgium
Inez De Coninck,Belgium
Monica De Coninck,Belgium
Magda De Galan,Belgium
Ariane de Lobkowicz-d'Ursel,Belgium
Ingeborg De Meulemeester,Belgium
Nicole de Moor,Belgium
Annick De Ridder,Belgium
Minneke De Ridder,Belgium
Petra de Sutter,Belgium
Sophie De Wit,Belgium
Ludivine Dedonder,Belgium
Christine Defraigne,Belgium
Zuhal Demir,Belgium
Els Demol,Belgium
Kathleen Depoorter,Belgium
Melissa Depraetere,Belgium
Leona Detiège,Belgium
Maya Detiège,Belgium
Philippine Dhanis,Belgium
Vera Dua,Belgium
Daphné Dumery,Belgium
Tine Eerlingen,Belgium
Inge Faes,Belgium
Julie Fernandez-Fernandez,Belgium
Catherine Fonck,Belgium
Cindy Franssen,Belgium
Jacqueline Galant,Belgium
Caroline Gennez,Belgium
Frieda Gijbels,Belgium
Danielle Godderis-T'Jonck,Belgium
Sigrid Goethals,Belgium
Karolien Grosemans,Belgium
An Hermans,Belgium
Liesbeth Homans,Belgium
Katrien Houtmeyers,Belgium
Yngvild Ingels,Belgium
Cécile Jodogne,Belgium
Sofie Joosen,Belgium
Sihame El Kaouakibi,Belgium
Joëlle Kapompolé,Belgium
Zakia Khattabi,Belgium
Meryame Kitir,Belgium
Stéphanie Koplowicz,Belgium
Kathleen Krekels,Belgium
Karine Lalieux,Belgium
Marie-José Laloy,Belgium
Nahima Lanjri,Belgium
Sabine Laruelle,Belgium
Marie-Colline Leroy,Belgium
Ingrid Lieten,Belgium
Lieve Maes,Belgium
Marie-Christine Marghem,Belgium
Vanessa Matz,Belgium
Joëlle Milquet,Belgium
Fientje Moerman,Belgium
Marie-Rose Morel,Belgium
Anne-Sylvie Mouzon,Belgium
Laurette Onkelinx,Belgium
Mahinur Özdemir Göktaş,Belgium
Barbara Pas,Belgium
Freya Piryns,Belgium
Sabine Poleyn,Belgium
Florence Reuter,Belgium
Elke Roex,Belgium
Gwendolyn Rutten,Belgium
Hélène Ryckmans,Belgium
Joke Schauvliege,Belgium
Françoise Schepmans,Belgium
Sarah Schlitz,Belgium
Isabelle Simonis,Belgium
Elke Sleurs,Belgium
Sarah Smeyers,Belgium
Nadia Sminate,Belgium
Antoinette Spaak,Belgium
Martine Taelman,Belgium
Annabel Tavernier,Belgium
Marleen Temmerman,Belgium
Erika Thijs,Belgium
Dominique Tilmans,Belgium
Annemie Turtelboom,Belgium
Ilse Uyttersprot,Belgium
Christine Van Broeckhoven,Belgium
Yoleen Van Camp,Belgium
Carina Van Cauter,Belgium
Tinne Van der Straeten,Belgium
Tine van der Vloet,Belgium
Anke Van dermeersch,Belgium
Miranda Van Eetvelde,Belgium
Reinilde Van Moer,Belgium
Valerie Van Peel,Belgium
Frieda Van Themsche,Belgium
Kristien Van Vaerenbergh,Belgium
Manuela Van Werde,Belgium
Marleen Vanderpoorten,Belgium
Ann Vanheste,Belgium
Myriam Vanlerberghe,Belgium
Patsy Vatlet,Belgium
Katja Verheyen,Belgium
Annelies Verlinden,Belgium
Goedele Vermeiren,Belgium
Inge Vervotte,Belgium
Christiane Vienne,Belgium
Maria Vindevoghel,Belgium
Linda Vissers,Belgium
Mieke Vogels,Belgium
Ulla Werbrouck,Belgium
Isabelle Weykmans,Belgium
Monique Willocq,Belgium
Sophie Wilmès,Belgium
Veerle Wouters,Belgium
Delphine Arnault,France
Catherine Barba,France
Patricia Barbizet,France
Michèle Bellon,France
Sophie Bellon,France
Liliane Bettencourt,France
Faiza Bouguessa,France
Anne Bouverot,France
Georgina Brandolini d'Adda,France
Virginie Calmels,France
Anne-Marie Couderc,France
Mercedes Erra,France
Geneviève de Fontenay,France
Isabelle Gallimard,France
Clara Gaymard,France
Olivia Giacobetti,France
Josephine Goube,France
Cathy Guetta,France
Odile Jacob,France
Bouchra Jarrar,France
Alexia Laroche-Joubert,France
Anne Lauvergeon,France
Géraldine Le Meur,France
Martine Liautaud,France
Cherifa Linossier,France
Josette Londé,France
Aydha Mehnaz,France
Léone-Noëlle Meyer,France
Virginie Morgon,France
Véronique Newland,France
Danièle Nouy,France
Amélie Oudéa-Castéra,France
Laurence Parisot,France
Marie-Hélène Peugeot-Roncoroni,France
Maria Luisa Poumaillou,France
Évelyne Prouvost,France
Bénédicte de Raphélis Soissan,France
Dominique Reiniche,France
Ariane de Rothschild,France
Agathe Rousselle,France
Marie-Laure Sauty de Chalon,France
Sophia Metz,France
Pascale Sourisse,France
Tania de Bourbon Parme,France
Sylvie Tellier,France
Joanna Truffaut,France
Claire Vallée,France
Corinne Vigreux,France
Lamia El Aaraje,France
Caroline Abadie,France
Bérangère Abba,France
Rima Abdul Malak,France
Nadège Abomangoli,France
Patricia Adam,France
Sabrina Agresti-Roubache,France
Leila Aïchi,France
Christine Albanel,France
Jacqueline Alduy,France
Ramlati Ali,France
Aude Amadou,France
Catherine Amalric,France
Fadela Amara,France
Nicole Ameline,France
Marie-Hélène Amiable,France
Ségolène Amiot,France
Farida Amrani,France
Sylvie Andrieux,France
Emmanuelle Anthoine,France
Edwige Antier,France
Cathy Apourceau-Poly,France
Nathalie Appéré,France
Laurence Arribagé,France
Christine Arrighi,France
Viviane Artigalas,France
Éliane Assassi,France
Stéphanie Atger,France
Isabelle Attard,France
Manon Aubry,France
Martine Aubry,France
Édith Audibert,France
Martine Aurillac,France
Clémentine Autain,France
Bénédicte Auzanot,France
Laetitia Avia,France
Audrey Azoulay,France
,France
Anne-Laure Babault,France
,France
Sonia Backès,France
,France
Delphine Bagarry,France
,France
Françoise Ballet-Blu,France
,France
Géraldine Bannier,France
,France
Catherine Barbaroux,France
,France
Brigitte Barèges,France
,France
Ericka Bareigts,France
,France
Jeanne Barseghian,France
,France
Nathalie Bassire,France
,France
Sylvia Bassot,France
,France
Delphine Batho,France
,France
Marie-Noëlle Battistel,France
,France
Valérie Bazin-Malgras,France
,France
Marie-Claude Beaudeau,France
,France
Sophie Beaudouin-Hubière,France
,France
Marie-France Beaufils,France
,France
Bernadette Beauvais,France
,France
Valérie Beauvais,France
,France
Marie-Françoise Bechtel,France
,France
Aurélia Beigneux,France
,France
Béatrice Bellamy,France
,France
Huguette Bello,France
,France
Nicole Belloubet,France
,France
Lisa Belluco,France
,France
Esther Benbassa,France
,France
Justine Benin,France
,France
Fanta Berete,France
,France
Aurore Bergé,France
,France
Karine Berger,France
,France
Chantal Berthelot,France
,France
Martine Berthet,France
,France
Véronique Besse,France
,France
Barbara Bessot Ballot,France
,France
Annie Beustes,France
,France
Gisèle Biémouret,France
,France
Martine Billard,France
,France
Anne Blanc,France
,France
Sophie Blanc,France
,France
Marie-Christine Blandin,France
,France
Florence Blatrix-Contat,France
,France
Anne-Laure Blin,France
,France
Maryvonne Blondin,France
,France
Émilie Bonnivard,France
,France
Aude Bono-Vandorme,France
,France
Alexandra Borchio-Fontimp,France
,France
Josette Borel-Lincertin,France
,France
Élisabeth Borne,France
,France
Nicole Borvo,France
,France
Natacha Bouchart,France
,France
Sylvie Bouchet Bellecourt,France
,France
Claire Bouchet,France
,France
Jeannette Bougrab,France
,France
Marie-Odile Bouillé,France
,France
Monique Boulestin,France
,France
Brigitte Bourguignon,France
,France
Soumya Bourouaha,France
,France
Chantal Bourragué,France
,France
Danielle Bousquet,France
,France
Brigitte Bout,France
,France
Christine Boutin,France
,France
Kheira Bouziane-Laroussi,France
,France
Marie Bové,France
,France
Pascale Boyer,France
,France
Valérie Boyer,France
,France
Françoise Branget,France
,France
Yaël Braun-Pivet,France
,France
Maud Bregeon,France
,France
