,articles
0,"Mahsa or Mahsā (Persian: مهسا, lit. 'moon-like', pronounced [mæhˈsɒː]) is a feminine given name of Persian origin. The name has the meaning ""like the moon"". Mah (𐎶𐏃) is the Old Persian word for ""moon"", and -sā (ـسا), as a suffix, means ""representing, alike, as"". This name has been used before Islam and has no religious connection. Iranians with different ethnicities and political views name their daughters Mahsa. 
Notable people with the name include:

Mahsa Abdolzadeh (born 1985), Austrian politician, political scientist and women's rights and LGBT activist
Mahsa Amini (1999–2022), Iranian-Kurdish woman whose death in the Islamic Republic of Iran's police custody sparked protests in Iran and in the world
Mahsa Amrabadi (born 1984), Iranian journalist
Mahsa Javar (born 1994), Iranian rower
Mahsa Kadkhoda (born 1993), Iranian volleyball player
Mahsa Mohaghegh, Iranian-born New Zealand computer engineer
Mahsa Saberi (born 1993), Iranian volleyball player
Mahsa Shahbazian (born 1984), Iranian musician, composer and Qanun player
Mahsa Vahdat (born 1973), Persian classical and world music vocalist


== See also ==
Mahsa (disambiguation)


== References =="
1,"Claudia Arpa (born 12 November 1967) is an Austrian politician who has been President of the country's Federal Council since 1 July 2023.


== Early life and education ==
Arpa was born on 12 November 1967 in Waiern in Carinthia, the third of four children. She attended Gnesau elementary school and Feldkirchen secondary school, graduating in 1982. She undertook further studies in economics in Villach. In 1993, she graduated with teaching degrees in psychology, geography and economics from Karl Franzens University in Graz. She has completed postgraduate studies in environmental protection at the Technical University of Graz and in social management at the Institute for Education in the Health Service.


== Career ==
Arpa worked in management at an Integration Service and the Wolfsburg State Welfare Association, before becoming managing director of the Lavanttal Women's Shelter in 2019. She also ran her own language learning company.Arpa has been involved in various committees of the Social Democratic Party of Austria. From 2015, she was a member of the municipal council of Frantschach-Sankt Gertraud and on 21 March 2021 she was elected Vice Mayor of the town. In April 2018, she was elected to the Carinthian State Parliament. In November 2021, she was unanimously elected Chair of SPO women in Wolfsberg District.Arpa became a member of the Federal Council in April 2023, delegated by the Carinthian state parliament, and was elected President on 1 July 2023.


== Personal life ==
Arpa is married and has three daughters.


== References =="
2,"Christine Aschbacher (born 10 July 1983) was an Austrian People's Party politician who served in the Second Kurz government as minister of labour, family and youth between January 2020 and January 2021.


== Early life and education ==
Aschbacher was born in Wundschuh, a small town in Styria. She studied management, Organizational Consulting and Human Resources Management as well as Marketing and Sales, receiving a master's degree in 2006. She began doctoral studies in Industrial Engineering and Management at the Slovak University of Technology in Bratislava in 2011 and received the PhD from Bratislava in August 2020.


== Professional activities ==
She worked for Piewald Management Training from 2003 to 2006, and then (2006-2012) as a consultant at Capgemini Consulting. She served on the team of Maria Fekter (Minister of Finance) from June 2012 to December 2013. 2014 she led the department of Risk Management. From October 2014 to May 2015 she served on the staff of Reinhold Mitterlehner in the Ministry for Education, Research and Economics. She opened the Aschbacher Advisory Agency in September 2015.


== Family ==
Christine Aschbacher is married and has three children. Her sister Barbara Walch was elected Mayor of Wundschuh in 2019. Their father, Alois Kowald, was mayor of Neudorf ob Wildon and her uncle Josef Kowald was a member of the Styrian state parliament.


== Political career ==
Chancellor of Austria Sebastian Kurz appointed Aschbacher to his cabinet in January 2020; she resigned amid thesis plagiarism scandal. According to allegations first levied by blogger Stefan Weber, Aschbacher has committed plagiarism and academic fraud in two these. According to Weber, that thesis includes a variety of “gobbledygook, nonsense and plagiarism” with over 20% of the paper coming from other sources that are not cited.


== Plagiarism scandal and resignation ==
On 7 January 2021 plagiarism researcher Stefan Weber exposed serious errors and plagiarism in Aschbacher's master's thesis, submitted to a college in Wiener Neustadt where she had been enrolled from 2002 to 2006. It soon became clear that the thesis was not only heavily plagiarized; other parts were written in rambling, grammatically incorrect German. The same was true of the doctoral dissertation which she submitted to a Slovak university while serving as minister in 2020. On 9 January 2021, Aschbacher resigned from her post as minister.


== References ==


== External links ==
Christine Aschbacher on the Austrian Parliament website"
3,"Gertrude Aubauer (born 13 July 1951) is an Austrian journalist and politician. While serving at the Austrian Parliament for the Austrian People's Party she mostly involved in activities targeting senior citizens.


== Early life and education ==
Aubauer was born in Vienna on 13 July 1951. She received a degree in economics from the University of Vienna in 1974.


== Career ==
Following her graduation Aubauer began to work as a journalist at the Österreichischer Rundfunk, national public broadcaster of Austria in 1975. She was first employed at the ORF radio, Studio Vienna. Then she served as the parliamentary editor and the moderator of the parliamentary program Hohes Haus. From 1980 she was employed at Zeit im Bild which she moderated between 1986 and 1994. In 1981 she joined the Social Democratic Party of Austria and left the party in 2000. She worked at the press office of the Parliament from 1995 and also, contributed to the paper Kronen Zeitung.Aubauer became a member of the Austrian People's Party in 2006. She was elected as a member of the Parliament in 2006 and served there for three terms during the XXIV., XXV. and XXIII. legislations. Her activities were generally towards the senior people. Her term at the Parliament ended in late 2017. Then she joined the Senior Citizens' Association, serving as its deputy chair.


=== Awards ===
Aubauer was awarded the Leopold Kunschak Press Prize in March 2004. She is the recipient of the Decoration of Honour for Services to the Republic of Austria in gold which was awarded to her on 12 July 2017.


== References ==


== External links ==
 Media related to Gertrude Aubauer at Wikimedia Commons"
4,"Claudia Bandion-Ortner (born 30 November 1966) is an Austrian judge and politician, who served as the minister of justice.


== Early life and education ==
Bandion-Ortner was born in Graz on 30 November 1966. She graduated from Karl-Franzens University in Graz in 1989 with a master's degree in law.


== Career ==
Bandion-Ortner began her career as a judge at the regional court for criminal matters in Vienna. Then she became a chief judge. She was appointed minister of justice to the coalition cabinet led by Werner Faymann on 15 January 2009, replacing Johannes Hahn. Although she was an independent figure, the People's Party, partner of the Social Democratic Party in the coalition, nominated her for the post. Her tenure lasted until 20 April 2011 when she was resigned from office and she was succeeded by Beatrix Karl in the post.After leaving office Bandion-Ortner served as the senior advisor at the international anticorruption academy in Laxenburg, outside Vienna,  from August 2011 to August 2012. In November 2012, Bandion-Ortner was appointed deputy secretary-general of the King Abdullah bin Abdulaziz international centre for interreligious and intercultural dialogue (KAICIID) that is based in Vienna.


== Personal life ==
Bandion-Ortner is married and has a child.


== References =="
5,"Dagmar Belakowitsch-Jenewein (born 24 August 1968 in Vienna) is an Austrian politician for the Freedom Party of Austria (FPÖ), currently serving as a Member of the Parliament of Austria, the National Council. She chairs the Committee for Health Affairs and is deputy chair of the parliamentary group of her party.She studied medicine at the University of Vienna and the University of Graz, graduating as Dr. med. univ. She became a board member of the local party in Vienna in 2006, and was elected to the National Council the same year. She succeeded Barbara Rosenkranz as chair of the Committee for Health Affairs in 2008.
She is married and has a son.


== References ==


== External links ==
Dagmar Belakowitsch-Jenewein
Österreichisches Parlament - Persönliche Porträts von MandatarInnen"
6,"Brigitte Bierlein (German: [bʁiˈɡɪtə ˈbiːɐ̯laɪn]; born 25 June 1949) is an Austrian former jurist who served as president of the Constitutional Court before serving as chancellor of Austria from June 2019 until January 2020. An Independent, she was the first woman to hold either office.
Bierlein served as the advocate general of the Procurator's Office – essentially the country's chief public prosecutor – from 1990 to 2002, as well as a member of the executive board of the International Association of Prosecutors from 2001 to 2003. In 2003, Bierlein was made a member and the vice president of the Constitutional Court.
Following the Ibiza affair, President Alexander Van der Bellen named Bierlein Chancellor of Austria, after a parliamentary motion of no confidence dismissed the first government of Sebastian Kurz, the first successful motion of no confidence in Austrian modern history. She was the first woman to assume the role and served until the next government led by Kurz was sworn in following the legislative election which took place on 29 September 2019.


== Early life ==
Brigitte Bierlein was born on 25 June 1949 in Vienna during the Allied occupation of Austria. Her father was a civil servant. Her mother, trained as an artist, was a homemaker. She was educated at the Gymnasium Kundmanngasse, from which she graduated in 1967. Bierlein originally wanted to study either art or architecture and came close to joining the University of Applied Arts. However, she ultimately chose to study law instead, partly on the advice of her mother and partly because she did not want to be a financial burden on her parents any longer than necessary. Bierlein enrolled at the University of Vienna, receiving her doctorate of law in 1971.


== Judicial career ==
Bierlein served for four years as a candidate judge, before she was officially elevated to the judiciary in 1975.
She spent the next two years presiding over trial courts, first the District Court Innere Stadt (German: Bezirksgericht Innere Stadt Wien) and then the District Tribunal Vienna (Strafbezirksgericht Wien), a criminal court that has since been dissolved.
In the former position, she mostly dealt with cases at tenancy law, an area that appears to have bored her greatly.In 1977, Bierlein left the bench to join the Vienna Public Prosecutor's Office (Staatsanwaltschaft Wien). She was responsible for general and political criminal cases as well as for criminal cases pursuant to media law, a type of proceedings customarily handled by dedicated specialists in Austria. In 1986, Bierlein was promoted to the Vienna Chief Public Prosecutor's Office (Oberstaatsanwaltschaft Wien). She was now a distinguished civil servant attached to one of the country's five most senior criminal chambers. In 1987, she spent a few months working in the Department of Criminal Law in the Ministry of Justice, then returned to her position in the prosecution service.In 1990, she was appointed advocate general of the Procurator's Office, the section of the prosecution service attached directly to the Supreme Court. 
She was the first woman to serve in this position.The same year, Bierlein became a member of the board of examiners for judges and prosecutors at the Vienna Higher Regional Court, a position she would hold until 2010.In 1995, Bierlein was appointed to the executive board of the Association of Austrian Prosecutors. From 2001 to 2003, she served as the association's president. Also from 2001 to 2003, she held a seat on the executive board of the International Association of Prosecutors.In 2002, the first Schüssel government recommended Bierlein for appointment as vice president of the Constitutional Court.
The move was not uncontroversial at the time. Bierlein had prosecuted crime with great fervor but had not distinguished herself as a legal scholar; she is in fact considered indifferent as a theorist to this day. Opposition politicians such as Josef Cap accused the government of passing over multiple more competent candidates in favor of a partisan hack. Bierlein supporters such as Maria Fekter countered that Bierlein's appointment would be an important step towards gender equality in Austria.According to the well-known Austrian law professor Werner Doralt, Bierlein owed her career at the Constitutional Court to the Austrian politician Jörg Haider and her life partner, the Austrian judge Ernest Maurer, a close friend of Jörg Haider.Assenting to the cabinet's recommendation, President Thomas Klestil appointed Bierlein on 21 November 2002, the appointment to be effective 1 January 2003. 
Once again, Bierlein was the first woman to serve in the role she was being elevated to.
In fact, there had been no women at all on the Constitutional Court until 1995.Bierlein took over from the president of the court, Gerhart Holzinger, when he retired from the bench effective 31 December 2017.On the initiative of the Freedom Party, the right-of-center first Kurz government moved to turn her interim position into a permanent one.
President Alexander Van der Bellen confirmed Bierlein as the new president of the Constitutional Court on 23 February 2018.
Bierlein's previous role as vice president passed on to Supreme Court justice Christoph Grabenwarter. 
Wolfgang Brandstetter, who had formerly been vice chancellor and minister of justice on a People's Party ticket, was appointed to fill the vacancy of the Court.Bierlein reached the mandatory retirement age of 70 in 2019.


== Politics ==
Bierlein has no political affiliation. She is seen as solidly right of centre. During her time as a prosecutor, she was noted for her hardline tough-on-crime stance, although her years on the bench have earned her a reputation for civility and for working well with ideological opponents.
Commentators from both sides of the political spectrum note Bierlein's close ties to both People's Party and Freedom Party, as well as the fact that her career owes both its unexpected major breaks to right-of-centre coalition governments.Bierlein herself acknowledges both her toughness as a prosecutor and her socially conservative bent in general. In response to doubts about her ability to remain above the fray as a Constitutional Court justice, she claims to be as committed to impartiality as any other professional judge and also points out that she has never actually joined any party.In December 2017 the Austrian Constitutional Court with Bierlein as president ruled to introduce same-sex marriage on 1 January 2019.
After the first Kurz government lost a parliamentary vote of no-confidence on 27 May 2019 following the Ibiza affair, Alexander Van der Bellen, the president of Austria, named Bierlein as Kurz's successor. She became the first female chancellor of Austria and was in office until the next government was formed following the National Council elections on 29 September 2019. Bierlein's appointment was agreed with all political parties in the National Council. She became the second independent to serve as a chancellor after Johannes Schober, who was in office twice between 1921 and 1930, and the first in Austria's post-war history.


== Personal life ==
Bierlein is unmarried and has no children. Her long-time partner was Ernest Maurer, a retired judge, who died in 2021. Bierlein is a supporter of the arts. She owns contemporary paintings, although she does not consider herself a collector. She also attends theatre and opera performances as well as museums. She enjoys skiing and sailing. In June 2020, Bierlein was pulled over on suspicion of driving while intoxicated. She was forced to surrender her driver's licence for four weeks and has since issued an apology.


== Honours ==
Austrian honours
 Grand Decoration of Honor in Silver with Sash of the Decoration of Honour for Services to the Republic of Austria
 Grand Decoration of Honor in Gold with Sash of the Decoration of Honour for Services to the Republic of Austria (16 June 2021)


== References ==


== External links ==

Brigitte BIERLEIN at the Constitutional Court homepage"
7,"Juliane Bogner-Strauß, (born 3 November 1971) is an Austrian molecular biologist, biochemist, and politician in the Austrian People's Party (ÖVP). Since October 2013 she is Associate Professor at the Institute of Biochemistry of Graz University of Technology.  From 18 December 2017 she was Federal Minister for Families and Youth of the Republic of Austria, since 8 January 2018 she is Federal Minister for Women, Families and Youth in the Federal Chancellery. Since 9 July 2018, she is the Federal Minister for Sustainability and Tourism.


== Life ==
From 1992 she studied chemistry at the University of Graz, graduating in 1999 with a master's degree. This was followed by a doctoral degree at the Institute of Molecular Biosciences at the University of Graz, where she earned her doctorate in 2002 under Rudolf Zechner and subsequently worked as a university assistant until 2005. In 2005 she moved to Graz University of Technology as assistant professor at the Institute for Genomics and Bioinformatics. In 2008 she qualified as a professor in the field of genomics and molecular biology. In 2010 she became associate professor and deputy director of the institute. In October 2013 she became Associate Professor and Deputy Director of the Institute of Biochemistry. Since June 2018 she has been a supporter of the Strong Women, Strong hearts initiative, founded in 2017, for education about cardiovascular diseases.


== Politics ==
In the 2017 Austrian legislative election, she ran as a newcomer for the Styrian People's Party on the third list of the state list. From 9 November 2017 to 22 January 2018, she was a member of the Austrian National Council. Since 18 December 2017, she has been a member of the Federal Government for short as Minister for Women, Family and Youth. In the National Council she followed  Josef Smolle on 24 January 2018. Josef Smolle. From 8 July 2018, Bogner-Strauß represented the Federal Minister for Sustainability and Tourism, Elisabeth Köstinger, when she went on parental leave for six weeks. Since October 2017, she has been a member of the Styrian VP-Employee Alliance and, since November 2017, a member of the Styrian VP Women.


== References ==

 This article incorporates text available under the CC BY-SA 3.0 license."
8,"Gabi Burgstaller (born 23 May 1963) is an Austrian politician, and the former governor (Landeshauptfrau) of the federal state of Salzburg.


== Life ==
She was born in Penetzdorf/Niederthalheim near Schwanenstadt in Upper Austria. After matriculation at a high school in Gmunden and one year abroad in England, she studied law at the University of Salzburg. From 1987 until 1989, she worked as an assistant at the Institutes for Constitutional and Administrative Law, and Sociology of Law respectively at the same university. From 1989, Burgstaller worked as a consumer consultant at the Salzburg Chamber of Labour. There, specializing in residential rights and tenancy law, she earned an excellent reputation acting on behalf of 25,000 investors defrauded by the WEB-IMMAG building trust company.In 1994, she started her political career as a member of the Salzburg federal state government, where she acted as chairperson of the Austrian Social Democratic Party (SPÖ) from the beginning. On 27 April 1999, Burgstaller was elected State Councillor in Salzburg State's government. In the government Burgstaller was responsible for female concerns, construction, trade, consumerism, and transport.On 31 March 2001, Burgstaller was elected as the first woman to head Salzburg's Social Democratic Party with an approval of 98% of delegates. On 25 April, she was appointed as first deputy governor of the federal state of Salzburg. Her agendas included the purviews of communities, health and youth issues, and again female concerns and consumerism.Following an election victory for the social democrats, Gabi Burgstaller became federal state governor on 28 April 2004. She was Salzburg State's first female governor, the second female governor in Austrian history (after Waltraud Klasnic), and the first post-World War II governor of Salzburg State not from the ÖVP.She won the 2009 Salzburg State elections with a 39.4% of the votes, losing a 6.0% and two seats, from 17 to 15.After a major financial scandal striking the administration of Salzburg State she sustained a historic loss in the elections on 5 May 2013. SPÖ lost 15,56% and Burgstaller resigned. She was succeeded as governor by Wilfried Haslauer (ÖVP).


== References ==


== External links ==

Salzburg State - Governor Gabi Burgstaller"
9,"Heidemarie ""Heidi"" Cammerlander (born 26 September 1942) is an Austrian social worker and politician who served in the Municipal Council and Landtag of Vienna from 2005 until 2010, representing Leopoldstadt. A member of The Greens, she advocated for measures against drug and gambling addiction, including the establishment of safe consumption rooms and the banning of all low-cost slot machines in Vienna.


== Biography ==
Heidemarie Cammerlander was born on 26 September 1942 in the city of Innsbruck, Austria. After completing secondary school, she attended a commercial school (Handelsschule). Cammerlander worked as a manager and director for several social projects, including a program which provided aid for released prisoners; she also worked with a development cooperation firm in Guatemala.A member of The Greens, Cammerlander represented the party in the district councils of Landstraße and Leopoldstadt in Vienna. In the 2005 Viennese state election, she was one of fourteen Greens elected to the Municipal Council and Landtag of Vienna, representing Leopoldstadt. Prior to her election, she was also an office manager for the Vienna Greens, and was the chairwoman of the local Green Education Workshop (Grüne Bildungswerkstatt). While in the Landtag, Cammerlander was a member of the committees on migration and human rights, and was the social policy spokesman for the Vienna Greens.During her tenure, Cammerlander advocated for measures against drug and gambling addictions. She supported shifting drug policy to focus on ""prevention, harm reduction and treatment"", and promoted the establishment of safe consumption rooms at the U-Bahn station in Karlsplatz, which had a large concentration of drug users. She also criticized a renovation plan at the station, arguing that ""turning Karlsplatz Passage into a glass case is not going to make drug addiction and alcoholism disappear"". Additionally, Cammerlander introduced a bill which would have banned small-scale gambling in Vienna, citing an increase in gambling addiction, particularly among minors. The bill targeted 2,000 ""low-stakes"" slot machines, which provided over 34 million euros in tax revenue for the city government per year; she argued that the low cost of the machines, which were capped by law at a maximum of fifty cents per game, made them much more attractive to minors. She left office at the end of her term on 25 November 2010.


== References ==


== Further reading ==
Cammerlander, Heidi (13 March 2009). ""Warten auf die nächste Mondlandung"" [Waiting for the Next Moon Landing]. Die Presse (in German). Retrieved 12 August 2023."
