,articles
0,"Emmanuelle Anthoine (born 2 July 1964) is a French politician of the Republicans who was elected to the French National Assembly on 18 June 2017, representing the
4th constituency of the department of Drôme.


== Political career ==
In parliament, Anthoine serves on the Committee on Cultural Affairs and Education. In addition to her committee assignments, she is a member of the French-Jordanian Parliamentary Friendship Group.In the Republicans' 2017 leadership election, Anthoine endorsed Laurent Wauquiez as chairman.Anthoine was re-elected in the 2022 French legislative election. 
Ahead of the Republicans' 2022 convention, Anthoine endorsed Éric Ciotti as the party's chairman.


== See also ==
2017 French legislative election


== References =="
1,"Edwige Antier (born 15 May 1942) is a French paediatrician and former politician. She was one of two women elected to the Territorial Assembly of New Caledonia in 1977, the territory's first female legislators. She was served in the French National Assembly as a representative of Paris's 4th constituency.


== Biography ==
Antier was born in Toulon in 1942. After an internship at the Assistance Publique – Hôpitaux de Paris, she moved to New Caledonia in 1972, where she worked as a paediatrician and became a member of the territory's Council of the Order of Physicians.
She also became involved in politics and headed the Union for the Renewal of New Caledonia party for the 1977 elections. Considered a party of right-wing intelligentsia, it won a single seat in the South constituency, taken by Antier-Lagarde. Alongside Marie-Paule Serve, she became one of the first two women in the Territorial Assembly. She was elected vice president of the Assembly, and became president of the Health Commission.
In 1979 she returned to France, she worked at the Baudelocque maternity hospital and in a private maternity hospital, as well as practicing at a medical office in Paris. She also started a broadcasting career, joining France Inter in 1981 and then France Info from 1987. She also published several books for parents.
In 2001, she became a member of the board of directors of the Assistance Publique – Hôpitaux de Paris. In the same year she was elected as a city councillor in Paris, serving until 2008. In the 2007 National Assembly elections, she was elected as a substitute for Union for a Popular Movement deputy Pierre Lellouche. After Lellouche was made Secretary of State for European Affairs, Antier became a full member of the National Assembly in July 2009. She became a member of the Social Affairs Commission, and authored a bill aiming to abolish corporal punishment for children. After losing her seat in the 2012 elections, she was a founder member of the Union of Democrats and Independents.


== References =="
2,"Cathy Apourceau-Poly (born 18 April 1965) is a French Communist Party politician and a member of the Senate of France since July 2018.


== Biography ==
Apourceau-Poly was elected to the Regional Council of Nord-Pas-de-Calais in 2004 and re-elected in 2010.She was a member of the municipal council of Avion, Pas-de-Calais, where she administered the Communal Center for Social Action.She became a senator on 1 July 2018, after Dominique Watrin's resignation. She enlisted in the Communist, Republican, Citizen and Ecologist group and was a member of the Commission for Social Affairs.
She stood as the 54th candidate on Ian Brossat's list in the 2019 European Parliament election.


== References ==


== External links ==
Cathy Apourceau-Poly, French Senate official website
Cathy Apourceau-Poly, NosSénateurs.fr (in French)"
3,"Nathalie Appéré (born 8 July 1975) is a French politician who has served as the president of Rennes Métropole since 2020 and the mayor of Rennes since 2014. She is a member of the Socialist Party (PS).
Appéré was born in Morbihan and moved to Rennes in 1993 to study at Sciences Po Rennes. She graduated three years later and entered the public service. In 1995, Appéré joined the Young Socialist Movement (MJS) in 1995 and then the Socialist Party. She was named by Edmond Hervé to his electoral list in the 2001 French municipal elections, after which she was appointed his deputy for community living. Appéré then managed Daniel Delaveau's successful mayoral campaign in 2008, with Delaveau subsequently appointing her deputy mayor, in charge of Solidarity, as well as vice-president of Rennes Métropole, in charge of Social Cohesion.
Appéré was elected to the National Assembly in the 2012 French legislative elections, representing Ille-et-Vilaine's 2nd constituency. She then became the first female mayor of Rennes in 2014 and was re-elected in 2020, when she also won the presidency of Rennes Métropole.


== Early life and education ==
Nathalie Appéré was born on 8 July 1975 in Ploemeur, Morbihan.Appéré moved to Rennes in 1993 after obtaining her baccalauréat. She enrolled in Sciences Po Rennes and graduated in 1996, writing a senior thesis titled ""Study for a Diagnostic and the Definition of a Research Strategy in the Rennes Agglomeration: Final Report Relating to the Study Contract with the City of Rennes–University of Rennes 1"" with Jacques Hardy as her advisor. Appéré then became a lecturer in public law.Appéré's professional career centred around city politics and urban social development. She first entered the public service as a research analyst for the Regional Institute of Social Work in Rennes from 1996 to 1998, after which she took up the post of director of public infrastructure for Saint-Jacques-de-la-Lande from 2000 to 2008.


== Political career ==
After arriving in Rennes, Appéré joined the Young Socialist Movement at the age of 20 during the 1995 French presidential election. She became a member of the Socialist Party (PS) and took up several departmental posts within the party, notably that of spokesperson for the Socialist federation of Ille-et-Vilaine.Appéré joined Edmond Hervé's electoral list for Rennes in the 2001 municipal elections, after which she was appointed deputy mayor for community living. It was in this position that she led major city projects such as the reform of the Rennes Social and Cultural Office.


=== Rise to prominence ===
Appéré was the director of Daniel Delaveau's successful campaign for mayor of Rennes in the 2008 municipal elections, after which she was appointed first deputy mayor, in charge of Solidarity, and vice-president of Rennes Métropole, in charge of Social Cohesion. Among her initiatives were the implementation of the ""Sortir"" tourism card, providing discounts for visitors to cultural and entertainment attractions in Rennes, as well as the rehabilitation of the city's heritage district.Appéré also served as the president of the supervisory board of Guillaume-Régnier hospital from 2010 to 2012. In early 2012, she supported a strike at the hospital protesting the facility's insufficient patient capacity.At the national level, Appéré was named vice-president of the National Council of Cities in 2010. The body is presided over by the Prime Minister of France and discusses issues surrounding municipal politics, neighbourhood public policy and territorial difficulties.Appéré endorsed François Hollande in the PS' 2011 open presidential primary.


=== Member of the National Assembly ===
During the 2002 French legislative elections, Appéré was elected as the designated substitute of Philippe Tourtelier, Socialist deputy for Ille-et-Vilaine's 2nd constituency. After Tourtelier announced that he would not run for a third term in the 2012 legislative elections, Appéré was nominated by the PS in his riding. Speaking after receiving the nomination, she promised party activists that she would resign her executive offices in Rennes but also signalled that she would continue to sit on the city's municipal council. Appéré was elected to the National Assembly on 17 June 2012, winning 63.45% of the vote in the second round against Bertrand Plouvier of the Union for a Popular Movement (UMP).In December 2012, she declared her candidacy for the Socialist nomination for mayor of Rennes in the 2014 French municipal elections. Although Appéré had previously stated her opposition to the law on the accumulation of electoral mandates several times, she ultimately announced that she would serve out her full term as deputy if she were to be elected to the mayoralty.


=== Mayor of Rennes ===


==== First term ====
Appéré was elected mayor of Rennes on 4 April 2014 with 55.83% of the vote in the second round after forming an alliance with the Europe Ecology – The Greens–Left Front electoral list. She thus became the city's first female mayor.The beginning of Appéré's term was marked by several violent protests against the Grand Ouest Airport project in January 2016 as well as the El Khomri law between March and May of the same year. She responded by demanding a ""clear decision from the French state"" on the airport. Further riots broke out after the announcement of the El Khomri law, with a 20-year-old student notably losing an eye in the violence on 28 April. This led student protesters to interrupt a session of the Rennes municipal council on 2 May, calling for the mayor to put an end to police brutality.In 2016, Appéré endorsed Manuel Valls in the 2017 Socialist presidential primary and joined his campaign's organizational staff. Valls was defeated in the primary by Benoît Hamon, whom Appéré subsequently endorsed in the presidential election.In accordance with the law on the accumulation of electoral mandates, Appéré did not seek re-election in the 2017 French legislative elections. In 2018, she supported Olivier Faure for first secretary of the PS during its Aubervilliers Congress. Appéré was appointed to the party's national bureau on 15 April of that year.On 12 February 2019, the City Mayors Foundation awarded Appéré a World Mayor Commendation, along with Mayor Ros Jones of Doncaster, Mayor Charlotte Britz of Saarbrücken and Mayor Beng Climaco of Zamboanga City. The foundation announced that she had received the distinction for her housing policies, establishment of a participatory budget system and overseeing of demographic and economic development.Appéré's first term also saw the opening of the LGV Bretagne-Pays de la Loire high-speed railway in July 2017, the Convent of the Jacobins Convention Centre in January 2018 and the renovated Rennes station in July 2019. Other infrastructure projects included two new public parks—the Saint-Martin Meadows and Baud Beaches.


==== 2020 Rennes municipal election campaign ====


===== Pre-election manoeuvres =====
On 26 June 2019, Appéré launched a discussion platform named ""200 Days for Rennes"" in the lead-up to the 2020 French municipal elections. The platform had a website with the address ""avecnathalieappere.fr"" (""With Nathalie Appéré""). In an interview with Ouest-France on 13 September, she confirmed that she would be a candidate in the upcoming municipal elections but would begin her campaign later than her competitors, citing her ongoing consideration of whether to run for the presidency of Rennes Métropole following the expected retirement of Socialist incumbent Emmanuel Couet. She received the endorsement of deputy François André, an independent affiliated with the La République En Marche group, four days later. Nevertheless, La République En Marche itself announced that it would be running its own electoral list in the elections.


===== Campaign and policy platform =====
Appéré announced her candidacy for the mayoralty of Rennes and the presidency of Rennes Métropole on 10 December 2019, during an 800-person event at Rennes' Le Liberté performance hall concluding the 200 Days for Rennes campaign. The latter ended after collecting the views of 1 000 Rennais, according to its organizers. Appéré was joined by representatives from the French Communist Party, the Radical Party of the Left, Génération.s and Place Publique who declared their parties' support for her campaign. The event also saw her announce the first planks of her platform, such as the creation of five rapid transit bus lines, which she called ""trambuses,"" the laying out of 100 kilometres of safe bicycle lanes, the adoption of free public transit for riders under 12 years old, the planting of 30 000 trees in six years, the uncovering of the Vilaine river in front of the Palace of Commerce as well as the establishment of a nighttime municipal police department and a police brigade combating anti-social behaviour.The following month, Appéré had the City of Rennes acquire the Jacques Cartier Prison with plans of converting it into a cultural attraction. She also announced the construction of an aquatic centre that would replace a public pool in the neighbourhood of Villejean. Appéré released her full platform on 7 February 2020, which included commitments to create citizens' panels for urban redevelopment projects and the redefinition of certain municipal policies, build a ""Neighbourhood of Creation"" for ""cultural and creative industries"" next to the city's SNCF station and never increase local taxes. On 21 February, she confirmed her candidacy for president of Rennes Métropole and joined 25 other electoral list leaders and 12 incumbent mayors in unveiling a metropolitan platform.On 5 March, Appéré held a rally in advance of the first round of the elections that attracted 800 people. The following day, she received the public endorsement of former mayor Edmond Hervé, under whom she had served as deputy mayor from 2001 to 2008.


===== Re-election victory =====
The first round of the election on 15 March 2020 was marked by the rapidly worsening COVID-19 pandemic. Appéré's list won 32.77% of the vote, putting it in first place ahead of the lists of Matthieu Theurier and Europe Ecology – The Greens (EELV), Carole Gandon and La République En Marche (LREM) and Charles Compagnon and the Miscellaneous right (DVG). Due to the COVID-19 lockdown in France, the second round was postponed to 28 June. It was during this delay that Appéré announced on 30 May that she had successfully concluded an electoral pact with the EELV to unite their lists in the second round against those of Gandon and Compagnon.Appéré's list won the second round with 65.35% of the vote, though voter turnout fell to a historic low of 68.33% of the electorate. Consequently, her result was ten percentage points higher than in 2014 but consisted of almost 9 000 fewer votes. She also finished far ahead of Gandon and Compagnon's lists, which recorded 17.49% and 17.15% of the vote respectively. Responding to the results, Appéré praised the ""clear, definite and massive choice of Rennais"" and welcomed the ""large victory with pride and emotion,"" while also promising to ""work to reinforce local democracy"" to remedy low voter turnout. She additionally described Rennes as ""the vanguard of a social and environmentalist left.""


==== Second term ====
During the first session of the new municipal council on 3 July, Appéré was re-elected mayor with 51 votes against 10 blank votes and one invalid vote for Hervé cast by an opposition councillor. Speaking after assuming office, Appéré spoke of the great ""emotion [she was feeling] at this moment"" and paid homage to her predecessors. She then appointed 21 deputy mayors, including 12 candidates from her municipal election list and nine from Theurier's EELV list. Several of the latter received important portfolios like Education, Culture and Finance. Also among the nominees was the son of Edmond Hervé, Marc Hervé, whom Appéré promoted from seventh deputy mayor, in charge of Finance, to first deputy mayor, in charge of Urban Planning.


=== President of Rennes Métropole ===
Appéré stood for the presidency of Rennes Métropole during the inaugural session of its communal council on 9 July 2020. She was the sole candidate and was elected with 78 votes out of 111 councillors present. This was followed by the new president's nomination of an executive cabinet consisting of 20 vice-presidents, 12 of which were not from Rennes (one more than in the previous government). A group of 11 mayors then announced that they would form an ""independent"" group, though without leaving the opposition benches.On 24 September, Appéré was named secretary-general of France Urbaine, an association of elected officials from urban municipalities across France. She succeeded the former mayor of Nancy, André Rossinot, in this position. Six months later, she established the ""Idées en Commun"" discussion platform (originally proposed by Mayor Anne Hidalgo of Paris), to address housing issues. Appéré then joined Hidalgo on 12 September 2021 for an event launching the Paris mayor's campaign in the 2022 French presidential election.


== Personal life ==
Appéré is married and has 2 children. She lives in Rennes and has previously resided in its Maurepas-Patton neighbourhood.


== References ==


== External links ==
Official website"
4,"Laurence Arribagé (25 May 1970) is a French politician and communications advisor.
She is a member of the Union for a Popular Movement party. She served as member of Parliament from 2014 to 2017. She is deputy mayor of Toulouse since 2014. She was also elected regional councilor of Midi-Pyrénées from 2010 to 2014. She was departmental secretary of the UMP federation then Les Républicains de la Haute-Garonne from 2011 to 2016.


== Biography ==
Laurence Arribagé was born in Albi, France in 1970. She is married to Dominique Arribagé and has children. She studied at Toulouse 1 University Capitole. For the 2017 legislative elections, she was standing in the third constituency of Haute-Garonne. She is a member of the national assembly's committee on cultural affairs and education.
She was elected MP on 1 June 2014, Jean-Luc Moudenc becoming her deputy.


== References =="
5,"Christine Arrighi (born 19 September 1959) is a French politician from EELV (NUPES). She became the Member of Parliament for Haute-Garonne's 9th constituency in the 2022 French legislative election.


== References ==


== See also ==
List of deputies of the 16th National Assembly of France"
6,"Viviane Artigalas (born 22 October 1956) is a French politician of the Socialist Party. She became a senator for Hautes-Pyrénées in October 2017.


== Career ==
Artigalas started her political career as a municipal councillor of Milly-la-Forêt, Essonne. She supported candidate Ségolène Royal in the 2007 presidential election.Artigalas was elected mayor of Arrens-Marsous, Hautes-Pyrénées in 2012 and re-elected in 2014. She was the deputy chairwoman of the Val d'Azun community of communes from 2008 to 2016, then a member of the Pyrénées Vallées des Gaves community of communes in 2017. Besides, she was a regional councillor of Midi-Pyrénées between 2010 and 2015 and became the deputy chairwoman of the Midi-Pyrénées Regional Council.Artigalas stood in the 2011 cantonal election in the canton of Aucun but was defeated by Marc Léo.


=== Member of the Senate, 2017–present ===
On 24 September 2017 Artigalas was elected a senator for Hautes-Pyrénées. She was appointed as the secretary of the Commission for Economic Affairs.


== Other activities ==
Caisse des dépôts et consignations, Member of the Supervisory Board


== References ==


== External links ==
Viviane Artigalas, French Senate official website (in French)
Viviane Artigalas, NosSénateurs.fr (in French)"
7,"Éliane Assassi (born 2 October 1958) is a French politician and a member of the Senate of France, representing the Seine-Saint-Denis department. She is a member of the Communist, Republican, Citizen and Ecologist group.


== See also ==
Women in the French Senate


== References =="
8,"Stéphanie Atger (born 11 October 1975) is a French politician of La République En Marche! (LREM) who was member of the National Assembly from 2019 until 2022, representing Essonne's 6th constituency.


== Political career ==
Atger became a member of the National Assembly when Amélie de Montchalin was appointed Minister of Europe and Foreign Affairs. As her substitute, Atger took her place in the Assembly.In parliament, Atger served on the Committee on Cultural Affairs and Education from 2019 until 2020 before moving to the Committee on Social Affairs.She stood down at the 2022 French legislative election.


== Political positions ==
In July 2019, Atger voted in favor of the French ratification of the European Union’s Comprehensive Economic and Trade Agreement (CETA) with Canada.


== References =="
9,"Isabelle Robert Attard (born 4 November 1969, in Vendôme) is a French archaeologist and politician, best known for her work in archaeozoology, specialising in the Bearded vulture during the Last Glacial Period. She has served as the museum director for the Bayeux Tapestry Museum from 2005 to 2010, and then the Utah Beach D-Day Museum from 2010 to 2012. As a politician, she has served as deputy for Calvados's 5th constituency, and was a member of the Europe Ecology – The Greens party until 2013, after which she was co-president of the New Deal party until 2015. Since 2015, she self-identifies as an anarchist.


== Selected works ==


=== Books ===
Comment je suis devenue anarchiste. Paris: Éditions du Seuil. 2019. ISBN 978-2-0214-4035-5.


=== Papers ===
Vigne, Jean-Denis; Attard, Isabelle (2002). ""The Bearded Vulture (Gypaetus barbatus) as an Accumulator of Archaeological Bones : Late Glacial Assemblages and Present-day Reference Data in Corsica (Western Mediterranean)"". Journal of Archaeological Science. 29 (7): 763–777.
Costamagno, Sandrine; Attard, Isabelle; Laroulandie, Véronique; Mourre, Vincent; Thiébaut, Céline (1994). ""Rôle du gypaète barbu (Gypaetus barbatus) dans la constitution de l'assemblage osseux de la grotte du Noisetier (Fréchet-Aure, Hautes-Pyrénées, France)"" [Role of the bearded vulture (Gypaetus barbatus) in the constitution of the bone assembly of the Grotte du Noisetier (Fréchet-Aure, Hautes-Pyrénées, France)]. Annales de Paléontologie (in French). 4 (94): 245–265.


== References =="
