,articles
0,"Marianne Maximi (born 13 November 1985) is a French politician of the La France Insoumise. She was elected as the deputy in the National Assembly for Puy-de-Dôme's 1st constituency in 2022.


== References ==


== See also ==
List of deputies of the 16th National Assembly of France"
1,"Sandrine Mazetier (born 16 December 1966 in Rodez, Aveyron) is a member of the National Assembly of France.  She represents the city of Paris,  and is a member of the Socialiste, radical, citoyen et divers gauche.


== References =="
2,"Nora Mebarek (born 22 July 1972) is a French politician of the Socialist Party (PS) who has been a Member of the European Parliament since February 2020.


== Political career ==
Mebarek stood in the 2017 French legislative election in Bouches-du-Rhône's 16th constituency, a seat with an incumbent socialist MP, Michel Vauzelle, who was standing down. She came in 5th place on the first round and was eliminated. The seat was won in the second round by Monica Michel from La République En Marche!.Mebarek stood in the 2019 European Parliament election in France. She was placed 6th on the PS–PP–ND list, and so was not elected immediately but secured a seat among the British seats that were redistributed after the UK left the European Union. She took her seat in the European Parliament after Brexit. She sits with the Progressive Alliance of Socialists and Democrats.
In parliament, Mebarek serves on the Committee on Regional Development. Since 2021, she has been part of the Parliament's delegation to the Conference on the Future of Europe. In addition to her committee assignments, she is part of the Parliament’s delegation for relations with the Mashreq countries.


== Political positions ==
In May 2021, Mebarek joined a group of 39 mostly Green Party lawmakers from the European Parliament who in a letter urged the leaders of Germany, France and Italy not to support Arctic LNG 2, a $21 billion Russian Arctic liquefied natural gas (LNG) project, due to climate change concerns.Ahead of the 2022 presidential elections, Mebarek publicly declared her support for Anne Hidalgo as the Socialists’ candidate and joined her campaign team. In 2023, she publicly endorsed the re-election of the party's chairman Olivier Faure.


== See also ==
List of members of the European Parliament for France, 2019–2024


== References ==


== External links ==
Biography at the European Parliament"
3,"Caroline Mécary (born 16 April 1963) is a French lawyer as well as a politician of the Greens party (also known as Europe Écologie Les Verts or EELV) in France. She is also an active member of the Regional council of Île-de-France. A staunch supporter of LGBT rights and gay marriage, Caroline Mécary is also the co-founder of the Copernic Foundation.She is the NUPES candidate in Paris's 7th constituency in the 2022 French legislative election.


== Biography ==
Born in Paris on 16 April 1963 to Christiane Roux, a painter from a cultured family of Saint-Étienne and Boulos El Mekari, a Maronite Christian who worked as the executive director of a computer company. She acquired his French nationality in 1968. Her father died when she was 13 years old.


== Professional career ==
Having completed law school in Nanterre, Caroline Mécary took up a job at Télédiffusion de France for one year (1988–1989). She then went on to take the bar in Paris, becoming a barrister in 1991. While she specialized in copyrights for writers and artists, she also taught media law at Sorbonne University of Paris I and Paris XII during 1994-1997. In 1993, she established her own law firm. She is a member of the French union of lawyers and was also a member of the Bar association of Paris from 2005 until 2007.Since 1993, she has been a member of GISTI (groupe d'information et de soutien des immigrés), an association which defends the human rights of immigrants.


== Gay marriage ==
Caroline Mécary has been in favour of marriage of same-sex couples since 1998. In 2004, Noël Mamère, the mayor of Bègles in the suburbs of Bordeaux, disobeyed French law and conducted the first gay marriage as an act of defiance. The Mayor and the gay couple were subsequently sued; Caroline Mécary defended them. The marriage was annulled despite their efforts but they managed to successfully raise the question of gay marriage.
In 2010, along with SOS Homophobie and APGL (Association des parents et futurs parents gays et lesbiens) she represented a lesbian couple before the French constitutional court (which decides if any law is constitutional and in conformity with French law). The couple wished to get married, but under French law they had no legal right to marriage. Their appeal was rejected on 28 January 2011, and the court pointed out that only the French Assembly could rewrite or change the law.


== Overseas adoption and recognition of adoption on French territory ==
In July 2010, a bi-national lesbian couple (French-American) was represented by Caroline Mécary because their child had been conceived through artificial insemination in the U.S., and under American law, the French partner had adopted the child. However, the French partner was not recognized as the legal parent under French law. After a long legal battle, she won the test case for all gay parents who have children overseas.
In February 2011 she won a similar case; this time of a gay couple who had adopted their children under British and Canadian law. However, since they were not married it challenged a 1966 law which allowed joint legal adoption only by married couples


== Political commitments ==
In 2008, Caroline Mécary was elected as the president of the Copernic Foundation, a left-wing think tank. Since 2011 she has co-chaired the Foundation with Pierre Khalfa. 
In March 2010, she stood for election and was elected to the regional council of the greater Paris area. She is a permanent member of the council and in charge of the commissions on Environment, Agriculture and Energy, youth, Metropolitan policy and security. 
As an elected member of the Greater Paris area, she is also a member of the association which manages regional funds for contemporary and modern art.
In 2012, she endorsed  Anne Hidalgo's candidacy for Mayor of Paris.


== Books ==
Caroline Mécary, L’amour et la loi : Homos/hétéros : mêmes droits mêmes devoirs, Paris, Alma, 2012 (ISBN 978-2-36-279060-7)
Laurence Gratiot, Caroline Mécary, Stephen Bensimon, Guy Haarscher et Benoît Frydman, Art et techniques de la plaidoirie,
Paris, Lexis Nexis, coll. « Droit & Professionnels », 2011, 6e éd. (1re éd. 1995) (ISBN 978-2711012251)
Caroline Mécary, Le Pacs 2010, Paris, Delmas, coll. « Delmas express », 2009, 3e éd. (1re éd. 2006) (ISBN 978-2247085613)
Caroline Mécary, L’Adoption, Paris, PUF, coll. « Que sais-je ? », 2006 (ISBN 978-2130546870)
Caroline Mécary et Géraud de La Pradelle, Les Droits des homosexuel/les, Paris, PUF, coll. « Que sais-je ? », 2003, 3e éd. (1re éd. 1998) (ISBN 978-2130531456)
Flora Leroy-Forgeot et Caroline Mécary, Le Couple homosexuel et le Droit, Paris, Odile Jacob, coll. « Histoire et document », 2001 (ISBN 978-2738109996)
Caroline Mécary et Flora Leroy-Forgeot, Le PACS, Paris, PUF, coll. « Que sais-je ? », 2001, 2e éd. (1re éd. 2000) (ISBN 978-2130519591)
Caroline Mécary, Droit et Homosexualité, Paris, Dalloz, coll. « États de droit », 2000 (ISBN 978-2247039227)


== Notes and references ==


== External links ==

Caroline Mécary blog"
4,"Graziella Melchior is a French politician representing La République En Marche! She was elected to the French National Assembly on 18 June 2017, representing Finistère's 5th constituency. She graduated from ESC Bretagne Brest.


== See also ==
2017 French legislative election


== References =="
5,"Joëlle Mélin (born 26 March 1950) is a French politician who has represented the 9th constituency of the Bouches-du-Rhône department in the National Assembly since 2022. A member of the National Rally (RN), she previously served as a Member of the European Parliament (MEP) from 2014 to 2022.


== Political career ==
Mélin, who graduated in medical education from Aix-Marseille University, joined the National Rally (then National Front) in 1993. She held a seat in the Regional Council of Provence-Alpes-Côte d'Azur from 2010 to 2015. Since 2014, she has also been a municipal councillor in Aubagne.
Mélin was elected as a Member of the European Parliament for South-West France in 2014. Following her 2022 election to the National Assembly in the 9th constituency of Bouches-du-Rhône, she was succeeded by Éric Minardi as an MEP.


== References =="
6,"Colette Mélot (born 20 April 1947) is a member of the Senate of France, representing the Seine-et-Marne department.  She is a member of Agir.


== References ==
Page on the Senate website (in French)"
7,"Yaël Menache (born 12 May 1985 in Peronne, France) is a French politician of the National Rally.
She has served as a Member of the National Assembly for Somme's 5th constituency since 2022.


== Biography ==


=== Early life and career ===
Menache was born in 1985 in Peronne to a family of Iraqi-Jewish descent and grew up in Somme. Her father worked as an accountant and her mother was a civil servant. She obtained a degree in philosophy at the University of Lille and completed a course in law at the Catholic University of Lille. She then worked as a business manager for an IT company.She is married and has two children.


=== Political career ===
Menache has stated that she joined the National Rally out of love for France and ""patriotic values"" but also to counter antisemitism within the party and elsewhere in French politics. In 2021, she unsuccessfully stood for the RN in Péronne during the municipal elections of that year and also unsuccessfully contested Somme during the regional elections.In 2022, she was appointed department secretary for the RN in Somme. During the 2022 French legislative election she contested Somme's 5th constituency and was successful at gaining the seat during the second round.


== References =="
8,"Emmanuelle Ménard (née Duverger, 15 August 1968 in Lille) is a French journalist and politician who has represented the 6th constituency of Hérault in the National Assembly since 2017.


== Career ==


=== International Federation for Human Rights ===
A native of Lille, Ménard worked for the International Federation for Human Rights (IFHM), where she led its African bureau. She left the IFHM in 2003.


=== Media ===
In 2008, she created, with her husband, the publishing house Mordicus, and promoted a book of interviews between Dieudonné M'bala M'bala and Bruno Gaccio under the title Can we say everything?, echoing the book by Raoul Vaneigem, Nothing is sacred, everything can be said, criticizing the Gayssot Law, prefaced by Robert Ménard himself. In 2015, she published a book to describe the same law as a ""catechism, which like all catechisms is made to be profaned"", defending the freedom of expression of Holocaust deniers. In 2011, she co-wrote a book with Ménard titled Vive Le Pen!.In October 2012, she is the editor-in-chief of the Medias news magazine, co-founded by her husband Robert Ménard, and the conservative Boulevard Voltaire news website in April 2016. She resigned upon her election as a parliamentarian.


=== National Assembly ===
An Independent whose candidacy was supported by the National Front (FN, renamed National Rally in 2018), Debout la France (DLF), the National Centre of Independents and Peasants (CNIP) and the Movement for France (MPF), she largely defeated The Republicans (LR) candidate and outgoing member of the National Assembly Élie Aboud in the 2017 legislative election.In February 2018, alongside Marie-France Lorho, she proposed a bill which would recognise the 1790s killings in Vendée by troops under the command of the National Convention as war crimes, crimes against humanity and genocide.In July 2019, as Greta Thunberg visited the National Assembly, Ménard posted the following message on Twitter: ""Too bad spanking is prohibited, she deserves a good one"". It led to a temporary suspension of her account, after which Ménard stated that ""political correctness no longer just makes the law, it pulls out the baton"".She was re-elected to her seat in the 2022 French legislative election.


=== Municipal councillor ===
She took office as a municipal councillor of Béziers on 18 May 2020.


== Views and political positions ==
She has taken position in favour of repealing the Gayssot Act, a law making Holocaust denial illegal.She has opposed allowing lesbian couples and single women from accessing assisted reproductive technology in the public health care system. She has further stated that ""the role of the father and the mother in raising a child are not the same."" She is a supported of La Manif pour tous, a political organisation that has demonstrated against same-sex marriage and allowing LGBT couples to adopt children. She has spoken against abortion, saying in 2020 that ""when we talk with women who had abortions, we often see that they were guided towards it without really having the choice.""


== Personal life ==
Since 2003, she has been married to conservative politician Robert Ménard, who has been Mayor of Béziers since 2014. She is a practising Catholic.


== References =="
9,"Marina Mesure (born 12 July 1989) is a French politician who has been a member of the European parliament since July 2022.
Coming from a family of bank employees, Marina Mesure was born in Marseille and grew up in Gréasque before leaving to study at HEC Montréal, from which she graduated in 2013.
For several years, she campaigned for the General Confederation of Labour, in particular against the Posted Workers Directive 1996, and acted as a social adviser to the European Federation of Building and Woodworkers.Marina Mesure is a candidate for the 2019 European Parliament election in France, on the list presented by La France Insoumise. She is supported on this occasion by trade unionists from 38 countries, who see in her the candidate who will be able to bring European and international trade union struggles to the European Parliament.She was a candidate in the 2022 legislative elections in the Bouches-du-Rhône's 10th constituency, where she was widely defeated in the second round by José Gonzalez of the National Rally. However, she received the majority (50.35%) of the vote in the former communist stronghold of Gardanne.Following Manuel Bompard's election to the National Assembly in June 2022, she succeeded him as MEP in July.


== References =="
