,articles
0,"Steffi Lemke (born 19 January 1968) is a German politician of Alliance 90/The Greens who has been serving as Federal Minister for the Environment, Nature Conservation, Nuclear Safety, and Consumer Protection in Chancellor Olaf Scholz's  cabinet since 2021.
Lemke has been a member of the Bundestag from the state of Saxony-Anhalt from 1994 through 2002 and since 2013.


== Education and early career ==
After attending a polytechnic secondary school in Dessau, Lemke initially trained as a zoo technician from 1984 to 1986. Afterwards she worked as a letter carrier from 1986 to 1988. She also attended a secondary school leaving certificate course at the Philanthropinum in Dessau. After graduating from high school in 1988, she studied agricultural science at the Humboldt University of Berlin, graduating in 1993 with a degree in agricultural engineering (specialising in animal production).


== Political career ==
Lemke was one of the co-founders of the Green Party in the GDR in 1989. She first served as a member of the German Bundestag from 1994 to 2002, representing the Dessau-Roßlau and Wittenberg districts. During that time, she was part of the Committee on Food and Agriculture.
From 2002 to 2013 Lemke worked as the Green Party's managing director, under the leadership of co-chairs Angelika Beer (2002–2004), Reinhard Bütikofer (2002–2008), Claudia Roth (2004–2013) and Cem Özdemir (2008–2013). In this capacity, she managed her party's campaigns in three national elections which were all successive. In late 2013, she considered running for the party's leadership but ultimately pulled out from consideration, instead making room for Simone Peter.Since the 2013 elections, Lemke has been a member of the German Bundestag again, where she served as one of four whips of her parliamentary group under the leadership of the group's co-chairs Katrin Göring-Eckardt and Anton Hofreiter from 2013 until 2021. In this capacity, she was a member of the parliament's Council of Elders, which – among other duties – determines daily legislative agenda items and assigns committee chairpersons based on party representation.
Lemke was also a member of the Committee on the Environment, Nature Conservation and Nuclear Safety. She served as her parliamentary group's spokesperson for nature conservation policy. In addition to her committee assignments, she was part of the German Parliamentary Friendship Group for Relations with the States of Central America.
Following the 2016 state elections in Saxony-Anhalt, Lemke was part of her party's delegation in the negotiations on forming Germany's first-ever coalition government between the Christian Democratic Union, the Social Democratic Party and the Green Party. She was briefly considered to join the government subsequently formed under the leadership of Minister-President Reiner Haseloff and become State Minister for the Environment and Agriculture; however, the position instead went to Claudia Dalbert.


=== Career in government ===
In the negotiations to form a so-called traffic light coalition of the Social Democrats (SPD), the Green Party and the FDP following the 2021 federal elections, Lemke led her party's delegation in the working group on environmental policy; her co-chairs from the other parties were Rita Schwarzelühr-Sutter (SPD) and Stefan Birkner (FDP). The negotiations led to the successful formation of a government, and Lemke took up the post of Minister for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection in the new cabinet, serving under Chancellor Olaf Scholz.
In 2022, Lemke introduced draft legislation requiring manufacturers of products made with single-use plastic, such as bottles and cups, to pay an annual levy into a fund to help municipalities with the cost of clearing up litter.In October 2023, Lemke participated in the first joint cabinet retreat of the German and French governments in Hamburg, chaired by Scholz and President Emmanuel Macron.


== Other activities ==
KfW, Ex-Officio Member of the Board of Supervisory Directors (since 2021)
International Academy for Nature Conservation (INA), Member of the Advisory Board


== Personal life ==
Lemke is divorced and lives with her current partner in Dessau. She has a son.


== References ==


== External links ==

Official website (in German)
Bundestag biography (in English)"
1,"Vera Lengsfeld (born 4 May 1952) is a German politician. She was a prominent civil rights activist in East Germany and after the German reunification she first represented the Alliance 90/The Greens and then the German Christian Democratic Union (CDU) in the Bundestag.


== Early life ==
Lengsfeld was born in Sondershausen.  Her father was an officer in the Stasi, the East German secret police.  After leaving school she studied Philosophy at Humboldt University Berlin. Following her studies, she worked as a lecturer and researcher at the National Institute of Philosophy in the Academy of Sciences of East Germany. From 1975, she was a member of the Socialist Unity Party of Germany (SED). After a party procedure she was transferred to the Institute for Scientific Information. In 1981 she left the academy and went to work as an editor.
She became a born-again Christian in 1981, and was active in various civic organizations in East Germany (GDR). She was the co-founder of Pankow Peace Circle in the autumn of 1981, the Environment Library Berlin; Profession group and the Church from Below in 1986. Their commitment included the organization of numerous events of the peace and environmental movements in the GDR, including a ""Peace laboratory"", ""Peace Conference"", ""Environment Seminar"", ""Human Rights Seminar,"" ""Church from Below"". She was a member of the Continuation Committee for the delegates meeting of the peace group members, who gathered under the title ""Specifically for Peace"" a year. She was co-organizer of the first human rights seminar held in 1986 in Berlin.
Due to her public protests against the stationing of Soviet nuclear missiles in East Germany, she was expelled from the SED in 1983 and her profession. In the following years she earned her living as a beekeeper and translator. In 1985 she graduated with a Theology degree.
In January 1988 she was arrested in advance of the demonstration in honour of Liebknecht and Luxemburg in East Berlin carrying a poster declaring ""Every citizen has the right to express his opinion freely and openly"" (Article 27 of the Constitution of East Germany) and detained in Berlin Hohenschönhausen prison. She was put on trial by the city district of Lichtenberg on the grounds of ""attempted riotous assembly"" and although given a custodial sentence she was instead allowed the option of leaving the GDR on a temporary visa effectively deporting her from the country. In February 1988 she went to Cambridge in the United Kingdom where she studied Philosophy of Religion at St. John's College. On the morning of 9 November 1989 she returned to East Germany.


== After German reunification ==
After the Fall of the Berlin Wall she resumed her work as a civil rights activist and served as a member of the Constitutional Commission on the reunification of West Germany and East Germany. At this time she joined Alliance 90, the Green Party of the GDR, and at the 1990 election was elected to the  member of the GDR parliament until its dissolution on 2 October 1990 as a member of Alliance 90/The Greens, the coalition between Alliance 90 and The Greens. Then at the first election after German reunification she was elected to the Bundestag.
In 1991 she protested the Gulf War by keeping quiet during her allotted speech time in the Bundestag until she was cut off.She was re-elected in the 1994 General election. However, in 1996 Alliance 90/The Greens decided to enter into alliances with the Party of Democratic Socialism, the successors to the former SED. A civil rights activist rather than a leftist, Lengsfeld together with other civil rights activists such as Guenter Nooke and Ehrhart Neubert defected to the Christian Democratic Union (CDU). She was re-elected at the 1998 and 2002 elections as a CDU list candidate in her home state of Thuringia. However, for the 2005 election she stood in a single member constituency instead and lost her seat. For the 2009 election she ran in the Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg East constituency, the only constituency in the Bundestag to be represented by her former party Alliance 90/Greens. With CDU having finished a distant fourth at the previous election she was thought to have no chance of success and in the event she finished a distant fourth, slightly increasing the CDU vote share.In August 2009 she produced election posters featuring photos emphasizing her cleavage along with a picture of Angela Merkel in a very low-cut dress, emblazoned with the slogan We have more to offer. The posters drew a great deal of attention and some criticism. They were featured on Japanese television and in Brazilian and Peruvian newspapers. Some of the posters were reportedly stolen as souvenirs according to the Agence France-Presse news agency.Lengsfeld has opposed immigration into Germany, and helped to organize the Erklärung 2018 declaration and petition in opposition to it.


== Personal life and Stasi observation ==
In 1980 she married her second husband, the mathematician and poet Knud Wollenberger with whom she has two sons. Wollenberger was born in Denmark and enjoyed travel privileges. Unbeknownst to Lengsfeld, he had been a Stasi informant since 1972, and during their marriage he continued to file reports on her activities. It is not known whether the Stasi specifically ordered him to approach Lengsfeld. They divorced in 1992 after his Stasi involvement had come to light. Lengsfeld later said that she felt betrayed that anyone could marry or have children under such circumstances.  He later explained to her that he, as a Jew, supported the GDR since he saw it as a response to Auschwitz. She forgave him in 2000 when he was gravely ill.Lengsfeld's father retired from the Stasi in 1986 rather than obey an order to break with his daughter; in 1988 he publicly took her side.Her son Philip is treasurer of the CDU parliamentary group of the district assembly of Berlin's Pankow district.


== Published works ==
Virus der Heuchler. Innenansicht aus Stasiakten, Espresso/Elef.Press, Berlin 1992, ISBN 3-88520-435-5
Mein Weg zur Freiheit. Von nun an ging's bergauf. Langen Müller, Berlin 2002, ISBN 3-7844-2857-6.
Neustart! Was sich in Politik und Gesellschaft ändern muss. Umdenken lohnt. Freiheit und Fairness statt Gleichheit und Gerechtigkeit.  Berlin 2006, ISBN 3-7766-2490-6.
Ich wollte frei sein. Die Mauer, die Stasi, die Revolution. Herbig Verlag, München 2011, ISBN 978-3-7766-2669-8.


== See also ==
List of German Christian Democratic Union politicians


== References ==


== External links ==
Homepage of Vera Lengsfeld"
2,"Marlene Lenz (born 4 July 1932) is a German Christian Democratic Union of Germany (CDU) politician and translator who served four terms as a Member of the European Parliament in the European Parliament from 1979 to 1999. She worked for the French Europa League, the German Atlantic Society, the European Economic Community's European Commission and was secretary-general and later vice-president of the European Union of Women. Lenz was also involved in local politics for the CDU in Bonn.


== Early life ==
On 4 July 1932, Lenz was born in Berlin, the second of four children of the lawyer Otto Lenz and his wife Marieliese, née Pohl. She and her family relocated to Munich in 1946 and passed her Abitur at Gymnasium bei St. Anna four years later. Lenz went on to study economics and languages at Heidelberg University between 1951 and 1953, graduating as a certified translator in English and French.


== Career ==
Her first job was as a translator for the French Europa Union between 1954 and 1956. Lenz worked professionally at the German Atlantic Society in Bonn from 1956 to 1958, the European Economic Community's European Commission in Brussels during the cabinet of Jean Rey between 1958 and 1963 and was then a clerk in the General Directorate for Foreign Relations from 1966 to 1968. In 1968, Lenz joined the Christian Democratic Union of Germany's (CDU) federal office as a women's officer and had the responsibility for the publication of the magazine Frau und Politik for the CDU's women's association for several years. She was secretary-general of the European Union of Women between 1968 and 1971 and was its vice-president from 1977 to 1983. Lenz was employed as a consultant in the CDU's Office for Foreign Relations in 1972 and was a research assistant to the inquiry commission Women and Society in the Bundestag.At the 1979 European Parliament election in West Germany, she was elected as a CDU Member of the European Parliament (MEP) for the West Germany constituency and took office on 17 July 1979. Lenz was one of twelve German woman politicians to gain election to the European Parliament at the election. She was a member of the European People's Party Group. Lenz was a member of the Committee on External Economic Relations, the Political Affairs Committee and the Delegation for relations with Cyprus and was vice-chair of the Committee of inquiry into the Situation of Women in Europe during her first term. Lenz gained reelection to the West Germany constituency of the European Parliament at the 1984 European Parliament election in West Germany. She continued to serve as a member of the Political Affairs Committee but also became a member of the Delegation for relations with the countries of South America, the Delegation for relations with the countries of Central America and the Contadora Group. Lenz was a substitute of both the Committee on the Environment, Public Health and Consumer Protection and the Committee on External Economic Relations and was vice-chair of the Committee on Women's Rights from 26 July 1984 to 20 January 1987.She was reelected to a third term in the European Parliament at the 1989 European Parliament election in West Germany. Lenz continued to be a member of the Delegation for relations with the countries of South America, the Committee on Women's Rights, the Political Affairs Committee but was now on the Subcommittee on Human Rights and the Committee on Foreign Affairs and Security. She was a substitute of each of the Delegation to the EC-Finland Joint Parliamentary Committee, the Delegation to the EU-Finland Joint Parliamentary Committee, the  Delegation for relations with Finland and the Committee on External Economic Relations. Lenz gained her fourth term in the European Parliament at the 1994 European Parliament election in Germany. She was a member and later chair of the Subcommittee on Human Rights. Lenz was a member of the Committee on Foreign Affairs, Security and Defence Policy, the Delegation for relations with the countries of South America (later and MERCOSUR) and the Committee on Foreign Affairs, Security and Defence Policy. Lenz was a substitute on each of the Committee on External Economic Relations, the Committee on Institutional Affairs, the Committee on Women's Rights, the Delegation for relations with Lithuania and the Delegation to the EU-Lithuania Joint Parliamentary Committee. From 1995 to 1999, she served on the Bundestag Committee on European Union Affairs. Lenz retired as an MEP on 19 July 1999.Outside of national and European politics, she worked for the Central Committee of German Catholics (ZDK) and was a member of its executive committee. Lenz was on the ZDK's Commission 10 ""Europe"" for multiple years. Lenz worked for the CDU's Bonn district association, working as its deputy chair of the district women's association in Bonn and was a member of the board of the state women's association of the Rhineland. She was a campaigner for compensatory measures for Bonn. In 1994, Lenz authored Der Weg der Frau in der Politik.


== Personal life ==
Lenz resides in Bonn and is unmarried. She is Roman Catholic. In 1990, Lenz was appointed Officer's Cross of the Order of Merit of the Federal Republic of Germany and was upgraded to the Commander's Cross of the Order of Merit of the Federal Republic of Germany nine years later.


== References ==


== External links ==
 Media related to Marlene Lenz at Wikimedia Commons"
3,"Eva Lettenbauer (born 30 October 1992) is a German politician and industrial engineer who has been a member of the Landtag of Bavaria since 2018 and chairwoman of the Bavarian Greens since October 2019 (alongside Thomas von Sarnowski since 2021).


== Political career ==
Following the 2011 Fukushima nuclear disaster, Lettenbauer joined the Alliance 90/The Greens. In 2012 she took part in Youth and Parliament. From 2013 to 2017 she was youth spokeswoman and member of the district board of the Greens in Donau-Ries district. In May 2017 she was elected district chairperson. From October 2015 to October 2019 she was also a member of the state committee of the Greens of Bavaria.She was initially active with the Green Youth in Swabia and became spokeswoman for the Green Youth in Bavaria in April 2015. She held the post for three years. At federal level, from November 2013 to October 2015, she was the coordinator of the expert forum for economics and social affairs/finance of the Green Youth.Lettenbauer ran in the 2018 Bavarian state election together with Florian Siekman as the top duo of the Green Youth and ran for the Donau-Ries constituency and for the third position on the second vote ballot in the Schwaben constituency. She spoke early on in favour of an election campaign that puts green goals such as environmental protection in the foreground and against the focus on a coalition with Markus Söder. She was elected a member of the Bavarian state parliament in this election because she achieved the sixth-best overall vote result on the Greens constituency list. There Lettenbauer is a member of the Committee for Labour and Social Affairs, Youth and Family. From November 2018 to November 2019, Lettenbauer was Deputy Parliamentary Secretary and member of the parliamentary group executive committee. She was a member of the Council of Elders until 2019. To this day, she is deputy chairwoman of the prison advisory board at Kaisheim prison and at Niederschönenfeld prison.In October 2019 she was elected chairwoman of Alliance 90/The Greens in Bavaria. She officiated alongside Eike Hallitzky until April 2021. Since April 2021, she has formed the leadership duo of the Bavarian Greens with Thomas von Sarnowski.


== Memberships ==
Ballclub Blossenau, BUND Naturschutz Kreisgruppe Donau-Ries, Wasserwacht Monheim, Freifunk Donau-Ries e. V., DAV Donau-Ries and netzbegrünung e. V.


== References ==


== External links ==
Official Website of Eva Lettenbauer
Biography at the Landtag of Bavaria"
4,"Sabine Leutheusser-Schnarrenberger [zaˈbiːnə ˈlɔʏthɔʏsɐ ˈʃnaʀənˌbɛɐ̯ɡɐ] (née Leutheusser; born 26 July 1951) is a German politician of the liberal Free Democratic Party and a prominent advocate of human rights in Germany and Europe. Within the FDP, she is a leading figure of the social-liberal wing. She served as Federal Minister of Justice of Germany from 1992 to 1996 in the cabinet of Helmut Kohl and again in the second Merkel cabinet from 2009 to 2013. In 2013, the new German government announced Leutheusser-Schnarrenberger's candidacy for the office of the Secretary General of the Council of Europe.


== Early life and work ==
Sabine Leutheusser was born in Minden, North Rhine-Westphalia. After graduating from gymnasium in Minden in 1970, Leutheusser-Schnarrenberger started studying law in Göttingen and Bielefeld.
In 1975, she passed the first state exam in Hamm, in 1978 the second state exam in Düsseldorf. From 1979 to 1990, she worked at the Deutsches Patent- und Markenamt in Munich, eventually as managing director. In addition to her mandate as a member of the German parliament (Bundestag), she worked as a lawyer in Munich since 1997.


== Political career ==
In 1978 Leutheusser-Schnarrenberger became a member of the Free Democratic Party (FDP). Since 1991 she has been a member of federal board of the FDP.


=== Member of the Bundestag and Federal Minister of Justice, 1992–96 ===
From 12 December 1990 Leutheusser-Schnarrenberger was a member of the German Bundestag. On 18 May 1992 she was sworn in as Federal Minister of Justice of Germany, following the nomination of incumbent Klaus Kinkel as Foreign Minister in the government of Chancellor Helmut Kohl. She had previously won an internal vote against Burkhard Hirsch and became the first woman to hold this office.Upon taking office, Leutheusser-Schnarrenberger pushed for police receiving new training and equipment to counter extremism and tougher court sentences for those found guilty of extremist violence.In 1994, she publicly condemned a regional court for adulating radical rightist leader Günter Deckert after handing him a light sentence for Holocaust denial, calling the judges’ decision ""a slap in the face to all victims of the Holocaust"". When Denmark agreed to extradite Gary Lauck, an American neo-Nazi charged with being the main supplier of illegal fascist propaganda to German authorities in 1995, Leutheusser-Schnarrenberger called the decision a ""great victory against right-wing extremism.""In 1995 there was a broad public discussion in Germany about the invulnerability of the private domain by means of acoustic observation (Großer Lauschangriff, literally ""big eavesdropping attack""). In this argument Leutheusser-Schnarrenberger strongly objected to expanding the state's right to interfere in citizens' private domain. After the members of the FDP decided in a poll to support the conservative lead of the CDU in this matter, she resigned from her office on 1 January 1996.From May 1997 Leutheusser-Schnarrenberger was a member of the Steering Committee of the FDP (""Präsidium""). On 2 December 2000 she also became FDP chairwoman for the Federal State of Bavaria. She served twice as Deputy Chairwoman of the FDP parliamentary group, from 2 February 2001 to 2 October 2002 and from 27 September 2005 until 28 October 2009.


=== Member of the Bundestag and the Parliamentary Assembly of the Council of Europe, 1996–2009 ===
Following her time in government, Leutheusser-Schnarrenberger sharpened her profile as deputy parliamentary leader of the FDP and high-profile civil rights campaigner. From 1999 to 2000 she was a member of an international inquiry commission of the United Nations to examine allegations of human rights violations in East Timor and submitted its report to secretary general Kofi Annan.During the 16th Legislative Term of the Bundestag between 2005 and 2009, Leutheusser-Schnarrenberger was spokeswoman on legal policy for the FDP parliamentary group, chairwoman of the FDP in the parliamentary committee on legal affairs and alternate member in the parliamentary committee on human rights and humanitarian aid. From 2009, she also served on the parliamentary body in charge of selecting the judges of the Highest Courts of Justice, namely the Federal Court of Justice (BGH), the Federal Administrative Court (BVerwG), the Federal Fiscal Court (BFH), the Federal Labour Court (BAG), and the Federal Social Court (BSG).
Leutheusser-Schnarrenberger was also active in the Council of Europe. From 2003 to 2009 she was member of the German delegation at the Parliamentary Assembly of the Council of Europe. As member of the Council of Europe's Committee on Legal Affairs and Human Rights, she conducted an investigative trip to Russia and authored a critical report on the country's judicial system. In 2008, she presented a report to the Parliamentary Assembly on the investigation of the Gongadze case and other crimes of the Kuchma era in Ukraine. Titled Allegations of Politically Motivated Abuses of the Criminal Justice System in Council of Europe Member States, her 2009 report examined alleged abuses in Britain, Germany, France, and Russia. Much of the document focused on Russia, detailing several recent cases that ""give rise to concerns that the fight against 'legal nihilism' launched by President Medvedev is still far from won."" During an April 2009 visit to Ukraine, Leutheusser-Schnarrenberger, co-rapporteur of the Parliamentary Assembly's Committee on Legal Affairs and Human Rights, cautiously encouraged reform of the parliamentary system in Ukraine. She also expressed regret that those who ordered Georgiy Gongadze's murder had still not been brought to justice.In 2008, Leutheusser-Schnarrenberger – in her role as chairwoman of the FDP in Bavaria – successfully ran the party's election campaign in the Bavarian state elections that year, where the FDP reentered the state parliament after 14 years of absence.


=== Federal Minister of Justice, 2009–13 ===
In the negotiations to form a coalition government of the FDP and the Christian Democrats (CDU together with the Bavarian CSU) following the 2009 federal elections, Leutheusser-Schnarrenberger led the FDP delegation in the working group on internal and legal affairs; her counterpart of the CDU/CSU was Wolfgang Schäuble.
Between 2009 and 2013, Leutheusser-Schnarrenberger served as Federal Minister of Justice again, this time in the second Merkel cabinet. Alongside four men, she was the only female FDP member in Merkel's cabinet and the only FDP member of the cabinet to have previously held government office. During her time in office, she would often push the FDP's pro-civil liberties agenda, but frequently encountered resistance from a conservatives-controlled interior ministry led by Thomas de Maizière and later Hans-Peter Friedrich.In 2010, former president of the Federal Constitutional Court Jutta Limbach in an interview proposed that Leutheusser-Schnarrenberger be made a judge at the court, praising her  ""intellectual honesty""; instead, Andreas Voßkuhle was nominated by the SPD.
In 2011, Leutheusser-Schnarrenberger became one of the first prominent Free Democratic politicians to suggest a change in the party's top leadership. She recommended that the incumbent Guido Westerwelle be replaced by Christian Lindner, then the party's general secretary.Ahead of the 2013 elections, Leutheusser-Schnarrenberger was elected to lead her party's campaign in the state of Bavaria.


=== Candidacy for Secretary General of the Council of Europe, 2013–14 ===
In 2013, the new German government announced Leutheusser-Schnarrenberger's candidacy for the office of the Secretary General of the Council of Europe. From December 2013, Leutheusser-Schnarrenberger visited more than 20 member states.
In the first round of the election on 24 June 2014, Leutheusser-Schnarrenberger lost against incumbent Thorbjørn Jagland who obtained an absolute majority.


=== Later career ===
Leutheusser-Schnarrenberger continues to be a frequent commentator on human rights and data protection in German media. In 2014, she was appointed to an advisory council established by Google on implementing the right to be forgotten.Since 2014 Leutheusser-Schnarrenberger has been a Member of the executive board of the Friedrich Naumann Foundation for Freedom. In 2018, she was also appointed to the honorary office of State Commissioner for the Fight against Anti-Semitism in the government of Minister-President of North Rhine-Westphalia Armin Laschet.


== Political views ==


=== On crime and prosecutions ===
Soon after taking office in 2009, Leutheusser-Schnarrenberger demanded that US courts could not seek the death penalty for terrorists Zacarias Moussaoui and Ramzi Binalshibh in return for receiving evidence provided by German investigators. In order to verify that the US government keeps its word, she teamed up with the Foreign Ministry to send German observers to monitor the trial in New York.Under legislation introduced by Leutheusser-Schnarrenberger following a wave of revelations about Catholic priest abusing minors in 2011, Germans who were sexually abused as children today have as long as 30 years after they turn 21 to bring accusations in court; the previous statute of limitations on civil abuse cases was three years. The minister also urged the church to compensate victims and participate in a ""round table"" with their representatives.


=== On data protection ===
In 2010, talking about issues like privacy and copyright, she complained about Google's instinct for ""pressing ahead"" and its ""megalomania"". That same year, she asked Apple Inc. to tell state data protection officials about the kind of data the company was gathering on individual iPhone users in Germany. In a case Leutheusser herself brought to the Federal Constitutional Court of Germany, the judges eventually rejected a core piece of security legislation that requires data on telephone calls and e-mail traffic to be stored for up to six months for possible use by law enforcement and intelligence agencies. As part of the draft of a law governing workplace privacy, she proposed placing restrictions on employers who want to use Facebook profiles when recruiting. She also expressed her support for legislation that would punish officials who purchase illegally obtained data of German tax evaders in Switzerland.In response to the 2013 mass surveillance scandal, Leutheusser-Schnarrenberger, in a guest editorial for the Web site Spiegel Online, called the revelations about the U.S. surveillance ""deeply disconcerting"" and possibly ""dangerous."" A week before President Barack Obama's visit to Berlin in June 2013, she rejected Obama's earlier statement that ""you can’t have 100 percent security and also then have 100 percent privacy and zero inconvenience."" In her commentary she wrote: ""I don’t share this assessment. A society is less free the more intensively its citizens are watched, controlled and observed. Security is not an end in itself in a democratic society, but rather serves the security of freedom.""Shortly after, Leutheusser-Schnarrenberger sent two letters to the British justice secretary, Chris Grayling, and the home secretary, Theresa May, stressing the widespread concern the disclosures about the GCHQ Tempora programme triggered in Germany and demanding to know the extent to which German citizens have been targeted. At the same time, Leutheusser-Schnarrenberger  demanded that the German intelligence service BND provide a full explanation after it admitted to passing on massive amounts of so-called ""metadata"" to the NSA. When the United States approached E.U. justice ministers in October 2013 about signing an agreement to extradite former NSA contractor Edward Snowden to the U.S. should he set foot on their soil, Leutheusser-Schnarrenberger refused to sign because she was not certain that Snowden had broken any laws and because he might make a good witness in a German parliamentary inquiry.


=== On LGBT rights ===
Leutheusser-Schnarrenberger long sought to make LGBT rights in Germany a key plank in the Free Democrats' platform. In 2012, she had her office prepare a ""draft of a law to revise the rights of domestic partners,"" which would have put gays and lesbians on equal footing with married couples in all conceivable spheres of life, including adoption. When the Federal Constitutional Court of Germany ruled in 2013 that excluding same-sex couples from a tax benefit available for married partners is unconstitutional and said the government must retroactively change the 12-year-old legislation, she pressed for legislative action. Again, after the court decided that gays and lesbians should be allowed to adopt children already adopted by their partners, the minister argued that ""[t]he decision to put civil unions and marriage on level footing needs a big push""; however, her party's efforts failed due to opposing views of her conservative coalition partner.


=== On rule of law in Russia ===
After a Russian court found deceased lawyer Sergei Magnitsky guilty of tax evasion in 2013, Leutheusser-Schnarrenberger condemned the posthumous verdict, saying on Twitter: ""The conviction of the dead Magnitsky is further evidence of the Sovietization of Russia."" A presidential human rights commission headed by former Russian president Dmitry Medvedev had found in 2011 that the charges against the lawyer had been fabricated.With regard to the Russian LGBT propaganda law introduced in 2013, she commented in Welt am Sonntag that ""Russia is taking another big step towards becoming a flawless dictatorship in ostracizing homosexuals."" Unlike German chancellor Angela Merkel and foreign minister Guido Westerwelle at the time, Leutheusser-Schnarrenberger later suggested that the newly enacted law, which discriminates against gays and lesbians, could be grounds for boycotting the 2014 Winter Olympics.On 3 March 2015, Leutheusser-Schnarrenberger attended the funeral of Russian politician Boris Nemtsov, who had been shot and killed on 27 February 2015.Leutheusser-Schnarrenberger called chancellor Angela Merkel to show commitment to convince Russian president Vladimir Putin to release jailed Ukrainian filmmaker Oleg Sentsov.


=== On the fight against terrorism ===
After then-Interior Minister Wolfgang Schäuble confirmed in late 2005 that, under the previous government led by Gerhard Schröder, German agents had interviewed Mohammed Haydar Zammar, Leutheusser-Schnarrenberger condemned these methods: ""If you're not allowed to torture, then you're not allowed to profit from information that may have been obtained through kidnapping and torture.""During a domestic debate on anti-terrorism legislation, Leutheusser-Schnarrenberger in 2010 warned that passenger profiling in German airports where passengers are categorized as high or low risk based on, among other things, their ethnic background, might fall foul of German and European law.


=== On arms exports ===
In the Federal Security Council  (Bundessicherheitsrat), Leutheusser-Schnarrenberger was one of the most vocal critics of German arms exports to Saudi Arabia. In 2011, she initially opposed Merkel when the Council discussed Saudi Arabia's request for up to 270 Leopard 2 tanks, but then she deferred to the cabinet's decision. Leutheusser-Schnarrenberger did not attend a Council meeting in December 2012 when the ministers voted on the purchase of a few hundred ""Boxer"" armed transport vehicles.


=== On European integration ===
During the 2012–13 Cypriot financial crisis, Leutheusser-Schnarrenberger broke new ground by calling directly on European Union leaders to do more to defend Germany's role in helping the weaker Eurozone members. She noted that although all Eurozone member countries were involved in deciding on aid packages when a country applied for help, Germany always ended up as the target of anger.


=== On Vergangenheitsbewältigung of German Nazi pastlko; ===

During the period of Reunification in the 1990s', Leutheusser Schnarrenberger, as Minister of Justice, refused to return eight buildings in East Germany belonging to six Austrian Jewish citizens. Allgemeine Judische Wochenzeitung; 10 September 1992; ""Expropriation through the back door; German Government adds to its coffers / Loopholes in German bureaucracy make Injustice permanent."" (""Enteignung durch die Hintertur. Der  Bund bereichert sich / winkelzuge deutscher burokratie schreiben unrecht fest"").
In the 2012 Munich artworks discovery, Leutheusser-Schnarrenberger refused to retroactively extend the statute of limitations in order to prosecute Cornelius Gurlitt, the 80-year-old who hoarded artworks for half a century, urging him instead to acknowledge he has ""moral as well as legal obligations.""


== Other activities ==


=== Corporate boards ===
Deutsche Telekom, Member of the Data Privacy Advisory Board (2009)


=== Non-profits ===
Deutsche Postcode Lotterie, Vice Chair of the advisory board (since 2020)
Deutsches Museum, Member of the Board of Trustees
Transparency Germany, Member of the Board (since 2016)
Max Planck Institute for Foreign and International Criminal Law, Member of the Board of Trustees
Theodor Heuss Foundation, Member of the Executive Committee
Gegen Vergessen – Für Demokratie, Member
Weißer Ring e.V. (Support for victims and crime prevention), Member
Sebastian Cobler Foundation for Civil Rights, Member of the Board of Trustees
Pro Justitia Foundation (Promoting Research in the field of Law), Member of the Advisory Board
Humanist Union Bavaria, Member


== Recognition ==
1995 – Hamm-Brücher Medal
1996 – Paul Klinger Prize by the Vereinte Dienstleistungsgewerkschaft
1997 – Mona Lisa Woman of the Year
2002 – 1st Class of the Order of Merit of the Federal Republic of Germany
2002 – Bavarian Order of Merit
2010 – ""Kompassnadel"" of the Gay Network in North Rhine-Westphalia
2011 – Silver Bavarian Constitutional Medal
2013 – Max Alsberg Prize
2014 – Arnold Freymuth Prize
2016 – Max Friedlaender Prize


== Personal life ==
Leutheusser-Schnarrenberger lives in Feldafing. She is widowed, after her husband, Ernst Schnarrenberger, died of cancer in 2006. Her father, Dr. Horst Leutheusser, was also a lawyer, and deputy mayor of Minden as member of the CDU. Her uncle, Wolfgang Stammberger, was one of her predecessors as minister of justice (from 1961 to 1962).


== Publications (selection) ==
""Gegenkurs. Plädoyer für eine selbstbewusste Politik der Freiheit"" (96).
Zwischen Einbürgerung und politischer Partizipation 'ausländischer Mitbürger'. Welchen Spielraum gewährt der demokratische Rechtsstaat in Deutschland? In: Büttner, Christian / Meyer, Berthold (eds.): Integration durch Partizipation. 'Ausländische Mitbürger' in demokratischen Gesellschaften. Campus Publisher 2001, pp. 31–43
Vorratsdatenspeicherung – Ein vorprogrammierter Verfassungskonflikt. In: Zeitschrift für Rechtspolitik, 2007, p. 9 ff.
Auf dem Weg in den autoritären Staat. In: Blätter für deutsche und internationale Politik, Edition 1/2008, pp. 62–70


== References ==


== External links ==

Official website  (in German)
Biography on German Bundestag website (in German)"
