,articles
0,"Marlies Amann-Marxer (born July 31, 1952) (mother: Emma Marxer) is a politician from Liechtenstein who served as the former Minister of Infrastructure, Environment and Sport in the Government of the Principality of Liechtenstein until March 30, 2017.
Amann-Marxer is married, has four children, and lives together with her husband in Eschen.


== Career ==
Marlies Amann-Marxer went to St. Elizabeth Business School in Schaan, where, in 1969, she earned a trade-diploma. After that she travelled to Neuchâtel, Geneva and Torquay to learn the languages and for business trips. Additionally she worked from 1970 on in various commercial jobs at the National bank of Liechtenstein, the international steeltrading institute and the Pattchom Int. Eng. AG in Vaduz. From 1989 to 1995 she was employed in her husband's company, the Amann Architektur AG where she was working on human resources, accounting and finances. From 1993 to 2001, Amann-Marxer was a lay judge of the Liechtenstein Criminal Court, and from 1997 to 2003, a spare lay judge of the Administrative Court.
Amann-Marxer's first political office was the membership in various community-commissions as well as the election as a member of the local council of Eschen in 2000, where she was holding the portfolio for schools. In 2005, Amann-Marxer was elected to serve as a Member of Parliament in the Landtag, the parliament of Liechtenstein. After the 2013 parliamentary election, Amann-Marxer was appointed to serve under the new government Prime Minister Adrian Hasler as Minister of Infrastructure, Environment and Sport.


== Honours ==
 : Commander's cross of the Order of Merit of the Principality of Liechtenstein (08/06/2017).


== References ==


== External links ==
Daniel Risch at the official website of the government of Liechtenstein."
1,"Gisela Biedermann (born 5 April 1948) is a German and Liechtensteiner physician and politician who served in the Landtag of Liechtenstein from 2009 until 2013. A member of the Patriotic Union party, she represented the Oberland constituency.


== Biography ==
Gisela Biedermann was born on 5 April 1948 in the town of Alzey, Germany. Her father was a high school teacher. After completing her secondary education in the town in 1966, she began studying medicine at the University of Mainz and the University of Freiburg. In 1973, she received a Doctor of Medicine degree, and began working as a doctor in Germany and Switzerland. In 1978, she married Richard Biedermann, the head of the Liechtenstein Office for Social Services and brother to politician Manfred Biedermann. Later that year, the couple moved to the town of Schellenberg in Liechtenstein.Biedermann received a specialization in internal medicine in 1983, and she established a medical practice in Vaduz. Throughout her career, Biedermann has held several prominent community positions. In 1986, she became a member of the Vaduz parish council, serving as its president from 1987 until 1995. She has also been a member of the board of directors of the Liechtenstein Elderly and Sick Aid, the Crisis Intervention Team, and Familienhilfe Vaduz. Biedermann has served as the president of the Liechtenstein Music School Foundation and the Vaduz Pregnancy Counseling Center, holding the latter position for over twenty years between 1986 and 2007.In 2009, Biedermann moved to Vaduz and ran in that year's election for the Landtag of Liechtenstein. Standing in the Oberland constituency as a member of the Patriotic Union party, Biedermann was elected to parliament, receiving 4,264 votes (42.5%). She left office at the end of her term in 2013.Since 1996, Biedermann has been a member of the board of directors of the Pastoral Forum for the Promotion of Churches, an organization which promotes religion in post-communist Eastern Europe, and currently serves as its vice chair.


== References =="
2,"Susanne Eberle-Strub (born 10 June 1960) is a Liechtensteiner politician who is a former member of the Landtag of Liechtenstein from 2017 to 2021.


== Biography ==
Susanne Strub was born in Grabs, Switzerland on 10 June 1960. She grew up in Vaduz and went to school there. She later worked as a medical practice assistant until the birth of her children.She came from a family close to the Progressive Citizens' Party, which had already produced a number of politicians, such as her paternal grandfather's brother, David Strub, her maternal grandfather Eugen Schädler, and her maternal aunt Emma Eigenmann.In 2003, Eberle-Strub was elected to the municipal council of Vaduz for the Progressive Citizens' Party for the first time. She wes reelected in 2007 and 2011 respectively. In the municipal elections of 2015, she decided not to run again for a seat on the municipal council.During her time as a municipal councilor, Eberle-Strub served, among other things, as municipal school council president, from 2011 to 2015 as vice mayor, and as a member of various commissions. She was also a member of the Congress of Local and Regional Authorities of the Council of Europe for four years. In the state elections in Liechtenstein in 2017, she was elected to the state parliament of the Principality of Liechtenstein for the Progressive Citizens' Party. As an MP, she was a member and chairwoman of the Liechtenstein delegation to the Parliamentary Assembly of the Council of Europe. She did not stand in the next state election in February 2021 and thus left the state parliament.


== Family ==
Eberle-Strub is married and has two sons. She is the grand-niece of David Strub, former President of the Landtag of Liechtenstein.


== References =="
3,"Katrin Eggenberger (born 8 September 1982) is a Swiss-Liechtensteiner academic and politician who served as the Foreign Minister of Liechtenstein from November 2019 to March 2021.


== Education and personal life ==
Katrin Eggenberger was born in Werdenberg, Switzerland to a Swiss father and Liechtensteiner mother. Her maternal uncle, Josef Biedermann, was a long-term member of the Liechtenstein parliament and former President of the Progressive Citizens' Party. She is a dual citizen, however she has spent the majority of her life living outside Liechtenstein. She returned to live in Vaduz permanently in October 2019.Eggenberger completed a Bachelor of Business Administration in 2008 through the University of Liechtenstein, studying at Ohio State University where she also competed in synchronized swimming. She competed in synchronized swimming for Switzerland alongside Ariane Schneider at the 2005 World Aquatics Championships in Montreal.Eggenberger completed a Master of Science in Banking and Financial Management in 2012 at the University of Liechtenstein. In 2019 she completed a PhD in International Affairs and Political Economy from the University of St. Gallen, supervised by Nobel laureate Joseph Stiglitz, and has been a researcher at the London School of Economics, University of Cambridge, Princeton University and Harvard University. She was a 2019 Maurice R. Greenberg World Fellow at the Jackson Institute for Global Affairs at Yale University.  In 2020, she completed a mid-career MPA from Harvard Kennedy School.


== Career ==
Eggenberger worked at number of banks in Vaduz and Switzerland before becoming Chief of Staff to Klaus Schwab and Head of the Community of chairpersons at the World Economic Forum in 2016. She was responsible for building a global, digital platform for startups, companies, universities and governments.Eggenberger has been a member of the Progressive Citizens' Party since 2019, when she was unanimously nominated by the party to the Parliament. She was appointed Minister of Foreign Affairs by Alois, Hereditary Prince of Liechtenstein on 11 November 2019, replacing Aurelia Frick, and sworn in by Prime Minister Adrian Hasler. She is responsible for the ministries of justice and culture as well as foreign affairs. Her completion of the Yale fellowship in 2019 caused her to miss four of her first six government meetings.


== Publications ==
Eggenberger, Katrin; Emmenegger, Patrick (2015). ""Economic Vulnerability and Political Responses to International Pressure: Liechtenstein, Switzerland and the Struggle for Banking Secrecy"". Swiss Political Science Review. 21 (4): 491–507. doi:10.1111/spsr.12181.
Emmenegger, Patrick; Eggenberger, Katrin (2018). ""State sovereignty, economic interdependence and US extraterritoriality: the demise of Swiss banking secrecy and the re-embedding of international finance"". Journal of International Relations and Development. 21 (3): 798–823. doi:10.1057/s41268-017-0088-y. S2CID 149206725.
Eggenberger, Katrin (2018). ""When is blacklisting effective? Stigma, sanctions and legitimacy: the reputational and financial costs of being blacklisted"". Review of International Political Economy. 25 (4): 483–504. doi:10.1080/09692290.2018.1469529. S2CID 158191498.
Eggenberger, Katrin. Solving Cooperation Problems over International Taxation: Power, Legitimacy and Sovereignty (PDF) (Thesis). University of St. Gallen.


== References =="
4,"Aurelia Cäcilia Katharina Frick commonly known as Aurelia Frick (born 19 September 1975) is a Liechtensteiner politician who served as Minister of Foreign Affairs, Education and Culture from 2009 to 2019.


== Early life and education ==
Aurelia Frick was born in St. Gallen, Switzerland. From 1995 to 1999, Frick studied law at the University of Fribourg. She was admitted to the Bar of the Canton of Zürich in 2004. In 2005, she received her Doctor of Law from University of Basel.


== Career ==
Between 2001 and 2003 she was working as an auditor at the district court of Zurich in civil, labor, tenancy and criminal law. She received a doctorate from the University of Basel, with a thesis on ""The Termination of the Mandate"", and passed the bar examination in the Swiss Canton of Zurich. After graduation, Frick worked at a Zurich law firm, and then as legal director for a London-based human resources company. From November 2006 she worked as a consultant for Bjørn Johansson Associates, an executive search company. Part-time she was working as an associate professor at the University of Liechtenstein. She briefly worked for the hedge fund K2.Frick has started her independent advisory practice, UNLOCK Advisory, in Vaduz after resignation as a minister.


== Politics ==
Frick, a member of the Progressive Citizens' Party in Liechtenstein (Fortschrittliche Bürgerpartei in Liechtenstein, or FBP), was at age 34 appointed to the ministerial justice, foreign affairs, and cultural affairs portfolios following the March 2009 parliamentary election in Liechtenstein in . Frick became one of Liechtenstein's five ministers in the Klaus Tschütscher cabinet, and one of two women in the cabinet. She was expected, on appointment, to pursue reforms of Liechtenstein's civil and criminal law.
After the 2013 parliamentary election, Frick was appointed to serve under the new government Prime Minister Adrian Hasler as head of the ministry of Foreign Affairs, Education and Culture.


=== Causa Frick ===
On 2 July 2019 the parliament of Liechtenstein concluded a motion of no confidence against Aurelia Frick. After the reigning prince, Alois of Liechtenstein, confirmed her dismissal the same day, Frick lost her office as government minister.


== Personal life ==
In 2011, Frick married Oliver Muggli, a Swiss financier and former banker. Muggli is currently a partner of 1291 Private Office, a financial services company, based in Liechtenstein.They have two children and reside in Vaduz.


== See also ==
List of current foreign ministers


== References ==


== External links ==
Aurelia Frick at the official website of the government of Liechtenstein."
5,"Manuela Haldner-Schierscher (born 26 June 1971) is a Free List politician from Liechtenstein and Member of the Landtag since 2021.


== Biography ==
Haldner-Schierscher grew up in Schaan. She is a qualified social worker and works at the Liechtenstein probation service. From 2007 to 2015 she was a member of the Schaan municipal council. 
In the 2021 general election Haldner-Schierscher was elected in the Oberland constituency with 1,597 votes.  During the 2021-25 session she will serve on the foreign policy and judicial selection committees of the Landtag.


== References =="
6,"Dominique Hasler (née Matt; formerly Gantenbein; born 6 October 1978) is a Liechtensteiner politician, teacher and educator. She currently serves as Minister of Foreign Affairs, Education and Sport for the Patriotic Union. She was appointed in March 2021 by Prime Minister Daniel Risch in March 2021, succeeding Katrin Eggenberger.


== Early life and education ==
Hasler was born Dominique Matt on 6 October 1978 in Mauren, Liechtenstein. She was raised there and attended the local public schools. Her parents divorced when she was a child and her mother remarried soon after. She took the surname of her stepfather which was Gantenbein.She continued to studying Teaching at the Intercantonal College of Special Education in Zürich, Switzerland. Gantenbein then worked as a special education teacher at several schools, before studying herself for a master's degree in Business Administration in Entrepreneurial Management at the University of Liechtenstein.


== Career ==
Between 2000 and 2008, Hasler was a special needs teacher, at schools in Trübbach, Switzerland and Schaan. From 2008 to 2010, she was a member of the management of the curative schools center (HPZ) in Schaan where she headed the schooling department. Before assuming office she held other management positions, namely she led a retirement home.


== Politics ==
Following the 2017 general election in Liechtenstein, Gantenbein was named as the Minister of Home Affairs, Education and Environment in the new parliament on 30 March. She was one of two members of the Patriotic Union named as Ministers in the coalition Government. She has since met with her education counterpart in the Government of Austria, Sonja Hammerschmid, regarding ongoing cooperation in work with school leavers. Gantenbein has also taken up her seat at the European Union Home Affairs Council as part of her work as Interior Minister.She has announced her intention to not run for re-election in the 2025 Liechtenstein general election.


== Personal life ==
After her wedding to Daniel Hasler in October 2018 she took her husband's family name.


== References ==


== External links ==
 Media related to Dominque Hasler at Wikimedia Commons"
7,"Kieber can be the surname of

Heinrich Kieber, tax whistleblower, whose information lead to the 2008 Liechtenstein tax affair
Niklas Kieber (born 1993), a Liechtenstein footballer
Rita Kieber-Beck (born 1958), was Foreign Affairs Minister of Liechtenstein
Walter Kieber (1931–2014), Prime Minister of Liechtenstein from 1974 to 1978
Wolfgang Kieber (born 1984), a Liechtenstein footballer
Joseph J. Kieber, Distinguished Professor of biology, University of North Carolina, Chapel Hill, and Member of the U.S. National Academy of Sciences"
8,"Graziella Marok-Wachter (nee Marok; born 4 May 1965) is a Liechtenstein politician from the Patriotic Union. She has been a member of the government of the Principality of Liechtenstein since 25 March 2021, responsible for the Ministry of Infrastructure and Justice.


== Early life ==
She was born in Mauren and graduated from the University of Zurich.


== References =="
9,"Gunilla Marxer-Kranz (born 28 May 1972) is a politician from Liechtenstein and the incumbent vice-president of the Landtag of Liechtenstein, having assumed the post in 2017.She studied law and entered the Liechtenstein Bar. Prior to her entry to politics, she was employed part-time as a lawyer at the Liechtenstein Chamber of Commerce. She spent half a year in Colombia, where she worked at a nursery and at psychiatric wards. Her Landstag biography lists her occupations as ""lawyer, housewife"".She lives in the village of Nendeln. In the 2017 general election, she was a candidate for the Patriotic Union at the Unterland electoral district. Here, she received 1,635 preferential votes, amounting to 29.5% of the electoral body, and was elected as the third-place member of the parliament of the party from the district. She got the highest percentage of votes in the Ruggell municipality, where her share stood at 36.3% with 373 votes. On 30 March 2017, she was elected as the new vice-president of the Landtag with the near-unanimous support of 24 members of the parliament.She is married to Philipp Marxer and has two sons.


== References =="
