,articles
0,"Yuriko Nadia Backes (born 22 December 1970) is a Luxembourgish diplomat and politician who serves as Minister for Defence and Minister for Mobility and Public Transport since 2023. She served as Minister for Finances from 2022 to 2023. A member of the Democratic Party, she has led the nation's financial sector through the economic crisis caused by the inflation surge and the Russian invasion of Ukraine. Prior to her appointment as minister, she held several key diplomatic positions, and was the diplomatic advisor to prime ministers Jean-Claude Juncker and Xavier Bettel.


== Early life and education ==
Yuriko Nadia Backes was born on 22 December 1970 in Kobe, Japan. Her parents were Luxembourgish expatriates who lived in Japan. After briefly living in Germany, the family returned to Japan, residing in the Tokyo area for eleven years. Backes attended the Canadian Academy International School in Kobe, graduating in 1989 with an International Baccalaureate diploma. She continued her studies in London, graduating from the London School of Economics with a bachelor's degree in international relations in 1992 and from the School of Oriental and African Studies with a master's degree in Japanese studies in 1993. The following year, she received a master's degree in European political and administrative studies from the College of Europe in Bruges.


== Diplomatic career ==
Backes began her diplomatic career within the Luxembourg Ministry of Foreign Affairs in 1994, when she passed her diplomatic examinations and was appointed a member of the permanent representation of Luxembourg to the United Nations, serving for three years. In 2001, she was named deputy director of the Directorate of European Affairs and International Economic Relations in the Ministry of Foreign Affairs. From 2001 until 2006, Backes was a member of the permanent representation of Luxembourg to the European Union, and from 2006 until 2008, she was the deputy head of mission of the Embassy of Luxembourg in Japan.From 2008 to 2010, Backes was deputy head of the Directorate for International Economic Relations at the Ministry of Foreign Affairs. From 2010 until June 2016, she was the diplomatic adviser for prime ministers Jean-Claude Juncker and Xavier Bettel. From 2016 until 2020, she was the representative of the European Commission to Luxembourg, becoming the first woman to hold the office.On 1 June 2020, Backes was appointed Luxembourg's first female Hofmarschall (French: Maréchale de la Cour, English: Marshal of the Court), the highest administrative position in the household of Grand Duke Henri. In this role, she oversaw and organized the day-to-day activities of the Grand Duke.


== Political career ==


=== Finance minister ===
On 3 December 2021, the ruling coalition government announced that Backes would become the new Minister for Finances, succeeding Pierre Gramegna and becoming the first woman to hold the office. Previously unaffiliated with any political party, she declared her intent to join the Democratic Party and run as one of its candidates for the Chamber of Deputies in the 2023 elections. Backes is also affiliated with the Alliance of Liberals and Democrats for Europe Party. She was sworn in by Grand Duke Henri on 5 January 2022.Though initially intending her tenure to operate ad interim with a ""simple"" economic framework, the Russian invasion of Ukraine, which began the month after she took office, exasperated Luxembourg's ongoing inflation crisis. A proponent of European solidarity against Russia, Backes is an outspoken supporter of Ukraine. At the April 2022 IMF/World Bank summit in Washington, D.C., she ""underlined Luxembourg's commitment to multilateralism and international solidarity"" and ""reaffirmed Luxembourg's pledge to allocate 1% of its GNI to development aid"". She also reiterated Luxembourg's support for Ukraine during a meeting with Ukrainian finance minister Serhiy Marchenko.Backes is also a proponent of closer relations between Luxembourg and Asia. In April 2022, she met with several Japanese CEOs regarding economic cooperation between the two nations. In May 2023, she travelled to China, where she held meetings with finance minister Liu Kun, China Securities Regulatory Commission chairman Yi Huiman, and several Chinese bank officials. Among the topics of discussion were capital market cooperation, green finance, and Luxembourg's desire to strengthen diplomatic and economic ties with China.In 2023, Backes declared that Luxembourg was in the midst of an economic crisis primarily caused by inflation. Though she opposed a decrease in the tax rate, she instead backing a proposal which would distribute targeted tax credits totaling €500 million as a response to the crisis. She also oversaw a 1% reduction in the value-added tax as part of an inflation-reduction measure, as well as the implementation of international taxation on multinational corporations based in Luxembourg, which affected around 7,500 firms. In December 2022, her proposed budget, which ""avoided austerity"" while keeping investment and solidarity spending high, passed through the legislature and allowed Luxembourg to retain its AAA credit rating from Fitch Ratings.In late 2022, Backes highlighted the importance of the fight against money laundering in Luxembourg, stating that failing an audit from the Financial Action Task Force would ""permanently compromise Luxembourg's reputation as a financial centre"". She is also a supporter of the digital transformation and the Digital Services Act.


== Personal life ==
Backes has two children. She is fluent in Luxembourgish, German, French, and English, and is conversational in Japanese.


== References =="
1,"Djuna Bernard (born 15 June 1992) is a Luxembourgish politician and member of the Luxembourg's Green Party, Déi Gréng. She was a member of the Chamber of Deputies from December 2018 to 2023. A candidate in the 2018 legislative election, she was not directly elected but replaced Sam Tanson when she became Minister for Housing and Culture, making her the youngest deputy in the Chamber at 26 years old. She stood as a candidate for the co-presidency of The Greens in January 2019, and subsequently won in March that year and currently serves with Meris Šehović. Bernard and Šehović were both re-elected unopposed in March 2021.In October 2019, Bernard declared her intention to stand in the South circonscription for the 2023 Luxembourg general election. She ended up standing on the party list for the Centre circonscription, winning 8,556 votes but failing to be elected. Her party lost 5 out of 9 seats, leading to the loss of the Bettel II Government's majority.


== See also ==
List of members of the Chamber of Deputies of Luxembourg 2018–2023


== References =="
2,"Taina Bofferding (born 22 November 1982) is a Luxembourgish politician who served as the Minister of the Interior and of Equality between Men and Women under the Government of Xavier Bettel.After high school at Hubert-Clément High School in Esch-sur-Alzette, her hometown, she first studied as an educator at the Luxembourg Institute of Educational and Social Studies (IEES), from which she graduated in 2005, then studied in social sciences at the University of Trier which gives her the title of Master in Social Sciences in 2011.A member of the Luxembourg Socialist Workers Party (LSAP) since 2004, she was vice-president of the Alliance of Humanists and Atheists (AHA) from 2010 to 2018, which seeks to separate the socio-political and religious domains more radically.Since 5 December 2013 until 30 October 2018 she was member of the Chamber of Deputies. She stood for the reelection in the 2018 Luxembourg general election but just missed getting a direct mandate. She was also member of the city council of Esch-sur-Alzette between 2011 and 2018.


== References =="
3,"Anne Brasseur (born 19 May 1950 in Luxembourg) is a Luxembourgish politician and former sports and training minister. On 28 January 2014 Brasseur was elected as the President of the Parliamentary Assembly of the Council of Europe for a one-year renewable term, the second woman to hold this post.


== Political career ==
Brasseur began her political career when she was elected to the city council of Luxembourg in 1976. She is president of the Association des femmes libérales.


=== Minister for National Education, Vocational Training and Sports, 1999-2004 ===
From 1999 to 2004 Brasseur was a cabinet minister of Luxembourg, Minister for National Education, Vocational Training and Sports (Ministre de l'Éducation nationale, de la Formation professionnelle et des Sports), in the government of Prime Minister Jean-Claude Juncker.


=== Parliamentary Assembly of the Council of Europe, 2009–present ===
Since 2009, Brasseur has been president of The Alliance of Liberals and Democrats for Europe in the Parliamentary Assembly of the Council of Europe. In January 2014, she was elected President of the Parliamentary Assembly of the Council of Europe; she received an absolute majority of votes in the first round. On 26 January 2015, she was re-elected for a new mandate of one year. Since 2016, she has been serving as a member of the Committee on Legal Affairs and Human Rights; the Sub-Committee on Crime Problems and the Fight against Terrorism; and the Sub-Committee on the Middle East and the Arab World.


== Political positions ==


=== On Russia ===
Early in Brasseur's tenure as president of PACE, the assembly in April 2014 suspended the Russian delegation's voting rights after the Russian annexation of Crimea in March 2014. Throughout her time in office, she maintained a constant dialogue with Russian Duma Speaker Sergey Naryshkin and Russia's PACE delegates.


=== On Azerbaijan ===
On a 2014 visit to Azerbaijan, a member country of the Council of Europe, Brasseur criticized that ""[i]n certain areas, such as freedom of expression, freedom of association and freedom of assembly, the situation appears to have deteriorated and this has to be addressed urgently."" In particular, she expressed her hope that Azeri human rights activist Ilgar Mammadov would soon be released, after the European Court of Human Rights had earlier described his imprisonment as an ""unjustified restriction of freedom"".


=== On Poland ===
Brasseur criticized Poland's judiciary reform. She called on Polish politicians ""not to enact, precipitously, legislation relating to the Constitutional Tribunal which may seriously undermine the rule of law.""


=== On education ===
In June 2007, the Council of Europe's Committee on Culture, Science and Education released a report entitled ""The Dangers of Creationism in Education."" According to Brasseur, who served as co-author of the report, its goal was to firmly anchor the theory of evolution in school curricula. However, she was later pressured to shorten references in the resolution to ""evolution by natural selection"" to ""evolution"" because some members had misunderstood the reference to natural selection to be an attack on their religious beliefs. The council ultimately approved the report's recommendations, with 48 votes in favor and 25 against.


== Other activities ==
Nuremberg International Human Rights Award, Member of the Jury


== References =="
4,"Corinne Cahen is a Luxembourgish politician who has been Minister of Family and Integration and the Greater Region in the Bettel I Government since 4 December 2013.She was born on 16 May 1973 in Luxembourg City, and grew up in a Jewish family in the Bonnevoie neighborhood of Luxembourg City. After her high school graduation, she left for France to study translation, business, and journalism. She then worked as a journalist for the AFP and Radio France Internationale, which included a period as a White House correspondent in Washington, D.C. After her return to Luxembourg, she worked for Eldoradio, RTL Radio, and her family's shoe business.Before entering politics, she was a business woman managing her family's shoe shops in Luxembourg-City and was active as president for the retail business association of Luxembourg City from 2008 to 2012.


== Honours ==
 Portugal: Grand Cross of the Order of Merit (23 May 2017)


== References =="
5,"Carole Dieschbourg (born 3 October 1977) is a Luxembourg politician and writer. Since December 2013, she was Minister for the Environment representing the Green in the government coalition consisting of the Democratic Party, the Luxembourg Socialist Workers' Party and the Green Party until her resignation and replacement by Energy Minister Claude Turmes in 2022. She represented Luxembourg at the COP22 Climate Change Conference in Marrakesh, November 2016.


== Biography ==
Born in Ettelbruck on 3 October 1977, Dieschbourg matriculated from the Lycée classique d'Echternach in 1997 before studying historical sciences and German at the University of Trier, earning a Master of Arts in 2005. In 2005, she became coordinator of ""Moulins – inventaire, excursion et sentier régional"" (Mills – inventory, excursion and regional trail) under the Leader + Müllerthal programme, publishing Die Mühlen des Müllerthals (The Mullerthal Mills) in 2007.In 2011, Dieschbourg entered politics as a municipal councillor in Echternach. Following the elections on 20 October 2013, she joined the Luxembourg government, becoming Minister for the Environment on 4 December 2013. Prior to her governmental appointment, she was a board member of Moulin J.P. Dieschbourg, a family business established in 1897.Interviewed by Romain Van Dyck in the Luxembourg newspaper Le Quotidien on 7 November 2016, she stressed the importance of arriving at a European position at the Climate Conference in Marrakesh rather than agreements with individual countries. Luxembourg would above all be contributing by bringing about a major reduction in carbon emissions from road vehicles. She announced that the country would have 800 recharging facilities for electric cars by 2020 compared with 3,000 for the whole of France.


== The “garden shed” scandal ==
In 2019 and subsequent years, Carlo Dieschbourg was suspected of favoritism in granting a late planning permission for building works on a garden shed to Roberto Traversini in 2019, at the time member of the Green and mayor of Differdange, in a protected area called Natura 2000 even though the construction of said shed had already started without the latter requesting a permission in due time.
Due to her diplomatic immunity, Dieschbourg couldn't be questioned in her official capacity at the time. The Chamber of Deputies therefore would have to vote on whether to lift her immunity, requiring a formal process involving lawmakers.
In 2022, Dieschbourg affirmed that she would advise lawmakers to support this course of action, stating, “There is not doubt for me that the lifting of my immunity is the right path”. However, just hours thereafter, she tearfully announced her resignation at a press conference. While maintaining her innocence, Dieschbourg explained that parliament had crucial matters to attend to, and initiating proceedings against her would consume valuable time. She expressed, “I don’t want this anymore”, particularly in light of the numerous hearings that had already taken place in 2019. As a result, Energy Minister Claude Turmes of the Green took over her mandate as interim minister. A preliminary investigation by the Luxembourg public prosecutor’s office to assess whether the case will go to trial had been ongoing since 2019 and a request had been sent to the Chamber of Deputies for a vote on Dieschbourg’s immunity. In March 2023, the deputies adopted a resolution to lift her immunity and by April 2023 the judicial police has started questioning Dieschbourg regarding this matter.


== Other activities ==
World Economic Forum (WEF), Member of the Europe Policy Group (since 2017)


== Publications ==
Dieschbourg, Carole. 2007. Die Mühlen des Müllerthals. Editions Guy Binsfeld. ISBN 978-2-87954-172-3.


== References ==

Schnuer, Cordula (2022-04-22). ""Environment minister steps down to testify in corruption case"". Delano.
Obert, Mathilde (2023-04-06). ""The ""garden shed"" affair: Carole Dieschbourg to be heard"". Delano."
6,"Christine Doerner (born 18 July 1952) is a Luxembourgish politician, advocate, and notary.  She has been a member of the Chamber of Deputies since the 2004 election, and has also sat as a member of Bettembourg communal council since 2000.  She has been a member of the Christian Social People's Party since 1974.


== External links ==
(in French) Christine Doerner biography on the Chamber of Deputies' official website"
7,"Joëlle Elvinger is a lawyer and politician from Luxembourg. A member of the Democratic Party, she served in the Chamber of Deputies from 2013 to 2019.


== Biography ==


=== Early life ===
Joëlle Elvinger was born in Luxembourg City to René Elvinger, an industrialist and president of Cebi International. Today, Joelle sits on the board of directors for Cebi International. Politically, her father was involved with the Democratic Party's youth wing and her uncle sits on the Communal Council for Walferdange.Elvinger received her master's degree in business law from Paul Cézanne University in Marseille and a Master of Laws at Queen Mary University of London.


=== Political career ===
Elvinger first ran in the 2005 communal elections and was elected to the Communal Council of Walferdange, where she became échevin in 2011. On January 18, 2016, she was sworn in as mayor of the commune, a position she held until November 30, 2017.Following the 2013 Luxembourg general election and the appointment of Corinne Cahen to the Xavier Bettel government, Elvinger entered the Chamber of Deputies for the Centre constituency as a member of the Democratic Party. Notably, she was a member of the Budget and Finance Committee, the Labor, Work and Social Security Committee and served as rapporteur for the 2018 Budget.In November 2019, Elvinger was elected to replace Henri Grethen in the European Court of Auditors, taking her seat on January 1, 2020. Her position in the Chamber of Deputies was filled by Claude Lamberty and her communal seat was filled by Gallinaro.


== References =="
8,"Stéphanie Empain (born 11 August 1983 in Luxembourg City) is a Luxembourgish politician of The Greens party.


== Biography ==


=== Studies and professional career ===
She studied political science and obtained a Master of Arts degree. She served in the general staff of the Luxembourg Army for two years, then she worked as the head of the Éislek regional tourism office for six years.In 2015, she founded a company that produces reusable nappies for infants.On 1 December 2018 she succeeded Claude Haagen as the chairwoman of the Luxembourg Athletics Federation.


=== Political activity ===
Empain was active within the youth section of The Greens party for several years. She stood in the 2018 general election after Françoise Folmer resigned from the co-chairwomanship of the party. Following the election, Claude Turmes became the Minister of Planning and Energy within the Bettel II Government and was replaced by Empain as one of the deputies of the Nord constituency.


=== Private life ===
Empain is a married mother of two and resides in Erpeldange.


== References =="
9,"Lydie Err (born 23 April 1949, in Pétange) is a Luxembourgish politician.She was elected to the Chamber of Deputies for the Luxembourg Socialist Workers' Party (LSAP) in 1984, representing Circonscription Sud.  She was re-elected in 1989, 1994, 1999, and 2004.  From 1989 until 1991, she sat as one of the two Vice-Presidents of the Chamber.  She entered the Juncker-Poos Ministry in 1998 as a Secretary of State.  She remained for one year, before the CSV-LSAP coalition collapsed in the wake of the LSAP's 1999 election defeat.


== References =="
