,articles
0,"Erika Forster-Vannini (née Vannini; born 27 February 1944) is a Swiss businesswoman and former politician. She served as a member on the Council of States (Switzerland) for The Liberals from 1995 to 2011, which she presided from 2009 to 2010. Between 1988 and 1996 she served on the Grand Council of St. Gallen, which she presided in 1994/1995.


== Early life and education ==
Forster was born 27 February 1944 in Zürich, Switzerland, a daughter of Hans 'Jean' (1902-2005) and Emilie Vannini. She has two sisters. She completed her Matura in Zürich and then completed several exchanges abroad.
Her father operated a construction/paining company in the second generation. Jean Vannini was primarily known for his activities in the creation of subsidized housing together with Ernst Göhner. They founded several wood manufacturing companies and built over 4,000 apartments primarily in the region of Zürich. Through his membership on the municipal council of Zürich, he befriended and allied with Gottlieb Duttweiler, founder of  Migros. The Vannini family originally hailed from Villa Luganese in Ticino, Switzerland, where they originated since the 15th century. Her great-grandfather, a famous sculptor, settled in Hottingen (Zürich) and took municipal citizenship there in 1870.


== Career ==
After her stays abroad, she completed flight attendant training, and worked four years at Swissair.She held many other offices, including President of the Foundation for the Protection of the Swiss Landscape, Member of the Board of the Association of Private Limited Companies, Member of the Board of the Minergie Association, President of the Foundation for Psychiatric Services for Young People in the Canton of St. Gallen, President of the Supervisory Board of the Institute for Management and Human Resources Management at the University of St. Gallen, and President of the Board of Directors of ERSIAN, Zürich.  


== Politics ==
Mrs Forster-Vannini's political career began in 1977 when she was elected to the St. Gallen City Council.  She served as President of that body in 1982 and remained a member until 1988, when she became a member of the St. Gallen Cantonal Council.  She served as President of the Cantonal Council in 1994-5, after which she was elected to the Council of States. She was a member of the Council of States from 1995 to 2011.
She has been outspoken about maternity health issues, passive smoking and internet addiction.


== Personal life ==
She met her husband, Ueli Forster (b. 1939), in the early 1970s. He hailed from a textile manufacturing family of St. Gallen, who owned Forster Rohner AG. Her husband is Ueli Forster and she has four children and four grandchildren. They reside in St. Gallen.


== References ==


== External links ==

Official website
Biography of Erika Forster-Vannini on the website of the Swiss Parliament."
1,"Esther Barbara Friedli ( born 4 June 1977) is a Swiss politician who currently serves on the Council of States (Switzerland) on 30 April 2023 and assumed office on 30 May 2023. She previously served on the National Council (Switzerland) for the Swiss People's Party since 2019. She is the domestic partner of Toni Brunner, former president of the Swiss People's Party and also a member of the National Council. Between 2008 and 2014, Friedli served as the secretary general of the Department of Education of the Canton of St. Gallen. 


== Early life and education ==
Friedli was born 4 June 1977 in Bern, Switzerland. She grew-up in nearby Worb, where she attended public schools. Between 1997 and 2003 she studied Political Science at the University of Bern. She took minors in Constitutional Law, National Economics and Media Studies. Friedli also completed a student exchange at Aarhus University in Aarhus, Denmark in 2001. While growing up she had been an active member of the Christian Democratic People's Party and engaged in their youth commission.


== Career ==
She completed a Federal Palace of Switzerland internship at the executive office of Federal councilor Ruth Metzler in the early 2000s. After completing her studies in Political Science, she initially worked in Public Relations, for Mediapolis and then as a consultant for Farner Consulting AG, one of Switzerland's leading consulting companies. Between 2008 and 2014 she served six years as the secretary general of the Department of Education in St. Gallen. Since 2015 she works as an independent consultant for her firm polestica gmbh which is primarily active in the field of political consulting and communication. Toni Brunner is a partner in this firm. They also own and operate Landgasthaus Sonne a family-style restaurant. With her consulting firm she led several political campaigns, such as for Roger Köppel, publisher of Weltwoche.


== Politics ==
Friedli campaigned for a seat in the Cantonal Council of St. Gallen in 2016, after becoming a member of the Swiss People's Party, before she was affiliated with the Christian Democratic People's Party. In the 2019 Swiss federal election, Friedli was elected into National Council (Switzerland) receiving 35,540 votes. According to her own statements, the campaign to be elected cost her only 5,000 Swiss Francs.In 2022, Friedli was briefly traded as potential successor to Ueli Maurer, in the Federal Council of Switzerland. Later she did confirm that she didn't want to run for office, and the position was ultimately given to Albert Rösti. On 14 October 2022, she instead announced to run for member of the Council of States (Switzerland). Her campaign will be entirely financed by fellow National Councilor Magdalena Martullo-Blocher.


== Personal life ==
Since 1997, Friedli is in a relationship with Toni Brunner, they reside in Ebnat-Kappel in St. Gallen.


== References =="
2,"Cornelia Füeg (née: Hitz; born 1941) is a Swiss lawyer and politician who served as the national councilor and government councilor of the canton of Solothurn.


== Early life and education ==
She was born Cornelia Hitz in Hauenstein-Ifenthal on 5 June 1941. She graduated a girls' high school in Zurich. She studied law at the University of Zurich and the University of Berlin, obtaining a degree in 1965.


== Career and activities ==
Her husband and she ran family farm in Wisen. She acquired the attorney and notary's license from the canton of Solothurn in 1971 and worked as a lawyer and notary. She joined the Free Democratic Party in 1971. She was elected as a municipal clerk in Wisen on 7 February 1971, being the first Swiss woman to hold the post, and was in office until 1974. Füeg, together with five other women, were elected to the Solothurn cantonal council in 1973, and her tenure ended in 1977.Füeg was elected to the Federal Assembly on 1 December 1975 for the Free Democratic Party representing the canton of Solothurn and served in the post until 27 November 1983. She was the first Swiss woman represent the canton of Solothurn at the Parliament. She headed the building and justice department in the Solothurn cantonal government until her resignation in 1997.From 1997 to 2002, Füeg chaired the Council for Regional Planning. From 2000 to 2002 she sat on the board of trustees of Pro Senectute and from 2001 to 2011 she was the first ombudswoman for the public transport association. Following her retirement from politics Füeg involved in the agricultural activities in Wisen.


== Personal life ==
She married Kurt Füeg in 1966, and they have four children. They reside in Olten.


== References ==


== External links ==
 Media related to Cornelia Füeg at Wikimedia Commons"
3,"Tamara Funiciello (Italian pronunciation: [funiˈtʃɛllo]; born 20 March 1990) is a Swiss politician who currently serves as member of the National Council (Switzerland) since 2019 for the Social Democratic Party.


== Early life and education ==
Tamara Funiciellos was born into a working-class family, her mother being a retail worker and her father a factory worker. She was born in Bern, but grew up in Sardinia, Italy. She attended primary school in Bosa, Sardinia. At the turn of the millennium, the family moved to Bern again. She attended high school in Neuenegg, Bern. After graduating from high school, she began studying international relations at the University of Geneva, later she transferred to the University of Bern to study history and social sciences. She worked in several areas before becoming as a secretary of the workers union at Unia in 2013. She decided to get engaged for the workers rights after her father was dismissed as a factory worker in 2011.


== Political career ==
Funiciello started her political career as a member of the board of directors of the non-presiding city of Bern Juso, later she was president of the Juso Canton of Bern. She also served as a member of the management of the SP Canton Bern. She became the President of the Young Socialists of Switzerland (Juso) in 2016, a post she held until 2019. In the municipal elections of the 25 March 2018, she was elected to represent the SP in the Grand Council of the Canton of Bern. After three years, she resigned from her position as President of the Juso at the end of August 2019. Her successor is Ronja Jansen. In the parliamentary elections on the 20 October 2019, Funiciello was elected to the Swiss National Council, where she became a member of the Legal Commission. On 29 February 2020, Funiciello was elected as co-president of the women's branch of the SP.


=== Political positions ===
She identifies as a Marxist and is inspired by Rosa Luxemburgs motto ""To say what is, remains the most revolutionary act"". Therefore, she prefers to defend the policies of the SP instead of making compromises. Also after having been elected as member of the Swiss National Council in 2019, she identified primarily as a workers union activist and only in a secondary role as a politician. She is a prominent women's rights activist and was a leading figure during the second nationwide women's strike in 2019 after the first of one in 1991. Besides she is also a member of the board of directors of the Swiss branch of European NGO for social justice Solidar. On 15 January 2021, she undertook godparenthood for Mikola Dziadok, activist and political prisoner from Belarus.


== Personal life ==
in June 2019, Funiciello first publicly commented on her sexuality and came out as bisexual. Her place of origin in Switzerland is Gurbrü. Funiciello played field hockey for the BSC Young Boys and also in the Swiss national team, with which she won gold at the European Championship in the C-Division.


== References =="
4,"Chantal Juliane Galladé (born 17 December 1972) is a Swiss politician who currently serves on the Cantonal Council of Zürich for the Green Liberal Party. She previously served on the National Council (Switzerland) from 2003 to 2018 for the Social Democratic Party.


== Early life and education ==
Galladé was born 17 December 1972 in Winterthur, Switzerland, to Georges-Roger Galladé, an attorney who was originally from Isérables in Valais, and Erika Galladé. Her father died by suicide in 1984 using his army rifle. She had a grandfather who was Jewish.She completed a commercial apprenticeship from 1989 to 1992 and studied concurrently to complete her Maturity. She completed studies in pedagogy and political science at the University of Zürich.


== Professional career ==
Galladé was engaged as commissioner for apprenticeships, professor at the cantonal college.


== Political career ==
In 1990, Chantal Galladé became a member of the Social Democratic Party (SP). She co-initiated the youth parliament (Jugendparlament), the youth lobby (Jugendlobby) and the cultural center (Kulturzentrum) in Winterthur in 1994. Three years later, Galladé was elected as member of the SP party in the parliament of the Canton of Zürich by 2003. Since December 2003, she's member of the Swiss National Council, among others focussing on the fields of  youth, sustainability and national security policy.
At the beginning of June 2018, the eligible voters elected Galladé school president of the district school administration (Kreisschulpflege) in Winterthur Stadt-Töss. Due to the full-time office, she will step down from the National Council at the end of November 2018. In February 2019, she decided to change to the Green Liberal Party (GLP) as she didn't agree with the SP, who opposed a further cooperation between the European Union and Switzerland due to Workers' Unions concerns.


== Personal life ==
Chantal Galladé is mother of a daughter born in 2005. She was in a relationship with Daniel Jositsch.


== References ==


== External links ==

Official website (in German)
Biography of Chantal Galladé on the website of the Swiss Parliament. (German)"
5,"Johanna Gapany (25 July 1988, Riaz, Fribourg) is a Swiss politician of the FDP. The Liberals and a current member of the Council of States in Switzerland.


== Early years and education ==
She was born into a liberal family from Gruyères. Her father was a farmer and a member of the FDP as well as the municipal council of La Tour de Trème. She studied economic sciences at the School of Management Fribourg from which she graduated in 2011. Following her graduation she became a project manager at the Daler Hospital.


== Political career ==
She began to become involved in politics as she was opposed to the fusion of her district La Tour de Trème with Bulle in 2006. The political campaign failed, but she stayed in politics. After having taken part in political discussions in youth movements of both the Swiss People's Party (SVP) and the Christian Democratic People's Party (CVP) she joined the youth wing of the FDP. In 2010 she became the leader of the youth wing of the FDP for which she stood as a candidate for the National Council in 2011.  Between 2016 and 2019 she was a member of the Municipal council of Bulle and the Grand Council of Fribourg.  She was elected into the Council of States in the Federal Elections in November 2019 as the youngest woman in Switzerland and the first one from the Canton of Fribourg. She won by a small margin of 138 votes and replaced Beat Vonlanthen from the Christian Democratic People's Party (CVP).


== Political views ==
She advocates for a paternal leave and an equal access to pension for men and women.


== Personal life ==
She is married and has a child. She is also a member of FC Helvetia, the female football club of the Swiss Parliament.


== References =="
6,"Andrea Martina Geissbühler (born 3 August 1976) is a Swiss politician and former police officer, kindergarten and riding teacher. She currently serves as a member of the National Council (Switzerland) for the Swiss People's Party since 2007. In the 2023 Swiss federal election, she won't be eligible to serve again due to a current term limit of 16 years. Following this the Swiss People's Party nominated her mother, Sabina Geissbühler, who previously served on the Grand Council of Bern, to take her position.


== References =="
7,"Yvonne Gilli (born 7 March 1957) is a physician and a Swiss political personality. She is a member of the Green Party of Switzerland.


== Biography ==
Gilli was born in Baar in the Canton of Zug. She completed a three-year diploma as a nurse after completing second-level education. Afterwards she took the secondary school leaving certificate and then studied medicine. Parallel to her studies, she continued her education in classical homeopathy and traditional Chinese medicine. Since 1996 she works in her own practice as a specialist in gynecology and additionally offers complementary medicine. She joined the Greens in 2000 in the Canton of St. Gallen and represented Wil from 2000 to 2005. From 2004 to 2007, she was a deputy in the Canton Parliament of the Canton of St. Gallen.
In October 2007, as part of the Swiss federal election, she was elected to the National Council, representing the Canton of St. Gallen. She was re-elected in 2011. She lost her seat where she served until 2015. She is married and has three children. Today she lives in Wil. Her hometown is Neudorf, Lucerne.


== References =="
8,"Fina Girard (born 20 October 2001) is a Swiss climate activist and politician who has served on the Grand Council of Basel-Stadt since 2023. A member of the Green Party and the Young Greens, she represents the Grossbasel-West constituency. Prior to entering politics, she was a member of the Basel climate strike and was co-president of the local branch of the Young Greens.


== Biography ==


=== Early life and activism ===
Fina Girard was born on 20 October 2001 in Basel, Switzerland. The daughter of a taxi driver and a museum curator, she attended the Gymnasium Leonhard. At the age of fourteen, she joined Amnesty International's youth group in Basel, and completed a one-year internship with the organization after graduating high school. She is also one of the group's workshop leaders. Girard attends the University of Basel, studying political science and geography.Experiencing eco-anxiety as a teenager, Girard has been active in the Basel climate strike since 2019, and joined the Young Green Alliance Northwest – the local branch of the Young Greens – the following year. In the 2020 election for the Grand Council of Basel-Stadt, Girard ran as a Green Party candidate, but was narrowly defeated. In August 2021, she was elected co-president of the Young Green Alliance Northwest, and was previously a member of its board. She is also an elected member of Alliance F.


=== Political career ===
On 8 February 2023, Girard was appointed to the Grand Council of Basel-Stadt to succeed Beatrice Messerli, who resigned. She represents the Grossbasel-West constituency as a member of the Green-Alternative Alliance, and serves on the Economic and Tax Commission, the Disciplinary Commission, and the Pardon Commission. At the time of her appointment, Girard was one of four Young Greens serving in the Grand Council.During her tenure on the Grand Council, Girard was part of a delegation sent by the city of Basel to Van Province in eastern Turkey during the 2023 Turkish presidential election. An advocate for climate-friendly mobility, she has supported increased public transit as part of a plan to make Basel carbon-neutral by 2037. She has also advocated for ""reproductive health and perinatal care"" for female asylum seekers, and supports lowering the voting age to sixteen.Girard was a Green Party candidate for the National Council in the 2023 Swiss federal election, but was not elected.


== References ==


== External links ==
Profile at Smartvote"
9,"Andrea Gmür-Schönenberger (born 18 July 1964) is a Swiss politician from The Centre, formerly of the Christian Democratic People's Party of Switzerland.


== References ==


== See also ==
List of members of the Swiss Council of States (2019–2023)"
