bigram,count
"('member', 'board')",607
"('national', 'assembly')",526
"('federal', 'election')",478
"('parliamentary', 'group')",471
"('member', 'bundestag')",388
"('democratic', 'party')",384
"('german', 'politician')",372
"('house', 'representative')",362
"('became', 'member')",318
"('legislative', 'election')",306
"('national', 'council')",304
"('social', 'democratic')",297
"('french', 'politician')",289
"('vice', 'president')",272
"('german', 'bundestag')",269
"('prime', 'minister')",262
"('served', 'member')",258
"('green', 'party')",246
"('member', 'committee')",241
"('member', 'national')",234
"('state', 'election')",223
"('board', 'trustee')",220
"('people', 'party')",212
"('social', 'affair')",210
"('socialist', 'party')",210
"('member', 'parliament')",206
"('german', 'federal')",204
"('french', 'legislative')",200
"('european', 'parliament')",196
"('member', 'german')",193
"('christian', 'democratic')",189
"('serving', 'member')",186
"('working', 'group')",184
"('friendship', 'group')",179
"('general', 'election')",178
"('municipal', 'council')",177
"('official', 'website')",171
"('politician', 'member')",170
"('european', 'union')",170
"('supervisory', 'board')",167
"('alliance', 'green')",160
"('board', 'director')",158
"('angela', 'merkel')",155
"('committee', 'assignment')",155
"('dutch', 'politician')",155
"('addition', 'committee')",154
"('parliamentary', 'friendship')",149
"('born', 'april')",148
"('en', 'marche')",148
"('member', 'advisory')",147
"('born', 'may')",146
"('website', 'german')",146
"('von', 'der')",145
"('ex', 'officio')",144
"('elected', 'member')",143
"('foreign', 'affair')",142
"('second', 'round')",141
"('member', 'house')",139
"('der', 'leyen')",139
"('member', 'supervisory')",138
"('born', 'october')",137
"('born', 'june')",136
"('human', 'right')",135
"('advisory', 'board')",134
"('state', 'secretary')",133
"('presidential', 'election')",131
"('party', 'spd')",131
"('municipal', 'election')",130
"('political', 'science')",129
"('negotiation', 'form')",129
"('state', 'parliament')",128
"('bundestag', 'german')",127
"('parliamentary', 'assembly')",126
"('born', 'july')",125
"('born', 'january')",125
"('born', 'september')",124
"('first', 'round')",124
"('election', 'elected')",123
"('minister', 'president')",122
"('politician', 'served')",121
"('born', 'august')",121
"('van', 'der')",120
"('born', 'march')",120
"('born', 'december')",120
"('north', 'rhine')",119
"('french', 'national')",119
"('democratic', 'union')",118
"('high', 'school')",116
"('coalition', 'government')",114
"('announced', 'would')",114
"('politician', 'social')",114
"('member', 'french')",114
"('city', 'council')",113
"('rhine', 'westphalia')",113
"('left', 'party')",112
"('bundestag', 'state')",110
"('economic', 'affair')",109
"('born', 'november')",108
"('master', 'degree')",108
"('party', 'list')",105
