trigram,frequency
social_democratic_party,211
french_legislative_election,171
addition_committee_assignment,154
parliamentary_friendship_group,149
member_board_trustee,136
member_house_representative,120
french_national_assembly,109
von_der_leyen,105
christian_democratic_union,103
ex_officio_member,102
official_website_german,97
national_assembly_france,94
north_rhine_westphalia,90
member_supervisory_board,89
bundestag_biography_english,78
free_democratic_party,73
chancellor_angela_merkel,69
government_prime_minister,58
en_marche_lrem,57
university_applied_science,55
member_advisory_board,54
party_delegation_working,52
parliamentary_group_rapporteur,51
european_union_comprehensive,49
committee_foreign_affair,46
committee_legal_affair,45
studied_political_science,43
elected_house_representative,42
studied_law_university,40
dutch_house_representative,35
announced_would_stand,34
part_working_group,31
freedom_democracy_vvd,31
president_emmanuel_macron,30
union_popular_movement,29
chancellor_olaf_scholz,29
alliance_green_serving,29
education_culture_science,29
ministry_foreign_affair,28
graduating_high_school,28
deputy_prime_minister,28
federal_constitutional_court,28
senior_citizen_woman,27
fourth_rutte_cabinet,27
russian_invasion_ukraine,26
member_union_popular,26
politician_social_democratic,26
health_welfare_sport,26
state_north_rhine,25
tine_van_aerschot,25
