,articles
0,"Emily Chamlee-Wright (born July 7, 1966) is an American economist who serves as president and CEO of the Institute for Humane Studies. From 2012 through 2016, she was the Provost and Dean of Washington College. She taught economics at Beloit College from 1993 to 2012, where she held the Elbert H. Neese Jr. Professorship in Economics and served as associate dean from 2010 to 2012. She was one of three principal investigators with the Mercatus Center researching Gulf Coast recovery efforts in the aftermath of Hurricane Katrina.


== Bibliography ==
The Cultural Foundations of Economic Development: Urban Female Entrepreneurship in Ghana (Routledge 1997)
Culture and Enterprise: The Development, Representation and Morality of Business (with Don Lavoie, Routledge 2000)
The Cultural and Political Economy of Recovery: Social Learning in a Post-disaster Environment (Routledge 2010)
Political Economy of Hurricane Katrina and Community Rebound (with Virgil Storr, Edward Elgar 2010)
How We Came Back (with Nona Martin Storr and Virgil Storr, Mercatus Center 2015)
Liberal Learning and the Art of Self-Governance (editor, Routledge 2015)


== References ==


== External links ==
Chamlee-Wright profile at the Institute for Humane Studies
Chamlee-Wright profile at the Mercatus Center"
1,"Eva Yi-Hwa Chen is a Taiwanese businessperson and the co-founder and CEO of Trend Micro, one of the world's largest software security firms. In 2010, CRN Magazine named her as one of the ""Top 100 Most Influential Executives in the Industry"". She was fifth on the 2012 Forbes  list of ""Asia's 50 Power Businesswomen"".


== Early life ==
Chen was born in Taichung, Taiwan. One of her earlier memories was when her house caught fire from some downed telephone wires. She struggled with a fear of telephones for years after the incident.Chen attended National Chengchi University in Taipei where she earned a degree in philosophy. After graduation she worked briefly in the publishing industry. In 1984 she moved to United States where she received a master's degree in management information systems from the University of Texas at Dallas. Back in Taiwan, she worked briefly for Acer Inc. in their research department before leaving to write for a Chinese newspaper.


== Career ==
In 1988, she co-founded Trend Micro with her brother-in-law Steve Chang and her sister Jenny. Chen was executive vice president of the company until 1996 when she became chief technology officer. During her tenure as CTO she devised the Network VirusWall. In 2005, she assumed the position of CEO at Trend Micro. Under her leadership, Trend Micro has shifted its focus from traditional antivirus to cloud protection, purchasing Canadian security company Third Brigade in 2009 and cloud storage service humyo in 2010. In 2012, she received a Cloud Security Alliance Industry Leadership Award for her contributions to cloud security in the Asia-Pacific region.


== Personal life ==
Chen is married to Daniel Chiang, co-founder of Sina.com. In 2006, the Securities and Exchange Commission investigated her for possibly underreporting her Trend Micro holdings.She resides primarily in Pasadena, California, US with her son Peter and daughter Melody.


== References =="
2,"Jane Marie Chen is the co-founder of Embrace, a social enterprise startup that produces a low-cost infant warmer, that gives premature and low-birth-weight infants a better chance at survival.She served as the first CEO of Embrace, the non-profit arm of the organization, before stepping into the chief executive officer (CEO) role of Embrace Innovations, the for-profit social enterprise that was spun off in 2012.


== Early life and education ==
Chen holds a BA in Psychology and Economics from Pomona College, a Masters in Public Administration from Harvard University, and an MBA from Stanford University.


== Career ==
Prior to Embrace, Chen worked with nonprofit organizations on healthcare issues in developing countries. She spent several years as the program director of a startup HIV/AIDS nonprofit in China (Chi Heng Foundation), and worked for the Clinton Foundation’s HIV/AIDS Initiative in Tanzania. She also worked at Monitor Group as a management consultant.In 2013, Chen and the other co-founders of Embrace, Linus Liang, Nag Murty, and Rahul Panicker were awarded the Economist Innovation Award, under the category of Social and Economic Innovation. In the same year, Chen and her co-founder Rahul Panicker were also recognized as Schwab Social Entrepreneurs of the Year by the World Economic Forum. In 2014, Chen was invited to the White House's first ever Maker Faire, where she presented Embrace's work to President Obama. In the same year, Beyoncé made a $125,000 contribution through Chime for Change which allowed Embrace to distribute its infant warmers to nine countries in Sub-Saharan Africa.


=== Embrace ===

While doing her MBA at Stanford, Chen and a few other fellow graduate students were assigned a class project to create a low-cost infant incubator that could be used in rural areas. In 2008, they co-founded Embrace, a 501(c)(3) non-profit, to bring their project to life. In January 2012, Embrace moved into a hybrid structure. The non-profit entity, Embrace, donates infant warmers to the neediest areas through NGO partners, and provides educational programs on newborn health alongside the distribution of warmers. The for-profit social enterprise, Embrace Innovations, sells the warmers to paying entities, including governments and private clinics, all focusing on emerging markets. Embrace Innovations, the for-profit social enterprise, raised its Series A round of financing in 2012 from Vinod Khosla's Impact Fund and Capricorn Investment Group. The company raised a second round of investment capital from Marc Benioff in 2014.In 2016, Embrace Innovations launched a line of consumer baby products called Little Lotus Baby (temperature regulating swaddles and sleeping bags), which have a buy-one give-one model. The Little Lotus products use the technology used in the Embrace warmer to keep babies at an ideal skin temperature, thereby helping to improve their sleep.


=== Awards and recognition ===
Chen has been a TED speaker, and was selected as one of Forbes' Impact 30 in 2011. In 2019, Chen was featured in AOL/Verizon/Yahoo's ""FUTURIST"" Series, profiling industry leaders across all different disciplines who are advancing their fields with technology, innovation, and fearlessness. Chen has been recognized as the Inspirational Young Alumni of the Year by Pomona College, and selected as a ""Woman of Distinction"" by the American Association of University Women. Chen has spoken at numerous international conferences, including the Skoll World Forum, Bloomberg Design Conference, Forbes Women's Summit, and the World Economic Forum.In 2012, Chen was named as a Young Global Leader by the World Economic Forum, and was featured in Dove's ""Real Role Models"" campaign for women and girls. She was also profiled in AOL's Makers campaign. Chen is a TED Fellow, Echoing Green Fellow, and Rainer Arnhold Fellow.


== References ==


== External links ==
Jane Chen Video produced by Makers: Women Who Make America
Jane Chen at TED"
3,"
== Education & Early Life ==
Audrey Cheng was born and raised in Maryland in 1993 to Taiwanese first generation immigrants. Following high school, she went to college at Northwestern University located in Chicago where she received her degree in journalism and global health. While still in college she began working as a journalist writing about various startups in Chicago. Audrey received her degree from Northwestern University in 2015.


== Career ==
A year later, 2014, she realized she wanted to change the trajectory of her path and make her own difference in the world. Leading her to begin working for a venture capitalist company called Savannah Fund based in Kenya. Audrey soon discovered form the International Labour Organization that a big chunk of college graduates are unemployed and that only 1%  of computer science majors find jobs in their field because a lot of programs they learn in school do not accurately prepare them for the fast changing technological world. Audrey soon realized the significant problem for a majority of companies in Kenya was that they were having a hard time finding people with the right skills to fill positions in their company. She discovered the pain point of the company's problem and why there was low employment for computer science graduates was because the computer science program they learned in university was taught in a theoretical perspective instead of coding which was how computer science was taught in other universities. Furthermore, because computer science majors weren't learning coding at their universities they were unable to land jobs in their field which lead to companies having a hard time finding people to fill the coding positions at their company.


== Moringa School ==
Soon Audrey founded the Moringa School located in Nairobi, Kenya. She created a learning accelerator, a program where she would teach recent IT graduates the basic technological skills like coding needed to obtain a job in that industry.The basis of the program is to equip students with the right skills needed for companies to hire them. Not only does this program benefit the students but it also helps various companies in Kenya progress vastly because they now have the right people with the right skills to advance their companies. 95% of the school's graduates have received jobs at formidable companies not just in Kenya but throughout Africa and the world. The program has allowed students to not only receive their first job but also double their salary within a month by supplying them skills needed to succeed. Throughout Audrey's seven years leading the school, she developed and guided a team of over 100 people to train over 4000 students in both Kenya and Rwanda. Audrey has expanded her learning accelerator program to places like Hong Kong, Pakistan, Ghana, Nigeria and South Africa.


== Achievements ==
In 2016, Audrey was featured in Forbes 30 under 30 for her social innovation of creating the learner accelerator and the Moringa School. Some of the other achievements she received for her innovation is being featured in Cartier's Women's initiative, in 2016 the World Economic Forum recognized her as one of the top five women innovators in Africa, and in 2018 the company itself was recognized as one of the most innovative companies in Africa. The Moringa School continues to operate and has set a goal by 2030 to train over 200,000 students with the skills needed to advance themselves in the technological sphere.
In March 2021, Audrey stepped down as CEO but still operates on the board of directors for the school where she will continue to advance educational programs all over africa. Audrey is currently a member of I&P's Education to Employment Fund where they are working to create and fund  a three year program to advance educational institutions and companies to help provide students with the right skills to launch their careers and become successful focusing in Côte d'Ivoire, Ghana and Senegal.


== References =="
4,"Peggy Tsiang Cherng (pronounced , born 1947/1948 in Myanmar) is an American billionaire businesswoman who cofounded Panda Express in 1983 and serves as the cochief executive officer of Panda Restaurant Group.  With an estimated net worth of US$1.7 billion as of 2019, Forbes reported that she is America's second richest self-made woman born outside the United States. The Cherngs invest their wealth out of their family office, the Cherng Family Trust.


== Early life and education ==
Peggy Tsiang was born in Mawlamyine, Myanmar, and grew up in Hong Kong. She attended Hong Kong's Clementi Secondary School, and graduated in 1966. She went to the United States to attend Baker University in Baldwin City, Kansas, where as a freshman she met her husband to be, Andrew Cherng, then a sophomore. She transferred a year later to Oregon State University, where she earned a bachelor's degree in applied mathematics in 1970. She then attended the University of Missouri, earning a master's in computer science in 1971, and a PhD in electrical engineering in 1974. She worked towards her PhD by developing a pattern-recognition program that digitized X-rays and applied algorithms to diagnose congenital heart disease. After earning her PhD, she and Andrew moved to Los Angeles where they married.


== Early career ==
From 1975-1977, Cherng was an engineering specialist at McDonnell Douglas, where she coded battlefield simulators for the US Air Force. From 1977-1982, she was a technical engineer and software department manager at Comtal Corporation, a subsidiary of 3M.


== Panda Restaurant Group ==

In June 1973, Andrew Cherng along with his father Ming Tsai Cherng took over a restaurant and started a new Chinese restaurant called Panda Inn in Pasadena, California, using funds from the family and a Small Business Administration loan. In 1982, Peggy Cherng left Comtal and became Operations Manager at the Panda Restaurant Group. In 1982, she built the restaurant company's computer systems to track customer feedback and streamline operations. She used computers to track inventory and re-order ingredients.In 1983, the Cherngs opened the first Panda Express, a fast food restaurant, at the newly opened Glendale Galleria II mall in Glendale, California. The mall's developer had eaten at Panda Inn, and encouraged the Cherngs to take a place at the food court. Peggy Cherng took over as president in 1997. She was the CEO and president of Panda Restaurant Group from 1997 until 2003, and in 2004 she became co-chair and co-CEO of Panda Restaurant Group. Panda Restaurant Group bought stakes in other restaurant franchises such as Urbane Cafe, Just Salad, Uncle Tetsu, Pieology and Ippudo. As of 2018, the Cherngs still did not franchise Panda Express restaurants except in a few cases, still owning and operating all their restaurants without going public. In 2019, she is still co-CEO of Panda Express, which had over 2,200 locations.By March 2018, the couple had a net worth of $3.3 billion. She was also #12 on America's Self-Made Women list for 2019 by Forbes. In October 2019, her development company CFT NV Developments LLC purchased land in Hawaii for $10 million. She and her husband are the Hawaii master franchisees for Raising Cane's Chicken Fingers. She is on the boards of the Los Angeles branch of the Federal Reserve Bank of San Francisco, the United Way of Los Angeles, Methodist Hospital of Arcadia and the Peter F. Drucker School of Management.


== Philanthropy ==
In February 2011, the Cherngs donated $2.5 million to support the Collins College of Hospitality Management at California State Polytechnic University, Pomona.In March 2017, the California Institute of Technology announced that they were changing the name of its medical engineering department to the Andrew and Peggy Cherng Department of Medical Engineering after receiving a $30 million gift from Andrew and Peggy Cherng. In the following month, the University of Missouri announced receiving a $1.5 million gift from the Cherngs which would benefit its Honors College.


== Personal life ==
The Cherngs have three daughters.  The oldest is chief marketing officer at Panda Express, the second daughter manages investments for the Cherng Family Trust, and the youngest works with the Panda Charitable Foundation.In 2018, it was announced that the Cherng Family Trust purchased the former Mandarin Oriental hotel on the Las Vegas Strip and rebranded it as a Waldorf Astoria. The total acquisition price for the property was $214 million. As of November 2019, the Cherngs reside in Henderson, Nevada.


== References ==


== External links ==
Cherng at PandaRG.com"
5,"Jennifer Childs-Roshak is an American physician who is president and CEO of Planned Parenthood League of Massachusetts, president of the Planned Parenthood Advocacy Fund of Massachusetts and a board member of the Boston Public Health Commission.  She is the first person with a medical degree to become the chief executive of any Planned Parenthood.


== Life and education ==
Childs-Roshak grew up in New Hampshire. She attended Harvard University in Cambridge, Massachusetts, and after graduating with a degree in English, moved to New York City to work as an editor for the United Nations Population Fund. While in New York, she began volunteering at a Planned Parenthood facility. She attended medical school at Temple University in Philadelphia. She also has an MBA from the Boston University School of Management.Childs-Roshak is married to Phillip Roshak. They have two children. She gave birth to her first child while in medical school, and her second while completing her residency at Maine Medical Center Family Practice Center.


== Career ==
In 1993, Childs-Roshak became a primary care physician with a specialty in family medicine. She worked as a faculty physician at Maine Medical Center Family Practice Center, the same center where she completed her medical school residency. She then became the vice president of family services at the Family Health Center of Worcester. She then moved to become the medical director of quality at the Milford Regional Medical Center. In 2012 she joined Harvard Vanguard's internal medicine department as a physician. She later became the medical director of their facilities in Kenmore, Copley, and Post Office Square, under Atrius Health.On November 23, 2015, Childs-Roshak became the president and chief executive officer of Planned Parenthood League of Massachusetts, and the president of the Planned Parenthood Advocacy Fund of Massachusetts. She is the first person with a medical degree to lead any Planned Parenthood in the United States, having filled the vacancy left by Marty Walz, who resigned from the position in January 2015.


== References =="
6,"Maureen Chiquet (born 1963) is an American businesswoman who was CEO of fashion house Chanel from 2007 to 2016.She is the author of Beyond the Label: Women, Leadership & Success on Our Own Terms (Harper Business, 2017).


== Early life ==
Chiquet was , in St. Louis, Missouri, where she attended John Burroughs School. She studied at Yale University in Connecticut, where she graduated with a degree in literature with an emphasis in film. Unsure of what career to pursue after graduation, she reportedly walked out midway through a Law School Admission Test. Chiquet went on to do a marketing internship at L'Oréal Paris, work she later described as ""the beginning of my career and love affair with the world of beauty and fashion"".


== Career ==
Chiquet returned to the U.S. in 1988, joining Gap Inc. as an assistant merchandiser in San Francisco. She received praise in 1994 for helping launch the Old Navy brand, which soon became a leading part of the business, worth a total of $5 billion. She went on to become executive vice president of merchandising, planning and production. In 2002, she briefly joined another Gap subsidiary, Banana Republic.
In 2003, Chiquet took a job with Chanel, a decision she has called the most important of her career. A year later, she was appointed president of Chanel in the U.S., responsible for fragrance and beauty, fashion, watches, and fine jewellery divisions. When Chanel restructured in 2007, Chiquet became company-wide CEO. Portfolio magazine credited Chiquet with transforming Chanel into ""the single most valuable fashion brand"", growing it to be worth $6.2 billion.Chiquet left Chanel in January 2016, citing ""strategic differences."" The company's statement said Chiquet oversaw ""successful international expansion of the House of Chanel, enhanced its luxury positioning and timeless image, and grew the business in all categories. She also established a truly global organization and enhanced the culture and leadership of the company.""
In April 2016, she was invited to give the opening keynote for the New York Times Luxury Conference in Versailles. Her speech traced her own leadership journey, and urged attendees to ""start close in"" with their own company cultures and leadership initiatives as a way of facing increasing industry disruption and connecting with 21st-century luxury consumers.
Chiquet's book, Beyond the Label: Women, Leadership & Success on Our Own Terms, was released by Harper Business on April 18, 2017. She said she wrote it to ""open up the aperture through which we look at the world. I want us to reconsider what it means to be a woman, a mentor, a wife, a mother."" In the book, she emphasizes integrating feminine leadership into existing corporate structures. ""Why should we separate art from business, feelings from logic, intuition from judgment? Who decided you can’t be determined and flexible, introspective and attuned, mother and top executive? And where does it state standing unflinchingly in your vulnerability, embracing your femininity, won’t make you stronger?""
A Francophile, Chiquet said, ""I just dreamed about living in Paris and being French"" in an interview with Time.


== References =="
7,"Mallika Chopra (born July 24, 1971) is an American author and businesswoman.


== Biography ==
Chopra's formative years were spent in the town of Lincoln, located in Massachusetts, United States. She pursued her secondary education at the nearby Concord Academy, situated in Concord, Massachusetts. Chopra's academic journey further led her to attain a Bachelor of Arts degree from Brown University, complemented by an MBA obtained from the Kellogg School of Management. Additionally, she holds a master's degree in Psychology and Education, earned from Columbia University.In the early 2000s, Chopra co-established the my potential.com website with her father, Deepak Chopra. She now serves as the President of Chopra Media LLC, and is on the board of directors at Liquid Comics, previously known as Virgin Comics. Chopra also blogs on platforms such as Beliefnet and Huffington Post.Chopra has written several self-help books aimed at adults, as well as a series of children's books centered around the theme of affirmations.


== Books ==
Her first two books, 100 Promises To My Baby and 100 Questions From My Child, have been translated and sold in dozens of countries worldwide.
Chopra's book, Living With Intent: My Somewhat Messy Journey to Purpose, Peace, and Joy, was released in 2015.Her fourth book, Just Breathe: Meditation, Mindfulness, Movement, and More, is a meditation guide for children. It was published in 2018.


== References ==


== Bibliography ==
100 promises to my baby. Emmaus, Pennsylvania: Rodale, Inc. 2005. ISBN 978-1-59486-129-1. OCLC 57007749. 100 Promises to my baby.
100 questions from my child. New York, NY: Rodale, Inc. 2007. ISBN 978-1-59486-600-5. OCLC 80019848.
Living With Intent: My Somewhat Messy Journey to Purpose, Peace and Joy. Harmony. 2015.
Just Breathe: Meditation, Mindfulness, Movement, and More. Running Press Kids. 2018. ISBN 978-0762491582


== External links ==
Mallika Chopra's personal web site"
8,"Sherry Chris is president and CEO of  Expansion Brands Portfolio at Realogy Holdings Corporation, which includes Better Homes and Gardens Real Estate, and ERA, divisions of Realogy Corporation.


== Education ==
Chris is a graduate of The University of Western Ontario and earned an MBA from the Ivey School of Business. She became interested in real estate and started as a real estate agent with her first home sale in 1982.


== Career ==
Chris started her career in the banking industry and moved into real estate in 1982 in the province of Ontario, Canada. She began working with Royal LePage in 1987 as a branch and area manager. In 1997, she was promoted to regional manager and held a vice-president position in Toronto. Chris was eventually promoted to Executive Vice President of Network Services. In 2003 Chris became the President of Real Living Network Services, where she worked until 2005, when she joined Prudential California Realty as Chief Operations Officer (COO). In December 2006, Chris joined Realogy Corporation (“Realogy”) as the Chief Operating Officer of Coldwell Banker Real Estate LLC.  In the position Chris would “direct the company's operations, education, mortgage and field services programs [and] ... focus on communication between Coldwell Banker corporate headquarters, regional offices and its nearly 4,000-office affiliate network."" In October 2007, Realogy Corporation entered into a 100-year agreement to license the Better Homes and Gardens brand from Meredith Corporation. In 2008, Realogy launched a franchise network for the Better Homes and Gardens Real Estate LLC brand, of which Chris was named CEO and president. Since the franchise's launch, Chris has grown the Better Homes and Gardens Real Estate network to represent the fifth largest residential brand for Realogy, expanding it to hundreds of offices and thousands of affiliated sales associates in the United States and Canada.In September 2019 Chris was named president and chief executive officer of Realogy Expansion Brands Portfolio which includes Better Homes and Gardens® Real Estate and ERA Real Estate.


== Recognition ==
Chris was named the 2010 and 2015  Inman Innovator of the Year in the real estate industry and has also been included in Inman's “100 Most Influential Real Estate Leaders” for seven consecutive years. She was included on the Most Influential Real Estate Executives list by Real Estate Executive Magazine and Profiles in Diversity Journal's annual Women Worth Watching list. In 2010 Chris won the Stevie Award for Best Executive in the Stevie Awards for Women in Business. In October 2015, Chris won the National Association of Gay & Lesbian Real Estate Professionals (NAGLREP) Pinnacle Award created for leaders who have advanced a climate of acceptance that benefits LGBT home buyers & sellers. Chris was included in the Swanepoel Power 200 list from 2013 to present. Chris was also named to the 2021 RISMedia Hall of Fame.


== Other work ==
Chris has been a guest author on Huffington Post, and has been featured on national media outlets such as the FOX Business Channel, CNBC, The New York Times, The Wall Street Journal, and USA Today.In 2016, Pantone made a custom color for Chris, SC2011 which is a shade of bright pink.In 2017, Chris was on a Feng Shui Lifestyle  panel of The Milken Institute's Global Conference.


== References =="
9,"Alice Min Soo Chun (born 1975) is the founder and CEO of Solight Design and the inventor of the SolarPuff.


== Early life ==
Born in South Korea in 1975, to an architect father and painter mother. Chun and her parents moved to the United States in 1978, settling in Syracuse, New York.As a teen Chun and her parents moved back to South Korea, but Chun wished to study and learn in the United States. Chun later returned to the US to study at and later graduate from the University of Pennsylvania.


== Work ==
Chun became a professor of architectural design and material technology at Columbia University and Parsons School of Design. Chun focused her work on solar energy and ways to bring solar energy into everyday living, beginning to prototype an inflatable solar light in 2008. In 2010, following the Haiti earthquake, Chun challenged her class of design students to create a solar light solution that could be used immediately in disaster relief situations.In 2011, Chun designed the SolarPuff, based on origami techniques to create a cube that inflates on it own, without the requirement to be inflated by mouth, which can pass on germs. By 2015, she launched a company Solar Design and crowdfunded the SolarPuff, raising nearly half a million dollars. At this time Chun stopped teaching to focus full-time on being a social entrepreneur.As of 2019, the solar puff is available in twenty countries and sold commercially in the United States, with 10% of profits going to Chun's charity Studio Unite, benefiting refugees and people living in the developing world. The solar light has been extremely useful in reducing crime in refugee camps, with a 20% reduction in rape and sexual assault in Syrian camps.In 2020, in response to COVID-19 and the waste seen in using non-recyclable surgical masks Chun and her team of designers produced the Seeus95 mask. The reusable mask is adhesive and made from clear silicone. As of January 2020, the kickstarter has raised over $380,000.


== References =="
