,bigram,score
0,pluijm_vrede,5206.375
1,charrette_labadie,5044.23875432526
2,armin_laschet,4932.355263157895
3,laroche_joubert,4880.9765625
4,pim_fortuyn,4859.283333333334
5,widmer_schlumpf,4733.068181818182
6,widmann_mauz,4724.120982986768
7,pannier_runacher,4338.645833333333
8,wieczorek_zeul,4143.481833910035
9,stark_watzinger,4038.1855955678666
10,vallaud_belkacem,3962.0451843043993
11,calmy_rey,3951.707779886148
12,gardi_hutter,3794.11943319838
13,bono_vandorme,3432.7747252747254
14,vlaams_belang,3430.082352941177
15,jeitler_cincelli,3298.156108597285
16,leutheusser_schnarrenberger,3249.368794326241
17,strack_zimmermann,3176.0021786492375
18,carmen_jeitler,3161.3662239089185
19,mecklenburg_vorpommern,3141.1010558069383
20,yellow_vest,3122.6239907727795
21,manuel_valls,3071.041474654378
22,wayback_machine,2975.0714285714284
23,hennig_wellsow,2948.2689832689834
24,sint_maarten,2936.9294871794873
25,vrije_universiteit,2879.1013824884794
26,heiko_maas,2803.4326923076924
27,delivery_apparatus,2704.6103896103896
28,barack_obama,2669.9358974358975
29,rendi_wagner,2603.1875
30,braun_pivet,2587.0186335403723
31,olaf_scholz,2586.173202614379
32,schleswig_holstein,2568.6100569259966
33,sigmar_gabriel,2530.8767361111113
34,ceta_canada,2491.940170940171
35,diver_gauche,2479.2261904761904
36,marin_moskovitz,2479.2261904761904
37,alpes_maritimes,2450.0588235294117
38,cochlear_implant,2226.4103618421054
39,ver_di,2217.7619374785295
40,rhineland_palatinate,2216.2271959459463
41,kramp_karrenbauer,2125.051020408163
42,hartinger_klein,2069.161309175921
43,think_tank,2028.4577922077922
44,real_estate,1973.4308807134894
45,hirsi_ali,1928.287037037037
46,emmanuel_macron,1864.5420110192838
47,implantable_fluid,1859.4196428571427
48,konrad_adenauer,1836.4638447971781
49,friedrich_merz,1835.5809294871794
50,aschenberg_dugnus,1721.1157024793388
51,helmut_kohl,1700.0408163265308
52,asylum_seeker,1699.7104547221143
53,apparatus_implantable,1690.3814935064934
54,bourbon_parma,1670.4946524064173
55,audrey_azoulay,1595.823754789272
56,nicolas_sarkozy,1579.8655172413794
57,horst_seehofer,1557.462606837607
58,schulz_asche,1525.6776556776556
59,parlement_politiek,1519.5257296466975
60,malu_dreyer,1456.3286713286714
61,annegret_kramp,1446.2152777777776
62,traffic_light,1444.4598578116872
63,zepp_larouche,1416.7006802721087
64,richard_ferrand,1414.295415959253
65,equal_opportunity,1414.0771604938273
66,sebastian_kurz,1402.3905723905723
67,marga_hoek,1393.010033444816
68,christa_luft,1388.3666666666668
69,den_haan,1366.211879432624
70,minimum_wage,1355.8268229166667
71,mohamed_ali,1334.9679487179487
72,parlament_gv,1334.9679487179487
73,nature_conservation,1323.6546610169491
74,duty_determines,1298.887733887734
75,hubertus_heil,1262.1515151515152
76,wikimedia_common,1247.9700374531835
77,katrin_eckardt,1239.6130952380952
78,covid_pandemic,1233.3629451780712
79,magnus_hirschfeld,1232.2781065088757
80,saudi_arabia,1225.0294117647059
81,ex_officio,1218.8229385045422
82,invasion_ukraine,1183.2670454545455
83,amoratti_blanc,1156.9722222222222
84,http_www,1104.8010610079575
85,implantable_electrode,1093.7762605042017
86,sahra_wagenknecht,1084.6614583333333
87,val_oise,1069.3453145057765
88,spatial_planning,1033.4120819848974
89,parlement_com,1026.7502405002406
90,maternity_leave,1014.8019067796611
91,doris_leuthard,1014.2288961038961
92,frank_walter,997.1169630642954
93,basel_landschaft,991.6904761904763
94,volkspartij_voor,991.6904761904763
95,loire_atlantique,980.7927786499214
96,legion_honour,980.0235294117646
97,ludwig_maximilian,976.1953125
98,roman_catholic,973.1542056074766
99,ku_leuven,964.1435185185185
100,decoration_honour,960.8073817762399
101,die_linke,946.5324586227596
102,lionel_jospin,942.3303167420815
103,beauty_pageant,942.3303167420815
104,civil_servant,934.5631468083159
105,olivier_faure,929.7098214285713
106,ruth_dreifuss,916.0777126099707
107,vergessen_demokratie,901.5367965367965
108,alexandra_borchio,901.5367965367965
109,north_rhine,900.2496529843346
110,st_gallen,895.9674572531715
111,saint_denis,892.1390832500358
112,martine_aubry,871.8356388787768
113,convention_purpose,869.1219903691814
114,electricity_gas,862.594674556213
115,saxony_anhalt,859.6697626418988
116,julia_herr,834.3549679487179
117,knake_werner,830.8045212765957
118,socialiste_radical,804.8502415458937
119,ursula_koch,796.8941326530612
120,russian_invasion,791.369
121,self_employed,785.4445043103449
122,wikimedia_commonsofficial,779.9812734082398
123,en_marche,779.8542819928361
124,armed_force,738.4929078014184
125,vladimir_putin,730.719298245614
126,barbara_polla,725.3463622291022
127,bouches_du,703.5641891891893
128,lower_saxony,685.5051300906958
129,mark_rutte,680.3697653697653
130,artificial_intelligence,661.1269841269841
131,gender_equality,661.1269841269841
132,gave_birth,659.0348101265822
133,focused_matter,643.2586872586872
134,negotiation_form,639.1650117349702
135,swarovski_crystal,631.0757575757576
136,jacques_chirac,619.8065476190476
137,consumer_protection,613.5654881778175
138,humanitarian_aid,611.230607966457
139,agency_civic,610.5557036247335
140,agenda_item,608.9327485380117
141,non_profit,608.7453846153846
142,nuclear_safety,608.2368253968255
143,republican_lr,597.0793722649765
144,manuela_schwesig,590.7943262411347
145,technology_assessment,587.0472163495419
146,united_nation,584.9104145144629
147,laurent_wauquiez,552.4005305039788
148,order_merit,542.2693309181478
149,sex_marriage,537.5129051620648
150,motion_confidence,535.9503676470588
151,food_agriculture,534.4597345132744
152,reappraisal_sed,525.8964646464647
153,archived_wayback,517.4037267080746
154,affiliated_va,512.3824494259158
155,charge_appointing,511.50350877192983
156,conservation_nuclear,504.2493946731235
157,gabriel_attal,500.6129807692308
158,marche_lrem,489.82316968867605
159,breast_cancer,462.7888888888889
160,decided_align,462.27524972253053
161,even_though,455.2021857923497
162,le_pen,454.60792706416134
163,publicly_endorsed,454.1643536875496
164,appeal_cda,453.8244552058111
165,vocational_training,452.53150803998255
166,frankfurt_main,445.814899386328
167,instead_resign,438.9449648711944
168,max_planck,438.4315789473684
169,freedom_democracy,433.8645833333333
170,der_leyen,427.3766306076996
171,barbara_pompili,417.62366310160434
172,angela_merkel,415.14717204212377
173,introduction_sex,408.34313725490193
174,middle_east,408.34313725490193
175,andrea_nahles,405.6915584415584
176,chancellor_angela,405.02832741417217
177,net_worth,400.49038461538464
178,renewable_energy,399.1744249726177
179,direct_mandate,393.3387706043956
180,human_resource,385.91728436657684
181,voted_favor,380.8859601936525
182,nationale_administration,374.55935251798564
183,natural_gas,366.1626373626374
184,lockdown_economy,364.08216783216784
185,open_letter,358.8353696741855
186,consulting_firm,353.1455910852713
187,evangelical_church,352.0794590025359
188,environment_nature,349.8907930107527
189,isbn_oclc,349.16076751117737
190,honorary_doctorate,348.9389907352651
191,senior_citizen,348.07678965625985
192,red_cross,343.2774725274725
193,comprehensive_economic,341.4537100587204
194,med_el,336.16626311541563
195,million_euro,325.2879456706282
196,caused_controversy,325.05983350676377
197,biography_english,321.81723955977685
198,klein_schmeink,320.88597842835134
199,among_others,316.8179513184584
200,en_commun,313.6370481927711
201,nursing_home,313.5021505376344
202,fourth_rutte,308.7680969823827
203,called_traffic,306.5704354937641
204,medium_related,304.87736943171666
205,animal_welfare,304.0853149770547
206,popular_movement,297.2117771159096
207,poverty_reduction,296.2375533428165
208,master_degree,294.5445230191947
209,billion_euro,294.06996148908854
210,new_york,292.0827489481066
211,open_vld,291.67366946778714
212,trade_agreement,290.7290037971856
213,opinion_poll,289.77968460111316
214,light_coalition,285.76035127439883
215,keller_sutter,282.95516304347825
216,nord_stream,280.66711590296495
217,climate_change,280.2073827073827
218,memberofficial_website,278.29175946547883
219,currently_serf,272.4424385138671
220,voted_favour,270.461038961039
221,nuclear_power,269.5857605177994
222,chancellor_olaf,265.7027262959978
223,constitutional_court,263.89069910575284
224,science_po,260.47503502101256
225,citoyen_et,258.7018633540373
226,film_festival,254.27960927960928
227,seine_saint,247.69093534958796
228,kingdom_relation,246.71685995760072
229,planck_institute,243.81073170731707
230,sustainable_development,241.03587962962962
231,von_der,238.08230372521953
232,human_right,235.68495817187556
233,united_kingdom,234.1882694128788
234,ursula_von,226.24117327539378
235,van_aerschot,225.23185075030418
236,house_representative,222.0148765536792
237,la_en,221.21963492019123
238,france_insoumise,221.00530612244899
239,welfare_sport,220.25227074779147
240,com_biography,219.77762701643297
241,new_caledonia,214.28718423625048
242,water_management,213.49268726079825
243,power_plant,212.83086356668372
244,bachelor_degree,212.46174250153032
245,among_thing,211.21196754563894
246,van_beukering,206.87055856957284
247,post_railway,206.60218253968253
248,chancellor_gerhard,203.7720156555773
249,jean_luc,203.3740234375
250,delegation_franco,202.8457792207792
251,data_protection,201.823556014989
252,applied_science,200.13642251284836
253,preference_vote,198.33809523809524
254,continued_serve,198.16823674945283
255,electrical_engineering,196.09698681732579
256,tine_van,195.2009373169303
257,managing_director,193.62130553924447
258,official_website,192.46122540353133
259,second_round,192.31759671779832
260,stevie_award,191.7633517495396
261,cdu_csu,186.58984569437533
262,union_ver,186.5312801433099
263,jean_claude,185.94196428571428
264,et_loire,184.78704525288376
265,europe_pace,182.55971948279642
266,le_monde,181.24891209747605
267,north_brabant,179.2725968436155
268,nd_constituency,176.11140691556002
269,secondary_school,173.86458507263316
270,younger_brother,172.96926910299004
271,knight_order,172.11157024793388
272,th_arrondissement,170.98111658456486
273,basel_stadt,170.00408163265305
